,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Carlisle United manager Keith Curle has launched a scathing attack on his team","Carlisle slumped to a 3-1 defeat away at Accrington Stanley .
The team's poor performance prompted a scathing assessment from manager Keith Curle who suggested some of his squad were not fit for purpose .
Carlisle are without a win in five games in League Two and just two places above the relegation zone .
The Cumbrians were relegated from League One last season and are at a serious risk of dropping out of the Football League entirely this term .",0.5021542310714722,0.10126582278481013,0.5714285714285714,0.17204301075268819,0.038461538461538464,0.23076923076923078,0.06593406593406592,0.06329113924050633,0.35714285714285715,0.10752688172043012,10.100657833947075,8.087459363435444,7.072793878357986,6.416200613364195,5.8365699028482245
1,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
A CNN analysis of passenger property loss claims filed with the Miami-Dade Police","TSA received more than 30,000 claims of missing valuables between 2010-2014 .
Most of the missing valuables were packed in checked luggage .
Miami-Dade police set up hidden cameras as part of sting .",0.47834885120391846,0.17647058823529413,0.4,0.2448979591836735,0.06060606060606061,0.14285714285714285,0.0851063829787234,0.14705882352941177,0.3333333333333333,0.20408163265306123,10.192223167419433,9.134400541132147,7.406545709161198,6.39023494720459,5.389171613114221
2,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Police in Arizona have arrested a 46-year-old firefighter","Pima County Sheriffs say David Watson, 46, killed his ex Linda Watson while they fought over custody of their daughter in 2000 .
Three years later, police say Watson murdered his ex mother-in-law in a drive-by shooting at the very home where Linda Watson first vanished .
Marilyn Cox had been fighting for visitation rights over her granddaughter - she was gunned down alongside her neighbor Renee Farnsworth in 2003 .",0.26337727904319763,0.07142857142857142,0.45454545454545453,0.12345679012345678,0.0,0.0,0.0,0.04285714285714286,0.2727272727272727,0.07407407407407407,10.08953824043274,8.303737616539001,7.294902118047078,6.516920268535614,5.770285496711731
3,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Raheem Sterling has admitted to being not ready to sign a new contract","Raheem Sterling has revealed he is not ready to sign a new Liverpool deal .
The Reds wideman has struggled to repeat last season's impressive form .
The 20-year-old Liverpool star has managed just six goals this  season .
READ: Sterling insists he is not a 'money-grabbing 20-year-old'
Sterling: What he said about contract talks... and what he meant .
CLICK HERE for the latest Liverpool news .",0.6698252558708191,0.15942028985507245,0.7857142857142857,0.2650602409638554,0.10294117647058823,0.5384615384615384,0.17283950617283952,0.14492753623188406,0.7142857142857143,0.24096385542168677,10.666436576843262,8.589578533172608,7.264569854736328,6.212813069180744,5.496428438261444
4,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Rebekah Gregory, a 26-year-old woman from Texas","Survivor Jeff Bauman stresses ""we will never replace the lives that were lost""
A man who was at the finish line is glad Dzhokhar Tsarnaev is now a ""convicted killer""
""Justice has been served today,"" says a once wounded police officer .",0.21319763362407684,0.024390243902439025,0.1,0.03921568627450981,0.0,0.0,0.0,0.024390243902439025,0.1,0.03921568627450981,10.96378501256307,9.143910527229309,7.852882729636298,7.006418784459432,6.3395201365153
5,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Cherry Mulligan, a 29-year-old actress,","Carey Mulligan's grandmother suffers from Alzheimer's disease .
Margaret Booth has struggled to recognise her grandchild for eight years .
Mulligan, 29, has urged for greater awareness of the illness in society .",0.3937297463417053,0.09375,0.375,0.15,0.0,0.0,0.0,0.0625,0.25,0.1,9.16315245628357,8.194635232289633,7.576757541069617,6.769177397092183,5.984577572864035
6,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Leah Rogers and Ryan Flanaghan, former collectors, bought a rare","Leah Rogers, 20, and Ryan Flanaghan, 22, bought bear in Bude, Cornwall .
They realised it was one of 100 1st edition Princess Diana Di Beanie Babies .
Range created in 1997 to raise money for Princess Of Wales Memorial Trust .
Couple listed bear for £20,000 on eBay and hope to raise money for house deposit .",0.3302021920681,0.10909090909090909,0.5454545454545454,0.1818181818181818,0.05555555555555555,0.3,0.09375000000000001,0.10909090909090909,0.5454545454545454,0.1818181818181818,12.400916735331217,10.636737221165708,9.171123930386134,8.001893583096956,7.102513566930243
7,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
KFC has been forced to apologize to a shocked family after a sex scene was","Whalen family's dinner at KFC was interrupted by sounds of a sex scene .
Gerald and April were with two young children at the Oklahoma restaurant .
Scene from risque show Outlander was broadcast on KFC's television set .",0.4710560142993927,0.15789473684210525,0.375,0.22222222222222218,0.05405405405405406,0.13333333333333333,0.07692307692307693,0.13157894736842105,0.3125,0.18518518518518517,12.346123456954956,10.573684480455187,9.199978998729161,8.307758808135986,7.622150182723999
8,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
An Arizona police chief supported a decision to drive a police officer into a armed suspect","Chief tells CNN that deadly force was warranted .
Chief: If suspect ended up shooting people, police would be answering different questions .
Incident happened February 19 in town near Tucson, Arizona .",0.5553019642829895,0.13333333333333333,0.23529411764705882,0.1702127659574468,0.0,0.0,0.0,0.06666666666666667,0.11764705882352941,0.0851063829787234,10.560562372207642,9.799957871437073,9.159024755160013,8.599657595157623,7.9332208156585695
9,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
A Florida police officer, Eddie Trimino, allegedly shouted ""Get on the","Lavall Hall, 25, was suffering psychotic episode when fatally shot by police .
His mother had called police to help take mentally ill son to hospital .
Police claim he attacked them with 'deadly force' using broom handle .
But footage from scene  appears to show Hall running away from cops .",0.21875420212745667,0.020833333333333332,0.08333333333333333,0.03333333333333333,0.0,0.0,0.0,0.020833333333333332,0.08333333333333333,0.03333333333333333,11.798471450805664,10.080441071436955,8.692299151420594,7.878788196123564,7.104459921518962
