,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Hannah: Bye bye
Hannah: Bye bye
Hannah: Bye bye
H",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,0.4803138971328735,63.0,0.0625,0.1,0.07692307692307693,0.0,0.0,0.0,0.0625,0.1,0.07692307692307693,12.633014678955078,11.698257128397623,10.895859146118164,9.674470220293317,8.395652479595608
1,EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Eric: I'm going to go to the bathroom.
Rob: I'm going",Eric and Rob are going to watch a stand-up on youtube.,0.5647486448287964,41.0,0.3333333333333333,0.3076923076923077,0.32,0.09090909090909091,0.08333333333333333,0.08695652173913043,0.25,0.23076923076923078,0.24000000000000002,10.209376335144043,9.159227848052979,8.253947257995605,7.20299129486084,6.766738732655843
2,EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Lenny: I'll pick the second pair
Bob: I'll pick the third",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,0.6265748739242554,115.0,0.13793103448275862,0.3076923076923077,0.1904761904761905,0.03571428571428571,0.08333333333333333,0.05,0.13793103448275862,0.3076923076923077,0.1904761904761905,10.234743118286133,9.005494594573975,7.686491680145264,7.0272830082820015,6.235306305043838
3,EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Will: I'll be home soon. 
Emma: I'll be home",Emma will be home soon and she will let Will know.,0.7925890684127808,30.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.2,0.2,0.20000000000000004,0.36363636363636365,0.36363636363636365,0.36363636363636365,9.680063247680664,8.403711318969727,7.899242719014485,7.643793821334839,6.6410313447316485
4,EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,", i'll be there in a minute
Jane: ok, i'll be there in a",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,0.3719974160194397,182.0,0.11627906976744186,0.3333333333333333,0.1724137931034483,0.0,0.0,0.0,0.11627906976744186,0.3333333333333333,0.1724137931034483,11.100193786621094,9.61250114440918,8.262427508831024,7.418328807467506,6.626379631183766
5,EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Hilary: Bye!
Hilary: Bye!
Hil",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,0.4297628104686737,281.0,0.03508771929824561,0.4,0.06451612903225806,0.0,0.0,0.0,0.03508771929824561,0.4,0.06451612903225806,8.551287492116293,7.377702969771165,6.68071768283844,6.1798859009375935,5.724929780671091
6,EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Max: I'm not sure what you mean by that.
Payton: I",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,0.4461223483085632,157.0,0.1,0.25,0.14285714285714288,0.0,0.0,0.0,0.1,0.25,0.14285714285714288,11.304598490397135,9.536689201990763,8.71012348598904,7.87429141998291,7.274984180927277
7,EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Rita: I'm not sure what I'm going to do.
Tina",Rita and Tina are bored at work and have still 4 hours left.,0.5512341260910034,45.0,0.15384615384615385,0.16666666666666666,0.16,0.0,0.0,0.0,0.15384615384615385,0.16666666666666666,0.16,11.572149276733398,10.059233665466309,9.022026896476746,8.6432053565979,7.373749256134033
8,EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Beatrice: I'm sorry.
Leo: I'm sorry.
","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",0.5032727718353271,118.0,0.07142857142857142,0.25,0.11111111111111112,0.0,0.0,0.0,0.07142857142857142,0.25,0.11111111111111112,9.96301555633545,9.217113335927328,8.17914989259508,7.404323061307271,6.308238297700882
9,EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Ivan: ok
Eric: ok
Ivan: ok
Eric",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,0.5931177735328674,83.0,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.0,0.0,0.0,0.09523809523809523,0.2857142857142857,0.14285714285714285,11.367463111877441,9.184892177581787,8.000385363896688,7.168188452720642,6.1326517842032695
