Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction,GradientBoosting_probability,GradientBoosting_status,LogisticRegression_prediction,LogisticRegression_probability,LogisticRegression_status,RandomForest_prediction,RandomForest_probability,RandomForest_status
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Hannah: Bye
Amanda: Bye
Hannah: Bye
Amanda: Bye",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 13.053510665893555, 'Min_20.0% Prob': 10.945892969767252, 'Min_30.0% Prob': 9.660011863708496, 'Min_40.0% Prob': 8.436366149357386, 'Min_50.0% Prob': 7.375314235687256}",0.5101535320281982,"{'rouge1': Score(precision=0.125, recall=0.25, fmeasure=0.16666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.25, fmeasure=0.16666666666666666)}",59,1.0,0.7210761452464662,Contaminated,1.0,0.7806309161845073,Contaminated,1.0,0.8774683167306346,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Eric: MACHINE!
Rob: MACHINE!
Eric:",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 9.713183403015137, 'Min_20.0% Prob': 8.241884708404541, 'Min_30.0% Prob': 7.623058478037517, 'Min_40.0% Prob': 6.86012897491455, 'Min_50.0% Prob': 6.521233797073364}",0.544773280620575,"{'rouge1': Score(precision=0.16666666666666666, recall=0.4, fmeasure=0.23529411764705882), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.4, fmeasure=0.23529411764705882)}",49,1.0,0.8881913993994174,Contaminated,1.0,0.756746017781302,Contaminated,1.0,0.8882527763001375,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Lenny: I'm going to buy the first pair
Bob: I'm going",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 9.957183202107748, 'Min_20.0% Prob': 9.197242259979248, 'Min_30.0% Prob': 7.5890514850616455, 'Min_40.0% Prob': 6.793217218839205, 'Min_50.0% Prob': 5.992253499872544}",0.6421235799789429,"{'rouge1': Score(precision=0.1724137931034483, recall=0.38461538461538464, fmeasure=0.23809523809523808), 'rouge2': Score(precision=0.03571428571428571, recall=0.08333333333333333, fmeasure=0.05), 'rougeL': Score(precision=0.13793103448275862, recall=0.3076923076923077, fmeasure=0.1904761904761905)}",122,0.0,0.43023921218363553,Clean,1.0,0.6653839738214289,Contaminated,1.0,0.6368089578354107,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Will: I love you too. 
Emma: I love you too.",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 9.978906631469727, 'Min_20.0% Prob': 8.272232294082642, 'Min_30.0% Prob': 7.200836340586345, 'Min_40.0% Prob': 6.58268678188324, 'Min_50.0% Prob': 5.321941137313843}",0.5959660410881042,"{'rouge1': Score(precision=0.18181818181818182, recall=0.2, fmeasure=0.1904761904761905), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09090909090909091, recall=0.1, fmeasure=0.09523809523809525)}",37,1.0,0.8957595811235225,Contaminated,1.0,0.6920701796412599,Contaminated,1.0,0.8758814121924589,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,", see you later
Jane: bye
Ollie: bye
Jane:",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 10.458810997009277, 'Min_20.0% Prob': 9.265636968612672, 'Min_30.0% Prob': 7.832741051912308, 'Min_40.0% Prob': 7.101285026186988, 'Min_50.0% Prob': 6.250574509302775}",0.5614569187164307,"{'rouge1': Score(precision=0.06976744186046512, recall=0.375, fmeasure=0.1176470588235294), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06976744186046512, recall=0.375, fmeasure=0.1176470588235294)}",193,1.0,0.6407405352100616,Contaminated,1.0,0.6836418716721661,Contaminated,1.0,0.7615361385943278,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Hilary: Bye
Benjamin: Bye
Hilary: Bye",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 8.441198031107584, 'Min_20.0% Prob': 7.218743214240441, 'Min_30.0% Prob': 6.300261163711548, 'Min_40.0% Prob': 5.74526244860429, 'Min_50.0% Prob': 5.242121638673725}",0.5007045269012451,"{'rouge1': Score(precision=0.05263157894736842, recall=0.5, fmeasure=0.09523809523809525), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05263157894736842, recall=0.5, fmeasure=0.09523809523809525)}",272,1.0,0.8519637888771974,Contaminated,1.0,0.5919366949884668,Contaminated,1.0,0.8896146082178689,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Max: What do u like to read?
Payton: I like to read",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 11.49552853902181, 'Min_20.0% Prob': 9.753349542617798, 'Min_30.0% Prob': 8.417790095011393, 'Min_40.0% Prob': 7.453712683457595, 'Min_50.0% Prob': 6.941525429487228}",0.5181037783622742,"{'rouge1': Score(precision=0.13333333333333333, recall=0.3333333333333333, fmeasure=0.19047619047619044), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13333333333333333, recall=0.3333333333333333, fmeasure=0.19047619047619044)}",152,1.0,0.7295925105980328,Contaminated,1.0,0.761290484432224,Contaminated,1.0,0.7211625748186519,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Rita: I'm not cut out for this level of boredom.
Tina",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 10.852672576904297, 'Min_20.0% Prob': 10.39132308959961, 'Min_30.0% Prob': 9.269891738891602, 'Min_40.0% Prob': 8.620166397094726, 'Min_50.0% Prob': 7.142126526151385}",0.6566905975341797,"{'rouge1': Score(precision=0.15384615384615385, recall=0.16666666666666666, fmeasure=0.16), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15384615384615385, recall=0.16666666666666666, fmeasure=0.16)}",46,1.0,0.9031181905858434,Contaminated,1.0,0.7958429769059112,Contaminated,1.0,0.8284316923669661,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Beatrice: I'm going to buy you a scarf.
Leo: You","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 9.525497436523438, 'Min_20.0% Prob': 8.365649700164795, 'Min_30.0% Prob': 7.225574122534858, 'Min_40.0% Prob': 6.142837703227997, 'Min_50.0% Prob': 5.18586041033268}",0.7722030878067017,"{'rouge1': Score(precision=0.21428571428571427, recall=0.5454545454545454, fmeasure=0.30769230769230765), 'rouge2': Score(precision=0.07407407407407407, recall=0.2, fmeasure=0.10810810810810811), 'rougeL': Score(precision=0.17857142857142858, recall=0.45454545454545453, fmeasure=0.25641025641025644)}",109,1.0,0.5398854168942603,Contaminated,1.0,0.5555334620355755,Contaminated,1.0,0.580877553253678,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Ivan: i dont know if i can do that
Eric: i dont know",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 10.55814266204834, 'Min_20.0% Prob': 8.400738596916199, 'Min_30.0% Prob': 7.324025710423787, 'Min_40.0% Prob': 6.458543360233307, 'Min_50.0% Prob': 5.572386113080111}",0.678872287273407,"{'rouge1': Score(precision=0.19047619047619047, recall=0.3076923076923077, fmeasure=0.23529411764705882), 'rouge2': Score(precision=0.05, recall=0.08333333333333333, fmeasure=0.0625), 'rougeL': Score(precision=0.09523809523809523, recall=0.15384615384615385, fmeasure=0.11764705882352941)}",70,0.0,0.27158098808982506,Clean,1.0,0.6180057216365358,Contaminated,0.0,0.4860619768303592,Clean
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum," him
Wanda: ok, I'll go with u
Gina: ok,",Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,"{'Min_10.0% Prob': 8.802416801452637, 'Min_20.0% Prob': 8.141008615493774, 'Min_30.0% Prob': 7.508269098069933, 'Min_40.0% Prob': 6.8749962250391645, 'Min_50.0% Prob': 6.172559976577759}",0.6026573181152344,"{'rouge1': Score(precision=0.11538461538461539, recall=0.3, fmeasure=0.16666666666666669), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.2, fmeasure=0.1111111111111111)}",112,1.0,0.6569866970201861,Contaminated,1.0,0.7085827237011472,Contaminated,1.0,0.8061741829621094,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Martin: yeah, i'll see you there.
Aggie: see you there",Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,"{'Min_10.0% Prob': 12.303365071614584, 'Min_20.0% Prob': 10.096603393554688, 'Min_30.0% Prob': 8.90632544623481, 'Min_40.0% Prob': 7.903677463531494, 'Min_50.0% Prob': 7.166561889648437}",0.5206723213195801,"{'rouge1': Score(precision=0.07407407407407407, recall=0.18181818181818182, fmeasure=0.10526315789473684), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07407407407407407, recall=0.18181818181818182, fmeasure=0.10526315789473684)}",103,1.0,0.6065856219595414,Contaminated,1.0,0.7263102240269327,Contaminated,1.0,0.8456678000875861,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,". He is a professor of theatre at the university.
Curtis: Mro�",Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,"{'Min_10.0% Prob': 12.29604196548462, 'Min_20.0% Prob': 10.97462329864502, 'Min_30.0% Prob': 9.488594889640808, 'Min_40.0% Prob': 8.319986646825617, 'Min_50.0% Prob': 7.53609299659729}",0.3599496483802795,"{'rouge1': Score(precision=0.25, recall=0.5454545454545454, fmeasure=0.34285714285714286), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.20833333333333334, recall=0.45454545454545453, fmeasure=0.28571428571428575)}",111,1.0,0.6830472724728045,Contaminated,1.0,0.8538828603987622,Contaminated,1.0,0.7010801064873268,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Tom: I'm going by train
Mary: I'm going by car
Tom: I","Ella rented a car, this makes things much faster for her and Tom. ","{'Min_10.0% Prob': 12.0352783203125, 'Min_20.0% Prob': 9.912986437479654, 'Min_30.0% Prob': 9.193357229232788, 'Min_40.0% Prob': 8.217299064000448, 'Min_50.0% Prob': 7.287943422794342}",0.4891941249370575,"{'rouge1': Score(precision=0.15384615384615385, recall=0.14285714285714285, fmeasure=0.14814814814814817), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15384615384615385, recall=0.14285714285714285, fmeasure=0.14814814814814817)}",54,1.0,0.8475795496653937,Contaminated,1.0,0.7803777585092646,Contaminated,1.0,0.9448779279934776,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Luke: i am not sure if you are still looking for someone to join netflix family",Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,"{'Min_10.0% Prob': 10.433146158854166, 'Min_20.0% Prob': 8.457231794084821, 'Min_30.0% Prob': 7.2844719019803135, 'Min_40.0% Prob': 6.416271813710531, 'Min_50.0% Prob': 5.822014883944862}",0.665866494178772,"{'rouge1': Score(precision=0.08333333333333333, recall=0.1875, fmeasure=0.11538461538461539), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05555555555555555, recall=0.125, fmeasure=0.07692307692307691)}",164,1.0,0.8171251121334635,Contaminated,1.0,0.6593315332484985,Contaminated,1.0,0.8433677505305991,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Betsy: I'm sorry.
Greg: I'm sorry.
B","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.","{'Min_10.0% Prob': 9.211942036946615, 'Min_20.0% Prob': 7.9914093017578125, 'Min_30.0% Prob': 6.901620518077504, 'Min_40.0% Prob': 6.172249952952067, 'Min_50.0% Prob': 5.576078339626915}",0.4089443981647491,"{'rouge1': Score(precision=0.058823529411764705, recall=0.2222222222222222, fmeasure=0.09302325581395347), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.058823529411764705, recall=0.2222222222222222, fmeasure=0.09302325581395347)}",141,1.0,0.8504465963119949,Contaminated,1.0,0.6071048955191835,Contaminated,1.0,0.8626187760348585,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Marshall: <file_gif>
Ethan: <file_gif>","Ethan, Toby and Marshall are making fun of Scott.","{'Min_10.0% Prob': 9.685369491577148, 'Min_20.0% Prob': 9.009470462799072, 'Min_30.0% Prob': 8.599107583363852, 'Min_40.0% Prob': 8.15562391281128, 'Min_50.0% Prob': 7.625924301147461}",0.4074279963970184,"{'rouge1': Score(precision=0.2222222222222222, recall=0.3333333333333333, fmeasure=0.26666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1111111111111111, recall=0.16666666666666666, fmeasure=0.13333333333333333)}",42,1.0,0.9054687811450194,Contaminated,1.0,0.8200765328646373,Contaminated,1.0,0.8725667237174589,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
John: I'm not the one who's supposed to be doing it! 
",Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless. ,"{'Min_10.0% Prob': 12.04895273844401, 'Min_20.0% Prob': 9.648301442464193, 'Min_30.0% Prob': 8.238776312934029, 'Min_40.0% Prob': 7.241637508074443, 'Min_50.0% Prob': 6.495593738555908}",0.3115812540054321,"{'rouge1': Score(precision=0.12, recall=0.23076923076923078, fmeasure=0.15789473684210525), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.12, recall=0.23076923076923078, fmeasure=0.15789473684210525)}",100,1.0,0.5666498431222714,Contaminated,1.0,0.711384008890404,Contaminated,1.0,0.6074588838849497,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"

",Clara is rewatching Dear White People and strongly recommends it to Neela.,"{'Min_10.0% Prob': 12.696048736572266, 'Min_20.0% Prob': 10.899659792582193, 'Min_30.0% Prob': 10.425584554672241, 'Min_40.0% Prob': 8.819596529006958, 'Min_50.0% Prob': 8.310432842799596}",0.0969450622797012,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",74,1.0,0.5835863577608535,Contaminated,1.0,0.7921194395700857,Contaminated,1.0,0.8097592486868805,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Samsum,"
Ernest: i was just wondering if you were ok
Mike: yeah,",Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's. ,"{'Min_10.0% Prob': 11.278291702270508, 'Min_20.0% Prob': 9.686705780029296, 'Min_30.0% Prob': 9.023888042994908, 'Min_40.0% Prob': 8.26679277420044, 'Min_50.0% Prob': 7.570613677685078}",0.638493001461029,"{'rouge1': Score(precision=0.125, recall=0.2727272727272727, fmeasure=0.17142857142857143), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.2727272727272727, fmeasure=0.17142857142857143)}",95,1.0,0.7601425713640803,Contaminated,1.0,0.6522121340935426,Contaminated,1.0,0.8325559624838129,Contaminated
