Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x_x,GradientBoosting_probability_x_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x_x,LogisticRegression_probability_x_x_x,LogisticRegression_status,RandomForest_prediction_x_x_x,RandomForest_probability_x_x_x,RandomForest_status,GradientBoosting_prediction_y_x_x,GradientBoosting_probability_y_x_x,GradientBoosting_label_x_x,LogisticRegression_prediction_y_x_x,LogisticRegression_probability_y_x_x,LogisticRegression_label_x_x,RandomForest_prediction_y_x_x,RandomForest_probability_y_x_x,RandomForest_label_x_x,GradientBoosting_prediction_x_y_x,GradientBoosting_probability_x_y_x,GradientBoosting_label_y_x,GradientBoosting_label_y.1_x,LogisticRegression_prediction_x_y_x,LogisticRegression_probability_x_y_x,LogisticRegression_label_y_x,LogisticRegression_label_y.1_x,RandomForest_prediction_x_y_x,RandomForest_probability_x_y_x,RandomForest_label_y_x,RandomForest_label_y.1_x,GradientBoosting_prediction_y_y_x,GradientBoosting_probability_y_y_x,GradientBoosting_label_y.2_x,GradientBoosting_label_y.3_x,LogisticRegression_prediction_y_y_x,LogisticRegression_probability_y_y_x,LogisticRegression_label_y.2_x,LogisticRegression_label_y.3_x,RandomForest_prediction_y_y_x,RandomForest_probability_y_y_x,RandomForest_label_y.2_x,RandomForest_label_y.3_x,GradientBoosting_prediction_x,GradientBoosting_probability_x,LogisticRegression_prediction_x,LogisticRegression_probability_x,RandomForest_prediction_x,RandomForest_probability_x,GradientBoosting_prediction_x_x_y,GradientBoosting_probability_x_x_y,GradientBoosting_label,LogisticRegression_prediction_x_x_y,LogisticRegression_probability_x_x_y,LogisticRegression_label,RandomForest_prediction_x_x_y,RandomForest_probability_x_x_y,RandomForest_label,GradientBoosting_prediction_y_x_y,GradientBoosting_probability_y_x_y,GradientBoosting_label_x_y,LogisticRegression_prediction_y_x_y,LogisticRegression_probability_y_x_y,LogisticRegression_label_x_y,RandomForest_prediction_y_x_y,RandomForest_probability_y_x_y,RandomForest_label_x_y,GradientBoosting_prediction_x_y_y,GradientBoosting_probability_x_y_y,GradientBoosting_label_y_y,GradientBoosting_label_y.1_y,LogisticRegression_prediction_x_y_y,LogisticRegression_probability_x_y_y,LogisticRegression_label_y_y,LogisticRegression_label_y.1_y,RandomForest_prediction_x_y_y,RandomForest_probability_x_y_y,RandomForest_label_y_y,RandomForest_label_y.1_y,GradientBoosting_prediction_y_y_y,GradientBoosting_probability_y_y_y,GradientBoosting_label_y.2_y,GradientBoosting_label_y.3_y,LogisticRegression_prediction_y_y_y,LogisticRegression_probability_y_y_y,LogisticRegression_label_y.2_y,LogisticRegression_label_y.3_y,RandomForest_prediction_y_y_y,RandomForest_probability_y_y_y,RandomForest_label_y.2_y,RandomForest_label_y.3_y,GradientBoosting_prediction_y,GradientBoosting_probability_y,LogisticRegression_prediction_y,LogisticRegression_probability_y,RandomForest_prediction_y,RandomForest_probability_y
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Samsum,"assistant
Hannah asks Amanda for Betty's number, but Amanda can't find it.",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 14.023460388183594, 'Min_20.0% Prob': 11.497305234273275, 'Min_30.0% Prob': 10.309018516540528, 'Min_40.0% Prob': 9.364207812717982, 'Min_50.0% Prob': 8.29967106713189}",0.8355876803398132,"{'rouge1': Score(precision=0.5, recall=0.5714285714285714, fmeasure=0.5333333333333333), 'rouge2': Score(precision=0.26666666666666666, recall=0.3076923076923077, fmeasure=0.28571428571428575), 'rougeL': Score(precision=0.5, recall=0.5714285714285714, fmeasure=0.5333333333333333)}",59,0,0.2146087427100091,Clean,1,0.7084025315881911,Contaminated,0,0.1732636342415754,Clean,0,0.2146087427100091,Not Contaminated,1,0.7084025315881911,Likely Contaminated,0,0.1732636342415754,Not Contaminated,0,0.2146087427100091,Not Contaminated,Not Contaminated,1,0.7084025315881911,Likely Contaminated,Likely Contaminated,0,0.1732636342415754,Not Contaminated,Not Contaminated,0,0.2146087427100091,Not Contaminated,Not Contaminated,1,0.7084025315881911,Likely Contaminated,Likely Contaminated,0,0.1732636342415754,Not Contaminated,Not Contaminated,0,0.2146087427100091,1,0.7084025315881911,0,0.1732636342415754,0,0.2146087427100091,Not Contaminated,1,0.7084025315881911,Likely Contaminated,0,0.1732636342415754,Not Contaminated,0,0.2146087427100091,Not Contaminated,1,0.7084025315881911,Likely Contaminated,0,0.1732636342415754,Not Contaminated,0,0.2146087427100091,Not Contaminated,Not Contaminated,1,0.7084025315881911,Likely Contaminated,Likely Contaminated,0,0.1732636342415754,Not Contaminated,Not Contaminated,0,0.2146087427100091,Not Contaminated,Not Contaminated,1,0.7084025315881911,Likely Contaminated,Likely Contaminated,0,0.1732636342415754,Not Contaminated,Not Contaminated,0,0.21460874271000918,1,0.7084025315881911,0,0.17326363424157548
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Samsum,"assistant
Eric and Rob are discussing a stand-up comedy routine featuring a machine.",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 11.822612762451172, 'Min_20.0% Prob': 10.221063613891602, 'Min_30.0% Prob': 9.766736030578613, 'Min_40.0% Prob': 8.810057799021402, 'Min_50.0% Prob': 8.281100000653948}",0.6829922795295715,"{'rouge1': Score(precision=0.5833333333333334, recall=0.5, fmeasure=0.5384615384615384), 'rouge2': Score(precision=0.45454545454545453, recall=0.38461538461538464, fmeasure=0.41666666666666663), 'rougeL': Score(precision=0.5833333333333334, recall=0.5, fmeasure=0.5384615384615384)}",50,0,0.1757603870179011,Clean,0,0.4872850431780668,Clean,0,0.1290740946145357,Clean,0,0.1757603870179011,Not Contaminated,0,0.4872850431780668,Not Contaminated,0,0.1290740946145357,Not Contaminated,0,0.1757603870179011,Not Contaminated,Not Contaminated,0,0.4872850431780668,Not Contaminated,Not Contaminated,0,0.1290740946145357,Not Contaminated,Not Contaminated,0,0.1757603870179011,Not Contaminated,Not Contaminated,0,0.4872850431780668,Not Contaminated,Not Contaminated,0,0.1290740946145357,Not Contaminated,Not Contaminated,0,0.1757603870179011,0,0.4872850431780668,0,0.1290740946145357,0,0.1757603870179011,Not Contaminated,0,0.4872850431780668,Not Contaminated,0,0.1290740946145357,Not Contaminated,0,0.1757603870179011,Not Contaminated,0,0.4872850431780668,Not Contaminated,0,0.1290740946145357,Not Contaminated,0,0.1757603870179011,Not Contaminated,Not Contaminated,0,0.4872850431780668,Not Contaminated,Not Contaminated,0,0.1290740946145357,Not Contaminated,Not Contaminated,0,0.1757603870179011,Not Contaminated,Not Contaminated,0,0.4872850431780668,Not Contaminated,Not Contaminated,0,0.1290740946145357,Not Contaminated,Not Contaminated,0,0.17576038701790114,0,0.4872850431780668,0,0.12907409461453578
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Samsum,"assistant
Lenny is asking Bob for help choosing between three pairs of trousers. Bob suggests",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 9.683990160624186, 'Min_20.0% Prob': 8.812736590703329, 'Min_30.0% Prob': 7.406621599197388, 'Min_40.0% Prob': 6.819066597865178, 'Min_50.0% Prob': 5.936944989597096}",0.7400963306427002,"{'rouge1': Score(precision=0.1724137931034483, recall=0.3333333333333333, fmeasure=0.22727272727272724), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10344827586206896, recall=0.2, fmeasure=0.13636363636363635)}",107,0,0.4209232215094236,Clean,1,0.7429109386494869,Contaminated,0,0.3534117271016854,Clean,0,0.4209232215094236,Not Contaminated,1,0.7429109386494869,Likely Contaminated,0,0.3534117271016854,Not Contaminated,0,0.4209232215094236,Not Contaminated,Not Contaminated,1,0.7429109386494869,Likely Contaminated,Likely Contaminated,0,0.3534117271016854,Not Contaminated,Not Contaminated,0,0.4209232215094236,Not Contaminated,Not Contaminated,1,0.7429109386494869,Likely Contaminated,Likely Contaminated,0,0.3534117271016854,Not Contaminated,Not Contaminated,0,0.4209232215094236,1,0.7429109386494869,0,0.3534117271016854,0,0.4209232215094236,Not Contaminated,1,0.7429109386494869,Likely Contaminated,0,0.3534117271016854,Not Contaminated,0,0.4209232215094236,Not Contaminated,1,0.7429109386494869,Likely Contaminated,0,0.3534117271016854,Not Contaminated,0,0.4209232215094236,Not Contaminated,Not Contaminated,1,0.7429109386494869,Likely Contaminated,Likely Contaminated,0,0.3534117271016854,Not Contaminated,Not Contaminated,0,0.4209232215094236,Not Contaminated,Not Contaminated,1,0.7429109386494869,Likely Contaminated,Likely Contaminated,0,0.3534117271016854,Not Contaminated,Not Contaminated,0,0.4209232215094236,1,0.7429109386494869,0,0.35341172710168545
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Samsum,"assistant
Emma is not feeling well and doesn't want to cook for dinner. She",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 8.137989044189453, 'Min_20.0% Prob': 7.647880792617798, 'Min_30.0% Prob': 7.200923760732015, 'Min_40.0% Prob': 6.686928868293762, 'Min_50.0% Prob': 5.7272114753723145}",0.5616849660873413,"{'rouge1': Score(precision=0.2727272727272727, recall=0.2, fmeasure=0.23076923076923075), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2727272727272727, recall=0.2, fmeasure=0.23076923076923075)}",55,1,0.5617558024230298,Contaminated,1,0.7783931561152302,Contaminated,0,0.3357076068430812,Clean,1,0.5617558024230298,Likely Contaminated,1,0.7783931561152302,Likely Contaminated,0,0.3357076068430812,Not Contaminated,1,0.5617558024230298,Likely Contaminated,Likely Contaminated,1,0.7783931561152302,Likely Contaminated,Likely Contaminated,0,0.3357076068430812,Not Contaminated,Not Contaminated,1,0.5617558024230298,Likely Contaminated,Likely Contaminated,1,0.7783931561152302,Likely Contaminated,Likely Contaminated,0,0.3357076068430812,Not Contaminated,Not Contaminated,1,0.5617558024230298,1,0.7783931561152302,0,0.3357076068430812,1,0.5617558024230298,Likely Contaminated,1,0.7783931561152302,Likely Contaminated,0,0.3357076068430812,Not Contaminated,1,0.5617558024230298,Likely Contaminated,1,0.7783931561152302,Likely Contaminated,0,0.3357076068430812,Not Contaminated,1,0.5617558024230298,Likely Contaminated,Likely Contaminated,1,0.7783931561152302,Likely Contaminated,Likely Contaminated,0,0.3357076068430812,Not Contaminated,Not Contaminated,1,0.5617558024230298,Likely Contaminated,Likely Contaminated,1,0.7783931561152302,Likely Contaminated,Likely Contaminated,0,0.3357076068430812,Not Contaminated,Not Contaminated,1,0.5617558024230298,1,0.7783931561152302,0,0.33570760684308126
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Samsum,"assistant
Ollie and Jane are planning to meet for dinner on the 19",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 11.091097450256347, 'Min_20.0% Prob': 8.851000048897482, 'Min_30.0% Prob': 7.63092240691185, 'Min_40.0% Prob': 6.630923650481484, 'Min_50.0% Prob': 5.910349743706839}",0.673712432384491,"{'rouge1': Score(precision=0.13953488372093023, recall=0.46153846153846156, fmeasure=0.21428571428571427), 'rouge2': Score(precision=0.07142857142857142, recall=0.25, fmeasure=0.11111111111111112), 'rougeL': Score(precision=0.11627906976744186, recall=0.38461538461538464, fmeasure=0.17857142857142855)}",174,0,0.1506832729996263,Clean,0,0.4958668581118202,Clean,0,0.1543401858261915,Clean,0,0.1506832729996263,Not Contaminated,0,0.4958668581118202,Not Contaminated,0,0.1543401858261915,Not Contaminated,0,0.1506832729996263,Not Contaminated,Not Contaminated,0,0.4958668581118202,Not Contaminated,Not Contaminated,0,0.1543401858261915,Not Contaminated,Not Contaminated,0,0.1506832729996263,Not Contaminated,Not Contaminated,0,0.4958668581118202,Not Contaminated,Not Contaminated,0,0.1543401858261915,Not Contaminated,Not Contaminated,0,0.1506832729996263,0,0.4958668581118202,0,0.1543401858261915,0,0.1506832729996263,Not Contaminated,0,0.4958668581118202,Not Contaminated,0,0.1543401858261915,Not Contaminated,0,0.1506832729996263,Not Contaminated,0,0.4958668581118202,Not Contaminated,0,0.1543401858261915,Not Contaminated,0,0.1506832729996263,Not Contaminated,Not Contaminated,0,0.4958668581118202,Not Contaminated,Not Contaminated,0,0.1543401858261915,Not Contaminated,Not Contaminated,0,0.1506832729996263,Not Contaminated,Not Contaminated,0,0.4958668581118202,Not Contaminated,Not Contaminated,0,0.1543401858261915,Not Contaminated,Not Contaminated,0,0.15068327299962633,0,0.4958668581118202,0,0.15434018582619155
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Samsum,"assistant
Benjamin, Hilary, and Elliot are discussing plans for the day.",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 8.827569723129272, 'Min_20.0% Prob': 7.719446879166823, 'Min_30.0% Prob': 6.732075357437134, 'Min_40.0% Prob': 6.015291629014192, 'Min_50.0% Prob': 5.462109327316284}",0.6828070282936096,"{'rouge1': Score(precision=0.10526315789473684, recall=0.5454545454545454, fmeasure=0.1764705882352941), 'rouge2': Score(precision=0.03571428571428571, recall=0.2, fmeasure=0.06060606060606061), 'rougeL': Score(precision=0.10526315789473684, recall=0.5454545454545454, fmeasure=0.1764705882352941)}",248,0,0.0813993207241634,Clean,1,0.5191130103274224,Contaminated,0,0.071104229104229,Clean,0,0.0813993207241634,Not Contaminated,1,0.5191130103274224,Likely Contaminated,0,0.071104229104229,Not Contaminated,0,0.0813993207241634,Not Contaminated,Not Contaminated,1,0.5191130103274224,Likely Contaminated,Likely Contaminated,0,0.071104229104229,Not Contaminated,Not Contaminated,0,0.0813993207241634,Not Contaminated,Not Contaminated,1,0.5191130103274224,Likely Contaminated,Likely Contaminated,0,0.071104229104229,Not Contaminated,Not Contaminated,0,0.0813993207241634,1,0.5191130103274224,0,0.071104229104229,0,0.0813993207241634,Not Contaminated,1,0.5191130103274224,Likely Contaminated,0,0.071104229104229,Not Contaminated,0,0.0813993207241634,Not Contaminated,1,0.5191130103274224,Likely Contaminated,0,0.071104229104229,Not Contaminated,0,0.0813993207241634,Not Contaminated,Not Contaminated,1,0.5191130103274224,Likely Contaminated,Likely Contaminated,0,0.071104229104229,Not Contaminated,Not Contaminated,0,0.0813993207241634,Not Contaminated,Not Contaminated,1,0.5191130103274224,Likely Contaminated,Likely Contaminated,0,0.071104229104229,Not Contaminated,Not Contaminated,0,0.08139932072416348,1,0.5191130103274224,0,0.07110422910422909
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Samsum,"assistant
Max and Payton are discussing where to buy clothes and books. Max asks Pay",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 11.728791236877441, 'Min_20.0% Prob': 9.543204239436559, 'Min_30.0% Prob': 8.431670713424683, 'Min_40.0% Prob': 7.392116512571063, 'Min_50.0% Prob': 6.893217030693503}",0.6878974437713623,"{'rouge1': Score(precision=0.23333333333333334, recall=0.4666666666666667, fmeasure=0.31111111111111117), 'rouge2': Score(precision=0.10344827586206896, recall=0.21428571428571427, fmeasure=0.1395348837209302), 'rougeL': Score(precision=0.23333333333333334, recall=0.4666666666666667, fmeasure=0.31111111111111117)}",132,1,0.5259933770790213,Contaminated,1,0.6229764567707852,Contaminated,0,0.3046133896152591,Clean,1,0.5259933770790213,Likely Contaminated,1,0.6229764567707852,Likely Contaminated,0,0.3046133896152591,Not Contaminated,1,0.5259933770790213,Likely Contaminated,Likely Contaminated,1,0.6229764567707852,Likely Contaminated,Likely Contaminated,0,0.3046133896152591,Not Contaminated,Not Contaminated,1,0.5259933770790213,Likely Contaminated,Likely Contaminated,1,0.6229764567707852,Likely Contaminated,Likely Contaminated,0,0.3046133896152591,Not Contaminated,Not Contaminated,1,0.5259933770790213,1,0.6229764567707852,0,0.3046133896152591,1,0.5259933770790213,Likely Contaminated,1,0.6229764567707852,Likely Contaminated,0,0.3046133896152591,Not Contaminated,1,0.5259933770790213,Likely Contaminated,1,0.6229764567707852,Likely Contaminated,0,0.3046133896152591,Not Contaminated,1,0.5259933770790213,Likely Contaminated,Likely Contaminated,1,0.6229764567707852,Likely Contaminated,Likely Contaminated,0,0.3046133896152591,Not Contaminated,Not Contaminated,1,0.5259933770790213,Likely Contaminated,Likely Contaminated,1,0.6229764567707852,Likely Contaminated,Likely Contaminated,0,0.3046133896152591,Not Contaminated,Not Contaminated,1,0.5259933770790213,1,0.6229764567707852,0,0.30461338961525913
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Samsum,"assistant
Rita and Tina are discussing their boredom at work. Rita is falling",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 15.637810707092285, 'Min_20.0% Prob': 11.514260609944662, 'Min_30.0% Prob': 10.156014442443848, 'Min_40.0% Prob': 8.360319217046102, 'Min_50.0% Prob': 7.268942505121231}",0.8138548731803894,"{'rouge1': Score(precision=0.46153846153846156, recall=0.46153846153846156, fmeasure=0.46153846153846156), 'rouge2': Score(precision=0.3333333333333333, recall=0.3333333333333333, fmeasure=0.3333333333333333), 'rougeL': Score(precision=0.46153846153846156, recall=0.46153846153846156, fmeasure=0.46153846153846156)}",51,0,0.1434199289154739,Clean,1,0.5087686008402494,Contaminated,0,0.2324140908111496,Clean,0,0.1434199289154739,Not Contaminated,1,0.5087686008402494,Likely Contaminated,0,0.2324140908111496,Not Contaminated,0,0.1434199289154739,Not Contaminated,Not Contaminated,1,0.5087686008402494,Likely Contaminated,Likely Contaminated,0,0.2324140908111496,Not Contaminated,Not Contaminated,0,0.1434199289154739,Not Contaminated,Not Contaminated,1,0.5087686008402494,Likely Contaminated,Likely Contaminated,0,0.2324140908111496,Not Contaminated,Not Contaminated,0,0.1434199289154739,1,0.5087686008402494,0,0.2324140908111496,0,0.1434199289154739,Not Contaminated,1,0.5087686008402494,Likely Contaminated,0,0.2324140908111496,Not Contaminated,0,0.1434199289154739,Not Contaminated,1,0.5087686008402494,Likely Contaminated,0,0.2324140908111496,Not Contaminated,0,0.1434199289154739,Not Contaminated,Not Contaminated,1,0.5087686008402494,Likely Contaminated,Likely Contaminated,0,0.2324140908111496,Not Contaminated,Not Contaminated,0,0.1434199289154739,Not Contaminated,Not Contaminated,1,0.5087686008402494,Likely Contaminated,Likely Contaminated,0,0.2324140908111496,Not Contaminated,Not Contaminated,0,0.14341992891547392,1,0.5087686008402494,0,0.23241409081114967
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Samsum,"assistant
Beatrice is shopping in town and finds nice scarfs at a nearby shop","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 13.069052378336588, 'Min_20.0% Prob': 9.88705199105399, 'Min_30.0% Prob': 8.62829761505127, 'Min_40.0% Prob': 7.038677266665867, 'Min_50.0% Prob': 6.228030555388507}",0.546433687210083,"{'rouge1': Score(precision=0.14285714285714285, recall=0.2857142857142857, fmeasure=0.19047619047619047), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10714285714285714, recall=0.21428571428571427, fmeasure=0.14285714285714285)}",101,0,0.3987087201993903,Clean,1,0.7288286090792766,Contaminated,0,0.2739489892874877,Clean,0,0.3987087201993903,Not Contaminated,1,0.7288286090792766,Likely Contaminated,0,0.2739489892874877,Not Contaminated,0,0.3987087201993903,Not Contaminated,Not Contaminated,1,0.7288286090792766,Likely Contaminated,Likely Contaminated,0,0.2739489892874877,Not Contaminated,Not Contaminated,0,0.3987087201993903,Not Contaminated,Not Contaminated,1,0.7288286090792766,Likely Contaminated,Likely Contaminated,0,0.2739489892874877,Not Contaminated,Not Contaminated,0,0.3987087201993903,1,0.7288286090792766,0,0.2739489892874877,0,0.3987087201993903,Not Contaminated,1,0.7288286090792766,Likely Contaminated,0,0.2739489892874877,Not Contaminated,0,0.3987087201993903,Not Contaminated,1,0.7288286090792766,Likely Contaminated,0,0.2739489892874877,Not Contaminated,0,0.3987087201993903,Not Contaminated,Not Contaminated,1,0.7288286090792766,Likely Contaminated,Likely Contaminated,0,0.2739489892874877,Not Contaminated,Not Contaminated,0,0.3987087201993903,Not Contaminated,Not Contaminated,1,0.7288286090792766,Likely Contaminated,Likely Contaminated,0,0.2739489892874877,Not Contaminated,Not Contaminated,0,0.3987087201993903,1,0.7288286090792766,0,0.2739489892874877
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Samsum,"assistant
Ivan and Eric are discussing Ivan's brother's wedding. Eric is hesitant to",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 10.219624519348145, 'Min_20.0% Prob': 8.921581745147705, 'Min_30.0% Prob': 8.066327810287476, 'Min_40.0% Prob': 6.703277879291111, 'Min_50.0% Prob': 6.0827788873152295}",0.8401587605476379,"{'rouge1': Score(precision=0.38095238095238093, recall=0.5333333333333333, fmeasure=0.4444444444444444), 'rouge2': Score(precision=0.2, recall=0.2857142857142857, fmeasure=0.23529411764705882), 'rougeL': Score(precision=0.3333333333333333, recall=0.4666666666666667, fmeasure=0.3888888888888889)}",55,0,0.1072581751082925,Clean,1,0.5373504221620282,Contaminated,0,0.0761213023088022,Clean,0,0.1072581751082925,Not Contaminated,1,0.5373504221620282,Likely Contaminated,0,0.0761213023088022,Not Contaminated,0,0.1072581751082925,Not Contaminated,Not Contaminated,1,0.5373504221620282,Likely Contaminated,Likely Contaminated,0,0.0761213023088022,Not Contaminated,Not Contaminated,0,0.1072581751082925,Not Contaminated,Not Contaminated,1,0.5373504221620282,Likely Contaminated,Likely Contaminated,0,0.0761213023088022,Not Contaminated,Not Contaminated,0,0.1072581751082925,1,0.5373504221620282,0,0.0761213023088022,0,0.1072581751082925,Not Contaminated,1,0.5373504221620282,Likely Contaminated,0,0.0761213023088022,Not Contaminated,0,0.1072581751082925,Not Contaminated,1,0.5373504221620282,Likely Contaminated,0,0.0761213023088022,Not Contaminated,0,0.1072581751082925,Not Contaminated,Not Contaminated,1,0.5373504221620282,Likely Contaminated,Likely Contaminated,0,0.0761213023088022,Not Contaminated,Not Contaminated,0,0.1072581751082925,Not Contaminated,Not Contaminated,1,0.5373504221620282,Likely Contaminated,Likely Contaminated,0,0.0761213023088022,Not Contaminated,Not Contaminated,0,0.10725817510829255,1,0.5373504221620282,0,0.07612130230880229
