"Model","Task_Prefix","Dataset_Name","Model_Responses","Gold_Labels","Min_K_Responses","cos_sim_scores","rouge_sim_scores","levenshtein_distance"
"microsoft/phi-2","Summarize the following text: ","Samsum","

<url_end>

Topic: <Relationship and Social>

Rew","Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.","{'Min_10.0% Prob': 15.2890625, 'Min_20.0% Prob': 11.481770833333334, 'Min_30.0% Prob': 9.21796875, 'Min_40.0% Prob': 7.994419642857143, 'Min_50.0% Prob': 6.994140625}","0.082419566810131","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}","67"
"microsoft/phi-2","Summarize the following text: ","Samsum","
Eric: TTYL!
Rob: TTYL!
Eric:","Eric and Rob are going to watch a stand-up on youtube.","{'Min_10.0% Prob': 10.5390625, 'Min_20.0% Prob': 9.9453125, 'Min_30.0% Prob': 9.0625, 'Min_40.0% Prob': 7.8703125, 'Min_50.0% Prob': 7.40625}","0.5196699500083923","{'rouge1': Score(precision=0.16666666666666666, recall=0.4, fmeasure=0.23529411764705882), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.4, fmeasure=0.23529411764705882)}","49"
"microsoft/phi-2","Summarize the following text: ","Samsum","
Lenny: <file_photo>
Lenny: <file_photo>","Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.","{'Min_10.0% Prob': 9.359375, 'Min_20.0% Prob': 8.026692708333334, 'Min_30.0% Prob': 6.97890625, 'Min_40.0% Prob': 6.312049278846154, 'Min_50.0% Prob': 5.458524816176471}","0.3477970659732818","{'rouge1': Score(precision=0.06896551724137931, recall=0.3333333333333333, fmeasure=0.1142857142857143), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06896551724137931, recall=0.3333333333333333, fmeasure=0.1142857142857143)}","127"
"microsoft/phi-2","Summarize the following text: ","Samsum","

A: Hey, what do you want for dinner tonight?
B:","Emma will be home soon and she will let Will know.","{'Min_10.0% Prob': 12.9921875, 'Min_20.0% Prob': 10.42578125, 'Min_30.0% Prob': 9.447916666666666, 'Min_40.0% Prob': 8.447265625, 'Min_50.0% Prob': 6.828776041666667}","0.1699525415897369","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}","41"
"microsoft/phi-2","Summarize the following text: ","Samsum",", see you soon!
Jane: bye!
Ollie: bye!","Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.","{'Min_10.0% Prob': 10.8625, 'Min_20.0% Prob': 9.47265625, 'Min_30.0% Prob': 7.981201171875, 'Min_40.0% Prob': 7.190476190476191, 'Min_50.0% Prob': 6.447482638888889}","0.577222466468811","{'rouge1': Score(precision=0.046511627906976744, recall=0.2857142857142857, fmeasure=0.08), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.046511627906976744, recall=0.2857142857142857, fmeasure=0.08)}","196"
"microsoft/phi-2","Summarize the following text: ","Samsum","
Hilary: See you then xx
Benjamin: See you then xx","Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.","{'Min_10.0% Prob': 8.379557291666666, 'Min_20.0% Prob': 7.336538461538462, 'Min_30.0% Prob': 6.479296875, 'Min_40.0% Prob': 5.8867938701923075, 'Min_50.0% Prob': 5.377308238636363}","0.4509344100952148","{'rouge1': Score(precision=0.03508771929824561, recall=0.2, fmeasure=0.05970149253731343), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.03508771929824561, recall=0.2, fmeasure=0.05970149253731343)}","264"
"microsoft/phi-2","Summarize the following text: ","Samsum","
Max: What's your favorite book?
Payton: I don't know,","Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.","{'Min_10.0% Prob': 11.317708333333334, 'Min_20.0% Prob': 9.774088541666666, 'Min_30.0% Prob': 8.59982638888889, 'Min_40.0% Prob': 7.6640625, 'Min_50.0% Prob': 7.007080078125}","0.5030525922775269","{'rouge1': Score(precision=0.1, recall=0.2727272727272727, fmeasure=0.14634146341463417), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06666666666666667, recall=0.18181818181818182, fmeasure=0.0975609756097561)}","160"
"microsoft/phi-2","Summarize the following text: ","Samsum","
Rita: I'm so bloody tired. Falling asleep at work. :-(
","Rita and Tina are bored at work and have still 4 hours left.","{'Min_10.0% Prob': 13.5546875, 'Min_20.0% Prob': 11.375, 'Min_30.0% Prob': 9.60546875, 'Min_40.0% Prob': 9.08125, 'Min_50.0% Prob': 7.891183035714286}","0.6068027019500732","{'rouge1': Score(precision=0.23076923076923078, recall=0.3, fmeasure=0.2608695652173913), 'rouge2': Score(precision=0.08333333333333333, recall=0.1111111111111111, fmeasure=0.09523809523809525), 'rougeL': Score(precision=0.23076923076923078, recall=0.3, fmeasure=0.2608695652173913)}","46"
"microsoft/phi-2","Summarize the following text: ","Samsum"," I'm not going to die.
Beatrice: I'm not going to die either.","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 10.591145833333334, 'Min_20.0% Prob': 8.498046875, 'Min_30.0% Prob': 7.097439236111111, 'Min_40.0% Prob': 6.02001953125, 'Min_50.0% Prob': 4.97540283203125}","0.3535342514514923","{'rouge1': Score(precision=0.07142857142857142, recall=0.14285714285714285, fmeasure=0.09523809523809523), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07142857142857142, recall=0.14285714285714285, fmeasure=0.09523809523809523)}","109"
"microsoft/phi-2","Summarize the following text: ","Samsum",", i will
Ivan: good
Eric: yeah
Ivan: so","Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.","{'Min_10.0% Prob': 11.76171875, 'Min_20.0% Prob': 9.37890625, 'Min_30.0% Prob': 8.0234375, 'Min_40.0% Prob': 7.140625, 'Min_50.0% Prob': 6.1315696022727275}","0.6571968793869019","{'rouge1': Score(precision=0.19047619047619047, recall=0.5, fmeasure=0.27586206896551724), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09523809523809523, recall=0.25, fmeasure=0.13793103448275862)}","77"
