"Model","Task_Prefix","Dataset_Name","Model_Responses","Gold_Labels","Min_K_Responses","cos_sim_scores","rouge_sim_scores","levenshtein_distance"
"Qwen/Qwen2.5-1.5B-Instruct","Summarize the following text: ","Samsum","system
Summary:
In this dialogue, Hannah asks Amanda for Betty's phone number but is unable","Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.","{'Min_10.0% Prob': 17.402841567993164, 'Min_20.0% Prob': 12.111577669779459, 'Min_30.0% Prob': 9.979742622375488, 'Min_40.0% Prob': 8.554050104958671, 'Min_50.0% Prob': 7.372491465674506}","0.7546767592430115","{'rouge1': Score(precision=0.375, recall=0.375, fmeasure=0.375), 'rouge2': Score(precision=0.13333333333333333, recall=0.13333333333333333, fmeasure=0.13333333333333333), 'rougeL': Score(precision=0.3125, recall=0.3125, fmeasure=0.3125)}","74"
"Qwen/Qwen2.5-1.5B-Instruct","Summarize the following text: ","Samsum","system
The conversation is between two friends, Eric and Rob, discussing an American comedian named Machine","Eric and Rob are going to watch a stand-up on youtube.","{'Min_10.0% Prob': 13.811589241027832, 'Min_20.0% Prob': 12.500158786773682, 'Min_30.0% Prob': 11.660249710083008, 'Min_40.0% Prob': 10.112818002700806, 'Min_50.0% Prob': 8.198556661605835}","0.5492880940437317","{'rouge1': Score(precision=0.25, recall=0.1875, fmeasure=0.21428571428571427), 'rouge2': Score(precision=0.18181818181818182, recall=0.13333333333333333, fmeasure=0.15384615384615383), 'rougeL': Score(precision=0.25, recall=0.1875, fmeasure=0.21428571428571427)}","84"
"Qwen/Qwen2.5-1.5B-Instruct","Summarize the following text: ","Samsum","system
In this dialogue, Lenny asks Bob for advice on picking clothes. Bob suggests sending","Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.","{'Min_10.0% Prob': 11.146664301554361, 'Min_20.0% Prob': 9.792130947113037, 'Min_30.0% Prob': 8.27309832572937, 'Min_40.0% Prob': 7.4791675347548265, 'Min_50.0% Prob': 6.5055043977849625}","0.5965336561203003","{'rouge1': Score(precision=0.20689655172413793, recall=0.4, fmeasure=0.2727272727272727), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13793103448275862, recall=0.26666666666666666, fmeasure=0.18181818181818182)}","104"
"Qwen/Qwen2.5-1.5B-Instruct","Summarize the following text: ","Samsum","system
This is an exchange between Will and Emma where they discuss dinner plans. Emma initially seems","Emma will be home soon and she will let Will know.","{'Min_10.0% Prob': 9.807169914245605, 'Min_20.0% Prob': 9.593080997467041, 'Min_30.0% Prob': 8.65977176030477, 'Min_40.0% Prob': 7.925674080848694, 'Min_50.0% Prob': 6.971083354949951}","0.6761821508407593","{'rouge1': Score(precision=0.2727272727272727, recall=0.17647058823529413, fmeasure=0.21428571428571427), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.18181818181818182, recall=0.11764705882352941, fmeasure=0.14285714285714285)}","78"
"Qwen/Qwen2.5-1.5B-Instruct","Summarize the following text: ","Samsum","system
Here's a summary of the conversation:

Ollie invites Jane to dinner on either","Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.","{'Min_10.0% Prob': 11.93930435180664, 'Min_20.0% Prob': 9.682260426607998, 'Min_30.0% Prob': 8.38099953532219, 'Min_40.0% Prob': 7.342748533595692, 'Min_50.0% Prob': 6.580764223028113}","0.6253519654273987","{'rouge1': Score(precision=0.09302325581395349, recall=0.26666666666666666, fmeasure=0.13793103448275862), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06976744186046512, recall=0.2, fmeasure=0.10344827586206895)}","169"
"Qwen/Qwen2.5-1.5B-Instruct","Summarize the following text: ","Samsum","header
Summary:
In summary, Benjamin suggests taking a nap during lunchtime as he feels very","Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.","{'Min_10.0% Prob': 10.769712607065836, 'Min_20.0% Prob': 8.96843932225154, 'Min_30.0% Prob': 7.582339417934418, 'Min_40.0% Prob': 6.5617893095369695, 'Min_50.0% Prob': 5.852196455001831}","0.4378514587879181","{'rouge1': Score(precision=0.08771929824561403, recall=0.3333333333333333, fmeasure=0.1388888888888889), 'rouge2': Score(precision=0.03571428571428571, recall=0.14285714285714285, fmeasure=0.05714285714285715), 'rougeL': Score(precision=0.07017543859649122, recall=0.26666666666666666, fmeasure=0.11111111111111112)}","244"
"Qwen/Qwen2.5-1.5B-Instruct","Summarize the following text: ","Samsum","system
Payton recommends several clothing websites for Max to consider purchasing from. She mentions that she","Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.","{'Min_10.0% Prob': 11.26557985941569, 'Min_20.0% Prob': 9.603557177952357, 'Min_30.0% Prob': 8.558366394042968, 'Min_40.0% Prob': 7.458318914685931, 'Min_50.0% Prob': 6.9357467258677765}","0.6693859100341797","{'rouge1': Score(precision=0.13333333333333333, recall=0.25, fmeasure=0.1739130434782609), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06666666666666667, recall=0.125, fmeasure=0.08695652173913045)}","142"
"Qwen/Qwen2.5-1.5B-Instruct","Summarize the following text: ","Samsum","system
Summary:

Rita is feeling extremely tired due to long working hours and finds herself falling","Rita and Tina are bored at work and have still 4 hours left.","{'Min_10.0% Prob': 10.923921585083008, 'Min_20.0% Prob': 9.256755510965982, 'Min_30.0% Prob': 8.518776416778564, 'Min_40.0% Prob': 7.422754446665446, 'Min_50.0% Prob': 7.0138236454554965}","0.549720287322998","{'rouge1': Score(precision=0.3076923076923077, recall=0.25, fmeasure=0.27586206896551724), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.23076923076923078, recall=0.1875, fmeasure=0.20689655172413793)}","71"
"Qwen/Qwen2.5-1.5B-Instruct","Summarize the following text: ","Samsum","system
In this dialogue, Beatrice is shopping at a store and mentions that they have nice","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 11.494009653727213, 'Min_20.0% Prob': 9.213995854059855, 'Min_30.0% Prob': 8.034005377027723, 'Min_40.0% Prob': 7.0689078370730085, 'Min_50.0% Prob': 5.856993913650513}","0.4111925363540649","{'rouge1': Score(precision=0.10714285714285714, recall=0.1875, fmeasure=0.13636363636363635), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10714285714285714, recall=0.1875, fmeasure=0.13636363636363635)}","101"
"Qwen/Qwen2.5-1.5B-Instruct","Summarize the following text: ","Samsum","system
Here is a summary of the given text:

Ivan invites Eric to his brother's","Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.","{'Min_10.0% Prob': 11.502172470092773, 'Min_20.0% Prob': 9.906523585319519, 'Min_30.0% Prob': 8.672025918960571, 'Min_40.0% Prob': 7.483274698257446, 'Min_50.0% Prob': 6.239054116335782}","0.6336226463317871","{'rouge1': Score(precision=0.2857142857142857, recall=0.375, fmeasure=0.3243243243243243), 'rouge2': Score(precision=0.05, recall=0.06666666666666667, fmeasure=0.05714285714285715), 'rougeL': Score(precision=0.19047619047619047, recall=0.25, fmeasure=0.2162162162162162)}","72"
