<<<<<<< HEAD
,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,Qwen/Qwen2.5-3B-Instruct,Summarize the following text: ,Samsum,"user
The conversation appears to be about Hannah trying to get Betty's contact information. Initially,",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,0.6095557808876038,0.3125,0.3125,0.3125,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.25,0.25,0.25,20.309040069580078,16.730393409729004,12.252154064178466,10.029902253832136,8.544110351138645
1,Qwen/Qwen2.5-3B-Instruct,Summarize the following text: ,Samsum,"user
The text appears to be a conversation between Eric and Rob about a comedy routine or stand",Eric and Rob are going to watch a stand-up on youtube.,0.6209133863449097,0.5,0.3333333333333333,0.4,0.18181818181818182,0.11764705882352941,0.14285714285714285,0.4166666666666667,0.2777777777777778,0.33333333333333337,14.379528045654297,12.467437744140625,10.99022102355957,10.040329337120056,8.691017468770346
2,Qwen/Qwen2.5-3B-Instruct,Summarize the following text: ,Samsum,"user
The text describes a conversation between Lenny and Bob about Lenny choosing between two sets",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,0.5851879715919495,0.13793103448275862,0.25,0.17777777777777778,0.0,0.0,0.0,0.10344827586206896,0.1875,0.13333333333333333,17.191600799560547,12.589899937311808,10.444063758850097,9.301121821770302,8.192899703979492
3,Qwen/Qwen2.5-3B-Instruct,Summarize the following text: ,Samsum,"user
The text describes a conversation between Will and Emma where Emma seems to be avoiding discussing her",Emma will be home soon and she will let Will know.,0.5253680944442749,0.36363636363636365,0.2222222222222222,0.27586206896551724,0.0,0.0,0.0,0.18181818181818182,0.1111111111111111,0.13793103448275862,11.706310272216797,10.885798931121826,9.747069199879965,8.895833015441895,8.34677152633667
4,Qwen/Qwen2.5-3B-Instruct,Summarize the following text: ,Samsum,"user
Here's a summary of the conversation:

Jane and Ollie are discussing their plans",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,0.6188087463378906,0.09302325581395349,0.26666666666666666,0.13793103448275862,0.023809523809523808,0.07142857142857142,0.03571428571428571,0.06976744186046512,0.2,0.10344827586206895,11.485202598571778,10.035850178111684,8.770509719848633,7.755232377485796,7.071403706515277
5,Qwen/Qwen2.5-3B-Instruct,Summarize the following text: ,Samsum,"user
Sure, here's a summary of the text:

The conversation revolves around the distribution of",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,0.08436025679111481,0.07017543859649122,0.25,0.1095890410958904,0.0,0.0,0.0,0.07017543859649122,0.25,0.1095890410958904,11.132484277089437,8.94873883174016,7.525368595123291,6.565878073374431,5.834275813663707
6,Qwen/Qwen2.5-3B-Instruct,Summarize the following text: ,Samsum,"user
The conversation revolves around clothing shopping and Payton's preferences. Max asks Payton for",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,0.7326431274414062,0.2,0.4,0.26666666666666666,0.0,0.0,0.0,0.1,0.2,0.13333333333333333,12.574824651082357,9.526443004608154,8.37997875213623,7.312669992446899,6.7710029097164375
7,Qwen/Qwen2.5-3B-Instruct,Summarize the following text: ,Samsum,"user
The text describes two colleagues, Rita and Tina, who are both experiencing fatigue and boredom",Rita and Tina are bored at work and have still 4 hours left.,0.7007536292076111,0.38461538461538464,0.3125,0.3448275862068966,0.16666666666666666,0.13333333333333333,0.14814814814814814,0.38461538461538464,0.3125,0.3448275862068966,15.693418502807617,11.777873357137045,10.800991773605347,9.522946437199911,9.037472316196986
8,Qwen/Qwen2.5-3B-Instruct,Summarize the following text: ,Samsum,"user
The conversation revolves around Beatrice's attempt to give Leo a scarf as a gift.","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",0.797058641910553,0.21428571428571427,0.375,0.2727272727272727,0.07407407407407407,0.13333333333333333,0.09523809523809523,0.21428571428571427,0.375,0.2727272727272727,15.421537081400553,11.71270481745402,9.903496265411377,8.556208411852518,7.011097878217697
9,Qwen/Qwen2.5-3B-Instruct,Summarize the following text: ,Samsum,"user
The conversation summarizes Eric's hesitation in attending Ivan's brother's wedding. Initially, Ivan",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,0.7948349118232727,0.3333333333333333,0.4375,0.37837837837837834,0.2,0.26666666666666666,0.2285714285714286,0.3333333333333333,0.4375,0.37837837837837834,12.332701206207275,10.273932695388794,9.103248039881388,8.069723129272461,6.790810910138217
