<<<<<<< HEAD
,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Crews from Greater Manchester Fire and Rescue Service and West Yorkshire responded to a fire",About 50 firefighters tackled a large blaze at a five-storey disused mill in Greater Manchester.,0.5497201681137085,0.1875,0.1875,0.1875,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.125,0.125,0.125,8.704730033874512,7.663631319999695,6.360290765762329,5.393184244632721,4.4286899675022475
1,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Rojo, a Manchester United player, received a yellow card from referee Craig Paw","Manchester United defender Marcos Rojo is a ""clean player with an aggressive nature"", says manager Jose Mourinho.",0.5501291155815125,0.29411764705882354,0.35714285714285715,0.3225806451612903,0.0625,0.07692307692307693,0.06896551724137931,0.17647058823529413,0.21428571428571427,0.1935483870967742,8.135584831237793,6.6134387969970705,6.099293981279645,5.380974435806275,4.854270238142747
2,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Zaha, an Abidjan-born footballer, has expressed his desire","Ivory Coast are confident Wilfried Zaha will soon be part of their team, but new England boss Gareth Southgate has not given up on the forward.",0.4922162890434265,0.07692307692307693,0.2,0.1111111111111111,0.0,0.0,0.0,0.07692307692307693,0.2,0.1111111111111111,9.938983281453451,8.073104858398438,6.9978742599487305,5.786902299294105,5.094893760979176
3,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Pamela Geller and Robert Spencer, prominent anti-Islamization campaigners",Home Secretary Theresa May is considering banning two US bloggers from entering the UK to speak at an English Defence League rally.,0.141494020819664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.682260036468506,8.436246752738953,6.872757537024362,6.133159769905938,5.159713665644328
4,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
A new health book titled ""New Healthway"" aimed at 11 and","Meat-eaters ""easily cheat, lie, forget promises and commit sex crimes"", according to a controversial school textbook available in India.",0.05403381958603859,0.1,0.16666666666666666,0.125,0.0,0.0,0.0,0.05,0.08333333333333333,0.0625,9.75595235824585,9.079376029968262,8.423891007900238,7.672625975175337,6.862764665058681
5,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
In the Africa Cup of Nations quarter-final match between Egypt and Morocco, Morocco",Egypt knocked out Morocco to reach the Africa Cup of Nations semi-finals as substitute Mahmoud Abdel-Moneim prodded home a dramatic 87th-minute winner.,0.540171205997467,0.32,0.5333333333333333,0.4,0.16666666666666666,0.2857142857142857,0.2105263157894737,0.24,0.4,0.3,11.126527150472006,7.71149172101702,6.321181730790571,5.399069309234619,4.592526962882594
6,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Michelle O'Neill, the Irish ambassador to China, hosted a departmental breakfast",The agriculture minister is to return to China next month as attempts to access markets there continue.,0.29698628187179565,0.17647058823529413,0.23076923076923078,0.20000000000000004,0.0625,0.08333333333333333,0.07142857142857144,0.17647058823529413,0.23076923076923078,0.20000000000000004,12.87479019165039,10.194341023763021,8.815588665008544,8.134217341740927,7.0954268872737885
7,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Ian Coulter, a former partner of Tughans, was questioned under",National Crime Agency (NCA) detectives investigating the sale of the National Asset Management Agency's (Nama) Northern Ireland loans portfolio have interviewed a former managing partner of a Belfast legal firm.,0.2743491530418396,0.12903225806451613,0.36363636363636365,0.19047619047619047,0.06666666666666667,0.2,0.1,0.12903225806451613,0.36363636363636365,0.19047619047619047,9.746592203776041,8.21796921321324,7.295215476642955,6.707258445875985,5.872687644428677
8,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Eileen Maguire, a 69-year-old woman","A County Tyrone car dealer, whose driving caused the death of a pensioner, has been given a community service order and a three-year driving ban.",0.02674724906682968,0.07692307692307693,0.25,0.11764705882352941,0.0,0.0,0.0,0.07692307692307693,0.25,0.11764705882352941,10.486884117126465,8.79471468925476,7.156380865308973,6.08846640586853,5.259047245979309
9,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
The Ceredigion Council is considering the closure of Bodlondeb in Pen","A council's proposal to shut a Ceredigion care home comes with ""no plan"" for care provision in the area, unions have said.",0.25870323181152344,0.17391304347826086,0.3333333333333333,0.22857142857142854,0.0,0.0,0.0,0.08695652173913043,0.16666666666666666,0.11428571428571427,11.978371143341064,8.536658382415771,7.436227321624756,6.819599281657826,6.28959093775068
10,HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Japan's parliamentary vote has allowed the country to allow its troops to fight overseas for",China has said Japan is endangering peace in the region after it passed controversial laws expanding the role of its military abroad.,0.507739782333374,0.18181818181818182,0.23529411764705882,0.20512820512820512,0.0,0.0,0.0,0.13636363636363635,0.17647058823529413,0.15384615384615383,7.287213325500488,7.056843519210815,6.3890299797058105,6.051440821753608,5.34278788169225
