,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,microsoft/phi-2,Summarize the following text: ,CNN-DailyMail, Roach said he was not going to be upset if Pacquiao won the fight. ‘,"Floyd Mayweather and Manny Pacquiao fight in Las Vegas on May 2 .
Roach rates Andre Ward and Gennadiy Golovkin above Mayweather .
Mayweather has not fought enough of the competition, says Roach .
Roach says Pacquiao is in the best shape of his life ahead of fight .",0.5594004988670349,212.0,0.1111111111111111,0.35714285714285715,0.1694915254237288,0.0,0.0,0.0,0.1111111111111111,0.35714285714285715,0.1694915254237288,9.650390625,7.627704326923077,6.475842927631579,5.5878155048076925,4.9153053977272725
1,microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

##Your task: **Rewrite** the above paragraph into a high school level textbook section","World endurance championship begins at Silverstone on April 12 .
Scantily-clad beauties traditionally pose next to cars before races .
'Grid girls' decision has been welcomed for those seeking gender equality .",0.0154289677739143,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.26953125,11.814453125,10.6669921875,9.345703125,8.201078869047619
2,microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

Possible rewrite:

The FA Cup semi-finals were a disappointment for Liverpool midfielder","Liverpool lost 2-1 to Aston Villa in the FA Cup semi-final at Wembley .
Steven Gerrard's dream of making the FA Cup final were shattered .
Gerrard started the game in an advanced role behind Raheem Sterling .
The first half largely passed Gerrard by at Wembley .
The Reds midfielder, however, almost snatched an equaliser at the death .",0.6349325776100159,275.0,0.13793103448275862,0.6153846153846154,0.22535211267605634,0.08771929824561403,0.4166666666666667,0.14492753623188404,0.1206896551724138,0.5384615384615384,0.19718309859154928,8.641741071428571,7.387239583333334,6.532315340909091,5.788541666666666,5.1980574324324325
3,microsoft/phi-2,Summarize the following text: ,CNN-DailyMail, The Bangkok Post reported that the woman was'shocked' by the police action and said she had,"Driver played 'demolition derby' through streets of Banglamung in Thailand .
Police shot out three tyres to stop the car as it drove into oncoming traffic .
Angry mob surrounded the vehicle after it stopped to attack blond driver .",0.3456622064113617,180.0,0.08108108108108109,0.17647058823529413,0.11111111111111113,0.0,0.0,0.0,0.05405405405405406,0.11764705882352941,0.07407407407407408,10.787109375,9.168402777777779,8.112165178571429,7.219572368421052,6.4658203125
4,microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

Solution:

The text is a summary of the latest episode of the TV show P","SPOILER ALERT: Maid gives birth to baby on Sunday's episode .
Only announced she was pregnant with Poldark's baby last week .",0.2404832690954208,96.0,0.045454545454545456,0.06666666666666667,0.05405405405405406,0.0,0.0,0.0,0.045454545454545456,0.06666666666666667,0.05405405405405406,11.606770833333334,10.321614583333334,9.570746527777779,8.47998046875,7.4546875
5,microsoft/phi-2,Summarize the following text: ,CNN-DailyMail," 'He was a funny animal, he was a great animal, he was a great friend,' he","Mick Tabone and Gregory the crocodile shared a 20 year long friendship .
Mr Tabone captured the croc in 1989 after he caught it stealing cattle .
Gregory lived at Johnstone River Crocodile Farm in far-north Queensland .
Each day Mr Tabone would sit on the croc's back while chatting to him .",0.2367064654827118,241.0,0.0392156862745098,0.125,0.05970149253731343,0.0,0.0,0.0,0.0392156862745098,0.125,0.05970149253731343,10.162760416666666,8.653245192307692,7.461328125,6.529079861111111,5.799287683823529
6,microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

##Your task: **Rewrite** the above paragraph into a middle school level textbook section","Prairie dog deaths at Picture Canyon led to positive tests on fleas .
Residents warned about dangers to pets, especially cats .
Disease can wipe out 90 per cent of prairie dogs in a colony .",0.0136040793731808,150.0,0.030303030303030304,0.07692307692307693,0.043478260869565216,0.0,0.0,0.0,0.030303030303030304,0.07692307692307693,0.043478260869565216,10.375,8.8828125,7.7938701923076925,7.042279411764706,6.181551846590909
7,microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

##Your task: **Rewrite** the above paragraph into a high school level textbook section","Xherdan Shaqiri joined Inter Milan from Bayern Munich in January this year .
The Switzerland international's form has tailed off in recent weeks .
Reports have suggested he could leave the club at the end of the season .
Inter boss Roberto Mancini insists those reports are completely made up .",-0.0270102247595787,244.0,0.020833333333333332,0.07692307692307693,0.03278688524590164,0.0,0.0,0.0,0.020833333333333332,0.07692307692307693,0.03278688524590164,8.986979166666666,7.9853515625,6.671440972222222,5.685465494791667,4.948079427083333
8,microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

##Your task: **Rewrite** the above paragraph into a middle school level textbook section","Sportsmail has simulated an All-Star battle between the Premier League's best talent from North and South .
Manchester City's Sergio Aguero gave Joe Bernstein's Northern All-Stars the lead in the opening minute .
Arsenal ace Alexis Sanchez scored a double in the 29th and 72nd minute, either side of a Harry Kane goal .
Sanchez was man of the match while Liverpool's Martin Skrtel was the game's poorest player .
The match powered by Football Manager was played in front of 90,000 people at Wembley .",-0.0504996255040168,438.0,0.02247191011235955,0.15384615384615385,0.0392156862745098,0.0,0.0,0.0,0.02247191011235955,0.15384615384615385,0.0392156862745098,10.41953125,8.657738095238095,7.4384765625,6.51171875,5.711244936342593
9,microsoft/phi-2,Summarize the following text: ,CNN-DailyMail, The 39-year-old businessman filed a lawsuit last August over the two embryos. On Monday he,"Nick Loeb and Sofia Vergara froze fertilized embryos in November 2013 but then broke up in May 2014 .
Implied he wants to use the embryos to have children and says he should be allowed to - whether Vergara is involved or not .
Filed lawsuit claiming Vergara wants to destroy the two female embryos .
Vergara denies this but says she doesn't want to use them, either .",0.4678421020507812,296.0,0.1076923076923077,0.4117647058823529,0.1707317073170732,0.015625,0.0625,0.025,0.09230769230769231,0.35294117647058826,0.14634146341463414,10.984375,8.619944852941176,7.29703125,6.3779296875,5.717114825581396
