series,model,rank,size_millions,k,average,std,source_dataset
smol,df_smol_135m,small,135,40,7.3139,0.8727,CNN-DailyMail
smol,df_smol_135m,small,135,50,6.5668,0.8239,CNN-DailyMail
smol,df_smol_135m,small,135,40,8.404,1.5755,Samsum
smol,df_smol_135m,small,135,50,7.5325,1.4216,Samsum
smol,df_smol_135m,small,135,40,7.8423,1.2897,Xsum
smol,df_smol_135m,small,135,50,7.0114,1.2027,Xsum
smol,df_smol_360m,medium,360,40,6.7468,0.866,CNN-DailyMail
smol,df_smol_360m,medium,360,50,6.0211,0.8065,CNN-DailyMail
smol,df_smol_360m,medium,360,40,7.7714,1.4145,Samsum
smol,df_smol_360m,medium,360,50,6.9592,1.2665,Samsum
smol,df_smol_360m,medium,360,40,7.0246,1.3056,Xsum
smol,df_smol_360m,medium,360,50,6.2214,1.1974,Xsum
smol,df_smol_1_7b,large,1700,40,6.2423,0.9161,CNN-DailyMail
smol,df_smol_1_7b,large,1700,50,5.5306,0.8436,CNN-DailyMail
smol,df_smol_1_7b,large,1700,40,7.5202,1.3259,Samsum
smol,df_smol_1_7b,large,1700,50,6.7343,1.2045,Samsum
smol,df_smol_1_7b,large,1700,40,6.1042,1.2413,Xsum
smol,df_smol_1_7b,large,1700,50,5.3515,1.1189,Xsum
gpt,df_gpt_neo_125m,small,125,40,7.6114,0.8509,CNN-DailyMail
gpt,df_gpt_neo_125m,small,125,50,6.8815,0.8124,CNN-DailyMail
gpt,df_gpt_neo_125m,small,125,40,7.9772,1.2889,Samsum
gpt,df_gpt_neo_125m,small,125,50,7.2358,1.1358,Samsum
gpt,df_gpt_neo_125m,small,125,40,7.1573,1.1235,Xsum
gpt,df_gpt_neo_125m,small,125,50,6.4416,1.0486,Xsum
gpt,df_gpt_neo_1_3b,medium,1300,40,6.7452,0.8986,CNN-DailyMail
gpt,df_gpt_neo_1_3b,medium,1300,50,6.0199,0.8412,CNN-DailyMail
gpt,df_gpt_neo_1_3b,medium,1300,40,7.4518,1.2634,Samsum
gpt,df_gpt_neo_1_3b,medium,1300,50,6.7265,1.1325,Samsum
gpt,df_gpt_neo_1_3b,medium,1300,40,6.0017,1.1231,Xsum
gpt,df_gpt_neo_1_3b,medium,1300,50,5.3119,1.0202,Xsum
gpt,df_gpt_neo_2_7b,large,2700,40,6.5787,0.9008,CNN-DailyMail
gpt,df_gpt_neo_2_7b,large,2700,50,5.8541,0.8356,CNN-DailyMail
gpt,df_gpt_neo_2_7b,large,2700,40,7.3423,1.2647,Samsum
gpt,df_gpt_neo_2_7b,large,2700,50,6.6158,1.1267,Samsum
gpt,df_gpt_neo_2_7b,large,2700,40,5.7752,1.1168,Xsum
gpt,df_gpt_neo_2_7b,large,2700,50,5.0916,1.0074,Xsum
opt,df_opt_125m,small,125,40,7.299,0.9122,CNN-DailyMail
opt,df_opt_125m,small,125,50,6.5758,0.8674,CNN-DailyMail
opt,df_opt_125m,small,125,40,8.1144,1.3203,Samsum
opt,df_opt_125m,small,125,50,7.3047,1.1754,Samsum
opt,df_opt_125m,small,125,40,6.6793,1.0905,Xsum
opt,df_opt_125m,small,125,50,5.972,1.0081,Xsum
opt,df_opt_1_3b,medium,1300,40,6.5608,0.8961,CNN-DailyMail
opt,df_opt_1_3b,medium,1300,50,5.8431,0.8383,CNN-DailyMail
opt,df_opt_1_3b,medium,1300,40,7.5091,1.1608,Samsum
opt,df_opt_1_3b,medium,1300,50,6.7829,1.0732,Samsum
opt,df_opt_1_3b,medium,1300,40,5.7173,1.0154,Xsum
opt,df_opt_1_3b,medium,1300,50,5.052,0.9347,Xsum
opt,df_opt_2_7b,large,2700,40,6.4361,0.8948,CNN-DailyMail
opt,df_opt_2_7b,large,2700,50,5.7193,0.8321,CNN-DailyMail
opt,df_opt_2_7b,large,2700,40,7.478,1.1736,Samsum
opt,df_opt_2_7b,large,2700,50,6.7507,1.0812,Samsum
opt,df_opt_2_7b,large,2700,40,5.5865,1.02,Xsum
opt,df_opt_2_7b,large,2700,50,4.9225,0.9337,Xsum
