Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction,GradientBoosting_probability,GradientBoosting_label,LogisticRegression_prediction,LogisticRegression_probability,LogisticRegression_label,RandomForest_prediction,RandomForest_probability,RandomForest_label
microsoft/phi-4,Summarize the following text: ,XSum,"assistantThe Premier League club has announced that their 22-year-old left-back, who sustained",Andrew Robertson will miss Scotland's trip to Wembley to face England and up to 10 games for Hull City after suffering a calf injury.,"{'Min_10.0% Prob': 9.0625, 'Min_20.0% Prob': 7.51015625, 'Min_30.0% Prob': 6.37744140625, 'Min_40.0% Prob': 5.740234375, 'Min_50.0% Prob': 5.011997767857143}",0.2772837579250335,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",108,1,0.7203152513647624,Likely Contaminated,0,0.4929236160883488,Not Contaminated,1,0.8810547036297038,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantIn April, Northern Ireland's secretary of state proposed a budget plan that included a ",Belfast City Council has backed a group of principals who say they will refuse to make cuts to school budgets.,"{'Min_10.0% Prob': 10.1171875, 'Min_20.0% Prob': 8.451171875, 'Min_30.0% Prob': 7.243489583333333, 'Min_40.0% Prob': 6.299560546875, 'Min_50.0% Prob': 5.621484375}",0.3774009048938751,"{'rouge1': Score(precision=0.15, recall=0.2, fmeasure=0.17142857142857143), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.13333333333333333, fmeasure=0.1142857142857143)}",86,1,0.7760184589988672,Likely Contaminated,1,0.6718963916935077,Likely Contaminated,1,0.8823334640852879,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantCompany Sergeant Major Nelson Carter, aged 29, was posthumously awarded the Victoria",A World War One soldier has been commemorated with the unveiling of two permanent memorials in the East Sussex towns where he lived and was educated.,"{'Min_10.0% Prob': 8.224609375, 'Min_20.0% Prob': 6.140234375, 'Min_30.0% Prob': 5.1962890625, 'Min_40.0% Prob': 4.569424715909091, 'Min_50.0% Prob': 4.141462053571429}",0.2237350791692733,"{'rouge1': Score(precision=0.07692307692307693, recall=0.16666666666666666, fmeasure=0.10526315789473684), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.038461538461538464, recall=0.08333333333333333, fmeasure=0.05263157894736842)}",116,0,0.45059305591805215,Not Contaminated,0,0.4927854129226893,Not Contaminated,0,0.4417264818514821,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantThe study published in *Nature* highlights how tumors can spread throughout the body, a","The deadly spread of cancer around the body has been cut by three-quarters in animal experiments, say scientists.","{'Min_10.0% Prob': 10.92578125, 'Min_20.0% Prob': 8.921875, 'Min_30.0% Prob': 7.838541666666667, 'Min_40.0% Prob': 7.12890625, 'Min_50.0% Prob': 6.2111328125}",0.5756175518035889,"{'rouge1': Score(precision=0.21052631578947367, recall=0.2857142857142857, fmeasure=0.24242424242424243), 'rouge2': Score(precision=0.05555555555555555, recall=0.07692307692307693, fmeasure=0.06451612903225808), 'rougeL': Score(precision=0.15789473684210525, recall=0.21428571428571427, fmeasure=0.18181818181818182)}",92,0,0.49865069972001824,Not Contaminated,1,0.6737468033874796,Likely Contaminated,0,0.43660978122346455,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,assistantThe text refers to a collection of photographs capturing various scenes and moments from different parts of,"Images courtesy of AFP, AP, EPA and Reuters","{'Min_10.0% Prob': nan, 'Min_20.0% Prob': 9.9453125, 'Min_30.0% Prob': 9.875, 'Min_40.0% Prob': 8.841145833333334, 'Min_50.0% Prob': 7.58349609375}",0.3093278408050537,"{'rouge1': Score(precision=0.25, recall=0.11764705882352941, fmeasure=0.15999999999999998), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.11764705882352941, fmeasure=0.15999999999999998)}",93,1,0.9595640421222238,Likely Contaminated,1,0.8482577206651789,Likely Contaminated,1,0.8490089910089906,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantGB Taekwondo selected Muhammad, ranked 59th in the world, over",The British Olympic Association has ratified Lutalo Muhammad's nomination for London 2012 ahead of Aaron Cook.,"{'Min_10.0% Prob': 9.42578125, 'Min_20.0% Prob': 8.826171875, 'Min_30.0% Prob': 8.215494791666666, 'Min_40.0% Prob': 7.104736328125, 'Min_50.0% Prob': 6.29765625}",0.3188628256320953,"{'rouge1': Score(precision=0.11764705882352941, recall=0.2, fmeasure=0.14814814814814817), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.058823529411764705, recall=0.1, fmeasure=0.07407407407407408)}",82,1,0.6455596761798348,Likely Contaminated,1,0.6932992916442161,Likely Contaminated,1,0.5929166859036178,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,assistantThe Office for National Statistics (ONS) reported a 0.7% decline in,"Activity in the UK's industrial and construction sectors shrank in February, new figures show.","{'Min_10.0% Prob': 7.44140625, 'Min_20.0% Prob': 6.709635416666667, 'Min_30.0% Prob': 6.23984375, 'Min_40.0% Prob': 5.965494791666667, 'Min_50.0% Prob': 5.370849609375}",0.277420699596405,"{'rouge1': Score(precision=0.06666666666666667, recall=0.08333333333333333, fmeasure=0.07407407407407407), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06666666666666667, recall=0.08333333333333333, fmeasure=0.07407407407407407)}",73,1,0.7698840572611938,Likely Contaminated,1,0.5775443430225291,Likely Contaminated,1,0.562182719134151,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantKevin O'Malley, speaking on RTÉ's Marian Finucane Show, anticip","The outgoing US President Barack Obama could visit Ireland again after he leaves the White House, the US Ambassador to Ireland has said.","{'Min_10.0% Prob': 9.341796875, 'Min_20.0% Prob': 7.650390625, 'Min_30.0% Prob': 6.121372767857143, 'Min_40.0% Prob': 5.406467013888889, 'Min_50.0% Prob': 4.511962890625}",0.1468975841999054,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",108,1,0.5371933607926495,Likely Contaminated,0,0.451938532399816,Not Contaminated,1,0.675806370100488,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantThe text describes a situation at the Malheur National Wildlife Refuge in Oregon, where",The latest clash between Washington and the west is playing out on a snowy desert plain in the wilds of Oregon.,"{'Min_10.0% Prob': 10.12109375, 'Min_20.0% Prob': 8.8798828125, 'Min_30.0% Prob': 8.115885416666666, 'Min_40.0% Prob': 7.4443359375, 'Min_50.0% Prob': 6.458451704545454}",0.3178623914718628,"{'rouge1': Score(precision=0.19047619047619047, recall=0.2857142857142857, fmeasure=0.22857142857142854), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=0.21428571428571427, fmeasure=0.17142857142857143)}",83,1,0.7190471848785361,Likely Contaminated,1,0.760859024635929,Likely Contaminated,1,0.7512715545658705,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,assistantThe Northern Ireland Fire and Rescue Service responded to an incident at Altnagelvin,Part of Altnagelvin hospital in Londonderry has been evacuated after smoke was discovered in one of the wards.,"{'Min_10.0% Prob': 8.40625, 'Min_20.0% Prob': 6.623046875, 'Min_30.0% Prob': 5.180245535714286, 'Min_40.0% Prob': 4.604166666666667, 'Min_50.0% Prob': 3.8438313802083335}",0.4097973108291626,"{'rouge1': Score(precision=0.05555555555555555, recall=0.07692307692307693, fmeasure=0.06451612903225808), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05555555555555555, recall=0.07692307692307693, fmeasure=0.06451612903225808)}",84,0,0.4632790442511144,Not Contaminated,0,0.4720743903124331,Not Contaminated,1,0.58712055999556,Likely Contaminated
