Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x,GradientBoosting_probability_x,GradientBoosting_status,LogisticRegression_prediction_x,LogisticRegression_probability_x,LogisticRegression_status,RandomForest_prediction_x,RandomForest_probability_x,RandomForest_status,GradientBoosting_prediction_y,GradientBoosting_probability_y,GradientBoosting_label,LogisticRegression_prediction_y,LogisticRegression_probability_y,LogisticRegression_label,RandomForest_prediction_y,RandomForest_probability_y,RandomForest_label
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Samsum,"assistant
Hannah: Hey, do you have Betty's number?
Amanda:",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 15.749812126159668, 'Min_20.0% Prob': 14.12217934926351, 'Min_30.0% Prob': 12.508716773986816, 'Min_40.0% Prob': 11.061319623674665, 'Min_50.0% Prob': 9.635110166337755}",0.7638365030288696,"{'rouge1': Score(precision=0.375, recall=0.6, fmeasure=0.4615384615384615), 'rouge2': Score(precision=0.13333333333333333, recall=0.2222222222222222, fmeasure=0.16666666666666669), 'rougeL': Score(precision=0.3125, recall=0.5, fmeasure=0.38461538461538464)}",65,0.0,0.4657424354639061,Clean,1.0,0.8487352083576712,Contaminated,0.0,0.4799103601002579,Clean,0.0,0.4657424354639061,Not Contaminated,1.0,0.8487352083576712,Likely Contaminated,0.0,0.47991036010025795,Not Contaminated
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Samsum,"assistant
Eric: MACHINE!
Rob: MACHINE!
E",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 14.306936264038086, 'Min_20.0% Prob': 10.027985254923502, 'Min_30.0% Prob': 9.279701590538025, 'Min_40.0% Prob': 8.20065196355184, 'Min_50.0% Prob': 7.783856528145926}",0.4875955581665039,"{'rouge1': Score(precision=0.16666666666666666, recall=0.3333333333333333, fmeasure=0.2222222222222222), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.3333333333333333, fmeasure=0.2222222222222222)}",48,1.0,0.8027974126179795,Contaminated,1.0,0.8101336922638163,Contaminated,1.0,0.7639005202314025,Contaminated,1.0,0.8027974126179795,Likely Contaminated,1.0,0.8101336922638163,Likely Contaminated,1.0,0.7639005202314025,Likely Contaminated
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Samsum,"assistant
Lenny: Babe, can you help me with something?
Bob:",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 12.968859354654947, 'Min_20.0% Prob': 9.753454685211182, 'Min_30.0% Prob': 7.93960485458374, 'Min_40.0% Prob': 7.1450629601111775, 'Min_50.0% Prob': 6.385021981071024}",0.4320191144943237,"{'rouge1': Score(precision=0.13793103448275862, recall=0.4, fmeasure=0.20512820512820515), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13793103448275862, recall=0.4, fmeasure=0.20512820512820515)}",119,1.0,0.5535091350064735,Contaminated,1.0,0.7304449499387848,Contaminated,0.0,0.4358910369708371,Clean,1.0,0.5535091350064735,Likely Contaminated,1.0,0.7304449499387848,Likely Contaminated,0.0,0.4358910369708371,Not Contaminated
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Samsum,"assistant
Will: Hey, what do you want for dinner tonight?
Emma:",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 11.380273818969727, 'Min_20.0% Prob': 10.737038612365723, 'Min_30.0% Prob': 9.405093828837076, 'Min_40.0% Prob': 8.534648418426514, 'Min_50.0% Prob': 7.034675677617391}",0.5754280090332031,"{'rouge1': Score(precision=0.18181818181818182, recall=0.18181818181818182, fmeasure=0.18181818181818182), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09090909090909091, recall=0.09090909090909091, fmeasure=0.09090909090909091)}",45,1.0,0.8392592762546276,Contaminated,1.0,0.7895367504708265,Contaminated,1.0,0.6164541227391459,Contaminated,1.0,0.8392592762546276,Likely Contaminated,1.0,0.7895367504708265,Likely Contaminated,1.0,0.6164541227391459,Likely Contaminated
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Samsum,"assistant
Ollie: Hi, are you in Warsaw?
Jane: no,",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 9.916627311706543, 'Min_20.0% Prob': 8.581800677559592, 'Min_30.0% Prob': 7.848693549633026, 'Min_40.0% Prob': 7.012560454281894, 'Min_50.0% Prob': 6.287496830735888}",0.6748881936073303,"{'rouge1': Score(precision=0.09302325581395349, recall=0.4444444444444444, fmeasure=0.15384615384615385), 'rouge2': Score(precision=0.023809523809523808, recall=0.125, fmeasure=0.04), 'rougeL': Score(precision=0.06976744186046512, recall=0.3333333333333333, fmeasure=0.11538461538461539)}",189,0.0,0.1821937904621463,Clean,1.0,0.6206679441454148,Contaminated,0.0,0.0913606254856254,Clean,0.0,0.18219379046214632,Not Contaminated,1.0,0.6206679441454148,Likely Contaminated,0.0,0.09136062548562544,Not Contaminated
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Samsum,,Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 9.62205139795939, 'Min_20.0% Prob': 8.123497045957125, 'Min_30.0% Prob': 7.221595811843872, 'Min_40.0% Prob': 6.520252051176848, 'Min_50.0% Prob': 5.879819771822761}",0.0885861814022064,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",297,1.0,0.6119062624809887,Contaminated,1.0,0.6843094340691735,Contaminated,0.0,0.3304036419350498,Clean,1.0,0.6119062624809887,Likely Contaminated,1.0,0.6843094340691735,Likely Contaminated,0.0,0.33040364193504984,Not Contaminated
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Samsum,"assistant
Max: Yes, but they have different things so I usually buy things from ",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 11.90256373087565, 'Min_20.0% Prob': 9.697030748639788, 'Min_30.0% Prob': 8.79330759048462, 'Min_40.0% Prob': 7.760915449687412, 'Min_50.0% Prob': 7.114937291425817}",0.2960551381111145,"{'rouge1': Score(precision=0.13333333333333333, recall=0.2857142857142857, fmeasure=0.18181818181818182), 'rouge2': Score(precision=0.034482758620689655, recall=0.07692307692307693, fmeasure=0.04761904761904762), 'rougeL': Score(precision=0.13333333333333333, recall=0.2857142857142857, fmeasure=0.18181818181818182)}",143,0.0,0.2226509998111042,Clean,1.0,0.7381043781383707,Contaminated,0.0,0.298064883645766,Clean,0.0,0.2226509998111042,Not Contaminated,1.0,0.7381043781383707,Likely Contaminated,0.0,0.29806488364576605,Not Contaminated
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Samsum,"assistant
Rita: I'm so tired. Falling asleep at work.
T",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 17.0440673828125, 'Min_20.0% Prob': 11.981645901997885, 'Min_30.0% Prob': 10.935665965080261, 'Min_40.0% Prob': 8.780895590782166, 'Min_50.0% Prob': 7.409720927476883}",0.6017327308654785,"{'rouge1': Score(precision=0.23076923076923078, recall=0.2727272727272727, fmeasure=0.24999999999999994), 'rouge2': Score(precision=0.08333333333333333, recall=0.1, fmeasure=0.0909090909090909), 'rougeL': Score(precision=0.23076923076923078, recall=0.2727272727272727, fmeasure=0.24999999999999994)}",47,1.0,0.6348634851658246,Contaminated,1.0,0.6627277795577322,Contaminated,1.0,0.5809846935653846,Contaminated,1.0,0.6348634851658246,Likely Contaminated,1.0,0.6627277795577322,Likely Contaminated,1.0,0.5809846935653846,Likely Contaminated
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Samsum,"assistant
Beatrice: I am in town, shopping. They have nice scarfs","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 9.750260353088379, 'Min_20.0% Prob': 8.578810351235527, 'Min_30.0% Prob': 7.854753828048706, 'Min_40.0% Prob': 6.716439587729318, 'Min_50.0% Prob': 6.040470670251286}",0.565431535243988,"{'rouge1': Score(precision=0.07142857142857142, recall=0.18181818181818182, fmeasure=0.10256410256410255), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07142857142857142, recall=0.18181818181818182, fmeasure=0.10256410256410255)}",107,1.0,0.5558053581334849,Contaminated,1.0,0.8486018559110722,Contaminated,0.0,0.3108084856211043,Clean,1.0,0.5558053581334849,Likely Contaminated,1.0,0.8486018559110722,Likely Contaminated,0.0,0.3108084856211043,Not Contaminated
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Samsum,"assistant
Ivan: Hey, Eric! How's it going? I'm coming to",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 15.109286785125732, 'Min_20.0% Prob': 12.254369258880615, 'Min_30.0% Prob': 10.527974446614584, 'Min_40.0% Prob': 8.440012772878012, 'Min_50.0% Prob': 7.552260138771751}",0.6105359196662903,"{'rouge1': Score(precision=0.23809523809523808, recall=0.4166666666666667, fmeasure=0.30303030303030304), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=0.25, fmeasure=0.18181818181818182)}",73,0.0,0.3803567011745862,Clean,1.0,0.7050356596617537,Contaminated,0.0,0.2837142812253107,Clean,0.0,0.38035670117458625,Not Contaminated,1.0,0.7050356596617537,Likely Contaminated,0.0,0.2837142812253107,Not Contaminated
