Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x,GradientBoosting_probability_x,GradientBoosting_status,LogisticRegression_prediction_x,LogisticRegression_probability_x,LogisticRegression_status,RandomForest_prediction_x,RandomForest_probability_x,RandomForest_status,GradientBoosting_prediction_y,GradientBoosting_probability_y,GradientBoosting_label,LogisticRegression_prediction_y,LogisticRegression_probability_y,LogisticRegression_label,RandomForest_prediction_y,RandomForest_probability_y,RandomForest_label
microsoft/phi-2,Summarize the following text: ,CNN-DailyMail, Roach said he was not going to be upset if Pacquiao won the fight. ‘,"Floyd Mayweather and Manny Pacquiao fight in Las Vegas on May 2 .
Roach rates Andre Ward and Gennadiy Golovkin above Mayweather .
Mayweather has not fought enough of the competition, says Roach .
Roach says Pacquiao is in the best shape of his life ahead of fight .","{'Min_10.0% Prob': 9.650390625, 'Min_20.0% Prob': 7.627704326923077, 'Min_30.0% Prob': 6.475842927631579, 'Min_40.0% Prob': 5.5878155048076925, 'Min_50.0% Prob': 4.9153053977272725}",0.5594004988670349,"{'rouge1': Score(precision=0.1111111111111111, recall=0.35714285714285715, fmeasure=0.1694915254237288), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1111111111111111, recall=0.35714285714285715, fmeasure=0.1694915254237288)}",212,1.0,0.7068698662762763,Contaminated,1.0,0.6356278426270533,Contaminated,1.0,0.5181734823358985,Contaminated,1.0,0.7068698662762763,Likely Contaminated,1.0,0.6356278426270533,Likely Contaminated,1.0,0.5181734823358985,Likely Contaminated
microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

##Your task: **Rewrite** the above paragraph into a high school level textbook section","World endurance championship begins at Silverstone on April 12 .
Scantily-clad beauties traditionally pose next to cars before races .
'Grid girls' decision has been welcomed for those seeking gender equality .","{'Min_10.0% Prob': 14.26953125, 'Min_20.0% Prob': 11.814453125, 'Min_30.0% Prob': 10.6669921875, 'Min_40.0% Prob': 9.345703125, 'Min_50.0% Prob': 8.201078869047619}",0.0154289677739143,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",169,1.0,0.5612225795171514,Contaminated,1.0,0.7080107304380544,Contaminated,0.0,0.4804544579947057,Clean,1.0,0.5612225795171514,Likely Contaminated,1.0,0.7080107304380544,Likely Contaminated,0.0,0.48045445799470576,Not Contaminated
microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

Possible rewrite:

The FA Cup semi-finals were a disappointment for Liverpool midfielder","Liverpool lost 2-1 to Aston Villa in the FA Cup semi-final at Wembley .
Steven Gerrard's dream of making the FA Cup final were shattered .
Gerrard started the game in an advanced role behind Raheem Sterling .
The first half largely passed Gerrard by at Wembley .
The Reds midfielder, however, almost snatched an equaliser at the death .","{'Min_10.0% Prob': 8.641741071428571, 'Min_20.0% Prob': 7.387239583333334, 'Min_30.0% Prob': 6.532315340909091, 'Min_40.0% Prob': 5.788541666666666, 'Min_50.0% Prob': 5.1980574324324325}",0.6349325776100159,"{'rouge1': Score(precision=0.13793103448275862, recall=0.6153846153846154, fmeasure=0.22535211267605634), 'rouge2': Score(precision=0.08771929824561403, recall=0.4166666666666667, fmeasure=0.14492753623188404), 'rougeL': Score(precision=0.1206896551724138, recall=0.5384615384615384, fmeasure=0.19718309859154928)}",275,0.0,0.1623217338173667,Clean,0.0,0.3422578033824622,Clean,0.0,0.2974716664054899,Clean,0.0,0.16232173381736673,Not Contaminated,0.0,0.34225780338246226,Not Contaminated,0.0,0.29747166640548994,Not Contaminated
microsoft/phi-2,Summarize the following text: ,CNN-DailyMail, The Bangkok Post reported that the woman was'shocked' by the police action and said she had,"Driver played 'demolition derby' through streets of Banglamung in Thailand .
Police shot out three tyres to stop the car as it drove into oncoming traffic .
Angry mob surrounded the vehicle after it stopped to attack blond driver .","{'Min_10.0% Prob': 10.787109375, 'Min_20.0% Prob': 9.168402777777779, 'Min_30.0% Prob': 8.112165178571429, 'Min_40.0% Prob': 7.219572368421052, 'Min_50.0% Prob': 6.4658203125}",0.3456622064113617,"{'rouge1': Score(precision=0.08108108108108109, recall=0.17647058823529413, fmeasure=0.11111111111111113), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05405405405405406, recall=0.11764705882352941, fmeasure=0.07407407407407408)}",180,1.0,0.90849630532949,Contaminated,1.0,0.68343609375497,Contaminated,1.0,0.597011857674871,Contaminated,1.0,0.9084963053294899,Likely Contaminated,1.0,0.68343609375497,Likely Contaminated,1.0,0.597011857674871,Likely Contaminated
microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

Solution:

The text is a summary of the latest episode of the TV show P","SPOILER ALERT: Maid gives birth to baby on Sunday's episode .
Only announced she was pregnant with Poldark's baby last week .","{'Min_10.0% Prob': 11.606770833333334, 'Min_20.0% Prob': 10.321614583333334, 'Min_30.0% Prob': 9.570746527777779, 'Min_40.0% Prob': 8.47998046875, 'Min_50.0% Prob': 7.4546875}",0.2404832690954208,"{'rouge1': Score(precision=0.045454545454545456, recall=0.06666666666666667, fmeasure=0.05405405405405406), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.045454545454545456, recall=0.06666666666666667, fmeasure=0.05405405405405406)}",96,1.0,0.8305267532730801,Contaminated,1.0,0.7091114738974139,Contaminated,1.0,0.5846568780451132,Contaminated,1.0,0.8305267532730801,Likely Contaminated,1.0,0.7091114738974139,Likely Contaminated,1.0,0.5846568780451132,Likely Contaminated
microsoft/phi-2,Summarize the following text: ,CNN-DailyMail," 'He was a funny animal, he was a great animal, he was a great friend,' he","Mick Tabone and Gregory the crocodile shared a 20 year long friendship .
Mr Tabone captured the croc in 1989 after he caught it stealing cattle .
Gregory lived at Johnstone River Crocodile Farm in far-north Queensland .
Each day Mr Tabone would sit on the croc's back while chatting to him .","{'Min_10.0% Prob': 10.162760416666666, 'Min_20.0% Prob': 8.653245192307692, 'Min_30.0% Prob': 7.461328125, 'Min_40.0% Prob': 6.529079861111111, 'Min_50.0% Prob': 5.799287683823529}",0.2367064654827118,"{'rouge1': Score(precision=0.0392156862745098, recall=0.125, fmeasure=0.05970149253731343), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0392156862745098, recall=0.125, fmeasure=0.05970149253731343)}",241,1.0,0.8996151829790633,Contaminated,1.0,0.602842049076686,Contaminated,1.0,0.6350699659817307,Contaminated,1.0,0.8996151829790633,Likely Contaminated,1.0,0.602842049076686,Likely Contaminated,1.0,0.6350699659817307,Likely Contaminated
microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

##Your task: **Rewrite** the above paragraph into a middle school level textbook section","Prairie dog deaths at Picture Canyon led to positive tests on fleas .
Residents warned about dangers to pets, especially cats .
Disease can wipe out 90 per cent of prairie dogs in a colony .","{'Min_10.0% Prob': 10.375, 'Min_20.0% Prob': 8.8828125, 'Min_30.0% Prob': 7.7938701923076925, 'Min_40.0% Prob': 7.042279411764706, 'Min_50.0% Prob': 6.181551846590909}",0.0136040793731808,"{'rouge1': Score(precision=0.030303030303030304, recall=0.07692307692307693, fmeasure=0.043478260869565216), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.030303030303030304, recall=0.07692307692307693, fmeasure=0.043478260869565216)}",150,0.0,0.2619706150330798,Clean,1.0,0.5973096756738908,Contaminated,0.0,0.29143337585617,Clean,0.0,0.2619706150330798,Not Contaminated,1.0,0.5973096756738908,Likely Contaminated,0.0,0.29143337585617,Not Contaminated
microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

##Your task: **Rewrite** the above paragraph into a high school level textbook section","Xherdan Shaqiri joined Inter Milan from Bayern Munich in January this year .
The Switzerland international's form has tailed off in recent weeks .
Reports have suggested he could leave the club at the end of the season .
Inter boss Roberto Mancini insists those reports are completely made up .","{'Min_10.0% Prob': 8.986979166666666, 'Min_20.0% Prob': 7.9853515625, 'Min_30.0% Prob': 6.671440972222222, 'Min_40.0% Prob': 5.685465494791667, 'Min_50.0% Prob': 4.948079427083333}",-0.0270102247595787,"{'rouge1': Score(precision=0.020833333333333332, recall=0.07692307692307693, fmeasure=0.03278688524590164), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.020833333333333332, recall=0.07692307692307693, fmeasure=0.03278688524590164)}",244,0.0,0.0386919332815977,Clean,1.0,0.5059844231267778,Contaminated,0.0,0.0218147451963241,Clean,0.0,0.03869193328159777,Not Contaminated,1.0,0.5059844231267778,Likely Contaminated,0.0,0.02181474519632414,Not Contaminated
microsoft/phi-2,Summarize the following text: ,CNN-DailyMail,"

##Your task: **Rewrite** the above paragraph into a middle school level textbook section","Sportsmail has simulated an All-Star battle between the Premier League's best talent from North and South .
Manchester City's Sergio Aguero gave Joe Bernstein's Northern All-Stars the lead in the opening minute .
Arsenal ace Alexis Sanchez scored a double in the 29th and 72nd minute, either side of a Harry Kane goal .
Sanchez was man of the match while Liverpool's Martin Skrtel was the game's poorest player .
The match powered by Football Manager was played in front of 90,000 people at Wembley .","{'Min_10.0% Prob': 10.41953125, 'Min_20.0% Prob': 8.657738095238095, 'Min_30.0% Prob': 7.4384765625, 'Min_40.0% Prob': 6.51171875, 'Min_50.0% Prob': 5.711244936342593}",-0.0504996255040168,"{'rouge1': Score(precision=0.02247191011235955, recall=0.15384615384615385, fmeasure=0.0392156862745098), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.02247191011235955, recall=0.15384615384615385, fmeasure=0.0392156862745098)}",438,0.0,0.0358686238500231,Clean,1.0,0.5793030234814708,Contaminated,0.0,0.1087441516816516,Clean,0.0,0.035868623850023124,Not Contaminated,1.0,0.5793030234814708,Likely Contaminated,0.0,0.10874415168165168,Not Contaminated
microsoft/phi-2,Summarize the following text: ,CNN-DailyMail, The 39-year-old businessman filed a lawsuit last August over the two embryos. On Monday he,"Nick Loeb and Sofia Vergara froze fertilized embryos in November 2013 but then broke up in May 2014 .
Implied he wants to use the embryos to have children and says he should be allowed to - whether Vergara is involved or not .
Filed lawsuit claiming Vergara wants to destroy the two female embryos .
Vergara denies this but says she doesn't want to use them, either .","{'Min_10.0% Prob': 10.984375, 'Min_20.0% Prob': 8.619944852941176, 'Min_30.0% Prob': 7.29703125, 'Min_40.0% Prob': 6.3779296875, 'Min_50.0% Prob': 5.717114825581396}",0.4678421020507812,"{'rouge1': Score(precision=0.1076923076923077, recall=0.4117647058823529, fmeasure=0.1707317073170732), 'rouge2': Score(precision=0.015625, recall=0.0625, fmeasure=0.025), 'rougeL': Score(precision=0.09230769230769231, recall=0.35294117647058826, fmeasure=0.14634146341463414)}",296,1.0,0.8694103605862359,Contaminated,1.0,0.6301602974174509,Contaminated,1.0,0.8299849665425273,Contaminated,1.0,0.8694103605862359,Likely Contaminated,1.0,0.6301602974174509,Likely Contaminated,1.0,0.8299849665425273,Likely Contaminated
