Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction,GradientBoosting_probability,GradientBoosting_status,LogisticRegression_prediction,LogisticRegression_probability,LogisticRegression_status,RandomForest_prediction,RandomForest_probability,RandomForest_status
EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Hannah: Bye bye
Hannah: Bye bye
Hannah: Bye bye
H",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 12.633014678955078, 'Min_20.0% Prob': 11.698257128397623, 'Min_30.0% Prob': 10.895859146118164, 'Min_40.0% Prob': 9.674470220293317, 'Min_50.0% Prob': 8.395652479595608}",0.4803138971328735,"{'rouge1': Score(precision=0.0625, recall=0.1, fmeasure=0.07692307692307693), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0625, recall=0.1, fmeasure=0.07692307692307693)}",63,1.0,0.7177990787301688,Contaminated,1.0,0.790265396227518,Contaminated,1.0,0.8430921370296369,Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Eric: I'm going to go to the bathroom.
Rob: I'm going",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 10.209376335144043, 'Min_20.0% Prob': 9.159227848052979, 'Min_30.0% Prob': 8.253947257995605, 'Min_40.0% Prob': 7.20299129486084, 'Min_50.0% Prob': 6.766738732655843}",0.5647486448287964,"{'rouge1': Score(precision=0.3333333333333333, recall=0.3076923076923077, fmeasure=0.32), 'rouge2': Score(precision=0.09090909090909091, recall=0.08333333333333333, fmeasure=0.08695652173913043), 'rougeL': Score(precision=0.25, recall=0.23076923076923078, fmeasure=0.24000000000000002)}",41,1.0,0.8560198096006133,Contaminated,1.0,0.7337139630077243,Contaminated,1.0,0.7886814114248324,Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Lenny: I'll pick the second pair
Bob: I'll pick the third",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 10.234743118286133, 'Min_20.0% Prob': 9.005494594573975, 'Min_30.0% Prob': 7.686491680145264, 'Min_40.0% Prob': 7.0272830082820015, 'Min_50.0% Prob': 6.235306305043838}",0.6265748739242554,"{'rouge1': Score(precision=0.13793103448275862, recall=0.3076923076923077, fmeasure=0.1904761904761905), 'rouge2': Score(precision=0.03571428571428571, recall=0.08333333333333333, fmeasure=0.05), 'rougeL': Score(precision=0.13793103448275862, recall=0.3076923076923077, fmeasure=0.1904761904761905)}",115,0.0,0.375311674995969,Clean,1.0,0.6506296636667479,Contaminated,1.0,0.6402340073800048,Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Will: I'll be home soon. 
Emma: I'll be home",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 9.680063247680664, 'Min_20.0% Prob': 8.403711318969727, 'Min_30.0% Prob': 7.899242719014485, 'Min_40.0% Prob': 7.643793821334839, 'Min_50.0% Prob': 6.6410313447316485}",0.7925890684127808,"{'rouge1': Score(precision=0.45454545454545453, recall=0.45454545454545453, fmeasure=0.45454545454545453), 'rouge2': Score(precision=0.2, recall=0.2, fmeasure=0.20000000000000004), 'rougeL': Score(precision=0.36363636363636365, recall=0.36363636363636365, fmeasure=0.36363636363636365)}",30,1.0,0.8195884911469494,Contaminated,1.0,0.6729030575292485,Contaminated,1.0,0.7159456644905646,Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,", i'll be there in a minute
Jane: ok, i'll be there in a",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 11.100193786621094, 'Min_20.0% Prob': 9.61250114440918, 'Min_30.0% Prob': 8.262427508831024, 'Min_40.0% Prob': 7.418328807467506, 'Min_50.0% Prob': 6.626379631183766}",0.3719974160194397,"{'rouge1': Score(precision=0.11627906976744186, recall=0.3333333333333333, fmeasure=0.1724137931034483), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11627906976744186, recall=0.3333333333333333, fmeasure=0.1724137931034483)}",182,1.0,0.8003666660140324,Contaminated,1.0,0.7324175273349387,Contaminated,1.0,0.737971319790269,Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Hilary: Bye!
Hilary: Bye!
Hil",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 8.551287492116293, 'Min_20.0% Prob': 7.377702969771165, 'Min_30.0% Prob': 6.68071768283844, 'Min_40.0% Prob': 6.1798859009375935, 'Min_50.0% Prob': 5.724929780671091}",0.4297628104686737,"{'rouge1': Score(precision=0.03508771929824561, recall=0.4, fmeasure=0.06451612903225806), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.03508771929824561, recall=0.4, fmeasure=0.06451612903225806)}",281,1.0,0.8568667552461201,Contaminated,1.0,0.6005240929738872,Contaminated,1.0,0.7941603631297781,Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Max: I'm not sure what you mean by that.
Payton: I",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 11.304598490397135, 'Min_20.0% Prob': 9.536689201990763, 'Min_30.0% Prob': 8.71012348598904, 'Min_40.0% Prob': 7.87429141998291, 'Min_50.0% Prob': 7.274984180927277}",0.4461223483085632,"{'rouge1': Score(precision=0.1, recall=0.25, fmeasure=0.14285714285714288), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.25, fmeasure=0.14285714285714288)}",157,1.0,0.7955025063620024,Contaminated,1.0,0.7515336599966694,Contaminated,1.0,0.7354320160408081,Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Rita: I'm not sure what I'm going to do.
Tina",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 11.572149276733398, 'Min_20.0% Prob': 10.059233665466309, 'Min_30.0% Prob': 9.022026896476746, 'Min_40.0% Prob': 8.6432053565979, 'Min_50.0% Prob': 7.373749256134033}",0.5512341260910034,"{'rouge1': Score(precision=0.15384615384615385, recall=0.16666666666666666, fmeasure=0.16), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15384615384615385, recall=0.16666666666666666, fmeasure=0.16)}",45,1.0,0.9122123721351022,Contaminated,1.0,0.7943296920415605,Contaminated,1.0,0.94704998186029,Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Beatrice: I'm sorry.
Leo: I'm sorry.
","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 9.96301555633545, 'Min_20.0% Prob': 9.217113335927328, 'Min_30.0% Prob': 8.17914989259508, 'Min_40.0% Prob': 7.404323061307271, 'Min_50.0% Prob': 6.308238297700882}",0.5032727718353271,"{'rouge1': Score(precision=0.07142857142857142, recall=0.25, fmeasure=0.11111111111111112), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07142857142857142, recall=0.25, fmeasure=0.11111111111111112)}",118,1.0,0.6428804293873978,Contaminated,1.0,0.6873432304874187,Contaminated,1.0,0.6895770496331233,Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,Samsum,"
Ivan: ok
Eric: ok
Ivan: ok
Eric",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 11.367463111877441, 'Min_20.0% Prob': 9.184892177581787, 'Min_30.0% Prob': 8.000385363896688, 'Min_40.0% Prob': 7.168188452720642, 'Min_50.0% Prob': 6.1326517842032695}",0.5931177735328674,"{'rouge1': Score(precision=0.14285714285714285, recall=0.42857142857142855, fmeasure=0.21428571428571427), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09523809523809523, recall=0.2857142857142857, fmeasure=0.14285714285714285)}",83,1.0,0.6019261718364298,Contaminated,1.0,0.7337771948431309,Contaminated,1.0,0.6785650042647995,Contaminated
