"Model","Task_Prefix","Dataset_Name","Model_Responses","Gold_Labels","Min_K_Responses","cos_sim_scores","rouge_sim_scores","levenshtein_distance"
"lmsys/vicuna-7b-v1.5","Summarize the following text: ","Samsum","!","Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.","{'Min_10.0% Prob': 11.43359375, 'Min_20.0% Prob': 10.6171875, 'Min_30.0% Prob': 9.759765625, 'Min_40.0% Prob': 8.50830078125, 'Min_50.0% Prob': 7.055575284090909}","0.0767228603363037","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","83"
"lmsys/vicuna-7b-v1.5","Summarize the following text: ","Samsum","","Eric and Rob are going to watch a stand-up on youtube.","{'Min_10.0% Prob': 11.359375, 'Min_20.0% Prob': 10.692708333333334, 'Min_30.0% Prob': 10.01953125, 'Min_40.0% Prob': 8.522135416666666, 'Min_50.0% Prob': 7.58935546875}","0.1292480528354644","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","51"
"lmsys/vicuna-7b-v1.5","Summarize the following text: ","Samsum","","Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.","{'Min_10.0% Prob': 9.234375, 'Min_20.0% Prob': 8.177734375, 'Min_30.0% Prob': 7.479166666666667, 'Min_40.0% Prob': 6.6278076171875, 'Min_50.0% Prob': 5.6374627976190474}","0.0843674317002296","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","147"
"lmsys/vicuna-7b-v1.5","Summarize the following text: ","Samsum","

It seems like Will is trying to plan a dinner for Emma, but she doesn't seem to be interested in eating. She tells him not to worry about cooking, and that she'll be home soon. Will asks if he should pick her up, but she says no. They both express their love for each other at the end.","Emma will be home soon and she will let Will know.","{'Min_10.0% Prob': 10.96875, 'Min_20.0% Prob': 10.14453125, 'Min_30.0% Prob': 9.0625, 'Min_40.0% Prob': 8.4853515625, 'Min_50.0% Prob': 7.255533854166667}","0.6352224946022034","{'rouge1': Score(precision=0.7272727272727273, recall=0.13333333333333333, fmeasure=0.22535211267605634), 'rouge2': Score(precision=0.2, recall=0.03389830508474576, fmeasure=0.05797101449275363), 'rougeL': Score(precision=0.45454545454545453, recall=0.08333333333333333, fmeasure=0.1408450704225352)}","248"
"lmsys/vicuna-7b-v1.5","Summarize the following text: ","Samsum",", I'll wait for you then.","Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.","{'Min_10.0% Prob': 10.532552083333334, 'Min_20.0% Prob': 8.708333333333334, 'Min_30.0% Prob': 7.487413194444445, 'Min_40.0% Prob': 6.5759375, 'Min_50.0% Prob': 5.928175403225806}","0.1297517120838165","{'rouge1': Score(precision=0.046511627906976744, recall=0.3333333333333333, fmeasure=0.08163265306122448), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.046511627906976744, recall=0.3333333333333333, fmeasure=0.08163265306122448)}","202"
"lmsys/vicuna-7b-v1.5","Summarize the following text: ","Samsum","","Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.","{'Min_10.0% Prob': 9.446428571428571, 'Min_20.0% Prob': 7.903459821428571, 'Min_30.0% Prob': 6.837239583333333, 'Min_40.0% Prob': 5.941675646551724, 'Min_50.0% Prob': 5.339409722222222}","0.0885861739516258","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","297"
"lmsys/vicuna-7b-v1.5","Summarize the following text: ","Samsum","
Max: What's ur fav book?
Payton: I have a few, but I'll tell u about them later :)","Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.","{'Min_10.0% Prob': 11.681640625, 'Min_20.0% Prob': 9.439453125, 'Min_30.0% Prob': 8.227213541666666, 'Min_40.0% Prob': 7.3349609375, 'Min_50.0% Prob': 6.384951636904762}","0.4503693580627441","{'rouge1': Score(precision=0.16666666666666666, recall=0.2631578947368421, fmeasure=0.2040816326530612), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13333333333333333, recall=0.21052631578947367, fmeasure=0.163265306122449)}","147"
"lmsys/vicuna-7b-v1.5","Summarize the following text: ","Samsum","","Rita and Tina are bored at work and have still 4 hours left.","{'Min_10.0% Prob': 12.5546875, 'Min_20.0% Prob': 10.697916666666666, 'Min_30.0% Prob': 8.76484375, 'Min_40.0% Prob': 7.677455357142857, 'Min_50.0% Prob': 6.981336805555555}","0.1232910752296447","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","57"
"lmsys/vicuna-7b-v1.5","Summarize the following text: ","Samsum","","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 10.330729166666666, 'Min_20.0% Prob': 8.912946428571429, 'Min_30.0% Prob': 7.689275568181818, 'Min_40.0% Prob': 6.546735491071429, 'Min_50.0% Prob': 5.489474826388889}","0.0891754180192947","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","135"
"lmsys/vicuna-7b-v1.5","Summarize the following text: ","Samsum",", i'll be there","Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.","{'Min_10.0% Prob': 11.9453125, 'Min_20.0% Prob': 10.096875, 'Min_30.0% Prob': 8.509765625, 'Min_40.0% Prob': 7.6439453125, 'Min_50.0% Prob': 6.614933894230769}","0.0753776654601097","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}","86"
