Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction,GradientBoosting_probability,GradientBoosting_status,LogisticRegression_prediction,LogisticRegression_probability,LogisticRegression_status,RandomForest_prediction,RandomForest_probability,RandomForest_status
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,CNN-DailyMail," He is also a member of the National Honor Society and the National Honor Society, and is a member","Dante de Blasio, 17, to make his decision by the end of the month .
His father has said that despite his six-figure salary the family will struggle to meet cost to send son to Ivy League school .","{'Min_10.0% Prob': 8.516733884811401, 'Min_20.0% Prob': 8.14250648021698, 'Min_30.0% Prob': 7.44834932914147, 'Min_40.0% Prob': 6.824516801273122, 'Min_50.0% Prob': 6.039045854048296}",0.1575358062982559,"{'rouge1': Score(precision=0.07894736842105263, recall=0.15789473684210525, fmeasure=0.10526315789473684), 'rouge2': Score(precision=0.02702702702702703, recall=0.05555555555555555, fmeasure=0.03636363636363636), 'rougeL': Score(precision=0.07894736842105263, recall=0.15789473684210525, fmeasure=0.10526315789473684)}",145,1.0,0.9637486712635209,Contaminated,1.0,0.5782262439286189,Contaminated,1.0,0.9890994104321574,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,CNN-DailyMail, Her distraught father Musa told The Star: 'We were still arguing when I heard a commotion,"Nurhayada Sofia fell to her death after being dragged by an escalator .
The 6-year-old was shopping with mother at the mall in Pudu, Malaysia .
CCTV shows her playing with the handrail before she slips through gap .
Her mother - who had been on the phone- was said to be inconsolable .","{'Min_10.0% Prob': 9.990440504891533, 'Min_20.0% Prob': 8.477027211870466, 'Min_30.0% Prob': 7.369924718683416, 'Min_40.0% Prob': 6.608371224896661, 'Min_50.0% Prob': 5.854811352652472}",0.2723737955093384,"{'rouge1': Score(precision=0.0392156862745098, recall=0.125, fmeasure=0.05970149253731343), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0392156862745098, recall=0.125, fmeasure=0.05970149253731343)}",228,1.0,0.896923287817154,Contaminated,1.0,0.6078030523288874,Contaminated,1.0,0.8891942299982037,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,CNN-DailyMail," 

A:

The answer is that FedEx is not a person. 

","Justice Department prosecuting FedEx over unauthorized shipment of drugs .
Danny Cevallos: FedEx has a strong argument that it shouldn't be held responsible .","{'Min_10.0% Prob': 13.645453453063965, 'Min_20.0% Prob': 10.954820251464843, 'Min_30.0% Prob': 8.794553279876709, 'Min_40.0% Prob': 7.455448237332431, 'Min_50.0% Prob': 6.6279376745224}",0.5211212038993835,"{'rouge1': Score(precision=0.13043478260869565, recall=0.3, fmeasure=0.18181818181818182), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08695652173913043, recall=0.2, fmeasure=0.12121212121212122)}",128,1.0,0.539940325644921,Contaminated,1.0,0.739388955429696,Contaminated,1.0,0.7310350792407843,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,CNN-DailyMail,"  'We are in a historic drought and that demands unprecedented action,' Brown at a news conference","California Gov. Jerry Brown ordered state officials Wednesday to impose mandatory water restrictions for the first time in history .
Brown said he signed an executive order requiring measures be implemented to cut water usage by 25 percent compared with 2013 levels .
State water officials found no snow on the ground at the site for their manual survey of the snowpack .
Snow supplies about a third of the state's water .
A higher snowpack translates to more water in California reservoirs to meet demand in summer and fall .","{'Min_10.0% Prob': 8.326652420891655, 'Min_20.0% Prob': 6.906510428378456, 'Min_30.0% Prob': 6.018567381234004, 'Min_40.0% Prob': 5.444383095472287, 'Min_50.0% Prob': 4.937545036783024}",0.3755814433097839,"{'rouge1': Score(precision=0.08045977011494253, recall=0.4375, fmeasure=0.13592233009708737), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.04597701149425287, recall=0.25, fmeasure=0.07766990291262135)}",450,1.0,0.920107892817759,Contaminated,1.0,0.6127228006244873,Contaminated,1.0,0.9455336151586767,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,CNN-DailyMail,,"Ernest Hemingway credited for potent absinthe-Champagne cocktail .
The Zombie has three types of rum, Pernod, grenadine and a secret mix .
Bone Dry Martini is 100 per cent alcohol and also known as Pass the Bottle .","{'Min_10.0% Prob': 11.678666496276856, 'Min_20.0% Prob': 9.932385487989945, 'Min_30.0% Prob': 8.724396049976349, 'Min_40.0% Prob': 7.558031905781139, 'Min_50.0% Prob': 6.86101672384474}",0.1043591573834419,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",212,1.0,0.7543982556597374,Contaminated,1.0,0.5266366663493645,Contaminated,1.0,0.752378642235191,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,CNN-DailyMail," Sterling has been linked with a move to Manchester United, but the England international insists he is not interested","Liverpool forward Raheem Sterling rejected a £90,000-a-week contract .
The England international has been criticised by his own supporters .
But Sterling insists he pays no attention and is fully focused on his football .","{'Min_10.0% Prob': 10.260910034179688, 'Min_20.0% Prob': 7.730327288309733, 'Min_30.0% Prob': 6.581585755715003, 'Min_40.0% Prob': 5.497721274693807, 'Min_50.0% Prob': 4.899765632369301}",0.6306089162826538,"{'rouge1': Score(precision=0.3142857142857143, recall=0.5789473684210527, fmeasure=0.40740740740740744), 'rouge2': Score(precision=0.11764705882352941, recall=0.2222222222222222, fmeasure=0.15384615384615383), 'rougeL': Score(precision=0.22857142857142856, recall=0.42105263157894735, fmeasure=0.2962962962962963)}",160,1.0,0.7255854127081147,Contaminated,1.0,0.6826459858075583,Contaminated,1.0,0.8390178249253323,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,CNN-DailyMail," . The Woody Allen Centre will be located in the former La Llotja building, which is now","The project is hoped to open at the former arts centre, La Llotja .
Friend and producer Jaume Roures of Mediapro is leading the tribute .
The museum follows Allen's Vicky Cristina Barcelona, set in the city .","{'Min_10.0% Prob': 11.306035423278809, 'Min_20.0% Prob': 9.714586973190308, 'Min_30.0% Prob': 8.802611827850342, 'Min_40.0% Prob': 7.978452515602112, 'Min_50.0% Prob': 7.305073013305664}",0.5293018221855164,"{'rouge1': Score(precision=0.25, recall=0.5625, fmeasure=0.34615384615384615), 'rouge2': Score(precision=0.08571428571428572, recall=0.2, fmeasure=0.12000000000000001), 'rougeL': Score(precision=0.16666666666666666, recall=0.375, fmeasure=0.23076923076923078)}",161,1.0,0.9019484003251622,Contaminated,1.0,0.6895686328722247,Contaminated,1.0,0.8813605225480228,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,CNN-DailyMail, 'I'm not going to let her get away with this': Finley's husband Jeffrey Dietiker,"Bobbi Ann House, 39, is currently on-the-run for check fraud .
Her and husband Zackerie House, 27, believed to be camping in Oklahoma .
Allegedly used bad checks worth $13,500 in Oregon, Colorado and Oklahoma .
Bobbi Ann hit headlines in 2010 for marrying at 14 servicemen .
She would move around different military bases stealing money .
Spent at least seven months in prison but was recently released .","{'Min_10.0% Prob': 11.065937042236328, 'Min_20.0% Prob': 9.404764802832352, 'Min_30.0% Prob': 8.479961701801844, 'Min_40.0% Prob': 7.645730357421072, 'Min_50.0% Prob': 6.944414009650548}",0.2097073644399643,"{'rouge1': Score(precision=0.04477611940298507, recall=0.1875, fmeasure=0.07228915662650602), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.029850746268656716, recall=0.125, fmeasure=0.048192771084337345)}",350,1.0,0.7943896895625826,Contaminated,1.0,0.7091019664189814,Contaminated,1.0,0.8740447715346201,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,CNN-DailyMail, The rapper's Facebook page describes him as a 'Libyan rapper' and states: 'I hate,"Calling himself 'Volcano' rapper is a 31-year-old from war-torn Benghazi .
He is seen standing in front of weapons of war and burning buildings .
He poses with fighters and even carries a massive assault rifle himself .
Video shows Volcano performing on Benghazi's rubble-strewn streets .","{'Min_10.0% Prob': 10.273282210032145, 'Min_20.0% Prob': 8.944844921429953, 'Min_30.0% Prob': 8.071559164259169, 'Min_40.0% Prob': 7.420121848583221, 'Min_50.0% Prob': 6.508747623812768}",0.4643389880657196,"{'rouge1': Score(precision=0.08333333333333333, recall=0.26666666666666666, fmeasure=0.12698412698412698), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0625, recall=0.2, fmeasure=0.09523809523809523)}",235,1.0,0.8063499481911679,Contaminated,0.0,0.46239418829356865,Clean,1.0,0.627509818505368,Contaminated
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,CNN-DailyMail, Marcelo said he was 'very happy' to be part of the team that won the Champions League,"Real Madrid haven't beaten local rivals Atletico in six attempts this season .
They clash in the first leg of the Champions League last eight on Tuesday .
Marcelo says the players are not thinking about their recent record .","{'Min_10.0% Prob': 9.409828186035156, 'Min_20.0% Prob': 7.6945534282260475, 'Min_30.0% Prob': 6.785568640782283, 'Min_40.0% Prob': 6.017595065964593, 'Min_50.0% Prob': 5.425041415474632}",0.3308992683887481,"{'rouge1': Score(precision=0.15789473684210525, recall=0.35294117647058826, fmeasure=0.21818181818181817), 'rouge2': Score(precision=0.08108108108108109, recall=0.1875, fmeasure=0.11320754716981132), 'rougeL': Score(precision=0.10526315789473684, recall=0.23529411764705882, fmeasure=0.14545454545454545)}",171,1.0,0.9337841640794476,Contaminated,1.0,0.6272107535175163,Contaminated,1.0,0.9851682863704923,Contaminated
