Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x_x,GradientBoosting_probability_x_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x_x,LogisticRegression_probability_x_x_x,LogisticRegression_status,RandomForest_prediction_x_x_x,RandomForest_probability_x_x_x,RandomForest_status,GradientBoosting_prediction_y_x_x,GradientBoosting_probability_y_x_x,GradientBoosting_label_x_x,LogisticRegression_prediction_y_x_x,LogisticRegression_probability_y_x_x,LogisticRegression_label_x_x,RandomForest_prediction_y_x_x,RandomForest_probability_y_x_x,RandomForest_label_x_x,GradientBoosting_prediction_x_y_x,GradientBoosting_probability_x_y_x,GradientBoosting_label_y_x,GradientBoosting_label_y.1_x,LogisticRegression_prediction_x_y_x,LogisticRegression_probability_x_y_x,LogisticRegression_label_y_x,LogisticRegression_label_y.1_x,RandomForest_prediction_x_y_x,RandomForest_probability_x_y_x,RandomForest_label_y_x,RandomForest_label_y.1_x,GradientBoosting_prediction_y_y_x,GradientBoosting_probability_y_y_x,GradientBoosting_label_y.2_x,GradientBoosting_label_y.3_x,LogisticRegression_prediction_y_y_x,LogisticRegression_probability_y_y_x,LogisticRegression_label_y.2_x,LogisticRegression_label_y.3_x,RandomForest_prediction_y_y_x,RandomForest_probability_y_y_x,RandomForest_label_y.2_x,RandomForest_label_y.3_x,GradientBoosting_prediction_x,GradientBoosting_probability_x,LogisticRegression_prediction_x,LogisticRegression_probability_x,RandomForest_prediction_x,RandomForest_probability_x,GradientBoosting_prediction_x_x_y,GradientBoosting_probability_x_x_y,GradientBoosting_label,LogisticRegression_prediction_x_x_y,LogisticRegression_probability_x_x_y,LogisticRegression_label,RandomForest_prediction_x_x_y,RandomForest_probability_x_x_y,RandomForest_label,GradientBoosting_prediction_y_x_y,GradientBoosting_probability_y_x_y,GradientBoosting_label_x_y,LogisticRegression_prediction_y_x_y,LogisticRegression_probability_y_x_y,LogisticRegression_label_x_y,RandomForest_prediction_y_x_y,RandomForest_probability_y_x_y,RandomForest_label_x_y,GradientBoosting_prediction_x_y_y,GradientBoosting_probability_x_y_y,GradientBoosting_label_y_y,GradientBoosting_label_y.1_y,LogisticRegression_prediction_x_y_y,LogisticRegression_probability_x_y_y,LogisticRegression_label_y_y,LogisticRegression_label_y.1_y,RandomForest_prediction_x_y_y,RandomForest_probability_x_y_y,RandomForest_label_y_y,RandomForest_label_y.1_y,GradientBoosting_prediction_y_y_y,GradientBoosting_probability_y_y_y,GradientBoosting_label_y.2_y,GradientBoosting_label_y.3_y,LogisticRegression_prediction_y_y_y,LogisticRegression_probability_y_y_y,LogisticRegression_label_y.2_y,LogisticRegression_label_y.3_y,RandomForest_prediction_y_y_y,RandomForest_probability_y_y_y,RandomForest_label_y.2_y,RandomForest_label_y.3_y,GradientBoosting_prediction_y,GradientBoosting_probability_y,LogisticRegression_prediction_y,LogisticRegression_probability_y,RandomForest_prediction_y,RandomForest_probability_y
facebook/opt-125m,Summarize the following text: ,Samsum,"
Hannah: Bye bye
Amanda: Bye bye
Hannah: Bye bye
H",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 12.255374908447266, 'Min_20.0% Prob': 9.784618059794107, 'Min_30.0% Prob': 8.769956588745117, 'Min_40.0% Prob': 7.9439175469534735, 'Min_50.0% Prob': 7.379510879516602}",0.563495397567749,"{'rouge1': Score(precision=0.125, recall=0.2, fmeasure=0.15384615384615385), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.2, fmeasure=0.15384615384615385)}",59,1.0,0.7714578097807633,Contaminated,1.0,0.7677958995484008,Contaminated,1.0,0.9068924322242496,Contaminated,1.0,0.7714578097807633,Likely Contaminated,1.0,0.7677958995484008,Likely Contaminated,1.0,0.9068924322242496,Likely Contaminated,1.0,0.7714578097807633,Likely Contaminated,Likely Contaminated,1.0,0.7677958995484008,Likely Contaminated,Likely Contaminated,1.0,0.9068924322242496,Likely Contaminated,Likely Contaminated,1.0,0.7714578097807633,Likely Contaminated,Likely Contaminated,1.0,0.7677958995484008,Likely Contaminated,Likely Contaminated,1.0,0.9068924322242496,Likely Contaminated,Likely Contaminated,1.0,0.7714578097807633,1.0,0.7677958995484008,1.0,0.9068924322242496,1.0,0.7714578097807633,Likely Contaminated,1.0,0.7677958995484008,Likely Contaminated,1.0,0.9068924322242496,Likely Contaminated,1.0,0.7714578097807633,Likely Contaminated,1.0,0.7677958995484008,Likely Contaminated,1.0,0.9068924322242496,Likely Contaminated,1.0,0.7714578097807633,Likely Contaminated,Likely Contaminated,1.0,0.7677958995484008,Likely Contaminated,Likely Contaminated,1.0,0.9068924322242496,Likely Contaminated,Likely Contaminated,1.0,0.7714578097807633,Likely Contaminated,Likely Contaminated,1.0,0.7677958995484008,Likely Contaminated,Likely Contaminated,1.0,0.9068924322242496,Likely Contaminated,Likely Contaminated,1.0,0.7714578097807633,1.0,0.7677958995484008,1.0,0.9068924322242496
facebook/opt-125m,Summarize the following text: ,Samsum,"
Eric: I'm not sure what to say. I'm not sure what to say. I",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 12.932170867919922, 'Min_20.0% Prob': 11.177968978881836, 'Min_30.0% Prob': 8.740200281143188, 'Min_40.0% Prob': 8.142008304595947, 'Min_50.0% Prob': 7.107267107282366}",0.3588461875915527,"{'rouge1': Score(precision=0.16666666666666666, recall=0.125, fmeasure=0.14285714285714288), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.125, fmeasure=0.14285714285714288)}",41,1.0,0.9105414700598352,Contaminated,1.0,0.7634854011403769,Contaminated,1.0,0.8295383563876209,Contaminated,1.0,0.9105414700598352,Likely Contaminated,1.0,0.7634854011403769,Likely Contaminated,1.0,0.8295383563876209,Likely Contaminated,1.0,0.9105414700598352,Likely Contaminated,Likely Contaminated,1.0,0.7634854011403769,Likely Contaminated,Likely Contaminated,1.0,0.8295383563876209,Likely Contaminated,Likely Contaminated,1.0,0.9105414700598352,Likely Contaminated,Likely Contaminated,1.0,0.7634854011403769,Likely Contaminated,Likely Contaminated,1.0,0.8295383563876209,Likely Contaminated,Likely Contaminated,1.0,0.9105414700598352,1.0,0.7634854011403769,1.0,0.8295383563876209,1.0,0.9105414700598352,Likely Contaminated,1.0,0.7634854011403769,Likely Contaminated,1.0,0.8295383563876209,Likely Contaminated,1.0,0.9105414700598352,Likely Contaminated,1.0,0.7634854011403769,Likely Contaminated,1.0,0.8295383563876209,Likely Contaminated,1.0,0.9105414700598352,Likely Contaminated,Likely Contaminated,1.0,0.7634854011403769,Likely Contaminated,Likely Contaminated,1.0,0.8295383563876209,Likely Contaminated,Likely Contaminated,1.0,0.9105414700598352,Likely Contaminated,Likely Contaminated,1.0,0.7634854011403769,Likely Contaminated,Likely Contaminated,1.0,0.8295383563876209,Likely Contaminated,Likely Contaminated,1.0,0.9105414700598352,1.0,0.7634854011403769,1.0,0.8295383563876209
facebook/opt-125m,Summarize the following text: ,Samsum,"
Lenny: I'm not sure what to do with the second pair. I'm not sure",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 10.515885670979818, 'Min_20.0% Prob': 8.366677284240723, 'Min_30.0% Prob': 7.525124883651733, 'Min_40.0% Prob': 6.638691970280239, 'Min_50.0% Prob': 6.088201452704037}",0.5269284248352051,"{'rouge1': Score(precision=0.13793103448275862, recall=0.25, fmeasure=0.17777777777777778), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13793103448275862, recall=0.25, fmeasure=0.17777777777777778)}",113,1.0,0.7562376400631584,Contaminated,1.0,0.7131021562578131,Contaminated,1.0,0.8532437388745845,Contaminated,1.0,0.7562376400631584,Likely Contaminated,1.0,0.7131021562578131,Likely Contaminated,1.0,0.8532437388745845,Likely Contaminated,1.0,0.7562376400631584,Likely Contaminated,Likely Contaminated,1.0,0.7131021562578131,Likely Contaminated,Likely Contaminated,1.0,0.8532437388745845,Likely Contaminated,Likely Contaminated,1.0,0.7562376400631584,Likely Contaminated,Likely Contaminated,1.0,0.7131021562578131,Likely Contaminated,Likely Contaminated,1.0,0.8532437388745845,Likely Contaminated,Likely Contaminated,1.0,0.7562376400631584,1.0,0.7131021562578131,1.0,0.8532437388745845,1.0,0.7562376400631584,Likely Contaminated,1.0,0.7131021562578131,Likely Contaminated,1.0,0.8532437388745845,Likely Contaminated,1.0,0.7562376400631584,Likely Contaminated,1.0,0.7131021562578131,Likely Contaminated,1.0,0.8532437388745845,Likely Contaminated,1.0,0.7562376400631584,Likely Contaminated,Likely Contaminated,1.0,0.7131021562578131,Likely Contaminated,Likely Contaminated,1.0,0.8532437388745845,Likely Contaminated,Likely Contaminated,1.0,0.7562376400631584,Likely Contaminated,Likely Contaminated,1.0,0.7131021562578131,Likely Contaminated,Likely Contaminated,1.0,0.8532437388745845,Likely Contaminated,Likely Contaminated,1.0,0.7562376400631584,1.0,0.7131021562578131,1.0,0.8532437388745845
facebook/opt-125m,Summarize the following text: ,Samsum,                    ,Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 10.701526641845703, 'Min_20.0% Prob': 9.795328617095947, 'Min_30.0% Prob': 8.77761697769165, 'Min_40.0% Prob': 7.604577445983887, 'Min_50.0% Prob': 6.802196900049846}",0.1185323894023895,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",40,0.0,0.4984198735584115,Clean,1.0,0.6816723376488951,Contaminated,0.0,0.4693869255744255,Clean,0.0,0.4984198735584115,Not Contaminated,1.0,0.6816723376488951,Likely Contaminated,0.0,0.4693869255744255,Not Contaminated,1.0,0.8610714618945624,Not Contaminated,Likely Contaminated,1.0,0.5788328139289717,Likely Contaminated,Likely Contaminated,1.0,0.9047376363698362,Not Contaminated,Likely Contaminated,1.0,0.8610714618945624,Not Contaminated,Likely Contaminated,1.0,0.5788328139289717,Likely Contaminated,Likely Contaminated,1.0,0.9047376363698362,Not Contaminated,Likely Contaminated,0.0,0.4984198735584115,1.0,0.6816723376488951,0.0,0.4693869255744255,1.0,0.8610714618945624,Not Contaminated,1.0,0.5788328139289717,Likely Contaminated,1.0,0.9047376363698362,Not Contaminated,1.0,0.8610714618945624,Likely Contaminated,1.0,0.5788328139289717,Likely Contaminated,1.0,0.9047376363698362,Likely Contaminated,1.0,0.7734523534046795,Likely Contaminated,Likely Contaminated,1.0,0.7745086955952141,Likely Contaminated,Likely Contaminated,1.0,0.8804591167720178,Likely Contaminated,Likely Contaminated,1.0,0.7734523534046795,Likely Contaminated,Likely Contaminated,1.0,0.7745086955952141,Likely Contaminated,Likely Contaminated,1.0,0.8804591167720178,Likely Contaminated,Likely Contaminated,0.0,0.49841987355841155,1.0,0.6816723376488951,0.0,0.4693869255744255
facebook/opt-125m,Summarize the following text: ,Samsum,", i'll bring the pastries, but i'll bring the pastries.
Ollie",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 12.305747413635254, 'Min_20.0% Prob': 10.094870480624111, 'Min_30.0% Prob': 8.717330068349838, 'Min_40.0% Prob': 7.536381006240845, 'Min_50.0% Prob': 6.813772219198722}",0.436859518289566,"{'rouge1': Score(precision=0.046511627906976744, recall=0.16666666666666666, fmeasure=0.07272727272727272), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.023255813953488372, recall=0.08333333333333333, fmeasure=0.03636363636363636)}",183,1.0,0.8610714618945624,Contaminated,1.0,0.5788328139289717,Contaminated,1.0,0.9047376363698362,Contaminated,1.0,0.8610714618945624,Likely Contaminated,1.0,0.5788328139289717,Likely Contaminated,1.0,0.9047376363698362,Likely Contaminated,1.0,0.7734523534046795,Likely Contaminated,Likely Contaminated,1.0,0.7745086955952141,Likely Contaminated,Likely Contaminated,1.0,0.8804591167720178,Likely Contaminated,Likely Contaminated,1.0,0.7734523534046795,Likely Contaminated,Likely Contaminated,1.0,0.7745086955952141,Likely Contaminated,Likely Contaminated,1.0,0.8804591167720178,Likely Contaminated,Likely Contaminated,1.0,0.8610714618945624,1.0,0.5788328139289717,1.0,0.9047376363698362,1.0,0.7734523534046795,Likely Contaminated,1.0,0.7745086955952141,Likely Contaminated,1.0,0.8804591167720178,Likely Contaminated,1.0,0.7734523534046795,Likely Contaminated,1.0,0.7745086955952141,Likely Contaminated,1.0,0.8804591167720178,Likely Contaminated,1.0,0.9270759398392492,Likely Contaminated,Likely Contaminated,1.0,0.7968903451304318,Likely Contaminated,Likely Contaminated,1.0,0.931779121235452,Likely Contaminated,Likely Contaminated,1.0,0.9270759398392492,Likely Contaminated,Likely Contaminated,1.0,0.7968903451304318,Likely Contaminated,Likely Contaminated,1.0,0.931779121235452,Likely Contaminated,Likely Contaminated,1.0,0.8610714618945624,1.0,0.5788328139289717,1.0,0.9047376363698362
facebook/opt-125m,Summarize the following text: ,Samsum,"
Benjamin: I'll be there at 2:30 pm, so I'll be there by",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 9.139509995778402, 'Min_20.0% Prob': 7.913208374610314, 'Min_30.0% Prob': 7.066569495201111, 'Min_40.0% Prob': 6.375528582820186, 'Min_50.0% Prob': 5.80432147138259}",0.3670740723609924,"{'rouge1': Score(precision=0.07017543859649122, recall=0.26666666666666666, fmeasure=0.11111111111111112), 'rouge2': Score(precision=0.017857142857142856, recall=0.07142857142857142, fmeasure=0.028571428571428574), 'rougeL': Score(precision=0.07017543859649122, recall=0.26666666666666666, fmeasure=0.11111111111111112)}",261,1.0,0.7734523534046795,Contaminated,1.0,0.7745086955952141,Contaminated,1.0,0.8804591167720178,Contaminated,1.0,0.7734523534046795,Likely Contaminated,1.0,0.7745086955952141,Likely Contaminated,1.0,0.8804591167720178,Likely Contaminated,1.0,0.9270759398392492,Likely Contaminated,Likely Contaminated,1.0,0.7968903451304318,Likely Contaminated,Likely Contaminated,1.0,0.931779121235452,Likely Contaminated,Likely Contaminated,1.0,0.9270759398392492,Likely Contaminated,Likely Contaminated,1.0,0.7968903451304318,Likely Contaminated,Likely Contaminated,1.0,0.931779121235452,Likely Contaminated,Likely Contaminated,1.0,0.7734523534046795,1.0,0.7745086955952141,1.0,0.8804591167720178,1.0,0.9270759398392492,Likely Contaminated,1.0,0.7968903451304318,Likely Contaminated,1.0,0.931779121235452,Likely Contaminated,1.0,0.9270759398392492,Likely Contaminated,1.0,0.7968903451304318,Likely Contaminated,1.0,0.931779121235452,Likely Contaminated,1.0,0.7435392710303823,Likely Contaminated,Likely Contaminated,1.0,0.5829002441146915,Likely Contaminated,Likely Contaminated,1.0,0.8285978674103676,Likely Contaminated,Likely Contaminated,1.0,0.7435392710303823,Likely Contaminated,Likely Contaminated,1.0,0.5829002441146915,Likely Contaminated,Likely Contaminated,1.0,0.8285978674103676,Likely Contaminated,Likely Contaminated,1.0,0.7734523534046795,1.0,0.7745086955952141,1.0,0.8804591167720178
facebook/opt-125m,Summarize the following text: ,Samsum,"
Payton: I read a lot of books, but I don't read much. I read",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 11.933442115783691, 'Min_20.0% Prob': 10.359199206034342, 'Min_30.0% Prob': 8.86516752243042, 'Min_40.0% Prob': 8.068592731769268, 'Min_50.0% Prob': 7.1853267445283775}",0.5299735069274902,"{'rouge1': Score(precision=0.13333333333333333, recall=0.26666666666666666, fmeasure=0.17777777777777776), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.2, fmeasure=0.13333333333333333)}",150,1.0,0.9270759398392492,Contaminated,1.0,0.7968903451304318,Contaminated,1.0,0.931779121235452,Contaminated,1.0,0.9270759398392492,Likely Contaminated,1.0,0.7968903451304318,Likely Contaminated,1.0,0.931779121235452,Likely Contaminated,1.0,0.7435392710303823,Likely Contaminated,Likely Contaminated,1.0,0.5829002441146915,Likely Contaminated,Likely Contaminated,1.0,0.8285978674103676,Likely Contaminated,Likely Contaminated,1.0,0.7435392710303823,Likely Contaminated,Likely Contaminated,1.0,0.5829002441146915,Likely Contaminated,Likely Contaminated,1.0,0.8285978674103676,Likely Contaminated,Likely Contaminated,1.0,0.9270759398392492,1.0,0.7968903451304318,1.0,0.931779121235452,1.0,0.7435392710303823,Likely Contaminated,1.0,0.5829002441146915,Likely Contaminated,1.0,0.8285978674103676,Likely Contaminated,1.0,0.7435392710303823,Likely Contaminated,1.0,0.5829002441146915,Likely Contaminated,1.0,0.8285978674103676,Likely Contaminated,1.0,0.630772079785887,Likely Contaminated,Likely Contaminated,1.0,0.7886143390368223,Likely Contaminated,Likely Contaminated,1.0,0.7583761799217457,Likely Contaminated,Likely Contaminated,1.0,0.630772079785887,Likely Contaminated,Likely Contaminated,1.0,0.7886143390368223,Likely Contaminated,Likely Contaminated,1.0,0.7583761799217457,Likely Contaminated,Likely Contaminated,1.0,0.9270759398392492,1.0,0.7968903451304318,1.0,0.9317791212354521
facebook/opt-125m,Summarize the following text: ,Samsum,"
Rita: I'm not cut out for this level of boredom.
Tina: I",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 10.739004135131836, 'Min_20.0% Prob': 9.981187502543131, 'Min_30.0% Prob': 9.249706864356995, 'Min_40.0% Prob': 8.162428855895996, 'Min_50.0% Prob': 7.579606873648507}",0.6285905838012695,"{'rouge1': Score(precision=0.15384615384615385, recall=0.15384615384615385, fmeasure=0.15384615384615385), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15384615384615385, recall=0.15384615384615385, fmeasure=0.15384615384615385)}",46,1.0,0.7435392710303823,Contaminated,1.0,0.5829002441146915,Contaminated,1.0,0.8285978674103676,Contaminated,1.0,0.7435392710303823,Likely Contaminated,1.0,0.5829002441146915,Likely Contaminated,1.0,0.8285978674103676,Likely Contaminated,1.0,0.630772079785887,Likely Contaminated,Likely Contaminated,1.0,0.7886143390368223,Likely Contaminated,Likely Contaminated,1.0,0.7583761799217457,Likely Contaminated,Likely Contaminated,1.0,0.630772079785887,Likely Contaminated,Likely Contaminated,1.0,0.7886143390368223,Likely Contaminated,Likely Contaminated,1.0,0.7583761799217457,Likely Contaminated,Likely Contaminated,1.0,0.7435392710303823,1.0,0.5829002441146915,1.0,0.8285978674103676,1.0,0.630772079785887,Likely Contaminated,1.0,0.7886143390368223,Likely Contaminated,1.0,0.7583761799217457,Likely Contaminated,1.0,0.630772079785887,Likely Contaminated,1.0,0.7886143390368223,Likely Contaminated,1.0,0.7583761799217457,Likely Contaminated,1.0,0.7101749654130596,Likely Contaminated,Likely Contaminated,1.0,0.7048904109038622,Likely Contaminated,Likely Contaminated,1.0,0.812354983560185,Likely Contaminated,Likely Contaminated,1.0,0.7101749654130596,Likely Contaminated,Likely Contaminated,1.0,0.7048904109038622,Likely Contaminated,Likely Contaminated,1.0,0.812354983560185,Likely Contaminated,Likely Contaminated,1.0,0.7435392710303823,1.0,0.5829002441146915,1.0,0.8285978674103676
facebook/opt-125m,Summarize the following text: ,Samsum," I'm not complaining. I'm just saying that I don't like them.
Beatrice:","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 10.34514045715332, 'Min_20.0% Prob': 9.012592315673828, 'Min_30.0% Prob': 7.92363002565172, 'Min_40.0% Prob': 6.7369522498204155, 'Min_50.0% Prob': 5.9729273468256}",0.3646231293678283,"{'rouge1': Score(precision=0.10714285714285714, recall=0.2, fmeasure=0.13953488372093023), 'rouge2': Score(precision=0.037037037037037035, recall=0.07142857142857142, fmeasure=0.04878048780487805), 'rougeL': Score(precision=0.07142857142857142, recall=0.13333333333333333, fmeasure=0.09302325581395349)}",110,1.0,0.630772079785887,Contaminated,1.0,0.7886143390368223,Contaminated,1.0,0.7583761799217457,Contaminated,1.0,0.630772079785887,Likely Contaminated,1.0,0.7886143390368223,Likely Contaminated,1.0,0.7583761799217457,Likely Contaminated,1.0,0.7101749654130596,Likely Contaminated,Likely Contaminated,1.0,0.7048904109038622,Likely Contaminated,Likely Contaminated,1.0,0.812354983560185,Likely Contaminated,Likely Contaminated,1.0,0.7101749654130596,Likely Contaminated,Likely Contaminated,1.0,0.7048904109038622,Likely Contaminated,Likely Contaminated,1.0,0.812354983560185,Likely Contaminated,Likely Contaminated,1.0,0.630772079785887,1.0,0.7886143390368223,1.0,0.7583761799217457,1.0,0.7101749654130596,Likely Contaminated,1.0,0.7048904109038622,Likely Contaminated,1.0,0.812354983560185,Likely Contaminated,1.0,0.7101749654130596,Likely Contaminated,1.0,0.7048904109038622,Likely Contaminated,1.0,0.812354983560185,Likely Contaminated,1.0,0.628840327671407,Likely Contaminated,Likely Contaminated,1.0,0.8686746095515647,Likely Contaminated,Likely Contaminated,1.0,0.7471998365196894,Likely Contaminated,Likely Contaminated,1.0,0.628840327671407,Likely Contaminated,Likely Contaminated,1.0,0.8686746095515647,Likely Contaminated,Likely Contaminated,1.0,0.7471998365196894,Likely Contaminated,Likely Contaminated,1.0,0.630772079785887,1.0,0.7886143390368223,1.0,0.7583761799217457
facebook/opt-125m,Summarize the following text: ,Samsum," man, i dont know what to say
Ivan: ok man, i dont know what to",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 13.854631900787354, 'Min_20.0% Prob': 10.896740913391113, 'Min_30.0% Prob': 9.236712137858072, 'Min_40.0% Prob': 7.636532333162096, 'Min_50.0% Prob': 6.832959435202858}",0.5068261623382568,"{'rouge1': Score(precision=0.19047619047619047, recall=0.26666666666666666, fmeasure=0.2222222222222222), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.19047619047619047, recall=0.26666666666666666, fmeasure=0.2222222222222222)}",66,1.0,0.7101749654130596,Contaminated,1.0,0.7048904109038622,Contaminated,1.0,0.812354983560185,Contaminated,1.0,0.7101749654130596,Likely Contaminated,1.0,0.7048904109038622,Likely Contaminated,1.0,0.812354983560185,Likely Contaminated,1.0,0.628840327671407,Likely Contaminated,Likely Contaminated,1.0,0.8686746095515647,Likely Contaminated,Likely Contaminated,1.0,0.7471998365196894,Likely Contaminated,Likely Contaminated,1.0,0.628840327671407,Likely Contaminated,Likely Contaminated,1.0,0.8686746095515647,Likely Contaminated,Likely Contaminated,1.0,0.7471998365196894,Likely Contaminated,Likely Contaminated,1.0,0.7101749654130596,1.0,0.7048904109038622,1.0,0.812354983560185,1.0,0.628840327671407,Likely Contaminated,1.0,0.8686746095515647,Likely Contaminated,1.0,0.7471998365196894,Likely Contaminated,1.0,0.628840327671407,Likely Contaminated,1.0,0.8686746095515647,Likely Contaminated,1.0,0.7471998365196894,Likely Contaminated,1.0,0.6010882425299838,Likely Contaminated,Likely Contaminated,1.0,0.5969712021253126,Likely Contaminated,Likely Contaminated,1.0,0.594667213698754,Likely Contaminated,Likely Contaminated,1.0,0.6010882425299838,Likely Contaminated,Likely Contaminated,1.0,0.5969712021253126,Likely Contaminated,Likely Contaminated,1.0,0.594667213698754,Likely Contaminated,Likely Contaminated,1.0,0.7101749654130596,1.0,0.7048904109038622,1.0,0.812354983560185
