,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,West Indies have reinstated Phil Simmons as head coach of their senior squads after he apologised for criticising team selection.,-0.093291275203228,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.092161178588867,8.293498158454895,7.38011368115743,6.418466038174099,5.772727922959761
1,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,"<?php

namespace AppHttpControllers;

use AppHttpRequests;
use AppHttpControllersController;
use","Two convicted rapists and a man convicted of assault - all considered to be a ""risk to the public"" - have absconded from an open prison.",-0.0409349761903286,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.500092188517252,6.640815019607544,5.59543506304423,4.864096800486247,4.25318295955658
2,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,A man has been left scarred for life in an unprovoked attack in a Glasgow pub.,-0.0365211814641952,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.919939994812012,6.890395800272624,6.082923889160156,5.434076479503086,4.825668017069499
3,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"An alleged head of a kidnapping ring in Lagos, Nigeria, is suing the Inspector-General of Police.",-0.0946913808584213,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.564667701721191,8.08558432261149,7.450467491149903,6.974401610238211,6.011192056867811
4,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,Oil firms BP and GDF Suez have announced the discovery of a new field in the UK Central North Sea.,-0.1288904845714569,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.029208183288574,7.768346309661865,6.553046941757202,5.524742931127548,4.4077420668168505
5,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,Home » News » News » 2019 » January » 14 » 14th January ,Pupils at seven schools could have shorter days after a trust head say he may have to cut hours to save money.,-0.0500709153711795,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.574588298797607,8.343576312065125,7.377597808837891,6.757804499732123,5.748892684777577
6,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"Supermarket plant sales are reducing customers' choice, says Gardeners' World presenter Monty Don.",0.0230702925473451,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.619352340698242,10.12841510772705,8.774465942382813,7.405255113329206,6.421105729209052
7,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"An inquest into the deaths of 11 men at the Shoreham Airshow is not likely for another year, the BBC can reveal.",-0.0364414937794208,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.248839378356934,5.810442638397217,4.948919057846069,4.516996622085571,4.039994349846473
8,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"House prices have risen significantly in England in the past year in contrast to the rest of the UK, figures suggest.",-0.0175573825836181,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.370160341262817,6.642224550247192,5.686453541119893,4.99934196472168,4.218857797709378
9,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"Farmers' interests are best served by remaining in the European Union, the National Farmers' Union has said.",0.0341363884508609,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423825025558472,5.185699701309204,4.493609229723613,3.9461505711078644,3.535569453239441
10,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,Former first minister Alex Salmond has called for a fresh look at the currency options for an independent Scotland.,-0.0844724178314209,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1667773723602295,5.89741575717926,5.145161549250285,4.536619633436203,4.005449974536896
11,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,"<?php

namespace AppHttpControllers;

use AppHttpRequests;
use AppHttpControllersController;
use",Blackburn Rovers have signed midfielder Matt Grimes from Premier League side Swansea on a three-month loan deal.,0.0159614402800798,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83875036239624,7.0969051122665405,6.536734104156494,5.95940038561821,5.286921501159668
12,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,Paris-St Germain have completed their deal to sign Neymar from Barcelona for 222m euros (£198m).,0.01018145121634,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.822687149047852,6.416352152824402,5.654088377952576,4.989857763051987,4.125580191612244
13,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,Home » News » 2019 » May » 21 » 5 Things You Didn’t Know,BBC NI political reporter Stephen Walker meets Lord Bannside to discuss the anniversary of the signing of the Ulster Covenant.,0.0243534389883279,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.50334882736206,8.759443759918213,8.08130693435669,7.055751270718044,6.450120817531239
14,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"The chief constable of South Yorkshire has admitted ""grave errors"" were made during the Hillsborough disaster and has apologised ""profoundly"".",-0.0498319528996944,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.778719425201416,5.614823627471924,5.164206504821777,4.664817419919101,4.115991864885602
15,microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,UK drugs manufacturer GlaxoSmithKline has said it will not file patents for its products in the world's poorest nations.,-0.0078253084793686,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.806926012039185,6.8524247169494625,6.086581468582153,5.227709245681763,4.718014220396678
