Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x,GradientBoosting_probability_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x,LogisticRegression_probability_x_x,LogisticRegression_status,RandomForest_prediction_x_x,RandomForest_probability_x_x,RandomForest_status,GradientBoosting_prediction_y_x,GradientBoosting_probability_y_x,GradientBoosting_label_x,LogisticRegression_prediction_y_x,LogisticRegression_probability_y_x,LogisticRegression_label_x,RandomForest_prediction_y_x,RandomForest_probability_y_x,RandomForest_label_x,GradientBoosting_prediction_x_y,GradientBoosting_probability_x_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_x_y,LogisticRegression_probability_x_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_x_y,RandomForest_probability_x_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction_y_y,GradientBoosting_probability_y_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_y_y,LogisticRegression_probability_y_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_y_y,RandomForest_probability_y_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction,GradientBoosting_probability,LogisticRegression_prediction,LogisticRegression_probability,RandomForest_prediction,RandomForest_probability
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
### Query: Given the following data on the number of books read by students in a",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 11.0703125, 'Min_20.0% Prob': 9.16015625, 'Min_30.0% Prob': 7.8125, 'Min_40.0% Prob': 6.856201171875, 'Min_50.0% Prob': 6.2607421875}",0.1243783459067344,"{'rouge1': Score(precision=0.0625, recall=0.06666666666666667, fmeasure=0.06451612903225808), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0625, recall=0.06666666666666667, fmeasure=0.06451612903225808)}",70,1,0.7933544654197306,Contaminated,1,0.6195906985510992,Contaminated,1,0.5685170314291831,Contaminated,1,0.7933544654197306,Likely Contaminated,1,0.6195906985510992,Likely Contaminated,1,0.5685170314291831,Likely Contaminated,1,0.7933544654197306,Likely Contaminated,Likely Contaminated,1,0.6195906985510992,Likely Contaminated,Likely Contaminated,1,0.5685170314291831,Likely Contaminated,Likely Contaminated,1,0.7933544654197306,Likely Contaminated,Likely Contaminated,1,0.6195906985510992,Likely Contaminated,Likely Contaminated,1,0.5685170314291831,Likely Contaminated,Likely Contaminated,1,0.7933544654197306,1,0.6195906985510992,1,0.5685170314291831
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 In a classroom, there are 12 boys and 8 girls. If",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 23.125, 'Min_20.0% Prob': 12.6953125, 'Min_30.0% Prob': 11.0615234375, 'Min_40.0% Prob': 9.016927083333334, 'Min_50.0% Prob': 8.261997767857142}",0.1358075588941574,"{'rouge1': Score(precision=0.25, recall=0.2727272727272727, fmeasure=0.2608695652173913), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08333333333333333, recall=0.09090909090909091, fmeasure=0.08695652173913043)}",45,0,0.1802162333339106,Clean,1,0.8296830762630579,Contaminated,0,0.3518395775835791,Clean,0,0.1802162333339106,Not Contaminated,1,0.8296830762630579,Likely Contaminated,0,0.3518395775835791,Not Contaminated,0,0.1802162333339106,Not Contaminated,Not Contaminated,1,0.8296830762630579,Likely Contaminated,Likely Contaminated,0,0.3518395775835791,Not Contaminated,Not Contaminated,0,0.1802162333339106,Not Contaminated,Not Contaminated,1,0.8296830762630579,Likely Contaminated,Likely Contaminated,0,0.3518395775835791,Not Contaminated,Not Contaminated,0,0.18021623333391068,1,0.8296830762630579,0,0.35183957758357914
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 In a classroom, there are 12 boys and 10 girls.",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 9.35546875, 'Min_20.0% Prob': 8.0732421875, 'Min_30.0% Prob': 7.083333333333333, 'Min_40.0% Prob': 6.3013916015625, 'Min_50.0% Prob': 5.64931640625}",-0.0394414849579334,"{'rouge1': Score(precision=0.034482758620689655, recall=0.1, fmeasure=0.05128205128205129), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.034482758620689655, recall=0.1, fmeasure=0.05128205128205129)}",123,0,0.1473303602599736,Clean,1,0.5533320220081424,Contaminated,0,0.1003923874328285,Clean,0,0.1473303602599736,Not Contaminated,1,0.5533320220081424,Likely Contaminated,0,0.1003923874328285,Not Contaminated,0,0.1473303602599736,Not Contaminated,Not Contaminated,1,0.5533320220081424,Likely Contaminated,Likely Contaminated,0,0.1003923874328285,Not Contaminated,Not Contaminated,0,0.1473303602599736,Not Contaminated,Not Contaminated,1,0.5533320220081424,Likely Contaminated,Likely Contaminated,0,0.1003923874328285,Not Contaminated,Not Contaminated,0,0.14733036025997368,1,0.5533320220081424,0,0.10039238743282858
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 10.0234375, 'Min_20.0% Prob': 9.5078125, 'Min_30.0% Prob': 9.03125, 'Min_40.0% Prob': 8.2080078125, 'Min_50.0% Prob': 7.45859375}",0.0632553696632385,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",50,0,0.4716932900425794,Clean,1,0.6469230249261456,Contaminated,0,0.3460038725249639,Clean,0,0.4716932900425794,Not Contaminated,1,0.6469230249261456,Likely Contaminated,0,0.3460038725249639,Not Contaminated,0,0.4716932900425794,Not Contaminated,Not Contaminated,1,0.6469230249261456,Likely Contaminated,Likely Contaminated,0,0.3460038725249639,Not Contaminated,Not Contaminated,0,0.4716932900425794,Not Contaminated,Not Contaminated,1,0.6469230249261456,Likely Contaminated,Likely Contaminated,0,0.3460038725249639,Not Contaminated,Not Contaminated,0,0.4716932900425794,1,0.6469230249261456,0,0.3460038725249639
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 In a classroom, there are 12 boys and 10 girls.",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 9.915364583333334, 'Min_20.0% Prob': 8.431966145833334, 'Min_30.0% Prob': 7.296875, 'Min_40.0% Prob': 6.493245442708333, 'Min_50.0% Prob': 5.781943044354839}",0.109693706035614,"{'rouge1': Score(precision=0.06976744186046512, recall=0.3, fmeasure=0.11320754716981132), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06976744186046512, recall=0.3, fmeasure=0.11320754716981132)}",189,1,0.5302862370684653,Contaminated,1,0.6196026578464134,Contaminated,0,0.335502327172626,Clean,1,0.5302862370684653,Likely Contaminated,1,0.6196026578464134,Likely Contaminated,0,0.335502327172626,Not Contaminated,1,0.5302862370684653,Likely Contaminated,Likely Contaminated,1,0.6196026578464134,Likely Contaminated,Likely Contaminated,0,0.335502327172626,Not Contaminated,Not Contaminated,1,0.5302862370684653,Likely Contaminated,Likely Contaminated,1,0.6196026578464134,Likely Contaminated,Likely Contaminated,0,0.335502327172626,Not Contaminated,Not Contaminated,1,0.5302862370684653,1,0.6196026578464134,0,0.335502327172626
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 8.982142857142858, 'Min_20.0% Prob': 7.719866071428571, 'Min_30.0% Prob': 6.796316964285714, 'Min_40.0% Prob': 6.193498883928571, 'Min_50.0% Prob': 5.515028211805555}",0.1010813266038894,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",270,0,0.2149199286486922,Clean,1,0.5314885001016127,Contaminated,0,0.1505077397018186,Clean,0,0.2149199286486922,Not Contaminated,1,0.5314885001016127,Likely Contaminated,0,0.1505077397018186,Not Contaminated,0,0.2149199286486922,Not Contaminated,Not Contaminated,1,0.5314885001016127,Likely Contaminated,Likely Contaminated,0,0.1505077397018186,Not Contaminated,Not Contaminated,0,0.2149199286486922,Not Contaminated,Not Contaminated,1,0.5314885001016127,Likely Contaminated,Likely Contaminated,0,0.1505077397018186,Not Contaminated,Not Contaminated,0,0.21491992864869225,1,0.5314885001016127,0,0.1505077397018186
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 In a classroom, there are 12 boys and 8 girls. The",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 10.22265625, 'Min_20.0% Prob': 8.3232421875, 'Min_30.0% Prob': 7.477213541666667, 'Min_40.0% Prob': 6.897216796875, 'Min_50.0% Prob': 6.253515625}",0.013301033526659,"{'rouge1': Score(precision=0.06666666666666667, recall=0.18181818181818182, fmeasure=0.0975609756097561), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06666666666666667, recall=0.18181818181818182, fmeasure=0.0975609756097561)}",158,0,0.4622679092752848,Clean,1,0.6328839378672348,Contaminated,0,0.286913620284944,Clean,0,0.4622679092752848,Not Contaminated,1,0.6328839378672348,Likely Contaminated,0,0.286913620284944,Not Contaminated,0,0.4622679092752848,Not Contaminated,Not Contaminated,1,0.6328839378672348,Likely Contaminated,Likely Contaminated,0,0.286913620284944,Not Contaminated,Not Contaminated,0,0.4622679092752848,Not Contaminated,Not Contaminated,1,0.6328839378672348,Likely Contaminated,Likely Contaminated,0,0.286913620284944,Not Contaminated,Not Contaminated,0,0.4622679092752848,1,0.6328839378672348,0,0.28691362028494405
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 17.421875, 'Min_20.0% Prob': 11.178385416666666, 'Min_30.0% Prob': 9.13359375, 'Min_40.0% Prob': 8.408203125, 'Min_50.0% Prob': 7.42724609375}",0.0036072274670004,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",53,0,0.1702904565500099,Clean,1,0.6289586509100678,Contaminated,0,0.2713074923442571,Clean,0,0.1702904565500099,Not Contaminated,1,0.6289586509100678,Likely Contaminated,0,0.2713074923442571,Not Contaminated,0,0.1702904565500099,Not Contaminated,Not Contaminated,1,0.6289586509100678,Likely Contaminated,Likely Contaminated,0,0.2713074923442571,Not Contaminated,Not Contaminated,0,0.1702904565500099,Not Contaminated,Not Contaminated,1,0.6289586509100678,Likely Contaminated,Likely Contaminated,0,0.2713074923442571,Not Contaminated,Not Contaminated,0,0.17029045655000993,1,0.6289586509100678,0,0.2713074923442571
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 In a classroom, there are 12 boys and 8 girls. The","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 11.044270833333334, 'Min_20.0% Prob': 8.700334821428571, 'Min_30.0% Prob': 7.764453125, 'Min_40.0% Prob': 6.354213169642857, 'Min_50.0% Prob': 5.40576171875}",-0.0304512400180101,"{'rouge1': Score(precision=0.07142857142857142, recall=0.18181818181818182, fmeasure=0.10256410256410255), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07142857142857142, recall=0.18181818181818182, fmeasure=0.10256410256410255)}",107,0,0.1601474148390527,Clean,1,0.5859773660320415,Contaminated,0,0.1773010474862254,Clean,0,0.1601474148390527,Not Contaminated,1,0.5859773660320415,Likely Contaminated,0,0.1773010474862254,Not Contaminated,0,0.1601474148390527,Not Contaminated,Not Contaminated,1,0.5859773660320415,Likely Contaminated,Likely Contaminated,0,0.1773010474862254,Not Contaminated,Not Contaminated,0,0.1601474148390527,Not Contaminated,Not Contaminated,1,0.5859773660320415,Likely Contaminated,Likely Contaminated,0,0.1773010474862254,Not Contaminated,Not Contaminated,0,0.16014741483905276,1,0.5859773660320415,0,0.17730104748622547
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 13.03125, 'Min_20.0% Prob': 10.946875, 'Min_30.0% Prob': 9.431919642857142, 'Min_40.0% Prob': 7.6470703125, 'Min_50.0% Prob': 6.399639423076923}",0.0384066365659236,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",78,0,0.2926394798612149,Clean,1,0.5913488246506107,Contaminated,0,0.2488188034016208,Clean,0,0.2926394798612149,Not Contaminated,1,0.5913488246506107,Likely Contaminated,0,0.2488188034016208,Not Contaminated,0,0.2926394798612149,Not Contaminated,Not Contaminated,1,0.5913488246506107,Likely Contaminated,Likely Contaminated,0,0.2488188034016208,Not Contaminated,Not Contaminated,0,0.2926394798612149,Not Contaminated,Not Contaminated,1,0.5913488246506107,Likely Contaminated,Likely Contaminated,0,0.2488188034016208,Not Contaminated,Not Contaminated,0,0.29263947986121497,1,0.5913488246506107,0,0.2488188034016208
