,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
3,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
Ms Farman was found dead at her home in Clydebank on February 1.
Her son, who was in the house at the time, was unharmed.
Police are treating the death as murder and are appealing for information.
Three men have been arrested and charged in connection with the killing.
The men, aged between 18 and 25, appeared at Dumbarton Sheriff Court last week.
They are due to return to court next month.
Ms Farman's parents said they had not been able to attend her funeral due to their health issues.
They thanked friends in Mauritius for helping with the arrangements.
The letter went on: ""We are confident that you will give Janice the send-off which she richly deserves.
""We feel humbled by the outpouring of love and support we have received from her friends.""
Ms Farman's parents said they had learned of her death via social media and had not received any official contact from the Mauritian authorities.
They added: ""The shock and pain of all this will haunt us all our days.
""We try to cope by remembering all the good deeds she did throughout her life. The love she shared with so many and her jovial fun loving nature. Janice has left a huge void in our lives.""
Ms Farman had moved to Mauritius in 2000 and had been working as the managing director of PECS (Mauritius) Ltd, a privately-owned group of companies providing data services.
She had recently moved to Albion, in the west of the island.
Ms Farman was found dead at her home in Clydebank on February 1.
Her son, who was in the house at the time, was unharmed.
Police are treating the death as murder and are appealing for information.
Three men have been arrested and charged in connection with the killing.
The men, aged between 18 and 25, appeared at Dumbarton Sheriff Court last week.
They are due to return to court next month.","The parents of a Scottish woman murdered in Mauritius have written a letter to her friends and colleagues there, thanking them for the love they had shown to their daughter.",0.4695149660110473,1628.0,0.7333333333333333,0.06748466257668712,0.12359550561797752,0.1724137931034483,0.015384615384615385,0.02824858757062147,0.4666666666666667,0.04294478527607362,0.07865168539325844,9.994791666666666,8.327008928571429,7.152698863636363,6.498883928571429,5.595269097222222
4,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
The text describes the situation on the small island of Guam, which is home to an important US airbase and about 6,000 troops, as well as 165,000 civilians. The island is a US territory, so an attack on Guam would be an attack on the US. Despite reassurances from the Guamanian authorities, many residents are concerned about the recent North Korean threat. The local media is covering the story, adding to the nervousness of the residents. The authorities believe it would take about 14 to 15 minutes for a North Korean missile to reach Guam, and the Guam Homeland Security Office has said it would put out a mass public notification via the emergency broadcasting system if there were any threat. The island has been named as a potential target for North Korean rockets before, but not everyone is fazed by the situation, with some people pointing out that such threats are not new and that people have been living with this situation for a couple of years already.","North Korea claims it has missiles capable of reaching the US mainland, but its latest threat is against Guam, a much closer target.",0.6801983714103699,860.0,0.6086956521739131,0.08187134502923976,0.14432989690721648,0.045454545454545456,0.0058823529411764705,0.010416666666666666,0.34782608695652173,0.04678362573099415,0.08247422680412371,11.5234375,8.8640625,7.5927734375,6.396484375,5.34375
5,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
Delay in match Fankaty Dabo (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Nathan Thompson (Swindon Town) because of an injury.
Delay in match Charlie Colkett (Swindon Town) because of an injury.
Delay in match Rohan Ince (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane",Substitute Conor Thomas scored a dramatic stoppage-time winner as Swindon ended Millwall's 16-match unbeaten run in League One.,0.4963414072990417,10817.0,0.2857142857142857,0.0033149171270718232,0.006553795740032769,0.05,0.000552791597567717,0.0010934937124111536,0.2857142857142857,0.0033149171270718232,0.006553795740032769,9.893229166666666,7.678013392857143,6.419034090909091,5.406770833333334,4.482653166118421
7,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
The news comes after the UK government last week reiterated its commitment to the project despite the rising cost of the electricity it will produce.
Chancellor of the Exchequer Philip Hammond said the government remained committed to building a new nuclear power station at Hinkley Point in Somerset, despite the rising potential cost to the consumer of the electricity it will produce.
He said Hinkley was vital to a strong economy and still worth the cost.
The UK's National Audit Office estimated future top-up payments would rise from £6.1bn to £29.7bn over the length of the contract.
The Hinkley Point C project has been delayed for years due to concerns about EDF's financial capacity to handle the project.
The company says it has called a board meeting for 28 July and the investment decision is on the agenda.
BBC correspondent John Moylan said the firm's board is expected to give the plant the go-ahead.
It was initially due to cost £12bn, but recent estimates put the cost at £18bn.
The UK's National Audit Office estimated future top-up payments would rise from £6.1bn to £29.7bn over the length of the contract.
The Hinkley Point C project has been delayed for years due to concerns about EDF's financial capacity to handle the project.
The UK government last week reiterated its commitment to the project despite the rising cost of the electricity it will produce.
Chancellor of the Exchequer Philip Hammond said the government remained committed to building a new nuclear power station at Hinkley Point in Somerset, despite the rising potential cost to the consumer of the electricity it will produce.
He said Hinkley was vital to a strong economy and still worth the cost.",The French energy giant EDF is expected to make its long-awaited final investment decision on a new nuclear power plant at Hinkley Point in Somerset next week.,0.4837054014205932,1542.0,0.7142857142857143,0.06779661016949153,0.12383900928792568,0.37037037037037035,0.034013605442176874,0.06230529595015577,0.5357142857142857,0.05084745762711865,0.09287925696594428,8.7734375,6.140904017857143,5.0216796875,4.112444196428571,3.3553602430555554
8,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
The crackdown on phishing comes as the Chinese government is trying to improve its online security and protect its citizens from cyber attacks.
The government has also been cracking down on online gambling and pornography, which it says are harmful to society.
The crackdown on phishing is part of a wider effort to improve internet security in China.
The government is working to improve its ability to respond to cyber attacks and is investing in technology to protect its citizens from online threats.
The crackdown on phishing is also part of a broader effort to protect the personal information of Chinese citizens.
The government is working to improve its ability to respond to cyber attacks and is investing in technology to protect its citizens from online threats.
The crackdown on phishing is part of a wider effort to improve internet security in China.
The government is working to improve its ability to respond to cyber attacks and is investing in technology to protect its citizens from online threats.
The crackdown on phishing is also part of a broader effort to protect the personal information of Chinese citizens.",The Chinese government is cracking down on home-grown cyber thieves seeking to steal online banking details.,0.6476524472236633,1030.0,0.5882352941176471,0.053475935828877004,0.09803921568627451,0.3125,0.026881720430107527,0.04950495049504951,0.5882352941176471,0.053475935828877004,0.09803921568627451,11.58203125,8.884375,7.854910714285714,6.4970703125,5.697672526041667
11,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
Tesco has been criticized for its use of the image, which some saw as a cynical attempt to associate itself with the organic farming movement.
The company has faced criticism in the past for its treatment of suppliers and farmers.",An organic farmer has persuaded Tesco to take down a photograph of him from its website.,0.6660924553871155,181.0,0.5,0.2,0.28571428571428575,0.0,0.0,0.0,0.1875,0.075,0.10714285714285712,12.140625,10.474609375,9.151692708333334,7.7646484375,6.296875
13,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
The Welsh Government has already started to implement some of the changes in Wales, including a new fast-track cancer diagnosis route for patients with ""alarm"" symptoms.",Denmark's health service - which is similar to the NHS -  started to look in depth at the problem of cancer survival rates in 2000.,0.4328749179840088,124.0,0.2916666666666667,0.25925925925925924,0.27450980392156865,0.043478260869565216,0.038461538461538464,0.04081632653061224,0.20833333333333334,0.18518518518518517,0.19607843137254902,9.703125,7.669642857142857,6.98125,6.193917410714286,5.3349609375
16,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
The league has also fined Canelas 10,000 euros and ordered them to play their next two home games behind closed doors.",An amateur footballer in Portugal has been banned for more than four years after kneeing a referee in the face.,0.3210379779338836,88.0,0.1,0.09090909090909091,0.09523809523809525,0.0,0.0,0.0,0.05,0.045454545454545456,0.04761904761904762,11.06640625,10.1484375,7.903180803571429,6.853732638888889,5.419718424479167
18,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
Taiwan's government has been trying to balance its relations with China and the US.
The ban on officials going to China for further education comes amid growing concerns about China's influence in Taiwan.","Taiwan has banned its senior government officials from higher studies in mainland China, citing ""national security"" reasons.",0.748189389705658,143.0,0.47058823529411764,0.22857142857142856,0.3076923076923077,0.0,0.0,0.0,0.29411764705882354,0.14285714285714285,0.1923076923076923,13.37890625,8.26015625,7.160714285714286,5.9806640625,5.189778645833333
21,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
The Garda statement said the operation was ""a significant blow to the organized crime groups involved in the supply of illegal drugs in Ireland"".
It added that the force was committed to ""tackling the scourge of drug trafficking and its associated criminal activity"".",Cannabis with an estimated street value of 3.2m euros (£2.7m) has been seized in a joint operation by police and customs in the Republic of Ireland.,0.4031480550765991,202.0,0.32142857142857145,0.20930232558139536,0.25352112676056343,0.037037037037037035,0.023809523809523808,0.028985507246376812,0.17857142857142858,0.11627906976744186,0.14084507042253522,8.021484375,5.841552734375,4.668294270833333,3.946533203125,3.339936755952381
