Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores
Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
I'm trying to understand the context of this conversation and what Hannah is trying to convey",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 16.430620193481445, 'Min_20.0% Prob': 13.773148854573568, 'Min_30.0% Prob': 10.908196067810058, 'Min_40.0% Prob': 9.363635471888951, 'Min_50.0% Prob': 8.095442612965902}",0.41025301814079285,"{'rouge1': Score(precision=0.125, recall=0.1111111111111111, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.1111111111111111, fmeasure=0.11764705882352941)}"
Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user: The two characters, Eric and Rob, are discussing their favorite TV show. They mention",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 15.030601501464844, 'Min_20.0% Prob': 13.720654487609863, 'Min_30.0% Prob': 12.307551066080729, 'Min_40.0% Prob': 11.50559949874878, 'Min_50.0% Prob': 9.304294109344482}",0.7092263698577881,"{'rouge1': Score(precision=0.3333333333333333, recall=0.26666666666666666, fmeasure=0.2962962962962963), 'rouge2': Score(precision=0.2727272727272727, recall=0.21428571428571427, fmeasure=0.23999999999999996), 'rougeL': Score(precision=0.3333333333333333, recall=0.26666666666666666, fmeasure=0.2962962962962963)}"
Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,user: The conversation between Lenny and Bob appears to be about choosing outfits for a friend.,Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 14.7486941019694, 'Min_20.0% Prob': 12.189399083455404, 'Min_30.0% Prob': 10.32887167930603, 'Min_40.0% Prob': 9.297626935518705, 'Min_50.0% Prob': 8.279716407551485}",0.6225945353507996,"{'rouge1': Score(precision=0.13793103448275862, recall=0.25, fmeasure=0.17777777777777778), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10344827586206896, recall=0.1875, fmeasure=0.13333333333333333)}"
Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What can we learn from this conversation between Will and Emma?
The conversation shows that they",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 12.587498664855957, 'Min_20.0% Prob': 10.330145359039307, 'Min_30.0% Prob': 9.160130182902018, 'Min_40.0% Prob': 8.37701940536499, 'Min_50.0% Prob': 7.668134880065918}",0.7042195796966553,"{'rouge1': Score(precision=0.2727272727272727, recall=0.17647058823529413, fmeasure=0.21428571428571427), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.18181818181818182, recall=0.11764705882352941, fmeasure=0.14285714285714285)}"
Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What does Jane say when she says ""I lost my calendar""? What does it mean",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 12.175545120239258, 'Min_20.0% Prob': 10.006471677259965, 'Min_30.0% Prob': 8.761715441942215, 'Min_40.0% Prob': 7.651181784543124, 'Min_50.0% Prob': 6.9429741082368075}",0.4695817232131958,"{'rouge1': Score(precision=0.06976744186046512, recall=0.1875, fmeasure=0.10169491525423728), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06976744186046512, recall=0.1875, fmeasure=0.10169491525423728)}"
Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What was Benjamin's motivation for wanting to take the keys?",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 10.708415508270264, 'Min_20.0% Prob': 9.537210171039288, 'Min_30.0% Prob': 8.103227996826172, 'Min_40.0% Prob': 7.004435159541942, 'Min_50.0% Prob': 6.2225277143366196}",0.3557708263397217,"{'rouge1': Score(precision=0.12280701754385964, recall=0.5833333333333334, fmeasure=0.20289855072463764), 'rouge2': Score(precision=0.03571428571428571, recall=0.18181818181818182, fmeasure=0.05970149253731343), 'rougeL': Score(precision=0.08771929824561403, recall=0.4166666666666667, fmeasure=0.14492753623188404)}"
Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What is Payton's opinion on the topic of clothing shopping?
Is there anything specific",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 10.955329259236654, 'Min_20.0% Prob': 10.046703066144671, 'Min_30.0% Prob': 9.290004777908326, 'Min_40.0% Prob': 8.056146212986537, 'Min_50.0% Prob': 7.377146328196806}",0.7071007490158081,"{'rouge1': Score(precision=0.13333333333333333, recall=0.25, fmeasure=0.1739130434782609), 'rouge2': Score(precision=0.034482758620689655, recall=0.06666666666666667, fmeasure=0.045454545454545456), 'rougeL': Score(precision=0.13333333333333333, recall=0.25, fmeasure=0.1739130434782609)}"
Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
I apologize, but I don't have enough context or specific information about the ""text",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 12.282950401306152, 'Min_20.0% Prob': 11.639267921447754, 'Min_30.0% Prob': 10.865444898605347, 'Min_40.0% Prob': 9.522862911224365, 'Min_50.0% Prob': 8.824306692395892}",0.02718699350953102,"{'rouge1': Score(precision=0.07692307692307693, recall=0.0625, fmeasure=0.06896551724137931), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.0625, fmeasure=0.06896551724137931)}"
Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
I'm sorry, but your summary is not clear and does not provide any context or","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 13.311811447143555, 'Min_20.0% Prob': 11.58873176574707, 'Min_30.0% Prob': 9.978576872083876, 'Min_40.0% Prob': 8.665628949801127, 'Min_50.0% Prob': 7.533945024013519}",0.04754609614610672,"{'rouge1': Score(precision=0.07142857142857142, recall=0.11764705882352941, fmeasure=0.08888888888888889), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07142857142857142, recall=0.11764705882352941, fmeasure=0.08888888888888889)}"
Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What is the relationship between Ivan and Eric in this conversation?",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 12.478082180023193, 'Min_20.0% Prob': 10.92790412902832, 'Min_30.0% Prob': 8.99711799621582, 'Min_40.0% Prob': 7.9442896246910095, 'Min_50.0% Prob': 6.920714703473178}",0.7024960517883301,"{'rouge1': Score(precision=0.09523809523809523, recall=0.16666666666666666, fmeasure=0.12121212121212123), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.047619047619047616, recall=0.08333333333333333, fmeasure=0.060606060606060615)}"
