,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail, He is also a member of the National Honor Society and has been accepted into the prestigious New York University,"Dante de Blasio, 17, to make his decision by the end of the month .
His father has said that despite his six-figure salary the family will struggle to meet cost to send son to Ivy League school .",0.2882303297519684,142.0,0.10526315789473684,0.2,0.13793103448275862,0.02702702702702703,0.05263157894736842,0.03571428571428572,0.10526315789473684,0.2,0.13793103448275862,8.589884638786316,7.40534766515096,6.779834123758169,6.123757865693834,5.608238382772966
1,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail, Her distraught father Musa told The Star: 'We were still arguing when I heard a commotion,"Nurhayada Sofia fell to her death after being dragged by an escalator .
The 6-year-old was shopping with mother at the mall in Pudu, Malaysia .
CCTV shows her playing with the handrail before she slips through gap .
Her mother - who had been on the phone- was said to be inconsolable .",0.2723737955093384,228.0,0.0392156862745098,0.125,0.05970149253731343,0.0,0.0,0.0,0.0392156862745098,0.125,0.05970149253731343,8.910640444074359,7.41798407236735,6.571873036297885,5.753263902664185,5.2120223431973844
2,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail,"

I'm not sure I understand the point of this article.
The article is about the","Justice Department prosecuting FedEx over unauthorized shipment of drugs .
Danny Cevallos: FedEx has a strong argument that it shouldn't be held responsible .",0.1411918252706527,119.0,0.043478260869565216,0.0625,0.05128205128205128,0.0,0.0,0.0,0.043478260869565216,0.0625,0.05128205128205128,11.50701649983724,10.2091703414917,8.864269892374674,7.826918284098308,6.995606009165446
3,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail," The order will take effect on July 1.

I'm not sure what the point of this","California Gov. Jerry Brown ordered state officials Wednesday to impose mandatory water restrictions for the first time in history .
Brown said he signed an executive order requiring measures be implemented to cut water usage by 25 percent compared with 2013 levels .
State water officials found no snow on the ground at the site for their manual survey of the snowpack .
Snow supplies about a third of the state's water .
A higher snowpack translates to more water in California reservoirs to meet demand in summer and fall .",0.1872380375862121,464.0,0.05747126436781609,0.29411764705882354,0.09615384615384616,0.0,0.0,0.0,0.05747126436781609,0.29411764705882354,0.09615384615384616,8.424555089738634,6.856247450176038,5.990736476306258,5.19990157469725,4.5824172788736774
5,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail," Sterling has been linked with a move to Real Madrid, but the player insists he is happy at Liverpool","Liverpool forward Raheem Sterling rejected a £90,000-a-week contract .
The England international has been criticised by his own supporters .
But Sterling insists he pays no attention and is fully focused on his football .",0.5368687510490417,164.0,0.2857142857142857,0.5263157894736842,0.37037037037037035,0.058823529411764705,0.1111111111111111,0.07692307692307691,0.2,0.3684210526315789,0.25925925925925924,9.56147050857544,7.650504165225559,6.48653507232666,5.471754458215502,4.717584480410037
6,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail," in his films. The director has won numerous awards for his work, including an Oscar for Vicky","The project is hoped to open at the former arts centre, La Llotja .
Friend and producer Jaume Roures of Mediapro is leading the tribute .
The museum follows Allen's Vicky Cristina Barcelona, set in the city .",0.3298393487930298,160.0,0.08333333333333333,0.17647058823529413,0.11320754716981131,0.0,0.0,0.0,0.05555555555555555,0.11764705882352941,0.07547169811320754,11.594222450256348,10.146386051177979,9.060115400950114,8.047778725624084,7.06966874232659
7,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail,"

I'm not sure if this is a good thing or a bad thing.

I","Bobbi Ann House, 39, is currently on-the-run for check fraud .
Her and husband Zackerie House, 27, believed to be camping in Oklahoma .
Allegedly used bad checks worth $13,500 in Oregon, Colorado and Oklahoma .
Bobbi Ann hit headlines in 2010 for marrying at 14 servicemen .
She would move around different military bases stealing money .
Spent at least seven months in prison but was recently released .",0.1533722579479217,359.0,0.029850746268656716,0.13333333333333333,0.048780487804878044,0.0,0.0,0.0,0.029850746268656716,0.13333333333333333,0.048780487804878044,11.115852249993218,9.39876255236174,8.283363720466351,7.548103458002994,6.712956974903743
8,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail," He was reportedly killed in a battle in Syria.

I'm not sure if this is a","Calling himself 'Volcano' rapper is a 31-year-old from war-torn Benghazi .
He is seen standing in front of weapons of war and burning buildings .
He poses with fighters and even carries a massive assault rifle himself .
Video shows Volcano performing on Benghazi's rubble-strewn streets .",0.3458231687545776,241.0,0.10416666666666667,0.29411764705882354,0.15384615384615385,0.02127659574468085,0.0625,0.031746031746031744,0.0625,0.17647058823529413,0.09230769230769231,10.170134862263998,9.019526044527689,8.157647450764975,7.224166584014893,6.478907577453121
9,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail," 'I don't know how many times we have spoken about Ramos' Decima goal this week,'","Real Madrid haven't beaten local rivals Atletico in six attempts this season .
They clash in the first leg of the Champions League last eight on Tuesday .
Marcelo says the players are not thinking about their recent record .",0.2494633048772812,176.0,0.07894736842105263,0.1875,0.11111111111111109,0.0,0.0,0.0,0.05263157894736842,0.125,0.07407407407407407,9.270174264907837,7.393424616919623,6.285747656455407,5.347160299619039,4.674439575361169
10,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail," The RFU are understood to be concerned that the final will be played on a Saturday, when the","James Whitaker's brief reign as ECB head of selectors is coming to an end .
Sam Allardyce's future as West Ham boss is subject to speculation at a time when a letter sent by Venky's lawyers is doing the rounds .
The letter, from December 2011, makes numerous disputed claims about Kentaro's involvement in Blackburn after Venky's bought the club .
The FA Cup is set to be rebranded as the Emirates FA Cup .",0.2037166059017181,342.0,0.09210526315789473,0.3888888888888889,0.14893617021276595,0.013333333333333334,0.058823529411764705,0.02173913043478261,0.05263157894736842,0.2222222222222222,0.0851063829787234,10.172493934631348,9.015105062060886,7.851500104974817,6.69930354324547,5.97820812722911
11,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail, Beatrice’s latest trip to the US comes after she was spotted enjoying a night out with,"Princess Beatrice is at the Condé Nast International Luxury Conference .
She watched a lecture by Vogue's Suzy Menkes and Karl Lagerfeld .
First night spent partying at a palazzo with Ralph Lauren's son .
Returned to the lecture room for a second day in a row today .",0.5503812432289124,209.0,0.1702127659574468,0.47058823529411764,0.25,0.021739130434782608,0.0625,0.03225806451612903,0.1276595744680851,0.35294117647058826,0.18749999999999997,10.35079542795817,8.866955353663517,7.672988796234131,6.727544628656828,5.856630961100261
12,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail," The gangs rule life behind the cement walls the same way as out on the streets, but for those","These men reside in a special prison unit set up inside maximum-security facilities to protect gang drop-outs .
This Sensitive Needs Housing Unit in a California prison forces former members of rival gangs to mix .
Although there is still some self-imposed racial segregation among inmates, the unit is free from gang activity .
Up to 97 per cent of Level IV maximum-security inmates in California are gang affiliated .",0.3660358488559723,352.0,0.04285714285714286,0.15789473684210525,0.06741573033707865,0.0,0.0,0.0,0.04285714285714286,0.15789473684210525,0.06741573033707865,11.563812613487244,9.648736476898193,8.262723865509033,7.381031455415668,6.587733155205136
14,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail," Ibrahimovic scored 28 goals in his first season with Milan, but was sent off in the final game","Zlatan Ibrahimovic scored a hat-trick for PSG on Wednesday night .
It took his  tally for the French club to 102 goals in less than three years .
He now trails only former Portugal forward Pedro Pauleta in all-time list .
The longest spell he has ever spent at one club is three seasons .
Would the Sweden star choose the Premier League for a last hurrah?",0.4619852006435394,282.0,0.12307692307692308,0.4444444444444444,0.1927710843373494,0.03125,0.11764705882352941,0.04938271604938271,0.09230769230769231,0.3333333333333333,0.14457831325301207,9.047621607780457,7.345801830291748,6.310974025726319,5.505917380837833,4.911989399365017
15,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail, Mr Denham said: ‘I think it is a good idea. I think it is a,"The Tories publish a separate 'English manifesto' for the first time .
Mr Cameron said delivering 'home rule' for England is a top priority .
Tory government will introduce the new system before March 2016 budget .
It will allow English MPsto set separate rate of income tax to Scotland .",0.2571072280406952,247.0,0.1276595744680851,0.4,0.1935483870967742,0.021739130434782608,0.07142857142857142,0.03333333333333333,0.10638297872340426,0.3333333333333333,0.16129032258064516,10.603697776794434,9.52678386370341,8.529869900809395,7.566983779271443,6.767949811873898
16,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail,"

I'm not sure what the problem is. If you're a tenant, you're a","Tories pledged to extend dream of home ownership to 1.3m social tenants .
Housing associations respond furiously amid threat of a legal challenge .
But 80 housing association bosses earn more than David Cameron’s salary .",0.3040483295917511,184.0,0.05714285714285714,0.125,0.0784313725490196,0.0,0.0,0.0,0.05714285714285714,0.125,0.0784313725490196,10.117656946182251,8.925201998816597,8.132566195267897,7.307173517015245,6.532284954319829
17,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail," He said: 'I found the bat in my locker, so if you see that guy out there","Addison Russell, 21, was playing in his first home game for Chicago Cubs .
He was batting in the seventh inning when he swung at pitch and lost bat .
Bat struck a fan sitting several rows behind the Cubs' on-deck circle .
Fan suffered 'wounds' but was conscious and taken to a nearby hospital .
Russell saw fan get hit and said: 'Words can't describe how bad I feel'",0.3511748313903808,312.0,0.08823529411764706,0.35294117647058826,0.1411764705882353,0.014925373134328358,0.0625,0.024096385542168672,0.04411764705882353,0.17647058823529413,0.07058823529411765,8.779504776000977,7.32888796750237,6.306636773622953,5.529238605499268,4.9119250124151055
18,facebook/opt-2.7b,Summarize the following text: ,CNN-DailyMail,"

I'm not sure if this is a good thing or a bad thing.

I","Sierra Sharry was eight months pregnant when her son's father died .
A photographer was able to add Lane Smith to the family photo .",0.0035094995982944,104.0,0.041666666666666664,0.06666666666666667,0.05128205128205127,0.0,0.0,0.0,0.041666666666666664,0.06666666666666667,0.05128205128205127,13.788078308105469,10.91288356781006,9.7617027759552,8.576579527421432,7.829983711242676
