Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction,GradientBoosting_probability,GradientBoosting_label,LogisticRegression_prediction,LogisticRegression_probability,LogisticRegression_label,RandomForest_prediction,RandomForest_probability,RandomForest_label
microsoft/phi-4,Summarize the following text: ,Samsum,assistantHannah is trying to get Betty's phone number and asks Amanda for it. Amanda,Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 13.578125, 'Min_20.0% Prob': 10.697916666666666, 'Min_30.0% Prob': 8.9375, 'Min_40.0% Prob': 7.575892857142857, 'Min_50.0% Prob': 6.684678819444445}",0.6416141390800476,"{'rouge1': Score(precision=0.375, recall=0.4, fmeasure=0.38709677419354843), 'rouge2': Score(precision=0.06666666666666667, recall=0.07142857142857142, fmeasure=0.0689655172413793), 'rougeL': Score(precision=0.3125, recall=0.3333333333333333, fmeasure=0.3225806451612903)}",70,0,0.4057632149833172,Not Contaminated,1,0.8047053501657223,Likely Contaminated,0,0.4136554990202436,Not Contaminated
microsoft/phi-4,Summarize the following text: ,Samsum,"assistantEric and Rob are discussing a stand-up routine by a comedian named MACHINE, which they",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 19.484375, 'Min_20.0% Prob': 16.5859375, 'Min_30.0% Prob': 13.557291666666666, 'Min_40.0% Prob': 11.8994140625, 'Min_50.0% Prob': 9.98828125}",0.5678091645240784,"{'rouge1': Score(precision=0.5, recall=0.375, fmeasure=0.42857142857142855), 'rouge2': Score(precision=0.36363636363636365, recall=0.26666666666666666, fmeasure=0.30769230769230765), 'rougeL': Score(precision=0.5, recall=0.375, fmeasure=0.42857142857142855)}",63,1,0.9812525628322846,Likely Contaminated,1,0.7270764896436986,Likely Contaminated,1,0.8869222097347098,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,Samsum,"assistantLenny asks Bob for help choosing between some items, sending him photos to review.",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 10.255208333333334, 'Min_20.0% Prob': 8.629557291666666, 'Min_30.0% Prob': 7.245703125, 'Min_40.0% Prob': 6.502253605769231, 'Min_50.0% Prob': 5.672449448529412}",0.3633636832237243,"{'rouge1': Score(precision=0.06896551724137931, recall=0.14285714285714285, fmeasure=0.09302325581395349), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06896551724137931, recall=0.14285714285714285, fmeasure=0.09302325581395349)}",110,1,0.7543929133397672,Likely Contaminated,1,0.6197439816241345,Likely Contaminated,1,0.7864670011033214,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,Samsum,"assistantIn the conversation, Will asks Emma what she wants for dinner. Emma responds that she",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 11.3984375, 'Min_20.0% Prob': 9.91015625, 'Min_30.0% Prob': 8.723958333333334, 'Min_40.0% Prob': 8.0947265625, 'Min_50.0% Prob': 7.215625}",0.6242455840110779,"{'rouge1': Score(precision=0.2727272727272727, recall=0.2, fmeasure=0.23076923076923075), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.18181818181818182, recall=0.13333333333333333, fmeasure=0.15384615384615383)}",73,1,0.7997517033945903,Likely Contaminated,1,0.8304514867693163,Likely Contaminated,1,0.801075435083445,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,Samsum,"assistantThe conversation between Ollie and Jane revolves around scheduling and catching up. Jane,",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 10.8484375, 'Min_20.0% Prob': 9.201704545454545, 'Min_30.0% Prob': 7.876953125, 'Min_40.0% Prob': 6.834161931818182, 'Min_50.0% Prob': 6.198784722222222}",0.589097261428833,"{'rouge1': Score(precision=0.11627906976744186, recall=0.38461538461538464, fmeasure=0.17857142857142855), 'rouge2': Score(precision=0.047619047619047616, recall=0.16666666666666666, fmeasure=0.07407407407407407), 'rougeL': Score(precision=0.11627906976744186, recall=0.38461538461538464, fmeasure=0.17857142857142855)}",165,0,0.1724578618968856,Not Contaminated,1,0.5669659988089989,Likely Contaminated,0,0.2934217241092241,Not Contaminated
microsoft/phi-4,Summarize the following text: ,Samsum,assistantThe group is discussing how to handle the keys for their apartment. Hilary has the,Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 9.264973958333334, 'Min_20.0% Prob': 7.57421875, 'Min_30.0% Prob': 6.557421875, 'Min_40.0% Prob': 5.850766782407407, 'Min_50.0% Prob': 5.312040441176471}",0.6400795578956604,"{'rouge1': Score(precision=0.15789473684210525, recall=0.6, fmeasure=0.25), 'rouge2': Score(precision=0.05357142857142857, recall=0.21428571428571427, fmeasure=0.08571428571428572), 'rougeL': Score(precision=0.08771929824561403, recall=0.3333333333333333, fmeasure=0.1388888888888889)}",240,0,0.4120287019841628,Not Contaminated,1,0.5179193966942778,Likely Contaminated,0,0.47510580799919017,Not Contaminated
microsoft/phi-4,Summarize the following text: ,Samsum,"assistantMax and Payton discuss online shopping for clothes. Payton recommends several websites, noting",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 11.854166666666666, 'Min_20.0% Prob': 9.529017857142858, 'Min_30.0% Prob': 8.66875, 'Min_40.0% Prob': 7.84765625, 'Min_50.0% Prob': 7.193474264705882}",0.7706290483474731,"{'rouge1': Score(precision=0.16666666666666666, recall=0.38461538461538464, fmeasure=0.2325581395348837), 'rouge2': Score(precision=0.034482758620689655, recall=0.08333333333333333, fmeasure=0.04878048780487805), 'rougeL': Score(precision=0.1, recall=0.23076923076923078, fmeasure=0.13953488372093023)}",135,0,0.407271258562288,Not Contaminated,1,0.7337501812317901,Likely Contaminated,0,0.4155905454839279,Not Contaminated
microsoft/phi-4,Summarize the following text: ,Samsum,assistantRita and Tina are expressing their exhaustion and dissatisfaction with their jobs. Rita mentions feeling,Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 23.015625, 'Min_20.0% Prob': 16.208333333333332, 'Min_30.0% Prob': 14.61328125, 'Min_40.0% Prob': 12.2421875, 'Min_50.0% Prob': 11.209263392857142}",0.6532657742500305,"{'rouge1': Score(precision=0.38461538461538464, recall=0.3333333333333333, fmeasure=0.3571428571428571), 'rouge2': Score(precision=0.16666666666666666, recall=0.14285714285714285, fmeasure=0.15384615384615383), 'rougeL': Score(precision=0.3076923076923077, recall=0.26666666666666666, fmeasure=0.28571428571428575)}",75,1,0.9919097628883996,Likely Contaminated,1,0.8835024816431887,Likely Contaminated,1,0.9933611111111111,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,Samsum,assistantBeatrice is shopping in town and suggests that Leo buy a scarf from a shop near,"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 10.123697916666666, 'Min_20.0% Prob': 7.910807291666667, 'Min_30.0% Prob': 6.818142361111111, 'Min_40.0% Prob': 5.847493489583333, 'Min_50.0% Prob': 4.9801025390625}",0.6090664863586426,"{'rouge1': Score(precision=0.21428571428571427, recall=0.375, fmeasure=0.2727272727272727), 'rouge2': Score(precision=0.037037037037037035, recall=0.06666666666666667, fmeasure=0.047619047619047616), 'rougeL': Score(precision=0.14285714285714285, recall=0.25, fmeasure=0.18181818181818182)}",95,1,0.6099302009171663,Likely Contaminated,1,0.6323556591083446,Likely Contaminated,1,0.6317101341640814,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,Samsum,"assistantIvan is inviting Eric to his brother's wedding, but Eric is hesitant because he",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 11.17578125, 'Min_20.0% Prob': 9.580078125, 'Min_30.0% Prob': 8.261067708333334, 'Min_40.0% Prob': 7.43994140625, 'Min_50.0% Prob': 6.182705965909091}",0.6792469024658203,"{'rouge1': Score(precision=0.2857142857142857, recall=0.4, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.1, recall=0.14285714285714285, fmeasure=0.11764705882352941), 'rougeL': Score(precision=0.23809523809523808, recall=0.3333333333333333, fmeasure=0.2777777777777778)}",65,0,0.35284017645707094,Not Contaminated,1,0.6668874169971041,Likely Contaminated,0,0.39350575615475014,Not Contaminated
