Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

The fire was reported at 19:30 BST on Wednesday.

The fire was reported",About 50 firefighters tackled a large blaze at a five-storey disused mill in Greater Manchester.,"{'Min_10.0% Prob': 10.419394493103027, 'Min_20.0% Prob': 8.501516024271647, 'Min_30.0% Prob': 7.768924427032471, 'Min_40.0% Prob': 7.176070622035435, 'Min_50.0% Prob': 6.265882121192084}",0.3379632532596588,"{'rouge1': Score(precision=0.0625, recall=0.07142857142857142, fmeasure=0.06666666666666667), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0625, recall=0.07142857142857142, fmeasure=0.06666666666666667)}"
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Mourinho also revealed that he has spoken to Ibrahimovic about his future.
""I","Manchester United defender Marcos Rojo is a ""clean player with an aggressive nature"", says manager Jose Mourinho.","{'Min_10.0% Prob': 6.774818181991577, 'Min_20.0% Prob': 6.040606141090393, 'Min_30.0% Prob': 5.528219064076741, 'Min_40.0% Prob': 5.069071531295776, 'Min_50.0% Prob': 4.6698219776153564}",0.26729774475097656,"{'rouge1': Score(precision=0.058823529411764705, recall=0.07692307692307693, fmeasure=0.06666666666666667), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.058823529411764705, recall=0.07692307692307693, fmeasure=0.06666666666666667)}"
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Southgate said: ""We are still hopeful that we can speak to Wilf.""

","Ivory Coast are confident Wilfried Zaha will soon be part of their team, but new England boss Gareth Southgate has not given up on the forward.","{'Min_10.0% Prob': 7.990353425343831, 'Min_20.0% Prob': 6.63536524772644, 'Min_30.0% Prob': 5.690884060329861, 'Min_40.0% Prob': 4.975990017255147, 'Min_50.0% Prob': 4.347372221946716}",0.38325342535972595,"{'rouge1': Score(precision=0.07692307692307693, recall=0.16666666666666666, fmeasure=0.10526315789473684), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.038461538461538464, recall=0.08333333333333333, fmeasure=0.05263157894736842)}"
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Mr Griffin was later forced to leave the march after being pelted with eggs and tomatoes.
",Home Secretary Theresa May is considering banning two US bloggers from entering the UK to speak at an English Defence League rally.,"{'Min_10.0% Prob': 9.234652042388916, 'Min_20.0% Prob': 7.561460971832275, 'Min_30.0% Prob': 6.847800334294637, 'Min_40.0% Prob': 6.288456976413727, 'Min_50.0% Prob': 5.3224664167924365}",0.11094000935554504,"{'rouge1': Score(precision=0.09090909090909091, recall=0.125, fmeasure=0.10526315789473685), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.045454545454545456, recall=0.0625, fmeasure=0.052631578947368425)}"
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The book is not available in the UK, but the publishers say they are working on a UK","Meat-eaters ""easily cheat, lie, forget promises and commit sex crimes"", according to a controversial school textbook available in India.","{'Min_10.0% Prob': 9.422760963439941, 'Min_20.0% Prob': 8.629897499084473, 'Min_30.0% Prob': 8.04806399345398, 'Min_40.0% Prob': 7.533188390731811, 'Min_50.0% Prob': 6.8011747140150804}",0.08923374116420746,"{'rouge1': Score(precision=0.15, recall=0.16666666666666666, fmeasure=0.15789473684210525), 'rouge2': Score(precision=0.05263157894736842, recall=0.058823529411764705, fmeasure=0.05555555555555555), 'rougeL': Score(precision=0.1, recall=0.1111111111111111, fmeasure=0.10526315789473685)}"
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Foul by Mohamed Salah (Egypt).
Foul by Mohamed Salah (Egypt).",Egypt knocked out Morocco to reach the Africa Cup of Nations semi-finals as substitute Mahmoud Abdel-Moneim prodded home a dramatic 87th-minute winner.,"{'Min_10.0% Prob': 12.023072242736816, 'Min_20.0% Prob': 9.269888242085775, 'Min_30.0% Prob': 7.862026426527235, 'Min_40.0% Prob': 6.525742053985596, 'Min_50.0% Prob': 5.797193825244904}",0.3922458589076996,"{'rouge1': Score(precision=0.04, recall=0.1, fmeasure=0.05714285714285714), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.04, recall=0.1, fmeasure=0.05714285714285714)}"
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The event is being held at the Balmoral Hotel in Belfast.
The event is being held",The agriculture minister is to return to China next month as attempts to access markets there continue.,"{'Min_10.0% Prob': 12.380881309509277, 'Min_20.0% Prob': 9.853487332661947, 'Min_30.0% Prob': 8.436655235290527, 'Min_40.0% Prob': 8.037739833196005, 'Min_50.0% Prob': 7.124473214149475}",-0.05194155126810074,"{'rouge1': Score(precision=0.11764705882352941, recall=0.125, fmeasure=0.12121212121212122), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11764705882352941, recall=0.125, fmeasure=0.12121212121212122)}"
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The Nama deal was the subject of a major legal challenge in the Irish courts.
The",National Crime Agency (NCA) detectives investigating the sale of the National Asset Management Agency's (Nama) Northern Ireland loans portfolio have interviewed a former managing partner of a Belfast legal firm.,"{'Min_10.0% Prob': 8.343974749247232, 'Min_20.0% Prob': 7.317147391183036, 'Min_30.0% Prob': 6.601478273218328, 'Min_40.0% Prob': 6.1145943573543, 'Min_50.0% Prob': 5.404142273796929}",0.46445193886756897,"{'rouge1': Score(precision=0.1935483870967742, recall=0.375, fmeasure=0.25531914893617014), 'rouge2': Score(precision=0.03333333333333333, recall=0.06666666666666667, fmeasure=0.04444444444444444), 'rougeL': Score(precision=0.16129032258064516, recall=0.3125, fmeasure=0.2127659574468085)}"
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
""I am also sorry for the pain and anguish I have caused the Maguire family.","A County Tyrone car dealer, whose driving caused the death of a pensioner, has been given a community service order and a three-year driving ban.","{'Min_10.0% Prob': 9.852323214213053, 'Min_20.0% Prob': 8.673288504282633, 'Min_30.0% Prob': 7.3085990746816, 'Min_40.0% Prob': 6.200809995333354, 'Min_50.0% Prob': 5.337228790918986}",0.09901860356330872,"{'rouge1': Score(precision=0.11538461538461539, recall=0.2, fmeasure=0.14634146341463417), 'rouge2': Score(precision=0.04, recall=0.07142857142857142, fmeasure=0.05128205128205128), 'rougeL': Score(precision=0.07692307692307693, recall=0.13333333333333333, fmeasure=0.0975609756097561)}"
EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
She said: ""The council has been meeting regularly with staff at the home and has been working","A council's proposal to shut a Ceredigion care home comes with ""no plan"" for care provision in the area, unions have said.","{'Min_10.0% Prob': 10.215345859527588, 'Min_20.0% Prob': 8.63839054107666, 'Min_30.0% Prob': 7.879257559776306, 'Min_40.0% Prob': 7.241955410350453, 'Min_50.0% Prob': 6.628843341554914}",0.3474750816822052,"{'rouge1': Score(precision=0.21739130434782608, recall=0.29411764705882354, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13043478260869565, recall=0.17647058823529413, fmeasure=0.15)}"
