Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction,GradientBoosting_probability,GradientBoosting_status,LogisticRegression_prediction,LogisticRegression_probability,LogisticRegression_status,RandomForest_prediction,RandomForest_probability,RandomForest_status
lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,,A female polar bear at a Scottish zoo has been temporarily put off limits to visitors as a precaution in case she is pregnant.,"{'Min_10.0% Prob': 11.690104166666666, 'Min_20.0% Prob': 9.757161458333334, 'Min_30.0% Prob': 8.282552083333334, 'Min_40.0% Prob': 6.987467447916667, 'Min_50.0% Prob': 5.9771484375}",0.0377754420042037,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",123,1.0,0.9985372199629927,Contaminated,1.0,0.8681331931264177,Contaminated,1.0,0.9938888888888888,Contaminated
lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,,A legal challenge to Alistair Carmichael's election as MP for Orkney and Shetland is to proceed.,"{'Min_10.0% Prob': 10.515625, 'Min_20.0% Prob': 7.76640625, 'Min_30.0% Prob': 5.819580078125, 'Min_40.0% Prob': 4.6985085227272725, 'Min_50.0% Prob': 3.8044259207589284}",0.1459332853555679,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",93,1.0,0.9983008402345822,Contaminated,1.0,0.8533236566434308,Contaminated,1.0,0.9940555555555557,Contaminated
lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,,An agreement has been reached to ensure foreign workers on freight boats serving Orkney and Shetland are paid at least the minimum wage.,"{'Min_10.0% Prob': 11.200520833333334, 'Min_20.0% Prob': 9.424479166666666, 'Min_30.0% Prob': 7.946397569444445, 'Min_40.0% Prob': 6.578938802083333, 'Min_50.0% Prob': 5.562239583333334}",-0.0057682772167027,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",133,1.0,0.9983757426467227,Contaminated,1.0,0.9916432678284707,Contaminated,1.0,1.0,Contaminated
lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
Ms Farman was found dead at her home in Clydebank on February 1.
Her son, who was in the house at the time, was unharmed.
Police are treating the death as murder and are appealing for information.
Three men have been arrested and charged in connection with the killing.
The men, aged between 18 and 25, appeared at Dumbarton Sheriff Court last week.
They are due to return to court next month.
Ms Farman's parents said they had not been able to attend her funeral due to their health issues.
They thanked friends in Mauritius for helping with the arrangements.
The letter went on: ""We are confident that you will give Janice the send-off which she richly deserves.
""We feel humbled by the outpouring of love and support we have received from her friends.""
Ms Farman's parents said they had learned of her death via social media and had not received any official contact from the Mauritian authorities.
They added: ""The shock and pain of all this will haunt us all our days.
""We try to cope by remembering all the good deeds she did throughout her life. The love she shared with so many and her jovial fun loving nature. Janice has left a huge void in our lives.""
Ms Farman had moved to Mauritius in 2000 and had been working as the managing director of PECS (Mauritius) Ltd, a privately-owned group of companies providing data services.
She had recently moved to Albion, in the west of the island.
Ms Farman was found dead at her home in Clydebank on February 1.
Her son, who was in the house at the time, was unharmed.
Police are treating the death as murder and are appealing for information.
Three men have been arrested and charged in connection with the killing.
The men, aged between 18 and 25, appeared at Dumbarton Sheriff Court last week.
They are due to return to court next month.","The parents of a Scottish woman murdered in Mauritius have written a letter to her friends and colleagues there, thanking them for the love they had shown to their daughter.","{'Min_10.0% Prob': 9.994791666666666, 'Min_20.0% Prob': 8.327008928571429, 'Min_30.0% Prob': 7.152698863636363, 'Min_40.0% Prob': 6.498883928571429, 'Min_50.0% Prob': 5.595269097222222}",0.4695149660110473,"{'rouge1': Score(precision=0.7333333333333333, recall=0.06748466257668712, fmeasure=0.12359550561797752), 'rouge2': Score(precision=0.1724137931034483, recall=0.015384615384615385, fmeasure=0.02824858757062147), 'rougeL': Score(precision=0.4666666666666667, recall=0.04294478527607362, fmeasure=0.07865168539325844)}",1628,1.0,0.9988214925616309,Contaminated,1.0,0.6319301075553,Contaminated,1.0,0.9945,Contaminated
lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
The text describes the situation on the small island of Guam, which is home to an important US airbase and about 6,000 troops, as well as 165,000 civilians. The island is a US territory, so an attack on Guam would be an attack on the US. Despite reassurances from the Guamanian authorities, many residents are concerned about the recent North Korean threat. The local media is covering the story, adding to the nervousness of the residents. The authorities believe it would take about 14 to 15 minutes for a North Korean missile to reach Guam, and the Guam Homeland Security Office has said it would put out a mass public notification via the emergency broadcasting system if there were any threat. The island has been named as a potential target for North Korean rockets before, but not everyone is fazed by the situation, with some people pointing out that such threats are not new and that people have been living with this situation for a couple of years already.","North Korea claims it has missiles capable of reaching the US mainland, but its latest threat is against Guam, a much closer target.","{'Min_10.0% Prob': 11.5234375, 'Min_20.0% Prob': 8.8640625, 'Min_30.0% Prob': 7.5927734375, 'Min_40.0% Prob': 6.396484375, 'Min_50.0% Prob': 5.34375}",0.6801983714103699,"{'rouge1': Score(precision=0.6086956521739131, recall=0.08187134502923976, fmeasure=0.14432989690721648), 'rouge2': Score(precision=0.045454545454545456, recall=0.0058823529411764705, fmeasure=0.010416666666666666), 'rougeL': Score(precision=0.34782608695652173, recall=0.04678362573099415, fmeasure=0.08247422680412371)}",860,1.0,0.9987833647363084,Contaminated,1.0,0.7492425149682631,Contaminated,1.0,0.9990000000000001,Contaminated
lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
Delay in match Fankaty Dabo (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Nathan Thompson (Swindon Town) because of an injury.
Delay in match Charlie Colkett (Swindon Town) because of an injury.
Delay in match Rohan Ince (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane Ferguson (Millwall) because of an injury.
Delay in match John Goddard (Swindon Town) because of an injury.
Delay in match Lawrence Vigouroux (Swindon Town) because of an injury.
Delay in match Dion Conroy (Swindon Town) because of an injury.
Delay in match James Brophy (Swindon Town) because of an injury.
Delay in match Luke Norris (Swindon Town) because of an injury.
Delay in match Conor Thomas (Swindon Town) because of an injury.
Delay in match Nicky Ajose (Swindon Town) because of an injury.
Delay in match Bradley Barry (Swindon Town) because of an injury.
Delay in match Shaun Williams (Millwall) because of an injury.
Delay in match Jonathan Obika (Swindon Town) because of an injury.
Delay in match Callum Butcher (Millwall) because of an injury.
Delay in match Mahlon Romeo (Millwall) because of an injury.
Delay in match Tony Craig (Millwall) because of an injury.
Delay in match Lee Gregory (Millwall) because of an injury.
Delay in match Steve Morison (Millwall) because of an injury.
Delay in match Shane",Substitute Conor Thomas scored a dramatic stoppage-time winner as Swindon ended Millwall's 16-match unbeaten run in League One.,"{'Min_10.0% Prob': 9.893229166666666, 'Min_20.0% Prob': 7.678013392857143, 'Min_30.0% Prob': 6.419034090909091, 'Min_40.0% Prob': 5.406770833333334, 'Min_50.0% Prob': 4.482653166118421}",0.4963414072990417,"{'rouge1': Score(precision=0.2857142857142857, recall=0.0033149171270718232, fmeasure=0.006553795740032769), 'rouge2': Score(precision=0.05, recall=0.000552791597567717, fmeasure=0.0010934937124111536), 'rougeL': Score(precision=0.2857142857142857, recall=0.0033149171270718232, fmeasure=0.006553795740032769)}",10817,1.0,0.9024793690775569,Contaminated,1.0,0.8682533681411572,Contaminated,1.0,0.829703532811726,Contaminated
lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,,Sunderland are set to terminate the contract of defender Emmanuel Eboue after he was suspended by Fifa from all football-related activity for one year.,"{'Min_10.0% Prob': 9.778645833333334, 'Min_20.0% Prob': 7.990513392857143, 'Min_30.0% Prob': 6.5607421875, 'Min_40.0% Prob': 5.203264508928571, 'Min_50.0% Prob': 4.409955193014706}",0.0252897702157497,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",148,1.0,0.9666920584911686,Contaminated,1.0,0.6964852970313945,Contaminated,1.0,0.9835833333333334,Contaminated
lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
The news comes after the UK government last week reiterated its commitment to the project despite the rising cost of the electricity it will produce.
Chancellor of the Exchequer Philip Hammond said the government remained committed to building a new nuclear power station at Hinkley Point in Somerset, despite the rising potential cost to the consumer of the electricity it will produce.
He said Hinkley was vital to a strong economy and still worth the cost.
The UK's National Audit Office estimated future top-up payments would rise from £6.1bn to £29.7bn over the length of the contract.
The Hinkley Point C project has been delayed for years due to concerns about EDF's financial capacity to handle the project.
The company says it has called a board meeting for 28 July and the investment decision is on the agenda.
BBC correspondent John Moylan said the firm's board is expected to give the plant the go-ahead.
It was initially due to cost £12bn, but recent estimates put the cost at £18bn.
The UK's National Audit Office estimated future top-up payments would rise from £6.1bn to £29.7bn over the length of the contract.
The Hinkley Point C project has been delayed for years due to concerns about EDF's financial capacity to handle the project.
The UK government last week reiterated its commitment to the project despite the rising cost of the electricity it will produce.
Chancellor of the Exchequer Philip Hammond said the government remained committed to building a new nuclear power station at Hinkley Point in Somerset, despite the rising potential cost to the consumer of the electricity it will produce.
He said Hinkley was vital to a strong economy and still worth the cost.",The French energy giant EDF is expected to make its long-awaited final investment decision on a new nuclear power plant at Hinkley Point in Somerset next week.,"{'Min_10.0% Prob': 8.7734375, 'Min_20.0% Prob': 6.140904017857143, 'Min_30.0% Prob': 5.0216796875, 'Min_40.0% Prob': 4.112444196428571, 'Min_50.0% Prob': 3.3553602430555554}",0.4837054014205932,"{'rouge1': Score(precision=0.7142857142857143, recall=0.06779661016949153, fmeasure=0.12383900928792568), 'rouge2': Score(precision=0.37037037037037035, recall=0.034013605442176874, fmeasure=0.06230529595015577), 'rougeL': Score(precision=0.5357142857142857, recall=0.05084745762711865, fmeasure=0.09287925696594428)}",1542,1.0,0.9361252539705004,Contaminated,1.0,0.6240397832024337,Contaminated,1.0,0.9001401237651235,Contaminated
lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,"
The crackdown on phishing comes as the Chinese government is trying to improve its online security and protect its citizens from cyber attacks.
The government has also been cracking down on online gambling and pornography, which it says are harmful to society.
The crackdown on phishing is part of a wider effort to improve internet security in China.
The government is working to improve its ability to respond to cyber attacks and is investing in technology to protect its citizens from online threats.
The crackdown on phishing is also part of a broader effort to protect the personal information of Chinese citizens.
The government is working to improve its ability to respond to cyber attacks and is investing in technology to protect its citizens from online threats.
The crackdown on phishing is part of a wider effort to improve internet security in China.
The government is working to improve its ability to respond to cyber attacks and is investing in technology to protect its citizens from online threats.
The crackdown on phishing is also part of a broader effort to protect the personal information of Chinese citizens.",The Chinese government is cracking down on home-grown cyber thieves seeking to steal online banking details.,"{'Min_10.0% Prob': 11.58203125, 'Min_20.0% Prob': 8.884375, 'Min_30.0% Prob': 7.854910714285714, 'Min_40.0% Prob': 6.4970703125, 'Min_50.0% Prob': 5.697672526041667}",0.6476524472236633,"{'rouge1': Score(precision=0.5882352941176471, recall=0.053475935828877004, fmeasure=0.09803921568627451), 'rouge2': Score(precision=0.3125, recall=0.026881720430107527, fmeasure=0.04950495049504951), 'rougeL': Score(precision=0.5882352941176471, recall=0.053475935828877004, fmeasure=0.09803921568627451)}",1030,1.0,0.9420707097608285,Contaminated,1.0,0.8244117075465283,Contaminated,1.0,0.7627962037962038,Contaminated
lmsys/vicuna-7b-v1.5,Summarize the following text: ,Xsum,,Plans to reduce CrossCountry train services between Aberdeen and Edinburgh have been scrapped.,"{'Min_10.0% Prob': 12.0234375, 'Min_20.0% Prob': 9.48046875, 'Min_30.0% Prob': 7.173828125, 'Min_40.0% Prob': 5.900390625, 'Min_50.0% Prob': 5.076822916666667}",0.0111702196300029,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",91,1.0,0.9910652421272647,Contaminated,1.0,0.5761687461681525,Contaminated,1.0,0.9332022699522701,Contaminated
