Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x,GradientBoosting_probability_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x,LogisticRegression_probability_x_x,LogisticRegression_status,RandomForest_prediction_x_x,RandomForest_probability_x_x,RandomForest_status,GradientBoosting_prediction_y_x,GradientBoosting_probability_y_x,GradientBoosting_label_x,LogisticRegression_prediction_y_x,LogisticRegression_probability_y_x,LogisticRegression_label_x,RandomForest_prediction_y_x,RandomForest_probability_y_x,RandomForest_label_x,GradientBoosting_prediction_x_y,GradientBoosting_probability_x_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_x_y,LogisticRegression_probability_x_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_x_y,RandomForest_probability_x_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction_y_y,GradientBoosting_probability_y_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_y_y,LogisticRegression_probability_y_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_y_y,RandomForest_probability_y_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction,GradientBoosting_probability,LogisticRegression_prediction,LogisticRegression_probability,RandomForest_prediction,RandomForest_probability
microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Hannah asks Amanda for Betty's number, but Amanda doesn't have it and",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 11.3671875, 'Min_20.0% Prob': 9.5126953125, 'Min_30.0% Prob': 8.326171875, 'Min_40.0% Prob': 7.311767578125, 'Min_50.0% Prob': 6.402734375}",0.8378137350082397,"{'rouge1': Score(precision=0.625, recall=0.7142857142857143, fmeasure=0.6666666666666666), 'rouge2': Score(precision=0.5333333333333333, recall=0.6153846153846154, fmeasure=0.5714285714285715), 'rougeL': Score(precision=0.625, recall=0.7142857142857143, fmeasure=0.6666666666666666)}",41,0,0.049865231493602,Clean,0,0.2103032627677313,Clean,0,0.0722248862248862,Clean,0,0.049865231493602,Not Contaminated,0,0.2103032627677313,Not Contaminated,0,0.0722248862248862,Not Contaminated,0,0.049865231493602,Not Contaminated,Not Contaminated,0,0.2103032627677313,Not Contaminated,Not Contaminated,0,0.0722248862248862,Not Contaminated,Not Contaminated,0,0.049865231493602,Not Contaminated,Not Contaminated,0,0.2103032627677313,Not Contaminated,Not Contaminated,0,0.0722248862248862,Not Contaminated,Not Contaminated,0,0.049865231493602086,0,0.2103032627677313,0,0.07222488622488621
microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Eric and Rob discuss a funny stand-up comedy routine about a machine, which they find am",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 8.7109375, 'Min_20.0% Prob': 8.39453125, 'Min_30.0% Prob': 7.951171875, 'Min_40.0% Prob': 6.8203125, 'Min_50.0% Prob': 6.446428571428571}",0.6895302534103394,"{'rouge1': Score(precision=0.5, recall=0.35294117647058826, fmeasure=0.41379310344827586), 'rouge2': Score(precision=0.2727272727272727, recall=0.1875, fmeasure=0.2222222222222222), 'rougeL': Score(precision=0.5, recall=0.35294117647058826, fmeasure=0.41379310344827586)}",61,0,0.4824816770542491,Clean,1,0.620421101577046,Contaminated,0,0.4330894869019868,Clean,0,0.4824816770542491,Not Contaminated,1,0.620421101577046,Likely Contaminated,0,0.4330894869019868,Not Contaminated,0,0.4824816770542491,Not Contaminated,Not Contaminated,1,0.620421101577046,Likely Contaminated,Likely Contaminated,0,0.4330894869019868,Not Contaminated,Not Contaminated,0,0.4824816770542491,Not Contaminated,Not Contaminated,1,0.620421101577046,Likely Contaminated,Likely Contaminated,0,0.4330894869019868,Not Contaminated,Not Contaminated,0,0.4824816770542491,1,0.620421101577046,0,0.4330894869019868
microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Lenny seeks Bob's help in choosing between three pairs of trousers. Bob suggests,Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 7.59765625, 'Min_20.0% Prob': 6.92333984375, 'Min_30.0% Prob': 6.1123046875, 'Min_40.0% Prob': 5.362060546875, 'Min_50.0% Prob': 4.693359375}",0.7903726696968079,"{'rouge1': Score(precision=0.20689655172413793, recall=0.42857142857142855, fmeasure=0.2790697674418604), 'rouge2': Score(precision=0.03571428571428571, recall=0.07692307692307693, fmeasure=0.04878048780487805), 'rougeL': Score(precision=0.13793103448275862, recall=0.2857142857142857, fmeasure=0.18604651162790697)}",104,0,0.1957545870710982,Clean,1,0.6180259007708343,Contaminated,0,0.258761573802015,Clean,0,0.1957545870710982,Not Contaminated,1,0.6180259007708343,Likely Contaminated,0,0.258761573802015,Not Contaminated,0,0.1957545870710982,Not Contaminated,Not Contaminated,1,0.6180259007708343,Likely Contaminated,Likely Contaminated,0,0.258761573802015,Not Contaminated,Not Contaminated,0,0.1957545870710982,Not Contaminated,Not Contaminated,1,0.6180259007708343,Likely Contaminated,Likely Contaminated,0,0.258761573802015,Not Contaminated,Not Contaminated,0,0.19575458707109825,1,0.6180259007708343,0,0.258761573802015
microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Will asks Emma about dinner plans, but she declines, saying she's not hungry and",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 8.6484375, 'Min_20.0% Prob': 7.40234375, 'Min_30.0% Prob': 6.924479166666667, 'Min_40.0% Prob': 6.68359375, 'Min_50.0% Prob': 5.949609375}",0.6279518604278564,"{'rouge1': Score(precision=0.36363636363636365, recall=0.26666666666666666, fmeasure=0.30769230769230765), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.18181818181818182, recall=0.13333333333333333, fmeasure=0.15384615384615383)}",59,1,0.6843515511410201,Contaminated,1,0.8098573500366409,Contaminated,1,0.6233955467643134,Contaminated,1,0.6843515511410201,Likely Contaminated,1,0.8098573500366409,Likely Contaminated,1,0.6233955467643134,Likely Contaminated,1,0.6843515511410201,Likely Contaminated,Likely Contaminated,1,0.8098573500366409,Likely Contaminated,Likely Contaminated,1,0.6233955467643134,Likely Contaminated,Likely Contaminated,1,0.6843515511410201,Likely Contaminated,Likely Contaminated,1,0.8098573500366409,Likely Contaminated,Likely Contaminated,1,0.6233955467643134,Likely Contaminated,Likely Contaminated,1,0.6843515511410201,1,0.8098573500366409,1,0.6233955467643134
microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Ollie and Jane discuss their plans for a lunch meeting, which Jane suggests for the ",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 9.7109375, 'Min_20.0% Prob': 8.3125, 'Min_30.0% Prob': 7.166883680555555, 'Min_40.0% Prob': 6.406656901041667, 'Min_50.0% Prob': 5.635017641129032}",0.7184634804725647,"{'rouge1': Score(precision=0.18604651162790697, recall=0.5333333333333333, fmeasure=0.27586206896551724), 'rouge2': Score(precision=0.09523809523809523, recall=0.2857142857142857, fmeasure=0.14285714285714285), 'rougeL': Score(precision=0.16279069767441862, recall=0.4666666666666667, fmeasure=0.24137931034482765)}",164,0,0.2212862208046299,Clean,0,0.4735970777682492,Clean,0,0.1661617936901588,Clean,0,0.2212862208046299,Not Contaminated,0,0.4735970777682492,Not Contaminated,0,0.1661617936901588,Not Contaminated,0,0.2212862208046299,Not Contaminated,Not Contaminated,0,0.4735970777682492,Not Contaminated,Not Contaminated,0,0.1661617936901588,Not Contaminated,Not Contaminated,0,0.2212862208046299,Not Contaminated,Not Contaminated,0,0.4735970777682492,Not Contaminated,Not Contaminated,0,0.1661617936901588,Not Contaminated,Not Contaminated,0,0.22128622080462995,0,0.4735970777682492,0,0.16616179369015888
microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Benjamin and his friends discuss plans for the day, including meeting French colleagues for lunch and dinner",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 8.229910714285714, 'Min_20.0% Prob': 6.9140625, 'Min_30.0% Prob': 5.975074404761905, 'Min_40.0% Prob': 5.343959263392857, 'Min_50.0% Prob': 4.833116319444445}",0.5196171998977661,"{'rouge1': Score(precision=0.14035087719298245, recall=0.47058823529411764, fmeasure=0.2162162162162162), 'rouge2': Score(precision=0.03571428571428571, recall=0.125, fmeasure=0.05555555555555556), 'rougeL': Score(precision=0.08771929824561403, recall=0.29411764705882354, fmeasure=0.13513513513513511)}",235,1,0.6636111531413981,Contaminated,1,0.5305242467081086,Contaminated,0,0.3756654289338113,Clean,1,0.6636111531413981,Likely Contaminated,1,0.5305242467081086,Likely Contaminated,0,0.3756654289338113,Not Contaminated,1,0.6636111531413981,Likely Contaminated,Likely Contaminated,1,0.5305242467081086,Likely Contaminated,Likely Contaminated,0,0.3756654289338113,Not Contaminated,Not Contaminated,1,0.6636111531413981,Likely Contaminated,Likely Contaminated,1,0.5305242467081086,Likely Contaminated,Likely Contaminated,0,0.3756654289338113,Not Contaminated,Not Contaminated,1,0.6636111531413981,1,0.5305242467081086,0,0.37566542893381133
microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Max asks Payton for good clothing websites, and Payton recommends several, mentioning she",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 10.197265625, 'Min_20.0% Prob': 9.0224609375, 'Min_30.0% Prob': 7.876953125, 'Min_40.0% Prob': 7.0096435546875, 'Min_50.0% Prob': 6.28740234375}",0.7530187964439392,"{'rouge1': Score(precision=0.2, recall=0.46153846153846156, fmeasure=0.27906976744186046), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13333333333333333, recall=0.3076923076923077, fmeasure=0.18604651162790697)}",143,0,0.2080587966317773,Clean,1,0.7872595708767213,Contaminated,0,0.2595254337166103,Clean,0,0.2080587966317773,Not Contaminated,1,0.7872595708767213,Likely Contaminated,0,0.2595254337166103,Not Contaminated,0,0.2080587966317773,Not Contaminated,Not Contaminated,1,0.7872595708767213,Likely Contaminated,Likely Contaminated,0,0.2595254337166103,Not Contaminated,Not Contaminated,0,0.2080587966317773,Not Contaminated,Not Contaminated,1,0.7872595708767213,Likely Contaminated,Likely Contaminated,0,0.2595254337166103,Not Contaminated,Not Contaminated,0,0.20805879663177737,1,0.7872595708767213,0,0.25952543371661035
microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Rita and Tina are both exhausted and struggling to stay awake at work, finding their",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 11.53125, 'Min_20.0% Prob': 8.174479166666666, 'Min_30.0% Prob': 6.607421875, 'Min_40.0% Prob': 6.091471354166667, 'Min_50.0% Prob': 5.38330078125}",0.8307612538337708,"{'rouge1': Score(precision=0.5384615384615384, recall=0.4666666666666667, fmeasure=0.5), 'rouge2': Score(precision=0.3333333333333333, recall=0.2857142857142857, fmeasure=0.30769230769230765), 'rougeL': Score(precision=0.46153846153846156, recall=0.4, fmeasure=0.42857142857142855)}",50,0,0.1933769650961831,Clean,0,0.4381755151338061,Clean,0,0.3064526515151515,Clean,0,0.1933769650961831,Not Contaminated,0,0.4381755151338061,Not Contaminated,0,0.3064526515151515,Not Contaminated,0,0.1933769650961831,Not Contaminated,Not Contaminated,0,0.4381755151338061,Not Contaminated,Not Contaminated,0,0.3064526515151515,Not Contaminated,Not Contaminated,0,0.1933769650961831,Not Contaminated,Not Contaminated,0,0.4381755151338061,Not Contaminated,Not Contaminated,0,0.3064526515151515,Not Contaminated,Not Contaminated,0,0.19337696509618316,0,0.4381755151338061,0,0.3064526515151515
microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Beatrice insists on buying Leo a scarf for winter, despite his dislike for them","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 9.653645833333334, 'Min_20.0% Prob': 8.053571428571429, 'Min_30.0% Prob': 6.7830078125, 'Min_40.0% Prob': 5.6181640625, 'Min_50.0% Prob': 4.704210069444445}",0.8652471303939819,"{'rouge1': Score(precision=0.21428571428571427, recall=0.42857142857142855, fmeasure=0.2857142857142857), 'rouge2': Score(precision=0.1111111111111111, recall=0.23076923076923078, fmeasure=0.15), 'rougeL': Score(precision=0.21428571428571427, recall=0.42857142857142855, fmeasure=0.2857142857142857)}",92,0,0.0579939898277491,Clean,0,0.4543131879479338,Clean,0,0.1271822971490154,Clean,0,0.0579939898277491,Not Contaminated,0,0.4543131879479338,Not Contaminated,0,0.1271822971490154,Not Contaminated,0,0.0579939898277491,Not Contaminated,Not Contaminated,0,0.4543131879479338,Not Contaminated,Not Contaminated,0,0.1271822971490154,Not Contaminated,Not Contaminated,0,0.0579939898277491,Not Contaminated,Not Contaminated,0,0.4543131879479338,Not Contaminated,Not Contaminated,0,0.1271822971490154,Not Contaminated,Not Contaminated,0,0.05799398982774911,0,0.4543131879479338,0,0.1271822971490154
microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Ivan and Eric discuss Eric's attendance at Ivan's brother's wedding. Eric,Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 9.93359375, 'Min_20.0% Prob': 8.21875, 'Min_30.0% Prob': 7.296875, 'Min_40.0% Prob': 6.0716796875, 'Min_50.0% Prob': 5.248798076923077}",0.8363797664642334,"{'rouge1': Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4), 'rouge2': Score(precision=0.2, recall=0.3076923076923077, fmeasure=0.24242424242424246), 'rougeL': Score(precision=0.2857142857142857, recall=0.42857142857142855, fmeasure=0.34285714285714286)}",57,0,0.1694143794680421,Clean,0,0.4238293607812826,Clean,0,0.1391304598179598,Clean,0,0.1694143794680421,Not Contaminated,0,0.4238293607812826,Not Contaminated,0,0.1391304598179598,Not Contaminated,0,0.1694143794680421,Not Contaminated,Not Contaminated,0,0.4238293607812826,Not Contaminated,Not Contaminated,0,0.1391304598179598,Not Contaminated,Not Contaminated,0,0.1694143794680421,Not Contaminated,Not Contaminated,0,0.4238293607812826,Not Contaminated,Not Contaminated,0,0.1391304598179598,Not Contaminated,Not Contaminated,0,0.16941437946804216,0,0.42382936078128264,0,0.13913045981795982
