"Model","Task_Prefix","Dataset_Name","Model_Responses","Gold_Labels","Min_K_Responses","cos_sim_scores","rouge_sim_scores","levenshtein_distance"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","

The principal of an Ohio middle school removed the word 'feminist' from an","Sophie Thomas attends Clermont Northeastern Middle School in Batavia .
She wore a black shirt bearing word for school picture day back in March .
When students got photos this week, word was removed with Photoshop .
Administrators said they asked to remove word, a claim Thomas disputes .","{'Min_10.0% Prob': 11.92578125, 'Min_20.0% Prob': 10.241586538461538, 'Min_30.0% Prob': 8.7978515625, 'Min_40.0% Prob': 7.739293981481482, 'Min_50.0% Prob': 6.804802389705882}","0.4363808035850525","{'rouge1': Score(precision=0.08888888888888889, recall=0.3076923076923077, fmeasure=0.13793103448275862), 'rouge2': Score(precision=0.022727272727272728, recall=0.08333333333333333, fmeasure=0.03571428571428572), 'rougeL': Score(precision=0.08888888888888889, recall=0.3076923076923077, fmeasure=0.13793103448275862)}","234"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","","Australian Fashion Report revealed the Australian-sold brands and companies that ignore the exploitation of their overseas workers .
Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were  some of the worst performers .
Etiko, Audrey Blue, Cotton On, H&M and Zara had some of the best scores .
75 per cent of companies don't know the source of all their fabrics and inputs .","{'Min_10.0% Prob': 9.259588068181818, 'Min_20.0% Prob': 7.888316761363637, 'Min_30.0% Prob': 6.803858901515151, 'Min_40.0% Prob': 5.855158025568182, 'Min_50.0% Prob': 5.091033380681818}","0.017924765124917","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","420"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","He was pictured smoking an e-cigarette yesterday.","Nigel Farage is considering quitting smoking because of 'terrible' back pain .
UKIP leader wasn't 'firing on all cylinders' at the start of election campaign .
Suffering from flare-up of spinal injury and been prescribed sleeping pills .","{'Min_10.0% Prob': 10.213541666666666, 'Min_20.0% Prob': 8.357872596153847, 'Min_30.0% Prob': 7.3998766447368425, 'Min_40.0% Prob': 6.4755859375, 'Min_50.0% Prob': 5.709136962890625}","0.4569204151630401","{'rouge1': Score(precision=0.02702702702702703, recall=0.125, fmeasure=0.044444444444444446), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.02702702702702703, recall=0.125, fmeasure=0.044444444444444446)}","202"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","","The Glasford school in Illinois hosted one of several simulations put on by the American Red Cross to educate students on drunk driving dangers .
The staged event on Thursday used student actors playing accident victims and used real rescue personnel responding to the scene .
In a graphic staged performance on Wednesday at Massapequa High School in Long Island there was a similar simulation .","{'Min_10.0% Prob': 10.2998046875, 'Min_20.0% Prob': 8.662109375, 'Min_30.0% Prob': 7.586751302083333, 'Min_40.0% Prob': 6.683001893939394, 'Min_50.0% Prob': 6.001762576219512}","0.0770298838615417","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","392"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","

The celebrated Texas-born hunter, Ian Gibson, was killed by a baby ele","Ian Gibson, 55, was hunting in Zimbabwe for an American client .
He was taking a rest when he spotted the bull elephant in the Zambezi Valley .
Approached it to measure ivory, fired one shot then was crushed to death .
Funeral to be paid for by Dallas Safari Club, where he was a popular figure .","{'Min_10.0% Prob': 9.61669921875, 'Min_20.0% Prob': 8.014404296875, 'Min_30.0% Prob': 6.983235677083333, 'Min_40.0% Prob': 6.13800048828125, 'Min_50.0% Prob': 5.2998046875}","0.4723562002182007","{'rouge1': Score(precision=0.1111111111111111, recall=0.46153846153846156, fmeasure=0.17910447761194032), 'rouge2': Score(precision=0.018867924528301886, recall=0.08333333333333333, fmeasure=0.03076923076923077), 'rougeL': Score(precision=0.09259259259259259, recall=0.38461538461538464, fmeasure=0.14925373134328357)}","251"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","

1. What was the initial reason why Anthony Stokes was not put on the waiting list","Anthony Stokes died on Tuesday after he crashed a stolen car into a pole while fleeing from the scene of an attempted burglary in Roswell, Georgia .
He had fired at an elderly woman after breaking into her home .
Less than two years ago, he was given a life-saving heart transplant .
He was initially denied the surgery because doctors said he had previously failed to take medication so would be 'non-compliant' with the treatment .
But they changed their minds following pressure from civil rights groups and the boy's family, who said he had been stereotyped as a troubled teen .
After the transplant, he said he was grateful for a second chance at life .","{'Min_10.0% Prob': 9.095458984375, 'Min_20.0% Prob': 7.1038818359375, 'Min_30.0% Prob': 5.804646809895833, 'Min_40.0% Prob': 4.8664703369140625, 'Min_50.0% Prob': 4.144302179783951}","0.5265175104141235","{'rouge1': Score(precision=0.06956521739130435, recall=0.5, fmeasure=0.12213740458015267), 'rouge2': Score(precision=0.008771929824561403, recall=0.06666666666666667, fmeasure=0.015503875968992248), 'rougeL': Score(precision=0.034782608695652174, recall=0.25, fmeasure=0.061068702290076333)}","591"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","","Walter Smith believes Ally McCoist deserves another managerial job .
Ibrox legend believes McCoist still has something to offer in football .
McCoist is still being paid £14,000 a week while his notice period runs out .","{'Min_10.0% Prob': 10.2859375, 'Min_20.0% Prob': 8.160511363636363, 'Min_30.0% Prob': 6.796989889705882, 'Min_40.0% Prob': 5.836022418478261, 'Min_50.0% Prob': 5.009058459051724}","0.0883119702339172","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","216"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","Real Madrid’s Cristiano Ronaldo celebrates scoring his side’s first goal of the","Real Madrid earn 3-0 La Liga victory against Eibar .
Cristiano Ronaldo gives Madrid the lead with first-half free kick .
Javier Hernandez doubles home side's lead with 31st minute header .
Jese completes 3-0 victory with brilliant strike in the closing stages .","{'Min_10.0% Prob': 8.758928571428571, 'Min_20.0% Prob': 6.871233258928571, 'Min_30.0% Prob': 5.764043898809524, 'Min_40.0% Prob': 4.945661272321429, 'Min_50.0% Prob': 4.185112847222222}","0.5977205634117126","{'rouge1': Score(precision=0.18181818181818182, recall=0.5714285714285714, fmeasure=0.27586206896551724), 'rouge2': Score(precision=0.06976744186046512, recall=0.23076923076923078, fmeasure=0.10714285714285714), 'rougeL': Score(precision=0.1590909090909091, recall=0.5, fmeasure=0.2413793103448276)}","199"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","","Shortly after being presented with his green jacket, new Masters champion Jordan Spieth gave 25 interviews over the course of 24 hours in New York .
Then, despite his fatigue, the 21-year-old flew to South Carolina to keep a promise and play in the Heritage tournament - his fourth event in a row .
By contrast, players on the European Tour have not shown the same sort of unwavering commitment to the sport .
Ian Poulter, Henrik Stenson and Sergio Garcia have decided not to play at the BMW PGA Championship being staged at Wentworth next month .","{'Min_10.0% Prob': 8.80498798076923, 'Min_20.0% Prob': 7.362991898148148, 'Min_30.0% Prob': 6.306640625, 'Min_40.0% Prob': 5.3870916193181815, 'Min_50.0% Prob': 4.551580899003623}","0.148513451218605","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","544"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","

1. What is the text about?
The text is about Manchester United's injury","Manchester United are missing four players in key positions ahead of the crucial Premier League game with title rivals Chelsea at Stamford Bridge .
Daley Blind, Michael Carrick, Phil Jones and Marcos Rojo are all out injured .
Wayne Rooney could be dropped deeper into midfield to compensate .
The decision to play Rooney in midfield has been an unpopular one before .","{'Min_10.0% Prob': 9.65087890625, 'Min_20.0% Prob': 7.1560202205882355, 'Min_30.0% Prob': 5.8213641826923075, 'Min_40.0% Prob': 4.822293526785714, 'Min_50.0% Prob': 4.075961026278409}","0.3821997046470642","{'rouge1': Score(precision=0.06779661016949153, recall=0.2857142857142857, fmeasure=0.1095890410958904), 'rouge2': Score(precision=0.017241379310344827, recall=0.07692307692307693, fmeasure=0.028169014084507043), 'rougeL': Score(precision=0.03389830508474576, recall=0.14285714285714285, fmeasure=0.0547945205479452)}","321"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","CNN-DailyMail","Knight was struck in the abdomen and required surgery. He was released from the hospital in","Former rap mogul Marion ""Suge"" Knight is accused of murder in a videotaped hit-and-run .
Judge declines to reduce his bail from $10 million .","{'Min_10.0% Prob': 12.58984375, 'Min_20.0% Prob': 9.54833984375, 'Min_30.0% Prob': 7.022986778846154, 'Min_40.0% Prob': 5.835133272058823, 'Min_50.0% Prob': 4.696244673295454}","0.4368941187858581","{'rouge1': Score(precision=0.16, recall=0.25, fmeasure=0.19512195121951217), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16, recall=0.25, fmeasure=0.19512195121951217)}","103"
