,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,"

Okay, so I need to summarize this conversation. Let me read through it again to understand the",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,0.0359483510255813,74.0,0.1875,0.17647058823529413,0.1818181818181818,0.06666666666666667,0.0625,0.06451612903225808,0.1875,0.17647058823529413,0.1818181818181818,16.3125,14.098958333333334,12.9421875,11.383928571428571,9.97265625
1,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum," TTYL!

Okay, so I need to summarize this conversation. Let me read through it",Eric and Rob are going to watch a stand-up on youtube.,0.099012978374958,63.0,0.08333333333333333,0.07142857142857142,0.07692307692307691,0.0,0.0,0.0,0.08333333333333333,0.07142857142857142,0.07692307692307691,15.5703125,12.98046875,12.0625,11.1828125,10.696614583333334
2,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum," 

Okay, so I need to summarize this conversation. Let me read through it again to understand what",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,0.0258906111121177,109.0,0.06896551724137931,0.11764705882352941,0.08695652173913043,0.0,0.0,0.0,0.06896551724137931,0.11764705882352941,0.08695652173913043,15.333333333333334,12.231026785714286,10.841015625,9.631696428571429,8.873391544117647
3,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum," Will: I'll be home soon, I'll be home soon, I'll be home soon.",Emma will be home soon and she will let Will know.,0.398232489824295,35.0,0.36363636363636365,0.25,0.2962962962962963,0.2,0.13333333333333333,0.16,0.36363636363636365,0.25,0.2962962962962963,12.609375,12.12890625,11.856770833333334,11.595703125,10.623697916666666
4,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,", see you tomorrow! 

Okay, so I need to summarize this conversation. Let me read through",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,0.2043621242046356,176.0,0.023255813953488372,0.06666666666666667,0.034482758620689655,0.0,0.0,0.0,0.023255813953488372,0.06666666666666667,0.034482758620689655,13.3421875,11.662642045454545,10.39013671875,9.078302556818182,8.008858816964286
5,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,"
Okay, so I need to summarize this conversation. Let me read through it again to make sure",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,0.0740909203886985,242.0,0.03508771929824561,0.11764705882352941,0.05405405405405405,0.0,0.0,0.0,0.03508771929824561,0.11764705882352941,0.05405405405405405,14.1953125,11.559495192307692,9.9181640625,8.848234953703704,7.937959558823529
6,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum, <file_other> <file_other> <file_other> <file_other> <file_other>,Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,0.043872557580471,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.40625,11.063616071428571,10.318359375,9.33984375,8.430338541666666
7,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum, But I can't seem to shake it. I think I need to find a way to stay awake,Rita and Tina are bored at work and have still 4 hours left.,0.2039929032325744,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.59375,14.026041666666666,13.759765625,12.251953125,10.42822265625
8,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum, I don't need it. I don't like it. I don't care. I don't,"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",0.2099855989217758,106.0,0.10714285714285714,0.17647058823529413,0.13333333333333333,0.037037037037037035,0.0625,0.046511627906976744,0.10714285714285714,0.17647058823529413,0.13333333333333333,14.544270833333334,12.010416666666666,10.59592013888889,8.793569711538462,7.8463134765625
9,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,", but i need you to come to my wedding too
Ivan: what??
Eric:",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,0.6982041001319885,72.0,0.23809523809523808,0.38461538461538464,0.2941176470588235,0.0,0.0,0.0,0.14285714285714285,0.23076923076923078,0.17647058823529413,13.8125,12.40625,11.731770833333334,10.720052083333334,10.129261363636363
10,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum," him later
Wanda: So, u need to make a list of things to do for the",Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,0.5078661441802979,97.0,0.2692307692307692,0.4375,0.33333333333333337,0.0,0.0,0.0,0.23076923076923078,0.375,0.2857142857142857,16.3046875,13.630208333333334,12.041666666666666,11.1083984375,10.066145833333334
11,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,"
Aggie: so what did you do
Martin: just write a short review and that's",Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,0.5978342890739441,98.0,0.2222222222222222,0.4,0.2857142857142857,0.11538461538461539,0.21428571428571427,0.15,0.18518518518518517,0.3333333333333333,0.23809523809523808,17.390625,15.270833333333334,14.052083333333334,13.123046875,11.6396484375
12,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,", a polish writer. She wrote a play called ""The Last of the Party"" which is about",Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,0.3034828007221222,115.0,0.16666666666666666,0.25,0.2,0.043478260869565216,0.06666666666666667,0.052631578947368425,0.125,0.1875,0.15,15.26171875,13.30625,12.041015625,11.159801136363637,10.250279017857142
13,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,", why?
Tom: because it's cheaper than taking the train
Ella: I think the","Ella rented a car, this makes things much faster for her and Tom. ",0.6110756397247314,56.0,0.15384615384615385,0.14285714285714285,0.14814814814814817,0.0,0.0,0.0,0.07692307692307693,0.07142857142857142,0.07407407407407408,20.671875,18.182291666666668,15.5484375,14.595052083333334,12.8291015625
14,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,"
Luke: so you are not really on holiday, are you?
Paul: nope,",Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,0.5383961200714111,174.0,0.08333333333333333,0.25,0.125,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.08333333333333333,14.1640625,12.2734375,10.786783854166666,9.74365234375,8.933203125
15,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum, I'll be right back. I'll be with you in 10 minutes. I'll be,"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",0.0732510089874267,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48828125,10.6845703125,9.708658854166666,8.802490234375,7.94892578125
16,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum, <file_gif2> <file_gif3> <file_gif4> <file,"Ethan, Toby and Marshall are making fun of Scott.",0.1123532354831695,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.078125,15.05859375,14.6484375,14.0625,12.950520833333334
17,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,"


Okay, so I need to summarize this conversation. Let me read through it again to understand the",Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless. ,0.1287175267934799,97.0,0.04,0.058823529411764705,0.04761904761904763,0.0,0.0,0.0,0.04,0.058823529411764705,0.04761904761904763,16.479166666666668,14.177083333333334,12.571180555555555,11.094401041666666,9.79765625
18,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,"

Okay, so I need to summarize this conversation. Let me read through it again to make sure",Clara is rewatching Dear White People and strongly recommends it to Neela.,0.1105754971504211,71.0,0.16666666666666666,0.11764705882352941,0.13793103448275862,0.0,0.0,0.0,0.16666666666666666,0.11764705882352941,0.13793103448275862,18.578125,15.627604166666666,14.6578125,14.290364583333334,12.564453125
19,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,"
Ernest: you should have seen the damage
Mike: it was a minor accident, just",Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's. ,0.6973006725311279,99.0,0.16666666666666666,0.2857142857142857,0.2105263157894737,0.0,0.0,0.0,0.08333333333333333,0.14285714285714285,0.10526315789473685,14.80859375,13.603125,12.4521484375,11.80234375,10.803786057692308
