<<<<<<< HEAD
,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
I'm trying to understand the context of this conversation and what Hannah is trying to convey",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,0.41025301814079285,0.125,0.1111111111111111,0.11764705882352941,0.0,0.0,0.0,0.125,0.1111111111111111,0.11764705882352941,16.430620193481445,13.773148854573568,10.908196067810058,9.363635471888951,8.095442612965902
1,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user: The two characters, Eric and Rob, are discussing their favorite TV show. They mention",Eric and Rob are going to watch a stand-up on youtube.,0.7092263698577881,0.3333333333333333,0.26666666666666666,0.2962962962962963,0.2727272727272727,0.21428571428571427,0.23999999999999996,0.3333333333333333,0.26666666666666666,0.2962962962962963,15.030601501464844,13.720654487609863,12.307551066080729,11.50559949874878,9.304294109344482
2,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,user: The conversation between Lenny and Bob appears to be about choosing outfits for a friend.,Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,0.6225945353507996,0.13793103448275862,0.25,0.17777777777777778,0.0,0.0,0.0,0.10344827586206896,0.1875,0.13333333333333333,14.7486941019694,12.189399083455404,10.32887167930603,9.297626935518705,8.279716407551485
3,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What can we learn from this conversation between Will and Emma?
The conversation shows that they",Emma will be home soon and she will let Will know.,0.7042195796966553,0.2727272727272727,0.17647058823529413,0.21428571428571427,0.0,0.0,0.0,0.18181818181818182,0.11764705882352941,0.14285714285714285,12.587498664855957,10.330145359039307,9.160130182902018,8.37701940536499,7.668134880065918
4,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What does Jane say when she says ""I lost my calendar""? What does it mean",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,0.4695817232131958,0.06976744186046512,0.1875,0.10169491525423728,0.0,0.0,0.0,0.06976744186046512,0.1875,0.10169491525423728,12.175545120239258,10.006471677259965,8.761715441942215,7.651181784543124,6.9429741082368075
5,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What was Benjamin's motivation for wanting to take the keys?",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,0.3557708263397217,0.12280701754385964,0.5833333333333334,0.20289855072463764,0.03571428571428571,0.18181818181818182,0.05970149253731343,0.08771929824561403,0.4166666666666667,0.14492753623188404,10.708415508270264,9.537210171039288,8.103227996826172,7.004435159541942,6.2225277143366196
6,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What is Payton's opinion on the topic of clothing shopping?
Is there anything specific",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,0.7071007490158081,0.13333333333333333,0.25,0.1739130434782609,0.034482758620689655,0.06666666666666667,0.045454545454545456,0.13333333333333333,0.25,0.1739130434782609,10.955329259236654,10.046703066144671,9.290004777908326,8.056146212986537,7.377146328196806
7,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
I apologize, but I don't have enough context or specific information about the ""text",Rita and Tina are bored at work and have still 4 hours left.,0.02718699350953102,0.07692307692307693,0.0625,0.06896551724137931,0.0,0.0,0.0,0.07692307692307693,0.0625,0.06896551724137931,12.282950401306152,11.639267921447754,10.865444898605347,9.522862911224365,8.824306692395892
8,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
I'm sorry, but your summary is not clear and does not provide any context or","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",0.04754609614610672,0.07142857142857142,0.11764705882352941,0.08888888888888889,0.0,0.0,0.0,0.07142857142857142,0.11764705882352941,0.08888888888888889,13.311811447143555,11.58873176574707,9.978576872083876,8.665628949801127,7.533945024013519
9,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What is the relationship between Ivan and Eric in this conversation?",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,0.7024960517883301,0.09523809523809523,0.16666666666666666,0.12121212121212123,0.0,0.0,0.0,0.047619047619047616,0.08333333333333333,0.060606060606060615,12.478082180023193,10.92790412902832,8.99711799621582,7.9442896246910095,6.920714703473178
10,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
Summary of the given text:
The conversation between Wanda and Gina is about planning a",Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,0.6674020290374756,0.19230769230769232,0.3125,0.2380952380952381,0.0,0.0,0.0,0.07692307692307693,0.125,0.09523809523809525,14.967619260152182,12.79069741566976,11.275108867221409,10.158519784609476,9.237126127878826
11,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
I'm sorry, but your summary is not clear or coherent. It appears to be",Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,0.01620258390903473,0.037037037037037035,0.0625,0.046511627906976744,0.0,0.0,0.0,0.037037037037037035,0.0625,0.046511627906976744,14.182311058044434,11.75641663869222,10.374574184417725,9.309464891751608,8.350563176472981
12,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What was the main topic discussed in the conversation between Charlee and Curtis?
The main",Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,0.28644418716430664,0.08333333333333333,0.125,0.1,0.0,0.0,0.0,0.08333333333333333,0.125,0.1,14.22587776184082,11.99652271270752,10.887211918830872,9.982491579922764,9.116015298025948
13,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,user: Mary and Tom were discussing their plans for transportation. Mary asked Ella if she was planning,"Ella rented a car, this makes things much faster for her and Tom. ",0.5570082664489746,0.3076923076923077,0.23529411764705882,0.26666666666666666,0.08333333333333333,0.0625,0.07142857142857144,0.15384615384615385,0.11764705882352941,0.13333333333333333,12.62896728515625,11.664620081583658,10.921998262405396,9.759540478388468,8.417702376842499
14,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What is the relationship between Luke and Paul?",Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,0.6290117502212524,0.1111111111111111,0.4444444444444444,0.17777777777777776,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.17777777777777776,14.642827669779459,11.612390041351318,10.066349723122336,9.005200640360515,8.228367403933877
15,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
I would like to ask you some questions related to this conversation. Please provide me with","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",0.02932082489132881,0.058823529411764705,0.11764705882352941,0.07843137254901962,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.07843137254901962,9.685203552246094,8.292248385293144,7.120859709652987,6.267144680023193,5.689716113241095
16,Qwen/Qwen2.5-0.5B-Instruct,Summarize the following text: ,Samsum,"user
What is the purpose of the GIF in this text?","Ethan, Toby and Marshall are making fun of Scott.",0.15542596578598022,0.1111111111111111,0.09090909090909091,0.09999999999999999,0.0,0.0,0.0,0.1111111111111111,0.09090909090909091,0.09999999999999999,12.150182723999023,11.728936195373535,10.333815574645996,9.626364946365356,9.182342147827148
