Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x,GradientBoosting_probability_x,GradientBoosting_status,LogisticRegression_prediction_x,LogisticRegression_probability_x,LogisticRegression_status,RandomForest_prediction_x,RandomForest_probability_x,RandomForest_status,GradientBoosting_prediction_y,GradientBoosting_probability_y,GradientBoosting_label,LogisticRegression_prediction_y,LogisticRegression_probability_y,LogisticRegression_label,RandomForest_prediction_y,RandomForest_probability_y,RandomForest_label
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Dante de Blasio, the 17-year-old son","Dante de Blasio, 17, to make his decision by the end of the month .
His father has said that despite his six-figure salary the family will struggle to meet cost to send son to Ivy League school .","{'Min_10.0% Prob': 10.007753849029541, 'Min_20.0% Prob': 8.406195057762993, 'Min_30.0% Prob': 7.22511979511806, 'Min_40.0% Prob': 6.3522885598634415, 'Min_50.0% Prob': 5.623868654171626}",0.6773810386657715,"{'rouge1': Score(precision=0.15789473684210525, recall=0.6666666666666666, fmeasure=0.25531914893617025), 'rouge2': Score(precision=0.05405405405405406, recall=0.25, fmeasure=0.08888888888888889), 'rougeL': Score(precision=0.13157894736842105, recall=0.5555555555555556, fmeasure=0.2127659574468085)}",165,0,0.086358859827087,Clean,1,0.5269909842728037,Contaminated,0,0.0685724761349761,Clean,0,0.08635885982708702,Not Contaminated,1,0.5269909842728037,Likely Contaminated,0,0.06857247613497615,Not Contaminated
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
A six-year-old girl, Nurhayada Sofia, tragically","Nurhayada Sofia fell to her death after being dragged by an escalator .
The 6-year-old was shopping with mother at the mall in Pudu, Malaysia .
CCTV shows her playing with the handrail before she slips through gap .
Her mother - who had been on the phone- was said to be inconsolable .","{'Min_10.0% Prob': 9.467768941606794, 'Min_20.0% Prob': 7.8903462546212335, 'Min_30.0% Prob': 6.9553725605919245, 'Min_40.0% Prob': 6.162434668376528, 'Min_50.0% Prob': 5.531061013539632}",0.7976939082145691,"{'rouge1': Score(precision=0.0784313725490196, recall=0.4444444444444444, fmeasure=0.13333333333333333), 'rouge2': Score(precision=0.04, recall=0.25, fmeasure=0.06896551724137932), 'rougeL': Score(precision=0.0392156862745098, recall=0.2222222222222222, fmeasure=0.06666666666666667)}",244,0,0.0805634292064367,Clean,0,0.47305242666707,Clean,0,0.1952191029000239,Clean,0,0.08056342920643672,Not Contaminated,0,0.47305242666707,Not Contaminated,0,0.19521910290002392,Not Contaminated
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
The United States Department of Justice has indicted FedEx for its role in the","Justice Department prosecuting FedEx over unauthorized shipment of drugs .
Danny Cevallos: FedEx has a strong argument that it shouldn't be held responsible .","{'Min_10.0% Prob': 9.119279543558756, 'Min_20.0% Prob': 7.568167368570964, 'Min_30.0% Prob': 6.331943655014038, 'Min_40.0% Prob': 5.755433265979473, 'Min_50.0% Prob': 5.180634835187127}",0.5929479598999023,"{'rouge1': Score(precision=0.21739130434782608, recall=0.3333333333333333, fmeasure=0.26315789473684204), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13043478260869565, recall=0.2, fmeasure=0.15789473684210528)}",116,1,0.6835345543424821,Contaminated,1,0.7114323447267178,Contaminated,0,0.4717878434830744,Clean,1,0.6835345543424821,Likely Contaminated,1,0.7114323447267178,Likely Contaminated,0,0.47178784348307445,Not Contaminated
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
California Governor Jerry Brown has ordered state officials to impose mandatory water restrictions for the first","California Gov. Jerry Brown ordered state officials Wednesday to impose mandatory water restrictions for the first time in history .
Brown said he signed an executive order requiring measures be implemented to cut water usage by 25 percent compared with 2013 levels .
State water officials found no snow on the ground at the site for their manual survey of the snowpack .
Snow supplies about a third of the state's water .
A higher snowpack translates to more water in California reservoirs to meet demand in summer and fall .","{'Min_10.0% Prob': 7.755467319488526, 'Min_20.0% Prob': 6.3743092060089115, 'Min_30.0% Prob': 5.417664489438457, 'Min_40.0% Prob': 4.74875607723143, 'Min_50.0% Prob': 4.153214168090087}",0.8225797414779663,"{'rouge1': Score(precision=0.16091954022988506, recall=0.8235294117647058, fmeasure=0.2692307692307692), 'rouge2': Score(precision=0.11627906976744186, recall=0.625, fmeasure=0.19607843137254904), 'rougeL': Score(precision=0.16091954022988506, recall=0.8235294117647058, fmeasure=0.2692307692307692)}",431,0,0.1325631962602495,Clean,0,0.2048922152345401,Clean,0,0.2395437438378614,Clean,0,0.13256319626024957,Not Contaminated,0,0.20489221523454018,Not Contaminated,0,0.23954374383786142,Not Contaminated
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
The article highlights 10 of the most alcoholic cocktails in the world,","Ernest Hemingway credited for potent absinthe-Champagne cocktail .
The Zombie has three types of rum, Pernod, grenadine and a secret mix .
Bone Dry Martini is 100 per cent alcohol and also known as Pass the Bottle .","{'Min_10.0% Prob': 12.290229415893554, 'Min_20.0% Prob': 10.11783335425637, 'Min_30.0% Prob': 8.484158880570355, 'Min_40.0% Prob': 7.35680685872617, 'Min_50.0% Prob': 6.507666776920187}",0.5252745747566223,"{'rouge1': Score(precision=0.1388888888888889, recall=0.38461538461538464, fmeasure=0.20408163265306123), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1111111111111111, recall=0.3076923076923077, fmeasure=0.163265306122449)}",167,0,0.4863230722899798,Clean,1,0.7498605367916827,Contaminated,0,0.3314440051048206,Clean,0,0.4863230722899798,Not Contaminated,1,0.7498605367916827,Likely Contaminated,0,0.3314440051048206,Not Contaminated
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Raheem Sterling, the 20-year-old England international","Liverpool forward Raheem Sterling rejected a £90,000-a-week contract .
The England international has been criticised by his own supporters .
But Sterling insists he pays no attention and is fully focused on his football .","{'Min_10.0% Prob': 8.64048080444336, 'Min_20.0% Prob': 7.079345035552978, 'Min_30.0% Prob': 6.022829707463583, 'Min_40.0% Prob': 5.256196820735932, 'Min_50.0% Prob': 4.545803711964534}",0.5802966952323914,"{'rouge1': Score(precision=0.14285714285714285, recall=0.5555555555555556, fmeasure=0.22727272727272727), 'rouge2': Score(precision=0.058823529411764705, recall=0.25, fmeasure=0.09523809523809523), 'rougeL': Score(precision=0.14285714285714285, recall=0.5555555555555556, fmeasure=0.22727272727272727)}",177,0,0.1080366432101233,Clean,0,0.4211153572044964,Clean,0,0.1346883977408526,Clean,0,0.10803664321012335,Not Contaminated,0,0.4211153572044964,Not Contaminated,0,0.13468839774085262,Not Contaminated
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Barcelona is set to dedicate a museum exclusively to the renowned New York director","The project is hoped to open at the former arts centre, La Llotja .
Friend and producer Jaume Roures of Mediapro is leading the tribute .
The museum follows Allen's Vicky Cristina Barcelona, set in the city .","{'Min_10.0% Prob': 10.413864898681641, 'Min_20.0% Prob': 9.598758792877197, 'Min_30.0% Prob': 8.518804264068603, 'Min_40.0% Prob': 7.799045372009277, 'Min_50.0% Prob': 7.128761988419753}",0.5566065907478333,"{'rouge1': Score(precision=0.16666666666666666, recall=0.4, fmeasure=0.23529411764705882), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1111111111111111, recall=0.26666666666666666, fmeasure=0.1568627450980392)}",160,1,0.7957610861681185,Contaminated,1,0.7953402275069119,Contaminated,0,0.4664350975336047,Clean,1,0.7957610861681185,Likely Contaminated,1,0.7953402275069119,Likely Contaminated,0,0.4664350975336047,Not Contaminated
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Bobbi Ann House, 39, a former ""military mistress"" known","Bobbi Ann House, 39, is currently on-the-run for check fraud .
Her and husband Zackerie House, 27, believed to be camping in Oklahoma .
Allegedly used bad checks worth $13,500 in Oregon, Colorado and Oklahoma .
Bobbi Ann hit headlines in 2010 for marrying at 14 servicemen .
She would move around different military bases stealing money .
Spent at least seven months in prison but was recently released .","{'Min_10.0% Prob': 10.329863808371805, 'Min_20.0% Prob': 8.804930686950684, 'Min_30.0% Prob': 7.435870921973026, 'Min_40.0% Prob': 6.463846401734785, 'Min_50.0% Prob': 5.705179717323997}",0.6155713200569153,"{'rouge1': Score(precision=0.07462686567164178, recall=0.5, fmeasure=0.12987012987012986), 'rouge2': Score(precision=0.045454545454545456, recall=0.3333333333333333, fmeasure=0.08), 'rougeL': Score(precision=0.07462686567164178, recall=0.5, fmeasure=0.12987012987012986)}",354,0,0.1204571160073933,Clean,0,0.4282203612729557,Clean,0,0.1022401111959935,Clean,0,0.12045711600739335,Not Contaminated,0,0.42822036127295576,Not Contaminated,0,0.10224011119599354,Not Contaminated
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Libyan rapper Volcano has released a new music video in which he performs in","Calling himself 'Volcano' rapper is a 31-year-old from war-torn Benghazi .
He is seen standing in front of weapons of war and burning buildings .
He poses with fighters and even carries a massive assault rifle himself .
Video shows Volcano performing on Benghazi's rubble-strewn streets .","{'Min_10.0% Prob': 9.927952902657646, 'Min_20.0% Prob': 8.401600905827113, 'Min_30.0% Prob': 7.375835168929327, 'Min_40.0% Prob': 6.585734980446952, 'Min_50.0% Prob': 5.744268119335175}",0.6553539633750916,"{'rouge1': Score(precision=0.14583333333333334, recall=0.4666666666666667, fmeasure=0.22222222222222224), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10416666666666667, recall=0.3333333333333333, fmeasure=0.15873015873015875)}",231,1,0.6594733759100361,Contaminated,1,0.7283365104185021,Contaminated,0,0.3293158666510388,Clean,1,0.6594733759100361,Likely Contaminated,1,0.7283365104185021,Likely Contaminated,0,0.32931586665103885,Not Contaminated
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Marcelo, the Brazilian defender for Real Madrid, has stated that the team's","Real Madrid haven't beaten local rivals Atletico in six attempts this season .
They clash in the first leg of the Champions League last eight on Tuesday .
Marcelo says the players are not thinking about their recent record .","{'Min_10.0% Prob': 9.206279039382935, 'Min_20.0% Prob': 7.2662075360616045, 'Min_30.0% Prob': 6.393984721257136, 'Min_40.0% Prob': 5.719723542531331, 'Min_50.0% Prob': 5.123941069063933}",0.393399566411972,"{'rouge1': Score(precision=0.13157894736842105, recall=0.35714285714285715, fmeasure=0.1923076923076923), 'rouge2': Score(precision=0.02702702702702703, recall=0.07692307692307693, fmeasure=0.04), 'rougeL': Score(precision=0.07894736842105263, recall=0.21428571428571427, fmeasure=0.11538461538461539)}",174,1,0.6574475042073645,Contaminated,1,0.5633099776401417,Contaminated,1,0.6248115148740148,Contaminated,1,0.6574475042073645,Likely Contaminated,1,0.5633099776401417,Likely Contaminated,1,0.6248115148740148,Likely Contaminated
