Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores
microsoft/Phi-4-mini-instruct,Summarize the following text: ,Samsum,,Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 17.859375, 'Min_20.0% Prob': 14.8828125, 'Min_30.0% Prob': 12.6265625, 'Min_40.0% Prob': 11.889322916666666, 'Min_50.0% Prob': 10.478515625}",0.059587135910987854,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,Samsum,# Problem:What is the most effective way to improve my English vocabulary? I am a non-native,Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 16.0625, 'Min_20.0% Prob': 14.43359375, 'Min_30.0% Prob': 12.40625, 'Min_40.0% Prob': 11.19140625, 'Min_50.0% Prob': 9.840494791666666}",-0.04131017252802849,"{'rouge1': Score(precision=0.16666666666666666, recall=0.11764705882352941, fmeasure=0.13793103448275862), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.11764705882352941, fmeasure=0.13793103448275862)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,Samsum,,Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 11.5625, 'Min_20.0% Prob': 10.3125, 'Min_30.0% Prob': 8.671006944444445, 'Min_40.0% Prob': 7.373497596153846, 'Min_50.0% Prob': 6.6043701171875}",0.08436743170022964,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,Samsum,# Message:The following query requires an answer which includes information extracted from the input text. While providing,Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 13.484375, 'Min_20.0% Prob': 12.47265625, 'Min_30.0% Prob': 11.333333333333334, 'Min_40.0% Prob': 10.359375, 'Min_50.0% Prob': 9.196875}",0.15294700860977173,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,Samsum,# Problem:The following query requires an answer that can be derived from the context given. It is,Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 12.246875, 'Min_20.0% Prob': 10.48984375, 'Min_30.0% Prob': 8.774739583333334, 'Min_40.0% Prob': 7.6888671875, 'Min_50.0% Prob': 6.681265024038462}",0.08394192159175873,"{'rouge1': Score(precision=0.023255813953488372, recall=0.058823529411764705, fmeasure=0.03333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.023255813953488372, recall=0.058823529411764705, fmeasure=0.03333333333333333)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,Samsum,"<reponame>matthew-brown/latex-math-formulas
\documentclass",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 10.8515625, 'Min_20.0% Prob': 9.445913461538462, 'Min_30.0% Prob': 8.24547697368421, 'Min_40.0% Prob': 7.228665865384615, 'Min_50.0% Prob': 6.431936553030303}",0.11148137599229813,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,Samsum,,Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 12.682291666666666, 'Min_20.0% Prob': 9.892857142857142, 'Min_30.0% Prob': 8.686328125, 'Min_40.0% Prob': 7.667131696428571, 'Min_50.0% Prob': 7.0256204044117645}",0.058719269931316376,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,Samsum,# Problem:Write a Python function that takes a list of integers and returns the sum of all even,Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 19.234375, 'Min_20.0% Prob': 15.330729166666666, 'Min_30.0% Prob': 14.142578125, 'Min_40.0% Prob': 11.807291666666666, 'Min_50.0% Prob': 10.90234375}",0.07792886346578598,"{'rouge1': Score(precision=0.07692307692307693, recall=0.05555555555555555, fmeasure=0.06451612903225808), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.05555555555555555, fmeasure=0.06451612903225808)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,Samsum,"# Problem:The following query requires an answer that has been extracted from the source document, while all","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 13.309895833333334, 'Min_20.0% Prob': 10.711588541666666, 'Min_30.0% Prob': 9.23046875, 'Min_40.0% Prob': 8.068033854166666, 'Min_50.0% Prob': 7.135807291666667}",0.0007230080664157867,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,Samsum,# Message:I need help translating a piece of code from HTML to another markup language. The goal,Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 17.0390625, 'Min_20.0% Prob': 13.166015625, 'Min_30.0% Prob': 10.541666666666666, 'Min_40.0% Prob': 9.048828125, 'Min_50.0% Prob': 8.0693359375}",0.053046904504299164,"{'rouge1': Score(precision=0.047619047619047616, recall=0.058823529411764705, fmeasure=0.05263157894736842), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.047619047619047616, recall=0.058823529411764705, fmeasure=0.05263157894736842)}"
