,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

The fire was reported at 19:30 BST on Wednesday.

The fire was reported",About 50 firefighters tackled a large blaze at a five-storey disused mill in Greater Manchester.,0.3379632532596588,0.0625,0.07142857142857142,0.06666666666666667,0.0,0.0,0.0,0.0625,0.07142857142857142,0.06666666666666667,10.419394493103027,8.501516024271647,7.768924427032471,7.176070622035435,6.265882121192084
1,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Mourinho also revealed that he has spoken to Ibrahimovic about his future.
""I","Manchester United defender Marcos Rojo is a ""clean player with an aggressive nature"", says manager Jose Mourinho.",0.26729774475097656,0.058823529411764705,0.07692307692307693,0.06666666666666667,0.0,0.0,0.0,0.058823529411764705,0.07692307692307693,0.06666666666666667,6.774818181991577,6.040606141090393,5.528219064076741,5.069071531295776,4.6698219776153564
2,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Southgate said: ""We are still hopeful that we can speak to Wilf.""

","Ivory Coast are confident Wilfried Zaha will soon be part of their team, but new England boss Gareth Southgate has not given up on the forward.",0.38325342535972595,0.07692307692307693,0.16666666666666666,0.10526315789473684,0.0,0.0,0.0,0.038461538461538464,0.08333333333333333,0.05263157894736842,7.990353425343831,6.63536524772644,5.690884060329861,4.975990017255147,4.347372221946716
3,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Mr Griffin was later forced to leave the march after being pelted with eggs and tomatoes.
",Home Secretary Theresa May is considering banning two US bloggers from entering the UK to speak at an English Defence League rally.,0.11094000935554504,0.09090909090909091,0.125,0.10526315789473685,0.0,0.0,0.0,0.045454545454545456,0.0625,0.052631578947368425,9.234652042388916,7.561460971832275,6.847800334294637,6.288456976413727,5.3224664167924365
4,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The book is not available in the UK, but the publishers say they are working on a UK","Meat-eaters ""easily cheat, lie, forget promises and commit sex crimes"", according to a controversial school textbook available in India.",0.08923374116420746,0.15,0.16666666666666666,0.15789473684210525,0.05263157894736842,0.058823529411764705,0.05555555555555555,0.1,0.1111111111111111,0.10526315789473685,9.422760963439941,8.629897499084473,8.04806399345398,7.533188390731811,6.8011747140150804
5,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Foul by Mohamed Salah (Egypt).
Foul by Mohamed Salah (Egypt).",Egypt knocked out Morocco to reach the Africa Cup of Nations semi-finals as substitute Mahmoud Abdel-Moneim prodded home a dramatic 87th-minute winner.,0.3922458589076996,0.04,0.1,0.05714285714285714,0.0,0.0,0.0,0.04,0.1,0.05714285714285714,12.023072242736816,9.269888242085775,7.862026426527235,6.525742053985596,5.797193825244904
6,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The event is being held at the Balmoral Hotel in Belfast.
The event is being held",The agriculture minister is to return to China next month as attempts to access markets there continue.,-0.05194155126810074,0.11764705882352941,0.125,0.12121212121212122,0.0,0.0,0.0,0.11764705882352941,0.125,0.12121212121212122,12.380881309509277,9.853487332661947,8.436655235290527,8.037739833196005,7.124473214149475
7,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The Nama deal was the subject of a major legal challenge in the Irish courts.
The",National Crime Agency (NCA) detectives investigating the sale of the National Asset Management Agency's (Nama) Northern Ireland loans portfolio have interviewed a former managing partner of a Belfast legal firm.,0.46445193886756897,0.1935483870967742,0.375,0.25531914893617014,0.03333333333333333,0.06666666666666667,0.04444444444444444,0.16129032258064516,0.3125,0.2127659574468085,8.343974749247232,7.317147391183036,6.601478273218328,6.1145943573543,5.404142273796929
8,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
""I am also sorry for the pain and anguish I have caused the Maguire family.","A County Tyrone car dealer, whose driving caused the death of a pensioner, has been given a community service order and a three-year driving ban.",0.09901860356330872,0.11538461538461539,0.2,0.14634146341463417,0.04,0.07142857142857142,0.05128205128205128,0.07692307692307693,0.13333333333333333,0.0975609756097561,9.852323214213053,8.673288504282633,7.3085990746816,6.200809995333354,5.337228790918986
9,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
She said: ""The council has been meeting regularly with staff at the home and has been working","A council's proposal to shut a Ceredigion care home comes with ""no plan"" for care provision in the area, unions have said.",0.3474750816822052,0.21739130434782608,0.29411764705882354,0.25,0.0,0.0,0.0,0.13043478260869565,0.17647058823529413,0.15,10.215345859527588,8.63839054107666,7.879257559776306,7.241955410350453,6.628843341554914
10,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Japan's defence ministry said the changes were necessary to meet new challenges, including the threat from China",China has said Japan is endangering peace in the region after it passed controversial laws expanding the role of its military abroad.,0.48299527168273926,0.22727272727272727,0.2777777777777778,0.25,0.0,0.0,0.0,0.13636363636363635,0.16666666666666666,0.15,7.624853849411011,7.077562570571899,6.650197823842366,5.73486942715115,5.215057026256215
11,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
NHS Direct has said it will continue to provide a safe and reliable NHS 111 service to its",A major provider of the NHS non-emergency telephone service in England is seeking to pull out of its contracts due to financial problems.,0.3622661828994751,0.2916666666666667,0.3888888888888889,0.3333333333333333,0.0,0.0,0.0,0.20833333333333334,0.2777777777777778,0.2380952380952381,9.08751654624939,7.586545085906982,7.000051634652274,6.194693660736084,5.369443361575787
12,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,,Wayne Routledge struck twice as Swansea City comfortably beat Charlotte Independence in the opening game of their pre-season tour to the United States at Ramblewood Stadium.,0.04945274069905281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.495712598164877,9.782852252324423,8.35833379957411,7.114507059256236,5.900227293372154
13,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Vettel said he was ""very happy"" to have won the race and said he was ""","Lewis Hamilton said he was ""not worried"" about his difficult start to the Formula 1 season.",0.42404240369796753,0.3125,0.3333333333333333,0.3225806451612903,0.13333333333333333,0.14285714285714285,0.1379310344827586,0.3125,0.3333333333333333,0.3225806451612903,9.216344833374023,6.349266370137532,5.25218358039856,4.5366019521440775,3.9363684786690607
14,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The opposition is divided, and the government is divided, too.
The Syrian government is divided","The Syrian city seen as the capital of the revolution has fallen, by agreement.",0.44034361839294434,0.2857142857142857,0.26666666666666666,0.2758620689655172,0.07692307692307693,0.07142857142857142,0.07407407407407408,0.21428571428571427,0.2,0.20689655172413796,10.669090270996094,8.52527904510498,8.103556632995605,6.950542608896892,6.543343544006348
15,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Mr Obama said he was ""very concerned"" about the prospect of a ""Russian reset"" in","Japan's PM Shinzo Abe has said he has ""great confidence"" in US President-elect Donald Trump and he believes they can build a relationship of trust.",0.21908172965049744,0.18518518518518517,0.3333333333333333,0.23809523809523808,0.038461538461538464,0.07142857142857142,0.05,0.1111111111111111,0.2,0.14285714285714285,4.724541028340657,4.248363773028056,3.9648357232411704,3.6598384579022727,3.430693260828654
16,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

The medal was sold by the auction house Christie's in London on Tuesday.

The","Pele's 1958 World Cup winner's medal has been sold at auction in London for £200,000 - at least £60,000 more than its estimated price tag.",0.5310304164886475,0.21428571428571427,0.4,0.27906976744186046,0.037037037037037035,0.07142857142857142,0.04878048780487805,0.17857142857142858,0.3333333333333333,0.23255813953488372,7.753475348154704,6.583094517389934,5.6730812072753904,5.162201111133282,4.518870115280151
17,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Foul by David Edwards (Wolverhampton Wanderers).
Foul by David Edwards",Sam Baldock's first-half header proved enough to give in-form Brighton a home victory over Wolverhampton Wanderers.,0.2604594826698303,0.10526315789473684,0.2,0.13793103448275862,0.05555555555555555,0.1111111111111111,0.07407407407407407,0.10526315789473684,0.2,0.13793103448275862,10.22814416885376,7.709349346160889,6.848867212023054,6.000565218925476,5.545456369717916
18,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Foul by Joël Veltman (Ajax).
Foul by Jo","Justin Kluivert, the 17-year-old son of former Netherlands striker Patrick, made his Ajax debut in a comfortable win at PEC Zwolle on Sunday.",0.246320441365242,0.04,0.1111111111111111,0.058823529411764705,0.0,0.0,0.0,0.04,0.1111111111111111,0.058823529411764705,7.874345461527507,6.6711836542402,5.925789022445679,5.023731572287423,4.543908077127793
19,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The Lib Dems have said they would not support a second referendum, but would support a public vote","A second referendum on the details of any Brexit deal should be offered to voters, Green Party of England and Wales MP Caroline Lucas has said.",0.5519516468048096,0.19230769230769232,0.2777777777777778,0.2272727272727273,0.08,0.11764705882352941,0.09523809523809526,0.11538461538461539,0.16666666666666666,0.13636363636363638,8.36643648147583,7.584532642364502,6.556681394577026,5.933555364608765,4.909919747939477
20,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
21. Mark Cavendish (GB) +2mins 35secs
22. Chris Fro",Great Britain's Sir Bradley Wiggins clinched his first road world title with a thrilling time trial victory at the World Championships in Ponferrada.,0.16878950595855713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.865681171417236,7.348331356048584,6.007599622011185,5.129391756924716,4.4377365708351135
21,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

A man was arrested on suspicion of possession of a firearm and possession of ammunition.

",A suspected firearm has been found by police during a search in west Belfast.,0.5023118853569031,0.21428571428571427,0.2,0.20689655172413796,0.0,0.0,0.0,0.14285714285714285,0.13333333333333333,0.1379310344827586,11.381387710571289,10.452226638793945,7.522109508514404,6.795750999450684,5.776736702237811
22,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The site was bought by the council in 2012 for £1.2m.
The council",Proposals to increase the size of a Â£50m shopping and leisure development have been approved.,0.366338312625885,0.06666666666666667,0.07142857142857142,0.0689655172413793,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.0689655172413793,7.663407802581787,6.427689552307129,5.571975151697795,5.053248226642609,4.716433763504028
23,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
""We are still looking for her.""

A:

The Nautilus is",Danish police believe that a submarine at the centre of an investigation into a missing Swedish journalist was deliberately sunk.,0.10418292880058289,0.1,0.2,0.13333333333333333,0.0,0.0,0.0,0.1,0.2,0.13333333333333333,8.032625675201416,7.121730804443359,6.49897042910258,5.864900976419449,5.3157189130783085
24,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The prize is awarded annually to a poet who has written a book of poetry that has been published",David Harsent has won the TS Eliot Prize for poetry at the fifth attempt.,0.5556895732879639,0.2857142857142857,0.21052631578947367,0.24242424242424243,0.0,0.0,0.0,0.21428571428571427,0.15789473684210525,0.18181818181818182,11.241379737854004,9.721708456675211,8.887009739875793,7.767883062362671,6.98936539888382
25,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Mr Bich said he had been ""very careful"" about his name, and had not used","An Australian man, Phuc Dat Bich, has said he is glad his fight to use his name on Facebook has made people happy.",0.4710623025894165,0.2608695652173913,0.4,0.31578947368421056,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.21739130434782608,0.3333333333333333,0.26315789473684204,8.06582522392273,6.991097259521484,6.489013731479645,6.255996417999268,5.93115469125601
26,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

England

1.             ",Great Britain beat the Netherlands 3-0 in the Ergo Masters Four Nations Invitational in Dusseldorf as Ashley Jackson won his 100th cap.,0.43005430698394775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.929535865783691,8.634045998255411,7.521102534400092,6.746517539024353,6.00667405128479
27,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

A:

I think the best way to do this is to use a search engine",You can find details of how you can get in touch with anyone at BBC in Newcastle below.,0.17265504598617554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.451623916625977,7.597920099894206,7.077197074890137,6.400761161531721,5.676454067230225
28,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
""We are going to help them.""
The government has set up a special task force to",Mexico's President Enrique Pena Nieto has promised to rebuild an open-air fireworks market destroyed by a series of huge explosions on Tuesday.,0.06738411635160446,0.125,0.1875,0.15,0.0,0.0,0.0,0.08333333333333333,0.125,0.1,8.879512786865234,7.041673564910889,6.303227356501988,5.469400215148926,4.871441951164832
29,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
""The company is still a long way from being profitable,"" he said.
Ocado",Online grocer Ocado has reported a full-year pre-tax profit for the first time since launching in 2000.,0.3776952922344208,0.21052631578947367,0.3076923076923077,0.25,0.0,0.0,0.0,0.10526315789473684,0.15384615384615385,0.125,11.165421724319458,8.231989026069641,7.0963248411814375,5.824686487515767,4.98460293899883
30,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The scheme will be funded by a £1.5bn fund from the Department for Communities and",A £250m government scheme encouraging councils to keep or bring back weekly bin collections is opening for bids.,0.5095602869987488,0.16666666666666666,0.1875,0.17647058823529413,0.0,0.0,0.0,0.1111111111111111,0.125,0.11764705882352941,10.647720336914062,8.930252075195312,8.010111172993978,7.360101282596588,6.908188724517823
31,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
She said: ""The government's plans to withdraw from the European Arrest Warrant agreement would make it","Criminals who kill police officers in England and Wales will face compulsory whole life sentences, Home Secretary Theresa May has announced.",0.2859667241573334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.828410148620605,7.960716724395752,6.286056586674282,5.593727376725939,4.671050657828649
32,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

I am writing to you to express my condolences to the family of Stephen Copoc.
","Stephen Paul Copoc, a landscape gardener from Liverpool, travelled to the match by coach with friends Anthony Smith and Anthony Burrows, who both survived.",0.6197651028633118,0.16666666666666666,0.26666666666666666,0.2051282051282051,0.043478260869565216,0.07142857142857142,0.05405405405405405,0.08333333333333333,0.13333333333333333,0.10256410256410255,11.589001973470053,10.2758416334788,9.178992377387154,8.243657867113749,7.499733924865723
33,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

The incident at Neil McEvoy's office took place on Thursday morning. The AM said","A Plaid Cymru AM has claimed he has been a victim of ""political harassment"" after a break-in at his constituency office in Cardiff.",0.32775571942329407,0.125,0.2,0.15384615384615385,0.0,0.0,0.0,0.08333333333333333,0.13333333333333333,0.10256410256410255,8.532793045043945,6.502037525177002,5.5279774400922985,4.948103725910187,4.4588202953338625
34,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

A:

The expansion is expected to be the largest in the firm's 20-",Outline plans to double the size of Dyson's research centre in Wiltshire have been approved by planners.,0.2156136929988861,0.2222222222222222,0.2857142857142857,0.25,0.0,0.0,0.0,0.16666666666666666,0.21428571428571427,0.1875,8.264075517654419,7.4669142961502075,6.961814641952515,6.209217399358749,5.14023931459947
35,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
He has said the government is working to ""ensure that the safety of the people of India","A Maoist leader in India has said that they will take ""full responsibility"" for the safety of trains travelling through areas under their control.",0.4517815411090851,0.2916666666666667,0.4117647058823529,0.34146341463414637,0.13043478260869565,0.1875,0.15384615384615383,0.25,0.35294117647058826,0.2926829268292683,10.857502937316895,7.444033813476563,6.106331706047058,5.552378296852112,4.866465898660513
36,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
Mr McEvoy said the committee's work was ""not a political exercise"" and that it",A Labour assembly member has accused a Plaid Cymru committee colleague of being a conspiracy theorist.,0.32268866896629333,0.125,0.13333333333333333,0.12903225806451615,0.0,0.0,0.0,0.125,0.13333333333333333,0.12903225806451615,9.794294357299805,9.182346026102701,8.122494316101074,7.058614253997803,6.087483538521661
37,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The Scot, who has won the last two Grand Slams, beat the American 6-3",New world number one doubles team Jamie Murray and Bruno Soares suffered a disappointing defeat in the semi-finals of the ATP World Tour Finals.,0.38929468393325806,0.08,0.13333333333333333,0.1,0.0,0.0,0.0,0.08,0.13333333333333333,0.1,10.158577919006348,8.780776882171631,7.517199754714966,6.7043568849563595,5.71026690189655
38,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,,"Joe Esposito, a close friend and aide of Elvis Presley, has died at the age of 78.",0.01621357910335064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.987414360046387,8.284640550613403,6.5097940762837725,5.414022445678711,4.341048327359286
39,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The government's own figures show that the cost of the free school meals scheme is Â£","""Mean-spirited"" and ""wrong-headed"" is how teachers' leaders have described Theresa May's plan to scrap free school meals for infant pupils in England.",0.4510710835456848,0.2,0.3125,0.24390243902439027,0.08333333333333333,0.13333333333333333,0.10256410256410255,0.16,0.25,0.19512195121951217,8.696486155192057,7.828240156173706,6.505805277824402,5.795081340349638,5.1456908197963935
40,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

The following players were called up from the Premiership's top two sides:

The following","Exeter head coach Rob Baxter says his side need to perform consistently at a ""high intensity"" if they are to earn more international recognition.",0.09497500956058502,0.041666666666666664,0.06666666666666667,0.05128205128205127,0.0,0.0,0.0,0.041666666666666664,0.06666666666666667,0.05128205128205127,8.424405097961426,7.057477188110352,6.2830517292022705,5.872850847244263,5.333591791299673
41,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
You can read the full Reality Check here.
John asks: What is the legal basis for",The Reality Check team answers more of your questions about the implications of the UK's vote to leave the European Union.,0.22123153507709503,0.18181818181818182,0.25,0.2105263157894737,0.047619047619047616,0.06666666666666667,0.05555555555555555,0.18181818181818182,0.25,0.2105263157894737,9.972565650939941,8.862724781036377,7.9025352001190186,6.577546656131744,5.2622514529661695
42,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,,The US space agency (Nasa) has launched a mission to retrieve a rock sample from a 500m-wide asteroid called Bennu.,0.03687852621078491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.066691160202026,6.159494876861572,5.41664582490921,4.93677659034729,4.275016949726985
43,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"

A:

The school's headmaster said the ""growing expense and luxury"" forced","A girls' school has scrapped its end of year prom claiming it is too much of a ""distraction"" to pupils.",0.3729908764362335,0.1,0.16666666666666666,0.125,0.0,0.0,0.0,0.1,0.16666666666666666,0.125,12.71410608291626,10.13944137096405,7.8310772350856235,6.847597228156196,5.677510718504588
44,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
The group has also carried out a series of attacks in the south-east, including the kidnapping","Nigeria's president has accused activists of ""playing politics"" after his meeting with parents of the abducted schoolgirls was called off.",0.18004854023456573,0.14285714285714285,0.17647058823529413,0.15789473684210528,0.0,0.0,0.0,0.14285714285714285,0.17647058823529413,0.15789473684210528,8.851476669311523,7.3126551628112795,6.378358159746442,5.5407555103302,4.893911490073571
45,EleutherAI/gpt-neo-1.3B,Summarize the following text: ,Xsum,"
He has been described as a ""tough guy"" by his colleagues, and has been described","Michael Garcia, the American lawyer hired by Fifa to investigate the World Cup bidding process before criticising the organisation's summary of his own report and eventually resigning, is a former prosecutor with a history of launching corruption probes.",0.22674238681793213,0.10256410256410256,0.26666666666666666,0.14814814814814814,0.0,0.0,0.0,0.07692307692307693,0.2,0.1111111111111111,10.34635615348816,8.397922277450562,7.184524178504944,6.187302547342637,5.561301810400827
