,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Douglas Ross, an assistant referee at the 2018 World",A leading Scottish Conservative MSP missed a parliamentary committee to referee a Champions League match in Portugal.,0.3187101185321808,86.0,0.058823529411764705,0.1,0.07407407407407408,0.0,0.0,0.0,0.058823529411764705,0.1,0.07407407407407408,9.961859703063965,9.850190162658691,9.414556884765625,8.307630470820836,7.5192234251234265
1,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Bedene, a 27-year-old British citizen, became a",British number three Aljaz Bedene is considering switching his allegiance back to Slovenia in order to compete at the Olympics.,0.371780127286911,99.0,0.1,0.2,0.13333333333333333,0.0,0.0,0.0,0.05,0.1,0.06666666666666667,10.210598945617676,9.25730276107788,8.597182989120483,7.695186085171169,7.258343869989568
2,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
1. What is the significance of the High Court ruling in the UK's Brexit","A High Court case that could delay the Brexit process is ""a clear attempt to frustrate the will of the British people"", says a cabinet minister.",0.599435031414032,105.0,0.3076923076923077,0.5,0.380952380952381,0.08,0.13333333333333333,0.1,0.15384615384615385,0.25,0.1904761904761905,11.100865840911865,8.697978210449218,7.51633495092392,6.712498751553622,6.084136520113264
3,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
His body was found on concrete steps in North Street in the early hours of Sunday","A man in his 50s has died after being seriously assaulted in Swords, County Dublin.",0.1888037770986557,69.0,0.2,0.17647058823529413,0.18750000000000003,0.0,0.0,0.0,0.13333333333333333,0.11764705882352941,0.125,8.38423752784729,7.534439206123352,6.917392253875732,6.079526662826538,5.304066896438599
4,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
The 51-year-old man was arrested in North Yorkshire on Wednesday",A vicar arrested in connection with historical sexual abuse has been suspended by the Church of England.,0.3632456958293915,81.0,0.17647058823529413,0.23076923076923078,0.20000000000000004,0.0625,0.08333333333333333,0.07142857142857144,0.11764705882352941,0.15384615384615385,0.13333333333333333,16.350656509399414,13.059534708658854,10.627264308929444,9.486504316329956,7.655294269323349
5,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Carmarthenshire Council has funded Chief Executive Mark James in a case over remarks",A council boss has refused to say if he will honour a vow to repay compensation won in a libel case to the authority.,0.2444119751453399,89.0,0.20833333333333334,0.35714285714285715,0.2631578947368421,0.043478260869565216,0.07692307692307693,0.05555555555555555,0.20833333333333334,0.35714285714285715,0.2631578947368421,11.158897876739502,9.5367862701416,8.873715196337018,8.102728366851807,7.477810621261597
6,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Kensington and Chelsea Council has won an earlier case against Sophie Sot",A London council has withdrawn an order forcing a mother to send her home educated child to school.,0.2916150391101837,75.0,0.16666666666666666,0.23076923076923078,0.1935483870967742,0.058823529411764705,0.08333333333333333,0.06896551724137931,0.16666666666666666,0.23076923076923078,0.1935483870967742,12.858359336853027,11.574169476826986,9.986474800109864,8.958370413099017,7.95082778400845
7,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
The $43 billion deal between Syngenta and ChemChina is the largest",Shares in Swiss agribusiness group Syngenta have risen 12% after its takeover by ChemChina was given the go-ahead by a US regulator.,0.6505844593048096,94.0,0.13043478260869565,0.25,0.1714285714285714,0.0,0.0,0.0,0.13043478260869565,0.25,0.1714285714285714,10.58341916402181,9.09835171699524,7.834380149841309,6.986053906954252,6.101914055207196
9,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Dave Baker, the Olympus Trust's head of local government in Bristol,",Pupils at seven schools could have shorter days after a trust head say he may have to cut hours to save money.,0.1247530579566955,79.0,0.09090909090909091,0.15384615384615385,0.1142857142857143,0.0,0.0,0.0,0.09090909090909091,0.15384615384615385,0.1142857142857143,12.291913032531738,10.757327556610107,9.552660397120885,8.688808970981174,7.565147240956624
10,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
John Kane filmed over 60 women in Central Retail Park and a nearby supermarket","A pensioner used a mini camera to secretly film women's bare legs in a Falkirk shopping centre, a court was told.",0.4223662614822387,83.0,0.18181818181818182,0.26666666666666666,0.21621621621621623,0.0,0.0,0.0,0.18181818181818182,0.26666666666666666,0.21621621621621623,13.976201057434082,10.335462760925292,8.945848124367851,7.185823202133179,6.443757037321727
11,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Amos, a 22-year-old Dragons wing, has",Wales have called up uncapped 18-year-old Ospreys wing Keelan Giles for the rest of the autumn international series following an injury to Hallam Amos.,0.5133886337280273,123.0,0.15384615384615385,0.4444444444444444,0.2285714285714286,0.04,0.125,0.06060606060606061,0.11538461538461539,0.3333333333333333,0.17142857142857146,12.5746218363444,10.663581439426967,9.186426379463889,8.267729473114013,7.524086450275622
12,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
The dispute between the US internet giant, Apple, and the US government over the","Instagram has ordered the owner of a British anti-litter app to change its name from Littergram, but how have other ""David v Goliath"" corporate name battles panned out and does the big guy always win?",0.2548336386680603,156.0,0.08333333333333333,0.2,0.11764705882352941,0.0,0.0,0.0,0.08333333333333333,0.2,0.11764705882352941,11.036502361297607,9.5920443005032,8.686137471880231,8.135499397913614,7.505917404008948
13,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Nintendo has stated that the pixels on its Switch handheld console are ""normal and","Thousands of owners of Nintendo's new console, Switch, have complained about dead or stuck pixels creating distracting and annoying dark squares on their screens.",0.7011166214942932,115.0,0.24,0.4,0.3,0.0,0.0,0.0,0.12,0.2,0.15,11.094257354736328,10.320021629333496,9.510344386100769,8.589511134407736,7.575772966657366
14,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Birmingham academies Park View and Nansen Primary, rated inadequate by Ofsted",Two schools at the centre of the Trojan Horse inquiry are to lose their government funding.,0.2564268708229065,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.235952377319336,9.802676518758139,9.238919138908386,8.411183595657349,7.620233356952667
15,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Luis Barcenas, the Spanish treasurer, will be questioned by the state",A former treasurer of Spain's governing Popular Party (PP) has arrived for questioning by prosecutors in Madrid over claims of secret payments.,0.5128995180130005,110.0,0.13043478260869565,0.25,0.1714285714285714,0.045454545454545456,0.09090909090909091,0.060606060606060615,0.13043478260869565,0.25,0.1714285714285714,9.954468727111816,8.518478393554688,7.987877573285784,7.100277709960937,6.292617559432983
16,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
The text summarizes the top five discoveries made by the Kepler Telescope since its launch in","Nasa's Kepler telescope has recently found 216 new planets, meaning it has now discovered more than 4000 potential new worlds!",0.6045597195625305,96.0,0.09523809523809523,0.11764705882352941,0.10526315789473684,0.05,0.0625,0.05555555555555556,0.09523809523809523,0.11764705882352941,0.10526315789473684,8.928433577219645,6.732395569483439,5.482387595706516,4.794162472089131,4.276401424407959
17,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
The Chinese-made aircraft, the Y-8, went down in the And","Bad weather caused a military plane to crash in Myanmar last month with 122 people on board, state media say.",0.292616605758667,84.0,0.05,0.07692307692307693,0.060606060606060615,0.0,0.0,0.0,0.05,0.07692307692307693,0.060606060606060615,9.443109512329102,8.310152053833008,7.1664203235081265,6.5602856212192115,5.493825654188792
18,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Nelson Mandela, the former President of South Africa, was imprisoned for 2","Eddie Izzard will attempt to run 27 marathons in 27 days through South Africa for Sport Relief, the BBC has announced.",0.0788709670305252,86.0,0.19047619047619047,0.3076923076923077,0.23529411764705882,0.05,0.08333333333333333,0.0625,0.14285714285714285,0.23076923076923078,0.17647058823529413,9.627409299214682,8.602856636047363,7.963789621988933,7.431710362434387,6.542149066925049
19,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
A 15-year-old boy was attacked by a man and woman",A teenager was assaulted and robbed as he got off a train in East Renfrewshire.,0.4508576095104217,62.0,0.26666666666666666,0.3076923076923077,0.28571428571428575,0.0,0.0,0.0,0.2,0.23076923076923078,0.21428571428571427,11.214815139770508,9.158275286356607,7.764770603179931,6.866562230246408,6.094727834065755
20,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
A partial eclipse was visible in Australia, parts of South East Asia, and the","People across Indonesia and the Pacific have witnessed a total solar eclipse, with some parts of Indonesia in total darkness for up to three minutes.",0.6196578741073608,109.0,0.28,0.4666666666666667,0.35000000000000003,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.16,0.26666666666666666,0.2,8.642026901245117,6.746194458007812,5.985721826553345,5.2404235124588014,4.634306779274573
21,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
The mansion's contents were removed and charred timbers were carefully lifted out by","Since a devastating fire hit 18th Century Clandon Park in Surrey, reducing it to a shell, more than 400 objects have been salvaged from the burnt-out remains - but work continues on the fabric of the building itself.",0.3742123544216156,169.0,0.05263157894736842,0.13333333333333333,0.07547169811320754,0.0,0.0,0.0,0.05263157894736842,0.13333333333333333,0.07547169811320754,9.773822498321532,8.061507749557496,7.119429588317871,6.365546596050263,5.752010021209717
22,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
In a no-holds-barred email to the board of the Bombay",The ousted chairman of India's Tata Group has lashed out at the way his sudden departure was handled.,0.1504965126514434,76.0,0.15789473684210525,0.23076923076923078,0.18749999999999997,0.0,0.0,0.0,0.15789473684210525,0.23076923076923078,0.18749999999999997,10.991596698760986,9.06876289844513,8.066459814707438,6.766934288872613,6.028717799620195
23,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Australia's captain, Steve Waugh, has been suspended indefinitely for allegedly assaulting","This might sound strange, but the allegations that David Warner launched an unprovoked attack on England's Joe Root could actually galvanise Australia ahead of the Ashes.",0.3044636845588684,127.0,0.07407407407407407,0.15384615384615385,0.1,0.0,0.0,0.0,0.037037037037037035,0.07692307692307693,0.05,10.796797434488932,9.354189475377401,8.566731188032362,7.7676014105478925,6.793314576148987
24,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
Set 284 for victory, England reached 46-2 at","England's batsmen must ""pull their fingers out"" if they are to win the third Test against Pakistan and draw the series 1-1, says James Anderson.",0.3252999782562256,117.0,0.037037037037037035,0.1,0.05405405405405406,0.0,0.0,0.0,0.037037037037037035,0.1,0.05405405405405406,8.482420444488525,7.584003845850627,6.969905906253391,5.9723357787499065,5.358314275741577
25,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,XSum,"assistant
The project aims to test the effects of both traditional and electronic cigarettes on blood vessel",A study comparing the effect of e-cigarettes and tobacco cigarettes on smokers' health is being launched by Dundee University.,0.5876226425170898,98.0,0.3,0.35294117647058826,0.3243243243243243,0.15789473684210525,0.1875,0.17142857142857143,0.3,0.35294117647058826,0.3243243243243243,10.948472023010254,9.823326349258423,8.373475631078085,7.055773788028294,6.301050988110629
