Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,Input,Text_Diff
facebook/opt-125m,Summarize the following text: ,Samsum,"
Hannah: Bye bye
Amanda: Bye bye
Hannah: Bye bye
H",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 12.255374908447266, 'Min_20.0% Prob': 9.784618059794107, 'Min_30.0% Prob': 8.769956588745117, 'Min_40.0% Prob': 7.9439175469534735, 'Min_50.0% Prob': 7.379510879516602}",0.563495397567749,"{'rouge1': Score(precision=0.125, recall=0.2, fmeasure=0.15384615384615385), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.2, fmeasure=0.15384615384615385)}","Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye","+ 
- Hannah: Hey, do you have Betty's number?
- Amanda: Lemme check
- Hannah: <file_gif>
- Amanda: Sorry, can't find it.
- Amanda: Ask Larry
- Amanda: He called her last time we were at the park together
- Hannah: I don't know him well
- Hannah: <file_gif>
- Amanda: Don't be shy, he's very nice
- Hannah: If you say so..
- Hannah: I'd rather you texted him
- Amanda: Just text him 🙂
- Hannah: Urgh.. Alright
- Hannah: Bye
+ Hannah: Bye bye
?            ++++

  Amanda: Bye bye
+ Hannah: Bye bye
+ H"
facebook/opt-125m,Summarize the following text: ,Samsum,"
Eric: I'm not sure what to say. I'm not sure what to say. I",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 12.932170867919922, 'Min_20.0% Prob': 11.177968978881836, 'Min_30.0% Prob': 8.740200281143188, 'Min_40.0% Prob': 8.142008304595947, 'Min_50.0% Prob': 7.107267107282366}",0.3588461875915527,"{'rouge1': Score(precision=0.16666666666666666, recall=0.125, fmeasure=0.14285714285714288), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.125, fmeasure=0.14285714285714288)}","Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)","+ 
+ Eric: I'm not sure what to say. I'm not sure what to say. I
- Eric: MACHINE!
- Rob: That's so gr8!
- Eric: I know! And shows how Americans see Russian ;)
- Rob: And it's really funny!
- Eric: I know! I especially like the train part!
- Rob: Hahaha! No one talks to the machine like that!
- Eric: Is this his only stand-up?
- Rob: Idk. I'll check.
- Eric: Sure.
- Rob: Turns out no! There are some of his stand-ups on youtube.
- Eric: Gr8! I'll watch them now!
- Rob: Me too!
- Eric: MACHINE!
- Rob: MACHINE!
- Eric: TTYL?
- Rob: Sure :)"
facebook/opt-125m,Summarize the following text: ,Samsum,"
Lenny: I'm not sure what to do with the second pair. I'm not sure",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 10.515885670979818, 'Min_20.0% Prob': 8.366677284240723, 'Min_30.0% Prob': 7.525124883651733, 'Min_40.0% Prob': 6.638691970280239, 'Min_50.0% Prob': 6.088201452704037}",0.5269284248352051,"{'rouge1': Score(precision=0.13793103448275862, recall=0.25, fmeasure=0.17777777777777778), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13793103448275862, recall=0.25, fmeasure=0.17777777777777778)}","Lenny: Babe, can you help me with something?
Bob: Sure, what's up?
Lenny: Which one should I pick?
Bob: Send me photos
Lenny:  <file_photo>
Lenny:  <file_photo>
Lenny:  <file_photo>
Bob: I like the first ones best
Lenny: But I already have purple trousers. Does it make sense to have two pairs?
Bob: I have four black pairs :D :D
Lenny: yeah, but shouldn't I pick a different color?
Bob: what matters is what you'll give you the most outfit options
Lenny: So I guess I'll buy the first or the third pair then
Bob: Pick the best quality then
Lenny: ur right, thx
Bob: no prob :)","+ 
+ Lenny: I'm not sure what to do with the second pair. I'm not sure
- Lenny: Babe, can you help me with something?
- Bob: Sure, what's up?
- Lenny: Which one should I pick?
- Bob: Send me photos
- Lenny:  <file_photo>
- Lenny:  <file_photo>
- Lenny:  <file_photo>
- Bob: I like the first ones best
- Lenny: But I already have purple trousers. Does it make sense to have two pairs?
- Bob: I have four black pairs :D :D
- Lenny: yeah, but shouldn't I pick a different color?
- Bob: what matters is what you'll give you the most outfit options
- Lenny: So I guess I'll buy the first or the third pair then
- Bob: Pick the best quality then
- Lenny: ur right, thx
- Bob: no prob :)"
facebook/opt-125m,Summarize the following text: ,Samsum,                    ,Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 10.701526641845703, 'Min_20.0% Prob': 9.795328617095947, 'Min_30.0% Prob': 8.77761697769165, 'Min_40.0% Prob': 7.604577445983887, 'Min_50.0% Prob': 6.802196900049846}",0.1185323894023895,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","Will: hey babe, what do you want for dinner tonight?
Emma:  gah, don't even worry about it tonight
Will: what do you mean? everything ok?
Emma: not really, but it's ok, don't worry about cooking though, I'm not hungry
Will: Well what time will you be home?
Emma: soon, hopefully
Will: you sure? Maybe you want me to pick you up?
Emma: no no it's alright. I'll be home soon, i'll tell you when I get home. 
Will: Alright, love you. 
Emma: love you too. ","+                     
- Will: hey babe, what do you want for dinner tonight?
- Emma:  gah, don't even worry about it tonight
- Will: what do you mean? everything ok?
- Emma: not really, but it's ok, don't worry about cooking though, I'm not hungry
- Will: Well what time will you be home?
- Emma: soon, hopefully
- Will: you sure? Maybe you want me to pick you up?
- Emma: no no it's alright. I'll be home soon, i'll tell you when I get home. 
- Will: Alright, love you. 
- Emma: love you too. "
facebook/opt-125m,Summarize the following text: ,Samsum,", i'll bring the pastries, but i'll bring the pastries.
Ollie",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 12.305747413635254, 'Min_20.0% Prob': 10.094870480624111, 'Min_30.0% Prob': 8.717330068349838, 'Min_40.0% Prob': 7.536381006240845, 'Min_50.0% Prob': 6.813772219198722}",0.436859518289566,"{'rouge1': Score(precision=0.046511627906976744, recall=0.16666666666666666, fmeasure=0.07272727272727272), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.023255813953488372, recall=0.08333333333333333, fmeasure=0.03636363636363636)}","Ollie: Hi , are you in Warsaw
Jane: yes, just back! Btw are you free for diner the 19th?
Ollie: nope!
Jane: and the  18th?
Ollie: nope, we have this party and you must be there, remember?
Jane: oh right! i lost my calendar..  thanks for reminding me
Ollie: we have lunch this week?
Jane: with pleasure!
Ollie: friday?
Jane: ok
Jane: what do you mean "" we don't have any more whisky!"" lol..
Ollie: what!!!
Jane: you just call me and the all thing i heard was that sentence about whisky... what's wrong with you?
Ollie: oh oh... very strange! i have to be carefull may be there is some spy in my mobile! lol
Jane: dont' worry, we'll check on friday.
Ollie: don't forget to bring some sun with you
Jane: I can't wait to be in Morocco..
Ollie: enjoy and see you friday
Jane: sorry Ollie, i'm very busy, i won't have time for lunch  tomorrow, but may be at 6pm after my courses?this trip to Morocco was so nice, but time consuming!
Ollie: ok for tea!
Jane: I'm on my way..
Ollie: tea is ready, did you bring the pastries?
Jane: I already ate them all... see you in a minute
Ollie: ok","+ , i'll bring the pastries, but i'll bring the pastries.
+ Ollie
- Ollie: Hi , are you in Warsaw
- Jane: yes, just back! Btw are you free for diner the 19th?
- Ollie: nope!
- Jane: and the  18th?
- Ollie: nope, we have this party and you must be there, remember?
- Jane: oh right! i lost my calendar..  thanks for reminding me
- Ollie: we have lunch this week?
- Jane: with pleasure!
- Ollie: friday?
- Jane: ok
- Jane: what do you mean "" we don't have any more whisky!"" lol..
- Ollie: what!!!
- Jane: you just call me and the all thing i heard was that sentence about whisky... what's wrong with you?
- Ollie: oh oh... very strange! i have to be carefull may be there is some spy in my mobile! lol
- Jane: dont' worry, we'll check on friday.
- Ollie: don't forget to bring some sun with you
- Jane: I can't wait to be in Morocco..
- Ollie: enjoy and see you friday
- Jane: sorry Ollie, i'm very busy, i won't have time for lunch  tomorrow, but may be at 6pm after my courses?this trip to Morocco was so nice, but time consuming!
- Ollie: ok for tea!
- Jane: I'm on my way..
- Ollie: tea is ready, did you bring the pastries?
- Jane: I already ate them all... see you in a minute
- Ollie: ok"
facebook/opt-125m,Summarize the following text: ,Samsum,"
Benjamin: I'll be there at 2:30 pm, so I'll be there by",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 9.139509995778402, 'Min_20.0% Prob': 7.913208374610314, 'Min_30.0% Prob': 7.066569495201111, 'Min_40.0% Prob': 6.375528582820186, 'Min_50.0% Prob': 5.80432147138259}",0.3670740723609924,"{'rouge1': Score(precision=0.07017543859649122, recall=0.26666666666666666, fmeasure=0.11111111111111112), 'rouge2': Score(precision=0.017857142857142856, recall=0.07142857142857142, fmeasure=0.028571428571428574), 'rougeL': Score(precision=0.07017543859649122, recall=0.26666666666666666, fmeasure=0.11111111111111112)}","Benjamin: Hey guys, what are we doing with the keys today?
Hilary: I've got them. Whoever wants them can meet me at lunchtime or after
Elliot: I'm ok. We're meeting for the drinks in the evening anyway and I guess we'll be going back to the apartment together?
Hilary: Yeah, I guess so
Daniel: I'm with Hilary atm and won't let go of her for the rest of the day, so any option you guys choose is good for me
Benjamin: Hmm I might actually pass by at lunchtime, take the keys and go take a nap. I'm sooo tired after yesterday
Hilary: Sounds good. We'll be having lunch with some French people (the ones who work on the history of food in colonial Mexico - I already see you yawning your head off)
Benjamin: YAAAAWN 🙊 Where and where are you meeting?
Hilary: So I'm meeting them at the entrance to the conference hall at 2 pm and then we'll head to this place called La Cantina. Italian cuisine, which is quite funny, but that's what they've chosen
Benjamin: Interesting 😱 To be honest, Hilary, I almost feel like changing my mind. Wanting to take this nap might end up costing me to dear
Hilary: Oh come on 😂
Benjamin: All these terrible obstacles on mu way to bed might just prove to much to take
Hilary: We'll try to avoid talking about their subject of research. Oh wait, no, I'm actually meeting them because I wanted to chat about their research lol
Elliot: 🙉
Hilary: Do join us, we're going to have fun. And then you'll take the keys and take this most deserved of naps
Elliot: Sounds like a plan 😂
Hilary: 😎
Elliot: See you at 2 then xx","+ 
+ Benjamin: I'll be there at 2:30 pm, so I'll be there by
- Benjamin: Hey guys, what are we doing with the keys today?
- Hilary: I've got them. Whoever wants them can meet me at lunchtime or after
- Elliot: I'm ok. We're meeting for the drinks in the evening anyway and I guess we'll be going back to the apartment together?
- Hilary: Yeah, I guess so
- Daniel: I'm with Hilary atm and won't let go of her for the rest of the day, so any option you guys choose is good for me
- Benjamin: Hmm I might actually pass by at lunchtime, take the keys and go take a nap. I'm sooo tired after yesterday
- Hilary: Sounds good. We'll be having lunch with some French people (the ones who work on the history of food in colonial Mexico - I already see you yawning your head off)
- Benjamin: YAAAAWN 🙊 Where and where are you meeting?
- Hilary: So I'm meeting them at the entrance to the conference hall at 2 pm and then we'll head to this place called La Cantina. Italian cuisine, which is quite funny, but that's what they've chosen
- Benjamin: Interesting 😱 To be honest, Hilary, I almost feel like changing my mind. Wanting to take this nap might end up costing me to dear
- Hilary: Oh come on 😂
- Benjamin: All these terrible obstacles on mu way to bed might just prove to much to take
- Hilary: We'll try to avoid talking about their subject of research. Oh wait, no, I'm actually meeting them because I wanted to chat about their research lol
- Elliot: 🙉
- Hilary: Do join us, we're going to have fun. And then you'll take the keys and take this most deserved of naps
- Elliot: Sounds like a plan 😂
- Hilary: 😎
- Elliot: See you at 2 then xx"
facebook/opt-125m,Summarize the following text: ,Samsum,"
Payton: I read a lot of books, but I don't read much. I read",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 11.933442115783691, 'Min_20.0% Prob': 10.359199206034342, 'Min_30.0% Prob': 8.86516752243042, 'Min_40.0% Prob': 8.068592731769268, 'Min_50.0% Prob': 7.1853267445283775}",0.5299735069274902,"{'rouge1': Score(precision=0.13333333333333333, recall=0.26666666666666666, fmeasure=0.17777777777777776), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.2, fmeasure=0.13333333333333333)}","Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)","+ 
+ Payton: I read a lot of books, but I don't read much. I read
- Max: Know any good sites to buy clothes from?
- Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
- Max: That's a lot of them!
- Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
- Max: I'll check them out. Thanks. 
- Payton: No problem :)
- Max: How about u?
- Payton: What about me?
- Max: Do u like shopping?
- Payton: Yes and no.
- Max: How come?
- Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
- Max: Y not?
- Payton: Isn't it obvious? ;)
- Max: Sry ;)
- Payton: If I bought everything I liked, I'd have nothing left to live on ;)
- Max: Same here, but probably different category ;)
- Payton: Lol
- Max: So what do u usually buy?
- Payton: Well, I have 2 things I must struggle to resist!
- Max: Which are?
- Payton: Clothes, ofc ;)
- Max: Right. And the second one?
- Payton: Books. I absolutely love reading!
- Max: Gr8! What books do u read?
- Payton: Everything I can get my hands on :)
- Max: Srsly?
- Payton: Yup :)"
facebook/opt-125m,Summarize the following text: ,Samsum,"
Rita: I'm not cut out for this level of boredom.
Tina: I",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 10.739004135131836, 'Min_20.0% Prob': 9.981187502543131, 'Min_30.0% Prob': 9.249706864356995, 'Min_40.0% Prob': 8.162428855895996, 'Min_50.0% Prob': 7.579606873648507}",0.6285905838012695,"{'rouge1': Score(precision=0.15384615384615385, recall=0.15384615384615385, fmeasure=0.15384615384615385), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15384615384615385, recall=0.15384615384615385, fmeasure=0.15384615384615385)}","Rita: I'm so bloody tired. Falling asleep at work. :-(
Tina: I know what you mean.
Tina: I keep on nodding off at my keyboard hoping that the boss doesn't notice..
Rita: The time just keeps on dragging on and on and on.... 
Rita: I keep on looking at the clock and there's still 4 hours of this drudgery to go.
Tina: Times like these I really hate my work.
Rita: I'm really not cut out for this level of boredom.
Tina: Neither am I.","+ 
- Rita: I'm so bloody tired. Falling asleep at work. :-(
- Tina: I know what you mean.
- Tina: I keep on nodding off at my keyboard hoping that the boss doesn't notice..
- Rita: The time just keeps on dragging on and on and on.... 
- Rita: I keep on looking at the clock and there's still 4 hours of this drudgery to go.
- Tina: Times like these I really hate my work.
- Rita: I'm really not cut out for this level of boredom.
?           -------

+ Rita: I'm not cut out for this level of boredom.
- Tina: Neither am I.
+ Tina: I"
facebook/opt-125m,Summarize the following text: ,Samsum," I'm not complaining. I'm just saying that I don't like them.
Beatrice:","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 10.34514045715332, 'Min_20.0% Prob': 9.012592315673828, 'Min_30.0% Prob': 7.92363002565172, 'Min_40.0% Prob': 6.7369522498204155, 'Min_50.0% Prob': 5.9729273468256}",0.3646231293678283,"{'rouge1': Score(precision=0.10714285714285714, recall=0.2, fmeasure=0.13953488372093023), 'rouge2': Score(precision=0.037037037037037035, recall=0.07142857142857142, fmeasure=0.04878048780487805), 'rougeL': Score(precision=0.07142857142857142, recall=0.13333333333333333, fmeasure=0.09302325581395349)}","Beatrice: I am in town, shopping. They have nice scarfs in the shop next to the church. Do you want one?
Leo: No, thanks
Beatrice: But you don't have a scarf.
Leo: Because I don't need it.
Beatrice: Last winter you had a cold all the time. A scarf could help.
Leo: I don't like them.
Beatrice: Actually, I don't care. You will get a scarf.
Leo: How understanding of you!
Beatrice: You were complaining the whole winter that you're going to die. I've had enough.
Leo: Eh.","+  I'm not complaining. I'm just saying that I don't like them.
+ Beatrice:
- Beatrice: I am in town, shopping. They have nice scarfs in the shop next to the church. Do you want one?
- Leo: No, thanks
- Beatrice: But you don't have a scarf.
- Leo: Because I don't need it.
- Beatrice: Last winter you had a cold all the time. A scarf could help.
- Leo: I don't like them.
- Beatrice: Actually, I don't care. You will get a scarf.
- Leo: How understanding of you!
- Beatrice: You were complaining the whole winter that you're going to die. I've had enough.
- Leo: Eh."
facebook/opt-125m,Summarize the following text: ,Samsum," man, i dont know what to say
Ivan: ok man, i dont know what to",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 13.854631900787354, 'Min_20.0% Prob': 10.896740913391113, 'Min_30.0% Prob': 9.236712137858072, 'Min_40.0% Prob': 7.636532333162096, 'Min_50.0% Prob': 6.832959435202858}",0.5068261623382568,"{'rouge1': Score(precision=0.19047619047619047, recall=0.26666666666666666, fmeasure=0.2222222222222222), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.19047619047619047, recall=0.26666666666666666, fmeasure=0.2222222222222222)}","Ivan: hey eric
Eric: yeah man
Ivan: so youre coming to the wedding
Eric: your brother's
Ivan: yea
Eric: i dont know mannn
Ivan: YOU DONT KNOW??
Eric: i just have a lot to do at home, plus i dont know if my parents would let me
Ivan: ill take care of your parents
Eric: youre telling me you have the guts to talk to them XD
Ivan: thats my problem
Eric: okay man, if you say so
Ivan: yea just be there 
Eric: alright","+  man, i dont know what to say
+ Ivan: ok man, i dont know what to
- Ivan: hey eric
- Eric: yeah man
- Ivan: so youre coming to the wedding
- Eric: your brother's
- Ivan: yea
- Eric: i dont know mannn
- Ivan: YOU DONT KNOW??
- Eric: i just have a lot to do at home, plus i dont know if my parents would let me
- Ivan: ill take care of your parents
- Eric: youre telling me you have the guts to talk to them XD
- Ivan: thats my problem
- Eric: okay man, if you say so
- Ivan: yea just be there 
- Eric: alright"
