Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores
facebook/opt-2.7b,Summarize the following text: ,Samsum,"
Hannah: Bye
Hannah: Bye
Hannah: Bye
Hannah: Bye",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 13.091057777404785, 'Min_20.0% Prob': 11.44506867726644, 'Min_30.0% Prob': 9.46302251815796, 'Min_40.0% Prob': 8.298435892377581, 'Min_50.0% Prob': 7.483617676628961}",0.43426448106765747,"{'rouge1': Score(precision=0.0625, recall=0.125, fmeasure=0.08333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0625, recall=0.125, fmeasure=0.08333333333333333)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum,"
Eric: MACHINE!
Rob: MACHINE!
Eric: MACHINE",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 9.714824676513672, 'Min_20.0% Prob': 9.296313762664795, 'Min_30.0% Prob': 7.931157112121582, 'Min_40.0% Prob': 7.59737377166748, 'Min_50.0% Prob': 6.728432995932443}",0.5043054819107056,"{'rouge1': Score(precision=0.16666666666666666, recall=0.3333333333333333, fmeasure=0.2222222222222222), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.3333333333333333, fmeasure=0.2222222222222222)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum,"
Lenny:  <file_photo> satellited
Lenny:  <file_",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 9.684279759724935, 'Min_20.0% Prob': 7.969859259469168, 'Min_30.0% Prob': 7.174101400375366, 'Min_40.0% Prob': 6.383871282849993, 'Min_50.0% Prob': 5.897139044368968}",0.3054516911506653,"{'rouge1': Score(precision=0.06896551724137931, recall=0.3333333333333333, fmeasure=0.1142857142857143), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06896551724137931, recall=0.3333333333333333, fmeasure=0.1142857142857143)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum,"=-=-=-=-=

I think this is a great summary of the situation.

I think this",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 8.82811164855957, 'Min_20.0% Prob': 8.68509292602539, 'Min_30.0% Prob': 8.06543254852295, 'Min_40.0% Prob': 7.197734832763672, 'Min_50.0% Prob': 6.420533657073975}",0.143297016620636,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum,", bye Jane!  [*]
Jane: bye Ollie! [*]
Jane: bye O",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 10.619688606262207, 'Min_20.0% Prob': 9.029424147172408, 'Min_30.0% Prob': 7.936482936143875, 'Min_40.0% Prob': 7.072068561207164, 'Min_50.0% Prob': 6.41462825845789}",0.544503390789032,"{'rouge1': Score(precision=0.09302325581395349, recall=0.5, fmeasure=0.15686274509803924), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09302325581395349, recall=0.5, fmeasure=0.15686274509803924)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum,"
Hilary: Bye bye 😊
Benjamin: Bye bye 😊
Hil",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 9.331453164418539, 'Min_20.0% Prob': 7.740671414595384, 'Min_30.0% Prob': 6.781316804885864, 'Min_40.0% Prob': 6.064783758587307, 'Min_50.0% Prob': 5.511960078688229}",0.5252763032913208,"{'rouge1': Score(precision=0.03508771929824561, recall=0.2857142857142857, fmeasure=0.0625), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.03508771929824561, recall=0.2857142857142857, fmeasure=0.0625)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum,"
Max: That's cool. I like reading too. I read a lot of books. I",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 11.45923932393392, 'Min_20.0% Prob': 9.98462438583374, 'Min_30.0% Prob': 8.409170436859132, 'Min_40.0% Prob': 7.6752807543827934, 'Min_50.0% Prob': 6.863016409032485}",0.23274797201156616,"{'rouge1': Score(precision=0.13333333333333333, recall=0.26666666666666666, fmeasure=0.17777777777777776), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.2, fmeasure=0.13333333333333333)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum," I'm going to go home and take a nap.  Canaver
Rita: I'm going",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 11.374234199523926, 'Min_20.0% Prob': 10.675620714823404, 'Min_30.0% Prob': 9.871903419494629, 'Min_40.0% Prob': 8.416961034138998, 'Min_50.0% Prob': 7.916724613734654}",0.47165194153785706,"{'rouge1': Score(precision=0.15384615384615385, recall=0.13333333333333333, fmeasure=0.14285714285714288), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.06666666666666667, fmeasure=0.07142857142857144)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum, I'm not going to die. I'm going to live forever. I'm going to live forever,"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 10.040200551350912, 'Min_20.0% Prob': 8.695541063944498, 'Min_30.0% Prob': 7.467461109161377, 'Min_40.0% Prob': 6.20459769322322, 'Min_50.0% Prob': 5.458121284842491}",0.11670546233654022,"{'rouge1': Score(precision=0.03571428571428571, recall=0.05555555555555555, fmeasure=0.043478260869565216), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.03571428571428571, recall=0.05555555555555555, fmeasure=0.043478260869565216)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum," man, ill see you at the wedding ��
Ivan: yea man ��
Eric",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 11.342339992523193, 'Min_20.0% Prob': 9.603729248046875, 'Min_30.0% Prob': 8.480723063151041, 'Min_40.0% Prob': 7.390299479166667, 'Min_50.0% Prob': 6.775857080112804}",0.7130171060562134,"{'rouge1': Score(precision=0.14285714285714285, recall=0.2727272727272727, fmeasure=0.18749999999999997), 'rouge2': Score(precision=0.05, recall=0.1, fmeasure=0.06666666666666667), 'rougeL': Score(precision=0.09523809523809523, recall=0.18181818181818182, fmeasure=0.125)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum," him then!��
Wanda: ok, bye!��
Gina: bye!��",Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,"{'Min_10.0% Prob': 9.053982416788736, 'Min_20.0% Prob': 7.85306453704834, 'Min_30.0% Prob': 7.195340209537083, 'Min_40.0% Prob': 6.6118026574452715, 'Min_50.0% Prob': 6.0356093088785805}",0.6055372953414917,"{'rouge1': Score(precision=0.07692307692307693, recall=0.2857142857142857, fmeasure=0.12121212121212123), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.2857142857142857, fmeasure=0.12121212121212123)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum,"
Martin: yeah, i'll see you then.
Aggie: bye bye
Martin:",Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,"{'Min_10.0% Prob': 11.08734925587972, 'Min_20.0% Prob': 9.662473837534586, 'Min_30.0% Prob': 8.592560715145535, 'Min_40.0% Prob': 7.849948128064473, 'Min_50.0% Prob': 7.204592482248942}",0.566391110420227,"{'rouge1': Score(precision=0.1111111111111111, recall=0.2727272727272727, fmeasure=0.15789473684210525), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07407407407407407, recall=0.18181818181818182, fmeasure=0.10526315789473684)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum,"
Curtis: Mrożek?
Charlee: Yes. He is a",Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,"{'Min_10.0% Prob': 12.593581835428873, 'Min_20.0% Prob': 11.516637166341146, 'Min_30.0% Prob': 10.017254511515299, 'Min_40.0% Prob': 8.878486037254333, 'Min_50.0% Prob': 8.047535769144694}",0.37251654267311096,"{'rouge1': Score(precision=0.25, recall=0.75, fmeasure=0.375), 'rouge2': Score(precision=0.043478260869565216, recall=0.14285714285714285, fmeasure=0.06666666666666667), 'rougeL': Score(precision=0.125, recall=0.375, fmeasure=0.1875)}"
facebook/opt-2.7b,Summarize the following text: ,Samsum,"
Tom: I'm going to take the train
Mary: I'm going to take the train","Ella rented a car, this makes things much faster for her and Tom. ","{'Min_10.0% Prob': 12.389925003051758, 'Min_20.0% Prob': 8.900113582611084, 'Min_30.0% Prob': 7.76831750869751, 'Min_40.0% Prob': 7.435970703760783, 'Min_50.0% Prob': 6.8667314648628235}",0.4382381737232208,"{'rouge1': Score(precision=0.07692307692307693, recall=0.0625, fmeasure=0.06896551724137931), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.0625, fmeasure=0.06896551724137931)}"
