Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x,GradientBoosting_probability_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x,LogisticRegression_probability_x_x,LogisticRegression_status,RandomForest_prediction_x_x,RandomForest_probability_x_x,RandomForest_status,GradientBoosting_prediction_y_x,GradientBoosting_probability_y_x,GradientBoosting_label_x,LogisticRegression_prediction_y_x,LogisticRegression_probability_y_x,LogisticRegression_label_x,RandomForest_prediction_y_x,RandomForest_probability_y_x,RandomForest_label_x,GradientBoosting_prediction_x_y,GradientBoosting_probability_x_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_x_y,LogisticRegression_probability_x_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_x_y,RandomForest_probability_x_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction_y_y,GradientBoosting_probability_y_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_y_y,LogisticRegression_probability_y_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_y_y,RandomForest_probability_y_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction,GradientBoosting_probability,LogisticRegression_prediction,LogisticRegression_probability,RandomForest_prediction,RandomForest_probability
microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,West Indies have reinstated Phil Simmons as head coach of their senior squads after he apologised for criticising team selection.,"{'Min_10.0% Prob': 10.092161178588867, 'Min_20.0% Prob': 8.293498158454895, 'Min_30.0% Prob': 7.38011368115743, 'Min_40.0% Prob': 6.418466038174099, 'Min_50.0% Prob': 5.772727922959761}",-0.093291275203228,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",110,0,0.0622959158730328,Clean,1,0.5193380658045341,Contaminated,0,0.0554442503369238,Clean,0,0.0622959158730328,Not Contaminated,1,0.5193380658045341,Likely Contaminated,0,0.0554442503369238,Not Contaminated,0,0.0622959158730328,Not Contaminated,Not Contaminated,1,0.5193380658045341,Likely Contaminated,Likely Contaminated,0,0.0554442503369238,Not Contaminated,Not Contaminated,0,0.0622959158730328,Not Contaminated,Not Contaminated,1,0.5193380658045341,Likely Contaminated,Likely Contaminated,0,0.0554442503369238,Not Contaminated,Not Contaminated,0,0.06229591587303281,1,0.5193380658045341,0,0.05544425033692385
microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,"<?php

namespace AppHttpControllers;

use AppHttpRequests;
use AppHttpControllersController;
use","Two convicted rapists and a man convicted of assault - all considered to be a ""risk to the public"" - have absconded from an open prison.","{'Min_10.0% Prob': 8.500092188517252, 'Min_20.0% Prob': 6.640815019607544, 'Min_30.0% Prob': 5.59543506304423, 'Min_40.0% Prob': 4.864096800486247, 'Min_50.0% Prob': 4.25318295955658}",-0.0409349761903286,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",113,0,0.0597537444155994,Clean,0,0.4134849612851262,Clean,0,0.0051666666666666,Clean,0,0.0597537444155994,Not Contaminated,0,0.4134849612851262,Not Contaminated,0,0.0051666666666666,Not Contaminated,0,0.0597537444155994,Not Contaminated,Not Contaminated,0,0.4134849612851262,Not Contaminated,Not Contaminated,0,0.0051666666666666,Not Contaminated,Not Contaminated,0,0.0597537444155994,Not Contaminated,Not Contaminated,0,0.4134849612851262,Not Contaminated,Not Contaminated,0,0.0051666666666666,Not Contaminated,Not Contaminated,0,0.05975374441559946,0,0.4134849612851262,0,0.005166666666666666
microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,A man has been left scarred for life in an unprovoked attack in a Glasgow pub.,"{'Min_10.0% Prob': 7.919939994812012, 'Min_20.0% Prob': 6.890395800272624, 'Min_30.0% Prob': 6.082923889160156, 'Min_40.0% Prob': 5.434076479503086, 'Min_50.0% Prob': 4.825668017069499}",-0.0365211814641952,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",68,0,0.0859463544504869,Clean,0,0.4512893137969435,Clean,0,0.0653172244422244,Clean,0,0.0859463544504869,Not Contaminated,0,0.4512893137969435,Not Contaminated,0,0.0653172244422244,Not Contaminated,0,0.0859463544504869,Not Contaminated,Not Contaminated,0,0.4512893137969435,Not Contaminated,Not Contaminated,0,0.0653172244422244,Not Contaminated,Not Contaminated,0,0.0859463544504869,Not Contaminated,Not Contaminated,0,0.4512893137969435,Not Contaminated,Not Contaminated,0,0.0653172244422244,Not Contaminated,Not Contaminated,0,0.08594635445048698,0,0.45128931379694354,0,0.06531722444222443
microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"An alleged head of a kidnapping ring in Lagos, Nigeria, is suing the Inspector-General of Police.","{'Min_10.0% Prob': 8.564667701721191, 'Min_20.0% Prob': 8.08558432261149, 'Min_30.0% Prob': 7.450467491149903, 'Min_40.0% Prob': 6.974401610238211, 'Min_50.0% Prob': 6.011192056867811}",-0.0946913808584213,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",83,0,0.089051111373707,Clean,1,0.5444144424821359,Contaminated,0,0.1027372001754994,Clean,0,0.089051111373707,Not Contaminated,1,0.5444144424821359,Likely Contaminated,0,0.1027372001754994,Not Contaminated,0,0.089051111373707,Not Contaminated,Not Contaminated,1,0.5444144424821359,Likely Contaminated,Likely Contaminated,0,0.1027372001754994,Not Contaminated,Not Contaminated,0,0.089051111373707,Not Contaminated,Not Contaminated,1,0.5444144424821359,Likely Contaminated,Likely Contaminated,0,0.1027372001754994,Not Contaminated,Not Contaminated,0,0.08905111137370707,1,0.5444144424821359,0,0.10273720017549941
microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,Oil firms BP and GDF Suez have announced the discovery of a new field in the UK Central North Sea.,"{'Min_10.0% Prob': 9.029208183288574, 'Min_20.0% Prob': 7.768346309661865, 'Min_30.0% Prob': 6.553046941757202, 'Min_40.0% Prob': 5.524742931127548, 'Min_50.0% Prob': 4.4077420668168505}",-0.1288904845714569,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",85,0,0.049101237572875,Clean,0,0.4337716592958422,Clean,0,0.0793614371739371,Clean,0,0.049101237572875,Not Contaminated,0,0.4337716592958422,Not Contaminated,0,0.0793614371739371,Not Contaminated,0,0.049101237572875,Not Contaminated,Not Contaminated,0,0.4337716592958422,Not Contaminated,Not Contaminated,0,0.0793614371739371,Not Contaminated,Not Contaminated,0,0.049101237572875,Not Contaminated,Not Contaminated,0,0.4337716592958422,Not Contaminated,Not Contaminated,0,0.0793614371739371,Not Contaminated,Not Contaminated,0,0.04910123757287503,0,0.4337716592958422,0,0.07936143717393715
microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,Home » News » News » 2019 » January » 14 » 14th January ,Pupils at seven schools could have shorter days after a trust head say he may have to cut hours to save money.,"{'Min_10.0% Prob': 9.574588298797607, 'Min_20.0% Prob': 8.343576312065125, 'Min_30.0% Prob': 7.377597808837891, 'Min_40.0% Prob': 6.757804499732123, 'Min_50.0% Prob': 5.748892684777577}",-0.0500709153711795,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",87,0,0.0932820315941354,Clean,1,0.5290140194980071,Contaminated,0,0.1137005584284996,Clean,0,0.0932820315941354,Not Contaminated,1,0.5290140194980071,Likely Contaminated,0,0.1137005584284996,Not Contaminated,0,0.0932820315941354,Not Contaminated,Not Contaminated,1,0.5290140194980071,Likely Contaminated,Likely Contaminated,0,0.1137005584284996,Not Contaminated,Not Contaminated,0,0.0932820315941354,Not Contaminated,Not Contaminated,1,0.5290140194980071,Likely Contaminated,Likely Contaminated,0,0.1137005584284996,Not Contaminated,Not Contaminated,0,0.09328203159413545,1,0.5290140194980071,0,0.11370055842849962
microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"Supermarket plant sales are reducing customers' choice, says Gardeners' World presenter Monty Don.","{'Min_10.0% Prob': 11.619352340698242, 'Min_20.0% Prob': 10.12841510772705, 'Min_30.0% Prob': 8.774465942382813, 'Min_40.0% Prob': 7.405255113329206, 'Min_50.0% Prob': 6.421105729209052}",0.0230702925473451,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",82,0,0.2749185043266266,Clean,1,0.5829471189000438,Contaminated,0,0.1118723490561725,Clean,0,0.2749185043266266,Not Contaminated,1,0.5829471189000438,Likely Contaminated,0,0.1118723490561725,Not Contaminated,0,0.2749185043266266,Not Contaminated,Not Contaminated,1,0.5829471189000438,Likely Contaminated,Likely Contaminated,0,0.1118723490561725,Not Contaminated,Not Contaminated,0,0.2749185043266266,Not Contaminated,Not Contaminated,1,0.5829471189000438,Likely Contaminated,Likely Contaminated,0,0.1118723490561725,Not Contaminated,Not Contaminated,0,0.2749185043266266,1,0.5829471189000438,0,0.11187234905617258
microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"An inquest into the deaths of 11 men at the Shoreham Airshow is not likely for another year, the BBC can reveal.","{'Min_10.0% Prob': 7.248839378356934, 'Min_20.0% Prob': 5.810442638397217, 'Min_30.0% Prob': 4.948919057846069, 'Min_40.0% Prob': 4.516996622085571, 'Min_50.0% Prob': 4.039994349846473}",-0.0364414937794208,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",96,0,0.0666555865311441,Clean,0,0.3931020520218032,Clean,0,0.0040542582417582,Clean,0,0.0666555865311441,Not Contaminated,0,0.3931020520218032,Not Contaminated,0,0.0040542582417582,Not Contaminated,0,0.0666555865311441,Not Contaminated,Not Contaminated,0,0.3931020520218032,Not Contaminated,Not Contaminated,0,0.0040542582417582,Not Contaminated,Not Contaminated,0,0.0666555865311441,Not Contaminated,Not Contaminated,0,0.3931020520218032,Not Contaminated,Not Contaminated,0,0.0040542582417582,Not Contaminated,Not Contaminated,0,0.0666555865311441,0,0.39310205202180326,0,0.004054258241758242
microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"House prices have risen significantly in England in the past year in contrast to the rest of the UK, figures suggest.","{'Min_10.0% Prob': 8.370160341262817, 'Min_20.0% Prob': 6.642224550247192, 'Min_30.0% Prob': 5.686453541119893, 'Min_40.0% Prob': 4.99934196472168, 'Min_50.0% Prob': 4.218857797709378}",-0.0175573825836181,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",101,0,0.0825555625060385,Clean,0,0.4173688465637271,Clean,0,0.0417307460556299,Clean,0,0.0825555625060385,Not Contaminated,0,0.4173688465637271,Not Contaminated,0,0.0417307460556299,Not Contaminated,0,0.0825555625060385,Not Contaminated,Not Contaminated,0,0.4173688465637271,Not Contaminated,Not Contaminated,0,0.0417307460556299,Not Contaminated,Not Contaminated,0,0.0825555625060385,Not Contaminated,Not Contaminated,0,0.4173688465637271,Not Contaminated,Not Contaminated,0,0.0417307460556299,Not Contaminated,Not Contaminated,0,0.08255556250603854,0,0.4173688465637271,0,0.04173074605562996
microsoft/Phi-3-small-128k-instruct,Summarize the following text: ,XSum,<|tag|> math qa<|end|><|user|> Solve: 2,"Farmers' interests are best served by remaining in the European Union, the National Farmers' Union has said.","{'Min_10.0% Prob': 6.423825025558472, 'Min_20.0% Prob': 5.185699701309204, 'Min_30.0% Prob': 4.493609229723613, 'Min_40.0% Prob': 3.9461505711078644, 'Min_50.0% Prob': 3.535569453239441}",0.0341363884508609,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",92,0,0.1324195568696709,Clean,0,0.3639537133771598,Clean,0,0.0619048671916318,Clean,0,0.1324195568696709,Not Contaminated,0,0.3639537133771598,Not Contaminated,0,0.0619048671916318,Not Contaminated,0,0.1324195568696709,Not Contaminated,Not Contaminated,0,0.3639537133771598,Not Contaminated,Not Contaminated,0,0.0619048671916318,Not Contaminated,Not Contaminated,0,0.1324195568696709,Not Contaminated,Not Contaminated,0,0.3639537133771598,Not Contaminated,Not Contaminated,0,0.0619048671916318,Not Contaminated,Not Contaminated,0,0.13241955686967097,0,0.36395371337715987,0,0.061904867191631886
