Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x_x,GradientBoosting_probability_x_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x_x,LogisticRegression_probability_x_x_x,LogisticRegression_status,RandomForest_prediction_x_x_x,RandomForest_probability_x_x_x,RandomForest_status,GradientBoosting_prediction_y_x_x,GradientBoosting_probability_y_x_x,GradientBoosting_label_x_x,LogisticRegression_prediction_y_x_x,LogisticRegression_probability_y_x_x,LogisticRegression_label_x_x,RandomForest_prediction_y_x_x,RandomForest_probability_y_x_x,RandomForest_label_x_x,GradientBoosting_prediction_x_y_x,GradientBoosting_probability_x_y_x,GradientBoosting_label_y_x,GradientBoosting_label_y.1_x,LogisticRegression_prediction_x_y_x,LogisticRegression_probability_x_y_x,LogisticRegression_label_y_x,LogisticRegression_label_y.1_x,RandomForest_prediction_x_y_x,RandomForest_probability_x_y_x,RandomForest_label_y_x,RandomForest_label_y.1_x,GradientBoosting_prediction_y_y_x,GradientBoosting_probability_y_y_x,GradientBoosting_label_y.2_x,GradientBoosting_label_y.3_x,LogisticRegression_prediction_y_y_x,LogisticRegression_probability_y_y_x,LogisticRegression_label_y.2_x,LogisticRegression_label_y.3_x,RandomForest_prediction_y_y_x,RandomForest_probability_y_y_x,RandomForest_label_y.2_x,RandomForest_label_y.3_x,GradientBoosting_prediction_x,GradientBoosting_probability_x,LogisticRegression_prediction_x,LogisticRegression_probability_x,RandomForest_prediction_x,RandomForest_probability_x,GradientBoosting_prediction_x_x_y,GradientBoosting_probability_x_x_y,GradientBoosting_label,LogisticRegression_prediction_x_x_y,LogisticRegression_probability_x_x_y,LogisticRegression_label,RandomForest_prediction_x_x_y,RandomForest_probability_x_x_y,RandomForest_label,GradientBoosting_prediction_y_x_y,GradientBoosting_probability_y_x_y,GradientBoosting_label_x_y,LogisticRegression_prediction_y_x_y,LogisticRegression_probability_y_x_y,LogisticRegression_label_x_y,RandomForest_prediction_y_x_y,RandomForest_probability_y_x_y,RandomForest_label_x_y,GradientBoosting_prediction_x_y_y,GradientBoosting_probability_x_y_y,GradientBoosting_label_y_y,GradientBoosting_label_y.1_y,LogisticRegression_prediction_x_y_y,LogisticRegression_probability_x_y_y,LogisticRegression_label_y_y,LogisticRegression_label_y.1_y,RandomForest_prediction_x_y_y,RandomForest_probability_x_y_y,RandomForest_label_y_y,RandomForest_label_y.1_y,GradientBoosting_prediction_y_y_y,GradientBoosting_probability_y_y_y,GradientBoosting_label_y.2_y,GradientBoosting_label_y.3_y,LogisticRegression_prediction_y_y_y,LogisticRegression_probability_y_y_y,LogisticRegression_label_y.2_y,LogisticRegression_label_y.3_y,RandomForest_prediction_y_y_y,RandomForest_probability_y_y_y,RandomForest_label_y.2_y,RandomForest_label_y.3_y,GradientBoosting_prediction_y,GradientBoosting_probability_y,LogisticRegression_prediction_y,LogisticRegression_probability_y,RandomForest_prediction_y,RandomForest_probability_y
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,"

Okay, so I need to summarize this conversation. Let me read through it again to understand the",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 16.3125, 'Min_20.0% Prob': 14.098958333333334, 'Min_30.0% Prob': 12.9421875, 'Min_40.0% Prob': 11.383928571428571, 'Min_50.0% Prob': 9.97265625}",0.0359483510255813,"{'rouge1': Score(precision=0.1875, recall=0.17647058823529413, fmeasure=0.1818181818181818), 'rouge2': Score(precision=0.06666666666666667, recall=0.0625, fmeasure=0.06451612903225808), 'rougeL': Score(precision=0.1875, recall=0.17647058823529413, fmeasure=0.1818181818181818)}",74,1,0.9971186833293788,Contaminated,1,0.8335538045196238,Contaminated,1,0.9924404761904762,Contaminated,1,0.9971186833293788,Likely Contaminated,1,0.8335538045196238,Likely Contaminated,1,0.9924404761904762,Likely Contaminated,1,0.9971186833293788,Likely Contaminated,Likely Contaminated,1,0.8335538045196238,Likely Contaminated,Likely Contaminated,1,0.9924404761904762,Likely Contaminated,Likely Contaminated,1,0.9971186833293788,Likely Contaminated,Likely Contaminated,1,0.8335538045196238,Likely Contaminated,Likely Contaminated,1,0.9924404761904762,Likely Contaminated,Likely Contaminated,1,0.9971186833293788,1,0.8335538045196238,1,0.9924404761904762,1,0.9971186833293788,Likely Contaminated,1,0.8335538045196238,Likely Contaminated,1,0.9924404761904762,Likely Contaminated,1,0.9971186833293788,Likely Contaminated,1,0.8335538045196238,Likely Contaminated,1,0.9924404761904762,Likely Contaminated,1,0.9971186833293788,Likely Contaminated,Likely Contaminated,1,0.8335538045196238,Likely Contaminated,Likely Contaminated,1,0.9924404761904762,Likely Contaminated,Likely Contaminated,1,0.9971186833293788,Likely Contaminated,Likely Contaminated,1,0.8335538045196238,Likely Contaminated,Likely Contaminated,1,0.9924404761904762,Likely Contaminated,Likely Contaminated,1,0.9971186833293787,1,0.8335538045196238,1,0.9924404761904762
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum," TTYL!

Okay, so I need to summarize this conversation. Let me read through it",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 15.5703125, 'Min_20.0% Prob': 12.98046875, 'Min_30.0% Prob': 12.0625, 'Min_40.0% Prob': 11.1828125, 'Min_50.0% Prob': 10.696614583333334}",0.099012978374958,"{'rouge1': Score(precision=0.08333333333333333, recall=0.07142857142857142, fmeasure=0.07692307692307691), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08333333333333333, recall=0.07142857142857142, fmeasure=0.07692307692307691)}",63,1,0.9740783340677288,Contaminated,1,0.8561855213588899,Contaminated,1,0.9879484126984128,Contaminated,1,0.9740783340677288,Likely Contaminated,1,0.8561855213588899,Likely Contaminated,1,0.9879484126984128,Likely Contaminated,1,0.9740783340677288,Likely Contaminated,Likely Contaminated,1,0.8561855213588899,Likely Contaminated,Likely Contaminated,1,0.9879484126984128,Likely Contaminated,Likely Contaminated,1,0.9740783340677288,Likely Contaminated,Likely Contaminated,1,0.8561855213588899,Likely Contaminated,Likely Contaminated,1,0.9879484126984128,Likely Contaminated,Likely Contaminated,1,0.9740783340677288,1,0.8561855213588899,1,0.9879484126984128,1,0.9740783340677288,Likely Contaminated,1,0.8561855213588899,Likely Contaminated,1,0.9879484126984128,Likely Contaminated,1,0.9740783340677288,Likely Contaminated,1,0.8561855213588899,Likely Contaminated,1,0.9879484126984128,Likely Contaminated,1,0.9740783340677288,Likely Contaminated,Likely Contaminated,1,0.8561855213588899,Likely Contaminated,Likely Contaminated,1,0.9879484126984128,Likely Contaminated,Likely Contaminated,1,0.9740783340677288,Likely Contaminated,Likely Contaminated,1,0.8561855213588899,Likely Contaminated,Likely Contaminated,1,0.9879484126984128,Likely Contaminated,Likely Contaminated,1,0.9740783340677288,1,0.8561855213588899,1,0.9879484126984127
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum," 

Okay, so I need to summarize this conversation. Let me read through it again to understand what",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 15.333333333333334, 'Min_20.0% Prob': 12.231026785714286, 'Min_30.0% Prob': 10.841015625, 'Min_40.0% Prob': 9.631696428571429, 'Min_50.0% Prob': 8.873391544117647}",0.0258906111121177,"{'rouge1': Score(precision=0.06896551724137931, recall=0.11764705882352941, fmeasure=0.08695652173913043), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06896551724137931, recall=0.11764705882352941, fmeasure=0.08695652173913043)}",109,1,0.9673041413363896,Contaminated,1,0.7817600882835364,Contaminated,1,0.9840156371406372,Contaminated,1,0.9673041413363896,Likely Contaminated,1,0.7817600882835364,Likely Contaminated,1,0.9840156371406372,Likely Contaminated,1,0.9673041413363896,Likely Contaminated,Likely Contaminated,1,0.7817600882835364,Likely Contaminated,Likely Contaminated,1,0.9840156371406372,Likely Contaminated,Likely Contaminated,1,0.9673041413363896,Likely Contaminated,Likely Contaminated,1,0.7817600882835364,Likely Contaminated,Likely Contaminated,1,0.9840156371406372,Likely Contaminated,Likely Contaminated,1,0.9673041413363896,1,0.7817600882835364,1,0.9840156371406372,1,0.9673041413363896,Likely Contaminated,1,0.7817600882835364,Likely Contaminated,1,0.9840156371406372,Likely Contaminated,1,0.9673041413363896,Likely Contaminated,1,0.7817600882835364,Likely Contaminated,1,0.9840156371406372,Likely Contaminated,1,0.9673041413363896,Likely Contaminated,Likely Contaminated,1,0.7817600882835364,Likely Contaminated,Likely Contaminated,1,0.9840156371406372,Likely Contaminated,Likely Contaminated,1,0.9673041413363896,Likely Contaminated,Likely Contaminated,1,0.7817600882835364,Likely Contaminated,Likely Contaminated,1,0.9840156371406372,Likely Contaminated,Likely Contaminated,1,0.9673041413363895,1,0.7817600882835364,1,0.9840156371406372
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum," Will: I'll be home soon, I'll be home soon, I'll be home soon.",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 12.609375, 'Min_20.0% Prob': 12.12890625, 'Min_30.0% Prob': 11.856770833333334, 'Min_40.0% Prob': 11.595703125, 'Min_50.0% Prob': 10.623697916666666}",0.398232489824295,"{'rouge1': Score(precision=0.36363636363636365, recall=0.25, fmeasure=0.2962962962962963), 'rouge2': Score(precision=0.2, recall=0.13333333333333333, fmeasure=0.16), 'rougeL': Score(precision=0.36363636363636365, recall=0.25, fmeasure=0.2962962962962963)}",35,1,0.9507183488034858,Contaminated,1,0.8354126649941993,Contaminated,1,0.8269651814688577,Contaminated,1,0.9507183488034858,Likely Contaminated,1,0.8354126649941993,Likely Contaminated,1,0.8269651814688577,Likely Contaminated,1,0.9507183488034858,Likely Contaminated,Likely Contaminated,1,0.8354126649941993,Likely Contaminated,Likely Contaminated,1,0.8269651814688577,Likely Contaminated,Likely Contaminated,1,0.9507183488034858,Likely Contaminated,Likely Contaminated,1,0.8354126649941993,Likely Contaminated,Likely Contaminated,1,0.8269651814688577,Likely Contaminated,Likely Contaminated,1,0.9507183488034858,1,0.8354126649941993,1,0.8269651814688577,1,0.9507183488034858,Likely Contaminated,1,0.8354126649941993,Likely Contaminated,1,0.8269651814688577,Likely Contaminated,1,0.9507183488034858,Likely Contaminated,1,0.8354126649941993,Likely Contaminated,1,0.8269651814688577,Likely Contaminated,1,0.9507183488034858,Likely Contaminated,Likely Contaminated,1,0.8354126649941993,Likely Contaminated,Likely Contaminated,1,0.8269651814688577,Likely Contaminated,Likely Contaminated,1,0.9507183488034858,Likely Contaminated,Likely Contaminated,1,0.8354126649941993,Likely Contaminated,Likely Contaminated,1,0.8269651814688577,Likely Contaminated,Likely Contaminated,1,0.9507183488034858,1,0.8354126649941993,1,0.8269651814688577
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,", see you tomorrow! 

Okay, so I need to summarize this conversation. Let me read through",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 13.3421875, 'Min_20.0% Prob': 11.662642045454545, 'Min_30.0% Prob': 10.39013671875, 'Min_40.0% Prob': 9.078302556818182, 'Min_50.0% Prob': 8.008858816964286}",0.2043621242046356,"{'rouge1': Score(precision=0.023255813953488372, recall=0.06666666666666667, fmeasure=0.034482758620689655), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.023255813953488372, recall=0.06666666666666667, fmeasure=0.034482758620689655)}",176,1,0.9556860030046976,Contaminated,1,0.7285307040392505,Contaminated,1,0.9263781541171244,Contaminated,1,0.9556860030046976,Likely Contaminated,1,0.7285307040392505,Likely Contaminated,1,0.9263781541171244,Likely Contaminated,1,0.9556860030046976,Likely Contaminated,Likely Contaminated,1,0.7285307040392505,Likely Contaminated,Likely Contaminated,1,0.9263781541171244,Likely Contaminated,Likely Contaminated,1,0.9556860030046976,Likely Contaminated,Likely Contaminated,1,0.7285307040392505,Likely Contaminated,Likely Contaminated,1,0.9263781541171244,Likely Contaminated,Likely Contaminated,1,0.9556860030046976,1,0.7285307040392505,1,0.9263781541171244,1,0.9556860030046976,Likely Contaminated,1,0.7285307040392505,Likely Contaminated,1,0.9263781541171244,Likely Contaminated,1,0.9556860030046976,Likely Contaminated,1,0.7285307040392505,Likely Contaminated,1,0.9263781541171244,Likely Contaminated,1,0.9556860030046976,Likely Contaminated,Likely Contaminated,1,0.7285307040392505,Likely Contaminated,Likely Contaminated,1,0.9263781541171244,Likely Contaminated,Likely Contaminated,1,0.9556860030046976,Likely Contaminated,Likely Contaminated,1,0.7285307040392505,Likely Contaminated,Likely Contaminated,1,0.9263781541171244,Likely Contaminated,Likely Contaminated,1,0.9556860030046975,1,0.7285307040392505,1,0.9263781541171244
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,"
Okay, so I need to summarize this conversation. Let me read through it again to make sure",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 14.1953125, 'Min_20.0% Prob': 11.559495192307692, 'Min_30.0% Prob': 9.9181640625, 'Min_40.0% Prob': 8.848234953703704, 'Min_50.0% Prob': 7.937959558823529}",0.0740909203886985,"{'rouge1': Score(precision=0.03508771929824561, recall=0.11764705882352941, fmeasure=0.05405405405405405), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.03508771929824561, recall=0.11764705882352941, fmeasure=0.05405405405405405)}",242,1,0.9556640433018252,Contaminated,1,0.7243073566880952,Contaminated,1,0.9507616272616272,Contaminated,1,0.9556640433018252,Likely Contaminated,1,0.7243073566880952,Likely Contaminated,1,0.9507616272616272,Likely Contaminated,1,0.9556640433018252,Likely Contaminated,Likely Contaminated,1,0.7243073566880952,Likely Contaminated,Likely Contaminated,1,0.9507616272616272,Likely Contaminated,Likely Contaminated,1,0.9556640433018252,Likely Contaminated,Likely Contaminated,1,0.7243073566880952,Likely Contaminated,Likely Contaminated,1,0.9507616272616272,Likely Contaminated,Likely Contaminated,1,0.9556640433018252,1,0.7243073566880952,1,0.9507616272616272,1,0.9556640433018252,Likely Contaminated,1,0.7243073566880952,Likely Contaminated,1,0.9507616272616272,Likely Contaminated,1,0.9556640433018252,Likely Contaminated,1,0.7243073566880952,Likely Contaminated,1,0.9507616272616272,Likely Contaminated,1,0.9556640433018252,Likely Contaminated,Likely Contaminated,1,0.7243073566880952,Likely Contaminated,Likely Contaminated,1,0.9507616272616272,Likely Contaminated,Likely Contaminated,1,0.9556640433018252,Likely Contaminated,Likely Contaminated,1,0.7243073566880952,Likely Contaminated,Likely Contaminated,1,0.9507616272616272,Likely Contaminated,Likely Contaminated,1,0.9556640433018251,1,0.7243073566880952,1,0.9507616272616272
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum, <file_other> <file_other> <file_other> <file_other> <file_other>,Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 12.40625, 'Min_20.0% Prob': 11.063616071428571, 'Min_30.0% Prob': 10.318359375, 'Min_40.0% Prob': 9.33984375, 'Min_50.0% Prob': 8.430338541666666}",0.043872557580471,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",157,1,0.7607135615267436,Contaminated,1,0.7172936343173832,Contaminated,1,0.8811605963480962,Contaminated,1,0.7607135615267436,Likely Contaminated,1,0.7172936343173832,Likely Contaminated,1,0.8811605963480962,Likely Contaminated,1,0.7607135615267436,Likely Contaminated,Likely Contaminated,1,0.7172936343173832,Likely Contaminated,Likely Contaminated,1,0.8811605963480962,Likely Contaminated,Likely Contaminated,1,0.7607135615267436,Likely Contaminated,Likely Contaminated,1,0.7172936343173832,Likely Contaminated,Likely Contaminated,1,0.8811605963480962,Likely Contaminated,Likely Contaminated,1,0.7607135615267436,1,0.7172936343173832,1,0.8811605963480962,1,0.7607135615267436,Likely Contaminated,1,0.7172936343173832,Likely Contaminated,1,0.8811605963480962,Likely Contaminated,1,0.7607135615267436,Likely Contaminated,1,0.7172936343173832,Likely Contaminated,1,0.8811605963480962,Likely Contaminated,1,0.7607135615267436,Likely Contaminated,Likely Contaminated,1,0.7172936343173832,Likely Contaminated,Likely Contaminated,1,0.8811605963480962,Likely Contaminated,Likely Contaminated,1,0.7607135615267436,Likely Contaminated,Likely Contaminated,1,0.7172936343173832,Likely Contaminated,Likely Contaminated,1,0.8811605963480962,Likely Contaminated,Likely Contaminated,1,0.7607135615267436,1,0.7172936343173832,1,0.8811605963480962
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum, But I can't seem to shake it. I think I need to find a way to stay awake,Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 14.59375, 'Min_20.0% Prob': 14.026041666666666, 'Min_30.0% Prob': 13.759765625, 'Min_40.0% Prob': 12.251953125, 'Min_50.0% Prob': 10.42822265625}",0.2039929032325744,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",56,1,0.9591350925952744,Contaminated,1,0.8392246441189847,Contaminated,1,0.9569938672438671,Contaminated,1,0.9591350925952744,Likely Contaminated,1,0.8392246441189847,Likely Contaminated,1,0.9569938672438671,Likely Contaminated,1,0.9591350925952744,Likely Contaminated,Likely Contaminated,1,0.8392246441189847,Likely Contaminated,Likely Contaminated,1,0.9569938672438671,Likely Contaminated,Likely Contaminated,1,0.9591350925952744,Likely Contaminated,Likely Contaminated,1,0.8392246441189847,Likely Contaminated,Likely Contaminated,1,0.9569938672438671,Likely Contaminated,Likely Contaminated,1,0.9591350925952744,1,0.8392246441189847,1,0.9569938672438671,1,0.9591350925952744,Likely Contaminated,1,0.8392246441189847,Likely Contaminated,1,0.9569938672438671,Likely Contaminated,1,0.9591350925952744,Likely Contaminated,1,0.8392246441189847,Likely Contaminated,1,0.9569938672438671,Likely Contaminated,1,0.9591350925952744,Likely Contaminated,Likely Contaminated,1,0.8392246441189847,Likely Contaminated,Likely Contaminated,1,0.9569938672438671,Likely Contaminated,Likely Contaminated,1,0.9591350925952744,Likely Contaminated,Likely Contaminated,1,0.8392246441189847,Likely Contaminated,Likely Contaminated,1,0.9569938672438671,Likely Contaminated,Likely Contaminated,1,0.9591350925952743,1,0.8392246441189847,1,0.9569938672438673
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum, I don't need it. I don't like it. I don't care. I don't,"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 14.544270833333334, 'Min_20.0% Prob': 12.010416666666666, 'Min_30.0% Prob': 10.59592013888889, 'Min_40.0% Prob': 8.793569711538462, 'Min_50.0% Prob': 7.8463134765625}",0.2099855989217758,"{'rouge1': Score(precision=0.10714285714285714, recall=0.17647058823529413, fmeasure=0.13333333333333333), 'rouge2': Score(precision=0.037037037037037035, recall=0.0625, fmeasure=0.046511627906976744), 'rougeL': Score(precision=0.10714285714285714, recall=0.17647058823529413, fmeasure=0.13333333333333333)}",106,1,0.9534605280013134,Contaminated,1,0.7080733069428126,Contaminated,1,0.9211527222777224,Contaminated,1,0.9534605280013134,Likely Contaminated,1,0.7080733069428126,Likely Contaminated,1,0.9211527222777224,Likely Contaminated,1,0.9534605280013134,Likely Contaminated,Likely Contaminated,1,0.7080733069428126,Likely Contaminated,Likely Contaminated,1,0.9211527222777224,Likely Contaminated,Likely Contaminated,1,0.9534605280013134,Likely Contaminated,Likely Contaminated,1,0.7080733069428126,Likely Contaminated,Likely Contaminated,1,0.9211527222777224,Likely Contaminated,Likely Contaminated,1,0.9534605280013134,1,0.7080733069428126,1,0.9211527222777224,1,0.9534605280013134,Likely Contaminated,1,0.7080733069428126,Likely Contaminated,1,0.9211527222777224,Likely Contaminated,1,0.9534605280013134,Likely Contaminated,1,0.7080733069428126,Likely Contaminated,1,0.9211527222777224,Likely Contaminated,1,0.9534605280013134,Likely Contaminated,Likely Contaminated,1,0.7080733069428126,Likely Contaminated,Likely Contaminated,1,0.9211527222777224,Likely Contaminated,Likely Contaminated,1,0.9534605280013134,Likely Contaminated,Likely Contaminated,1,0.7080733069428126,Likely Contaminated,Likely Contaminated,1,0.9211527222777224,Likely Contaminated,Likely Contaminated,1,0.9534605280013134,1,0.7080733069428126,1,0.9211527222777223
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,Samsum,", but i need you to come to my wedding too
Ivan: what??
Eric:",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 13.8125, 'Min_20.0% Prob': 12.40625, 'Min_30.0% Prob': 11.731770833333334, 'Min_40.0% Prob': 10.720052083333334, 'Min_50.0% Prob': 10.129261363636363}",0.6982041001319885,"{'rouge1': Score(precision=0.23809523809523808, recall=0.38461538461538464, fmeasure=0.2941176470588235), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=0.23076923076923078, fmeasure=0.17647058823529413)}",72,1,0.8909939629498572,Contaminated,1,0.9188821289110424,Contaminated,1,0.9274597069597073,Contaminated,1,0.8909939629498572,Likely Contaminated,1,0.9188821289110424,Likely Contaminated,1,0.9274597069597073,Likely Contaminated,1,0.8909939629498572,Likely Contaminated,Likely Contaminated,1,0.9188821289110424,Likely Contaminated,Likely Contaminated,1,0.9274597069597073,Likely Contaminated,Likely Contaminated,1,0.8909939629498572,Likely Contaminated,Likely Contaminated,1,0.9188821289110424,Likely Contaminated,Likely Contaminated,1,0.9274597069597073,Likely Contaminated,Likely Contaminated,1,0.8909939629498572,1,0.9188821289110424,1,0.9274597069597073,1,0.8909939629498572,Likely Contaminated,1,0.9188821289110424,Likely Contaminated,1,0.9274597069597073,Likely Contaminated,1,0.8909939629498572,Likely Contaminated,1,0.9188821289110424,Likely Contaminated,1,0.9274597069597073,Likely Contaminated,1,0.8909939629498572,Likely Contaminated,Likely Contaminated,1,0.9188821289110424,Likely Contaminated,Likely Contaminated,1,0.9274597069597073,Likely Contaminated,Likely Contaminated,1,0.8909939629498572,Likely Contaminated,Likely Contaminated,1,0.9188821289110424,Likely Contaminated,Likely Contaminated,1,0.9274597069597073,Likely Contaminated,Likely Contaminated,1,0.8909939629498572,1,0.9188821289110424,1,0.9274597069597071
