,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
### Query: Given the following data on the number of books read by students in a",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,0.12437834590673447,0.0625,0.06666666666666667,0.06451612903225808,0.0,0.0,0.0,0.0625,0.06666666666666667,0.06451612903225808,11.0703125,9.16015625,7.8125,6.856201171875,6.2607421875
1,microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 In a classroom, there are 12 boys and 8 girls. If",Eric and Rob are going to watch a stand-up on youtube.,0.1358075588941574,0.25,0.2727272727272727,0.2608695652173913,0.0,0.0,0.0,0.08333333333333333,0.09090909090909091,0.08695652173913043,23.125,12.6953125,11.0615234375,9.016927083333334,8.261997767857142
2,microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 In a classroom, there are 12 boys and 10 girls.",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,-0.039441484957933426,0.034482758620689655,0.1,0.05128205128205129,0.0,0.0,0.0,0.034482758620689655,0.1,0.05128205128205129,9.35546875,8.0732421875,7.083333333333333,6.3013916015625,5.64931640625
3,microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",Emma will be home soon and she will let Will know.,0.06325536966323853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0234375,9.5078125,9.03125,8.2080078125,7.45859375
4,microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 In a classroom, there are 12 boys and 10 girls.",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,0.10969370603561401,0.06976744186046512,0.3,0.11320754716981132,0.0,0.0,0.0,0.06976744186046512,0.3,0.11320754716981132,9.915364583333334,8.431966145833334,7.296875,6.493245442708333,5.781943044354839
5,microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,0.10108132660388947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.982142857142858,7.719866071428571,6.796316964285714,6.193498883928571,5.515028211805555
6,microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 In a classroom, there are 12 boys and 8 girls. The",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,0.013301033526659012,0.06666666666666667,0.18181818181818182,0.0975609756097561,0.0,0.0,0.0,0.06666666666666667,0.18181818181818182,0.0975609756097561,10.22265625,8.3232421875,7.477213541666667,6.897216796875,6.253515625
7,microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",Rita and Tina are bored at work and have still 4 hours left.,0.0036072274670004845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.421875,11.178385416666666,9.13359375,8.408203125,7.42724609375
8,microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 In a classroom, there are 12 boys and 8 girls. The","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",-0.03045124001801014,0.07142857142857142,0.18181818181818182,0.10256410256410255,0.0,0.0,0.0,0.07142857142857142,0.18181818181818182,0.10256410256410255,11.044270833333334,8.700334821428571,7.764453125,6.354213169642857,5.40576171875
9,microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,Samsum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,0.03840663656592369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.03125,10.946875,9.431919642857142,7.6470703125,6.399639423076923
