Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x_x,GradientBoosting_probability_x_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x_x,LogisticRegression_probability_x_x_x,LogisticRegression_status,RandomForest_prediction_x_x_x,RandomForest_probability_x_x_x,RandomForest_status,GradientBoosting_prediction_y_x_x,GradientBoosting_probability_y_x_x,GradientBoosting_label_x_x,LogisticRegression_prediction_y_x_x,LogisticRegression_probability_y_x_x,LogisticRegression_label_x_x,RandomForest_prediction_y_x_x,RandomForest_probability_y_x_x,RandomForest_label_x_x,GradientBoosting_prediction_x_y_x,GradientBoosting_probability_x_y_x,GradientBoosting_label_y_x,GradientBoosting_label_y.1_x,LogisticRegression_prediction_x_y_x,LogisticRegression_probability_x_y_x,LogisticRegression_label_y_x,LogisticRegression_label_y.1_x,RandomForest_prediction_x_y_x,RandomForest_probability_x_y_x,RandomForest_label_y_x,RandomForest_label_y.1_x,GradientBoosting_prediction_y_y_x,GradientBoosting_probability_y_y_x,GradientBoosting_label_y.2_x,GradientBoosting_label_y.3_x,LogisticRegression_prediction_y_y_x,LogisticRegression_probability_y_y_x,LogisticRegression_label_y.2_x,LogisticRegression_label_y.3_x,RandomForest_prediction_y_y_x,RandomForest_probability_y_y_x,RandomForest_label_y.2_x,RandomForest_label_y.3_x,GradientBoosting_prediction_x,GradientBoosting_probability_x,LogisticRegression_prediction_x,LogisticRegression_probability_x,RandomForest_prediction_x,RandomForest_probability_x,GradientBoosting_prediction_x_x_y,GradientBoosting_probability_x_x_y,GradientBoosting_label,LogisticRegression_prediction_x_x_y,LogisticRegression_probability_x_x_y,LogisticRegression_label,RandomForest_prediction_x_x_y,RandomForest_probability_x_x_y,RandomForest_label,GradientBoosting_prediction_y_x_y,GradientBoosting_probability_y_x_y,GradientBoosting_label_x_y,LogisticRegression_prediction_y_x_y,LogisticRegression_probability_y_x_y,LogisticRegression_label_x_y,RandomForest_prediction_y_x_y,RandomForest_probability_y_x_y,RandomForest_label_x_y,GradientBoosting_prediction_x_y_y,GradientBoosting_probability_x_y_y,GradientBoosting_label_y_y,GradientBoosting_label_y.1_y,LogisticRegression_prediction_x_y_y,LogisticRegression_probability_x_y_y,LogisticRegression_label_y_y,LogisticRegression_label_y.1_y,RandomForest_prediction_x_y_y,RandomForest_probability_x_y_y,RandomForest_label_y_y,RandomForest_label_y.1_y,GradientBoosting_prediction_y_y_y,GradientBoosting_probability_y_y_y,GradientBoosting_label_y.2_y,GradientBoosting_label_y.3_y,LogisticRegression_prediction_y_y_y,LogisticRegression_probability_y_y_y,LogisticRegression_label_y.2_y,LogisticRegression_label_y.3_y,RandomForest_prediction_y_y_y,RandomForest_probability_y_y_y,RandomForest_label_y.2_y,RandomForest_label_y.3_y,GradientBoosting_prediction_y,GradientBoosting_probability_y,LogisticRegression_prediction_y,LogisticRegression_probability_y,RandomForest_prediction_y,RandomForest_probability_y
EleutherAI/gpt-neo-125m,Summarize the following text: ,CNN-DailyMail, Curle's comments come after the Cumbrians were relegated from League One last season and have just,"Carlisle slumped to a 3-1 defeat away at Accrington Stanley .
The team's poor performance prompted a scathing assessment from manager Keith Curle who suggested some of his squad were not fit for purpose .
Carlisle are without a win in five games in League Two and just two places above the relegation zone .
The Cumbrians were relegated from League One last season and are at a serious risk of dropping out of the Football League entirely this term .","{'Min_10.0% Prob': 8.539438300662571, 'Min_20.0% Prob': 7.5572383933597145, 'Min_30.0% Prob': 6.76544765189842, 'Min_40.0% Prob': 6.1087835099962025, 'Min_50.0% Prob': 5.542899136957915}",0.6036083698272705,"{'rouge1': Score(precision=0.16455696202531644, recall=0.7647058823529411, fmeasure=0.2708333333333333), 'rouge2': Score(precision=0.11538461538461539, recall=0.5625, fmeasure=0.19148936170212766), 'rougeL': Score(precision=0.13924050632911392, recall=0.6470588235294118, fmeasure=0.22916666666666669)}",356,1.0,0.7382864119307969,Contaminated,0.0,0.2879838661704585,Clean,1.0,0.6292822047233813,Contaminated,1.0,0.7382864119307969,Likely Contaminated,0.0,0.2879838661704585,Not Contaminated,1.0,0.6292822047233813,Likely Contaminated,1.0,0.7382864119307969,Likely Contaminated,Likely Contaminated,0.0,0.2879838661704585,Not Contaminated,Not Contaminated,1.0,0.6292822047233813,Likely Contaminated,Likely Contaminated,1.0,0.7382864119307969,Likely Contaminated,Likely Contaminated,0.0,0.2879838661704585,Not Contaminated,Not Contaminated,1.0,0.6292822047233813,Likely Contaminated,Likely Contaminated,1.0,0.7382864119307969,0.0,0.2879838661704585,1.0,0.6292822047233813,1.0,0.7382864119307969,Likely Contaminated,0.0,0.2879838661704585,Not Contaminated,1.0,0.6292822047233813,Likely Contaminated,1.0,0.7382864119307969,Likely Contaminated,0.0,0.2879838661704585,Not Contaminated,1.0,0.6292822047233813,Likely Contaminated,1.0,0.7382864119307969,Likely Contaminated,Likely Contaminated,0.0,0.2879838661704585,Not Contaminated,Not Contaminated,1.0,0.6292822047233813,Likely Contaminated,Likely Contaminated,1.0,0.7382864119307969,Likely Contaminated,Likely Contaminated,0.0,0.2879838661704585,Not Contaminated,Not Contaminated,1.0,0.6292822047233813,Likely Contaminated,Likely Contaminated,1.0,0.7382864119307969,0.0,0.2879838661704585,1.0,0.6292822047233813
EleutherAI/gpt-neo-125m,Summarize the following text: ,CNN-DailyMail,,"TSA received more than 30,000 claims of missing valuables between 2010-2014 .
Most of the missing valuables were packed in checked luggage .
Miami-Dade police set up hidden cameras as part of sting .","{'Min_10.0% Prob': 10.356616497039795, 'Min_20.0% Prob': 9.624476008945042, 'Min_30.0% Prob': 8.856654439653669, 'Min_40.0% Prob': 8.013214694129097, 'Min_50.0% Prob': 7.087586755337923}",0.0741752460598945,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",196,1.0,0.6705950316641428,Contaminated,1.0,0.6739046277188737,Contaminated,1.0,0.6191028138528136,Contaminated,1.0,0.6705950316641428,Likely Contaminated,1.0,0.6739046277188737,Likely Contaminated,1.0,0.6191028138528136,Likely Contaminated,1.0,0.8388862084065575,Likely Contaminated,Likely Contaminated,1.0,0.6269261794717803,Likely Contaminated,Likely Contaminated,1.0,0.90362688006438,Likely Contaminated,Likely Contaminated,1.0,0.8388862084065575,Likely Contaminated,Likely Contaminated,1.0,0.6269261794717803,Likely Contaminated,Likely Contaminated,1.0,0.90362688006438,Likely Contaminated,Likely Contaminated,1.0,0.6705950316641428,1.0,0.6739046277188737,1.0,0.6191028138528136,1.0,0.8388862084065575,Likely Contaminated,1.0,0.6269261794717803,Likely Contaminated,1.0,0.90362688006438,Likely Contaminated,1.0,0.8388862084065575,Likely Contaminated,1.0,0.6269261794717803,Likely Contaminated,1.0,0.90362688006438,Likely Contaminated,1.0,0.7068646668009507,Likely Contaminated,Likely Contaminated,1.0,0.747978703676669,Likely Contaminated,Likely Contaminated,1.0,0.849516283739425,Likely Contaminated,Likely Contaminated,1.0,0.7068646668009507,Likely Contaminated,Likely Contaminated,1.0,0.747978703676669,Likely Contaminated,Likely Contaminated,1.0,0.849516283739425,Likely Contaminated,Likely Contaminated,1.0,0.6705950316641428,1.0,0.6739046277188737,1.0,0.6191028138528136
EleutherAI/gpt-neo-125m,Summarize the following text: ,CNN-DailyMail, Police say Linda Watson was last seen by a friend who'd dropped her off following a church function.,"Pima County Sheriffs say David Watson, 46, killed his ex Linda Watson while they fought over custody of their daughter in 2000 .
Three years later, police say Watson murdered his ex mother-in-law in a drive-by shooting at the very home where Linda Watson first vanished .
Marilyn Cox had been fighting for visitation rights over her granddaughter - she was gunned down alongside her neighbor Renee Farnsworth in 2003 .","{'Min_10.0% Prob': 11.048599362373352, 'Min_20.0% Prob': 9.5328647108639, 'Min_30.0% Prob': 8.292744214718159, 'Min_40.0% Prob': 7.442450817893533, 'Min_50.0% Prob': 6.662628062935763}",0.6368029713630676,"{'rouge1': Score(precision=0.11428571428571428, recall=0.42105263157894735, fmeasure=0.17977528089887637), 'rouge2': Score(precision=0.028985507246376812, recall=0.1111111111111111, fmeasure=0.04597701149425288), 'rougeL': Score(precision=0.08571428571428572, recall=0.3157894736842105, fmeasure=0.1348314606741573)}",344,1.0,0.8388862084065575,Contaminated,1.0,0.6269261794717803,Contaminated,1.0,0.90362688006438,Contaminated,1.0,0.8388862084065575,Likely Contaminated,1.0,0.6269261794717803,Likely Contaminated,1.0,0.90362688006438,Likely Contaminated,1.0,0.7068646668009507,Likely Contaminated,Likely Contaminated,1.0,0.747978703676669,Likely Contaminated,Likely Contaminated,1.0,0.849516283739425,Likely Contaminated,Likely Contaminated,1.0,0.7068646668009507,Likely Contaminated,Likely Contaminated,1.0,0.747978703676669,Likely Contaminated,Likely Contaminated,1.0,0.849516283739425,Likely Contaminated,Likely Contaminated,1.0,0.8388862084065575,1.0,0.6269261794717803,1.0,0.90362688006438,1.0,0.7068646668009507,Likely Contaminated,1.0,0.747978703676669,Likely Contaminated,1.0,0.849516283739425,Likely Contaminated,1.0,0.7068646668009507,Likely Contaminated,1.0,0.747978703676669,Likely Contaminated,1.0,0.849516283739425,Likely Contaminated,1.0,0.7513144993896769,Likely Contaminated,Likely Contaminated,1.0,0.7106983003554584,Likely Contaminated,Likely Contaminated,1.0,0.8046667617513203,Likely Contaminated,Likely Contaminated,1.0,0.7513144993896769,Likely Contaminated,Likely Contaminated,1.0,0.7106983003554584,Likely Contaminated,Likely Contaminated,1.0,0.8046667617513203,Likely Contaminated,Likely Contaminated,1.0,0.8388862084065575,1.0,0.6269261794717803,1.0,0.9036268800643801
EleutherAI/gpt-neo-125m,Summarize the following text: ,CNN-DailyMail, and his conversion rate and minutes per goal ratio have worsened as the graphic below shows. Raheem,"Raheem Sterling has revealed he is not ready to sign a new Liverpool deal .
The Reds wideman has struggled to repeat last season's impressive form .
The 20-year-old Liverpool star has managed just six goals this  season .
READ: Sterling insists he is not a 'money-grabbing 20-year-old'
Sterling: What he said about contract talks... and what he meant .
CLICK HERE for the latest Liverpool news .","{'Min_10.0% Prob': 10.230419158935547, 'Min_20.0% Prob': 8.292931506508275, 'Min_30.0% Prob': 7.230633497238159, 'Min_40.0% Prob': 6.326212324594197, 'Min_50.0% Prob': 5.616769020756085}",0.3895067274570465,"{'rouge1': Score(precision=0.057971014492753624, recall=0.23529411764705882, fmeasure=0.0930232558139535), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.028985507246376812, recall=0.11764705882352941, fmeasure=0.04651162790697675)}",326,1.0,0.7068646668009507,Contaminated,1.0,0.747978703676669,Contaminated,1.0,0.849516283739425,Contaminated,1.0,0.7068646668009507,Likely Contaminated,1.0,0.747978703676669,Likely Contaminated,1.0,0.849516283739425,Likely Contaminated,1.0,0.7513144993896769,Likely Contaminated,Likely Contaminated,1.0,0.7106983003554584,Likely Contaminated,Likely Contaminated,1.0,0.8046667617513203,Likely Contaminated,Likely Contaminated,1.0,0.7513144993896769,Likely Contaminated,Likely Contaminated,1.0,0.7106983003554584,Likely Contaminated,Likely Contaminated,1.0,0.8046667617513203,Likely Contaminated,Likely Contaminated,1.0,0.7068646668009507,1.0,0.747978703676669,1.0,0.849516283739425,1.0,0.7513144993896769,Likely Contaminated,1.0,0.7106983003554584,Likely Contaminated,1.0,0.8046667617513203,Likely Contaminated,1.0,0.7513144993896769,Likely Contaminated,1.0,0.7106983003554584,Likely Contaminated,1.0,0.8046667617513203,Likely Contaminated,1.0,0.9727756464726542,Likely Contaminated,Likely Contaminated,1.0,0.8018115491000061,Likely Contaminated,Likely Contaminated,1.0,0.9770424436674436,Likely Contaminated,Likely Contaminated,1.0,0.9727756464726542,Likely Contaminated,Likely Contaminated,1.0,0.8018115491000061,Likely Contaminated,Likely Contaminated,1.0,0.9770424436674436,Likely Contaminated,Likely Contaminated,1.0,0.7068646668009507,1.0,0.747978703676669,1.0,0.849516283739425
EleutherAI/gpt-neo-125m,Summarize the following text: ,CNN-DailyMail,,"Survivor Jeff Bauman stresses ""we will never replace the lives that were lost""
A man who was at the finish line is glad Dzhokhar Tsarnaev is now a ""convicted killer""
""Justice has been served today,"" says a once wounded police officer .","{'Min_10.0% Prob': 9.818726348876954, 'Min_20.0% Prob': 8.962564164941961, 'Min_30.0% Prob': 8.142613232135773, 'Min_40.0% Prob': 7.323107459328392, 'Min_50.0% Prob': 6.556216776371002}",0.1329278647899627,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",232,1.0,0.9420162864073796,Contaminated,1.0,0.8014282635880345,Contaminated,1.0,0.942298382173382,Contaminated,1.0,0.9420162864073796,Likely Contaminated,1.0,0.8014282635880345,Likely Contaminated,1.0,0.942298382173382,Likely Contaminated,1.0,0.9199158785738945,Likely Contaminated,Likely Contaminated,1.0,0.6931957375905028,Likely Contaminated,Likely Contaminated,1.0,0.8932411171344998,Likely Contaminated,Likely Contaminated,1.0,0.9199158785738945,Likely Contaminated,Likely Contaminated,1.0,0.6931957375905028,Likely Contaminated,Likely Contaminated,1.0,0.8932411171344998,Likely Contaminated,Likely Contaminated,1.0,0.9420162864073796,1.0,0.8014282635880345,1.0,0.942298382173382,1.0,0.9199158785738945,Likely Contaminated,1.0,0.6931957375905028,Likely Contaminated,1.0,0.8932411171344998,Likely Contaminated,1.0,0.9199158785738945,Likely Contaminated,1.0,0.6931957375905028,Likely Contaminated,1.0,0.8932411171344998,Likely Contaminated,1.0,0.781992275997866,Likely Contaminated,Likely Contaminated,1.0,0.64930385845899,Likely Contaminated,Likely Contaminated,1.0,0.7338755362284775,Likely Contaminated,Likely Contaminated,1.0,0.781992275997866,Likely Contaminated,Likely Contaminated,1.0,0.64930385845899,Likely Contaminated,Likely Contaminated,1.0,0.7338755362284775,Likely Contaminated,Likely Contaminated,1.0,0.9420162864073797,1.0,0.8014282635880345,1.0,0.942298382173382
EleutherAI/gpt-neo-125m,Summarize the following text: ,CNN-DailyMail,"

The actress said she was ‘very proud’ of her grandmother’s diagnosis","Carey Mulligan's grandmother suffers from Alzheimer's disease .
Margaret Booth has struggled to recognise her grandchild for eight years .
Mulligan, 29, has urged for greater awareness of the illness in society .","{'Min_10.0% Prob': 10.717835187911987, 'Min_20.0% Prob': 9.169729351997375, 'Min_30.0% Prob': 7.9737611917349005, 'Min_40.0% Prob': 7.175324383903952, 'Min_50.0% Prob': 6.335365642200816}",0.5370045304298401,"{'rouge1': Score(precision=0.15625, recall=0.4166666666666667, fmeasure=0.22727272727272727), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0625, recall=0.16666666666666666, fmeasure=0.09090909090909091)}",168,1.0,0.7513144993896769,Contaminated,1.0,0.7106983003554584,Contaminated,1.0,0.8046667617513203,Contaminated,1.0,0.7513144993896769,Likely Contaminated,1.0,0.7106983003554584,Likely Contaminated,1.0,0.8046667617513203,Likely Contaminated,1.0,0.9727756464726542,Likely Contaminated,Likely Contaminated,1.0,0.8018115491000061,Likely Contaminated,Likely Contaminated,1.0,0.9770424436674436,Likely Contaminated,Likely Contaminated,1.0,0.9727756464726542,Likely Contaminated,Likely Contaminated,1.0,0.8018115491000061,Likely Contaminated,Likely Contaminated,1.0,0.9770424436674436,Likely Contaminated,Likely Contaminated,1.0,0.7513144993896769,1.0,0.7106983003554584,1.0,0.8046667617513203,1.0,0.9727756464726542,Likely Contaminated,1.0,0.8018115491000061,Likely Contaminated,1.0,0.9770424436674436,Likely Contaminated,1.0,0.9727756464726542,Likely Contaminated,1.0,0.8018115491000061,Likely Contaminated,1.0,0.9770424436674436,Likely Contaminated,1.0,0.8138579639319578,Likely Contaminated,Likely Contaminated,1.0,0.6232816576853439,Likely Contaminated,Likely Contaminated,1.0,0.8933167769730269,Likely Contaminated,Likely Contaminated,1.0,0.8138579639319578,Likely Contaminated,Likely Contaminated,1.0,0.6232816576853439,Likely Contaminated,Likely Contaminated,1.0,0.8933167769730269,Likely Contaminated,Likely Contaminated,1.0,0.7513144993896769,1.0,0.7106983003554584,1.0,0.8046667617513203
EleutherAI/gpt-neo-125m,Summarize the following text: ,CNN-DailyMail, The pair are now hoping to sell the bear on the auction site and put the money towards a deposit,"Leah Rogers, 20, and Ryan Flanaghan, 22, bought bear in Bude, Cornwall .
They realised it was one of 100 1st edition Princess Diana Di Beanie Babies .
Range created in 1997 to raise money for Princess Of Wales Memorial Trust .
Couple listed bear for £20,000 on eBay and hope to raise money for house deposit .","{'Min_10.0% Prob': 12.616384778703962, 'Min_20.0% Prob': 10.873456382751465, 'Min_30.0% Prob': 9.92887897076814, 'Min_40.0% Prob': 9.207588322957356, 'Min_50.0% Prob': 8.336469549881784}",0.5848490595817566,"{'rouge1': Score(precision=0.12727272727272726, recall=0.35, fmeasure=0.18666666666666665), 'rouge2': Score(precision=0.018518518518518517, recall=0.05263157894736842, fmeasure=0.0273972602739726), 'rougeL': Score(precision=0.10909090909090909, recall=0.3, fmeasure=0.16)}",243,1.0,0.9199158785738945,Contaminated,1.0,0.6931957375905028,Contaminated,1.0,0.8932411171344998,Contaminated,1.0,0.9199158785738945,Likely Contaminated,1.0,0.6931957375905028,Likely Contaminated,1.0,0.8932411171344998,Likely Contaminated,1.0,0.781992275997866,Likely Contaminated,Likely Contaminated,1.0,0.64930385845899,Likely Contaminated,Likely Contaminated,1.0,0.7338755362284775,Likely Contaminated,Likely Contaminated,1.0,0.781992275997866,Likely Contaminated,Likely Contaminated,1.0,0.64930385845899,Likely Contaminated,Likely Contaminated,1.0,0.7338755362284775,Likely Contaminated,Likely Contaminated,1.0,0.9199158785738945,1.0,0.6931957375905028,1.0,0.8932411171344998,1.0,0.781992275997866,Likely Contaminated,1.0,0.64930385845899,Likely Contaminated,1.0,0.7338755362284775,Likely Contaminated,1.0,0.781992275997866,Likely Contaminated,1.0,0.64930385845899,Likely Contaminated,1.0,0.7338755362284775,Likely Contaminated,1.0,0.8472031178709921,Likely Contaminated,Likely Contaminated,1.0,0.6561877384764374,Likely Contaminated,Likely Contaminated,1.0,0.8483778896756842,Likely Contaminated,Likely Contaminated,1.0,0.8472031178709921,Likely Contaminated,Likely Contaminated,1.0,0.6561877384764374,Likely Contaminated,Likely Contaminated,1.0,0.8483778896756842,Likely Contaminated,Likely Contaminated,1.0,0.9199158785738943,1.0,0.6931957375905028,1.0,0.8932411171344998
EleutherAI/gpt-neo-125m,Summarize the following text: ,CNN-DailyMail, The company said it would be working with the station to ensure that the video footage is not being shown,"Whalen family's dinner at KFC was interrupted by sounds of a sex scene .
Gerald and April were with two young children at the Oklahoma restaurant .
Scene from risque show Outlander was broadcast on KFC's television set .","{'Min_10.0% Prob': 12.204115152359009, 'Min_20.0% Prob': 10.390338791741264, 'Min_30.0% Prob': 9.212552956172399, 'Min_40.0% Prob': 8.284991615696958, 'Min_50.0% Prob': 7.491689682006836}",0.1707924455404281,"{'rouge1': Score(precision=0.05263157894736842, recall=0.1, fmeasure=0.06896551724137931), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05263157894736842, recall=0.1, fmeasure=0.06896551724137931)}",165,1.0,0.9727756464726542,Contaminated,1.0,0.8018115491000061,Contaminated,1.0,0.9770424436674436,Contaminated,1.0,0.9727756464726542,Likely Contaminated,1.0,0.8018115491000061,Likely Contaminated,1.0,0.9770424436674436,Likely Contaminated,1.0,0.8138579639319578,Likely Contaminated,Likely Contaminated,1.0,0.6232816576853439,Likely Contaminated,Likely Contaminated,1.0,0.8933167769730269,Likely Contaminated,Likely Contaminated,1.0,0.8138579639319578,Likely Contaminated,Likely Contaminated,1.0,0.6232816576853439,Likely Contaminated,Likely Contaminated,1.0,0.8933167769730269,Likely Contaminated,Likely Contaminated,1.0,0.9727756464726542,1.0,0.8018115491000061,1.0,0.9770424436674436,1.0,0.8138579639319578,Likely Contaminated,1.0,0.6232816576853439,Likely Contaminated,1.0,0.8933167769730269,Likely Contaminated,1.0,0.8138579639319578,Likely Contaminated,1.0,0.6232816576853439,Likely Contaminated,1.0,0.8933167769730269,Likely Contaminated,1.0,0.9487610538530354,Likely Contaminated,Likely Contaminated,1.0,0.6276951626898492,Likely Contaminated,Likely Contaminated,1.0,0.8950968875803241,Likely Contaminated,Likely Contaminated,1.0,0.9487610538530354,Likely Contaminated,Likely Contaminated,1.0,0.6276951626898492,Likely Contaminated,Likely Contaminated,1.0,0.8950968875803241,Likely Contaminated,Likely Contaminated,1.0,0.9727756464726542,1.0,0.8018115491000061,1.0,0.9770424436674436
EleutherAI/gpt-neo-125m,Summarize the following text: ,CNN-DailyMail,,"Chief tells CNN that deadly force was warranted .
Chief: If suspect ended up shooting people, police would be answering different questions .
Incident happened February 19 in town near Tucson, Arizona .","{'Min_10.0% Prob': 10.991671244303385, 'Min_20.0% Prob': 10.223393304007393, 'Min_30.0% Prob': 9.4189115004106, 'Min_40.0% Prob': 8.693801116943359, 'Min_50.0% Prob': 8.006193688041286}",0.0113417617976665,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",199,1.0,0.9110838647644136,Contaminated,1.0,0.7056920909573778,Contaminated,1.0,0.8756492535242532,Contaminated,1.0,0.9110838647644136,Likely Contaminated,1.0,0.7056920909573778,Likely Contaminated,1.0,0.8756492535242532,Likely Contaminated,1.0,0.8978732668899433,Likely Contaminated,Likely Contaminated,1.0,0.6887214579042418,Likely Contaminated,Likely Contaminated,1.0,0.9163967844713944,Likely Contaminated,Likely Contaminated,1.0,0.8978732668899433,Likely Contaminated,Likely Contaminated,1.0,0.6887214579042418,Likely Contaminated,Likely Contaminated,1.0,0.9163967844713944,Likely Contaminated,Likely Contaminated,1.0,0.9110838647644136,1.0,0.7056920909573778,1.0,0.8756492535242532,1.0,0.8978732668899433,Likely Contaminated,1.0,0.6887214579042418,Likely Contaminated,1.0,0.9163967844713944,Likely Contaminated,1.0,0.8978732668899433,Likely Contaminated,1.0,0.6887214579042418,Likely Contaminated,1.0,0.9163967844713944,Likely Contaminated,1.0,0.9452356457393716,Likely Contaminated,Likely Contaminated,1.0,0.7336803015360496,Likely Contaminated,Likely Contaminated,1.0,0.9468943647662637,Likely Contaminated,Likely Contaminated,1.0,0.9452356457393716,Likely Contaminated,Likely Contaminated,1.0,0.7336803015360496,Likely Contaminated,Likely Contaminated,1.0,0.9468943647662637,Likely Contaminated,Likely Contaminated,1.0,0.9110838647644137,1.0,0.7056920909573778,1.0,0.8756492535242532
EleutherAI/gpt-neo-125m,Summarize the following text: ,CNN-DailyMail, The Miami Herald reported that the video was released after the shooting. The Miami Herald reported that the video,"Lavall Hall, 25, was suffering psychotic episode when fatally shot by police .
His mother had called police to help take mentally ill son to hospital .
Police claim he attacked them with 'deadly force' using broom handle .
But footage from scene  appears to show Hall running away from cops .","{'Min_10.0% Prob': 11.81456216176351, 'Min_20.0% Prob': 9.993417382240295, 'Min_30.0% Prob': 9.075517151090834, 'Min_40.0% Prob': 8.295514643192291, 'Min_50.0% Prob': 7.390431411804691}",0.2829327583312988,"{'rouge1': Score(precision=0.020833333333333332, recall=0.05263157894736842, fmeasure=0.02985074626865672), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.020833333333333332, recall=0.05263157894736842, fmeasure=0.02985074626865672)}",232,1.0,0.781992275997866,Contaminated,1.0,0.64930385845899,Contaminated,1.0,0.7338755362284775,Contaminated,1.0,0.781992275997866,Likely Contaminated,1.0,0.64930385845899,Likely Contaminated,1.0,0.7338755362284775,Likely Contaminated,1.0,0.8472031178709921,Likely Contaminated,Likely Contaminated,1.0,0.6561877384764374,Likely Contaminated,Likely Contaminated,1.0,0.8483778896756842,Likely Contaminated,Likely Contaminated,1.0,0.8472031178709921,Likely Contaminated,Likely Contaminated,1.0,0.6561877384764374,Likely Contaminated,Likely Contaminated,1.0,0.8483778896756842,Likely Contaminated,Likely Contaminated,1.0,0.781992275997866,1.0,0.64930385845899,1.0,0.7338755362284775,1.0,0.8472031178709921,Likely Contaminated,1.0,0.6561877384764374,Likely Contaminated,1.0,0.8483778896756842,Likely Contaminated,1.0,0.8472031178709921,Likely Contaminated,1.0,0.6561877384764374,Likely Contaminated,1.0,0.8483778896756842,Likely Contaminated,1.0,0.9085246161476944,Likely Contaminated,Likely Contaminated,1.0,0.7461014784783631,Likely Contaminated,Likely Contaminated,1.0,0.9325054650520288,Likely Contaminated,Likely Contaminated,1.0,0.9085246161476944,Likely Contaminated,Likely Contaminated,1.0,0.7461014784783631,Likely Contaminated,Likely Contaminated,1.0,0.9325054650520288,Likely Contaminated,Likely Contaminated,1.0,0.781992275997866,1.0,0.64930385845899,1.0,0.7338755362284775
