"Model","Task_Prefix","Dataset_Name","Model_Responses","Gold_Labels","Min_K_Responses","cos_sim_scores","rouge_sim_scores","levenshtein_distance"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","XSum","
The Taliban have not yet commented on the security deals.","A new police chief has been installed in the Afghan capital, Kabul, ending days of confusion over the fate of incumbent Gen Zahir Zahir.","{'Min_10.0% Prob': 11.174479166666666, 'Min_20.0% Prob': 8.783854166666666, 'Min_30.0% Prob': 7.02109375, 'Min_40.0% Prob': 6.076923076923077, 'Min_50.0% Prob': 5.038258272058823}","0.1676211357116699","{'rouge1': Score(precision=0.08333333333333333, recall=0.2, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08333333333333333, recall=0.2, fmeasure=0.11764705882352941)}","103"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","XSum","
Sainsbury's said it was continuing to make progress despite a drop in like-","Sainsbury's has reported a second consecutive quarter of falling sales, blaming falling food prices.","{'Min_10.0% Prob': 9.30859375, 'Min_20.0% Prob': 8.009765625, 'Min_30.0% Prob': 7.257161458333333, 'Min_40.0% Prob': 6.7568359375, 'Min_50.0% Prob': 5.97958984375}","0.5457629561424255","{'rouge1': Score(precision=0.2, recall=0.21428571428571427, fmeasure=0.20689655172413796), 'rouge2': Score(precision=0.07142857142857142, recall=0.07692307692307693, fmeasure=0.07407407407407408), 'rougeL': Score(precision=0.2, recall=0.21428571428571427, fmeasure=0.20689655172413796)}","64"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","XSum","","A 10-year deal by Natural Resources Wales to sell timber to a sawmill was made without other companies being allowed to bid, the Auditor General for Wales has said.","{'Min_10.0% Prob': 9.30859375, 'Min_20.0% Prob': 8.116071428571429, 'Min_30.0% Prob': 6.986505681818182, 'Min_40.0% Prob': 5.988802083333334, 'Min_50.0% Prob': 5.133069490131579}","0.0614901185035705","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","161"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","XSum","","Manchester United goalkeeper Victor Valdes has had his loan spell with Belgian club Standard Liege terminated.","{'Min_10.0% Prob': 10.123046875, 'Min_20.0% Prob': 8.1591796875, 'Min_30.0% Prob': 6.785807291666667, 'Min_40.0% Prob': 5.728759765625, 'Min_50.0% Prob': 4.92080078125}","-0.0039011696353554","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","107"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","XSum","
The family has hired a private pathologist to conduct an independent autopsy, which found","A grand jury has decided not to indict anyone in the case of Sandra Bland, who died in a Texas jail earlier this year.","{'Min_10.0% Prob': 9.4609375, 'Min_20.0% Prob': 7.05859375, 'Min_30.0% Prob': 5.506184895833333, 'Min_40.0% Prob': 4.346272786458333, 'Min_50.0% Prob': 3.5559895833333335}","0.2015541940927505","{'rouge1': Score(precision=0.16666666666666666, recall=0.2857142857142857, fmeasure=0.2105263157894737), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08333333333333333, recall=0.14285714285714285, fmeasure=0.10526315789473685)}","85"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","XSum","
The company has also set up a hotline for employees to report overwork and other issues.","One of Japan's leading advertising agencies has been charged over the death of an employee from overwork.","{'Min_10.0% Prob': 11.63671875, 'Min_20.0% Prob': 9.5166015625, 'Min_30.0% Prob': 8.069010416666666, 'Min_40.0% Prob': 6.469184027777778, 'Min_50.0% Prob': 5.584161931818182}","0.3759999871253967","{'rouge1': Score(precision=0.2222222222222222, recall=0.25, fmeasure=0.23529411764705882), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.1875, fmeasure=0.17647058823529413)}","80"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","XSum","""I'll never forget the time we spent together and the laughs we shared. Rest in","British driver Justin Wilson has died after being struck by flying debris and suffering a serious head injury in Sunday's Pocono IndyCar 500 race.","{'Min_10.0% Prob': 12.151041666666666, 'Min_20.0% Prob': 8.96484375, 'Min_30.0% Prob': 7.560546875, 'Min_40.0% Prob': 6.001534598214286, 'Min_50.0% Prob': 5.110265395220588}","0.0324837937951087","{'rouge1': Score(precision=0.08, recall=0.125, fmeasure=0.09756097560975609), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08, recall=0.125, fmeasure=0.09756097560975609)}","113"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","XSum","

The Welsh Assembly has announced plans to tighten up its expenses system after a BBC","The former chairman of a Westminster standards watchdog has called for an investigation into societies that receive public money in rent from MLAs for their constituency offices.","{'Min_10.0% Prob': 15.2109375, 'Min_20.0% Prob': 12.194010416666666, 'Min_30.0% Prob': 9.458203125, 'Min_40.0% Prob': 8.074669471153847, 'Min_50.0% Prob': 6.7575827205882355}","0.3320360779762268","{'rouge1': Score(precision=0.1111111111111111, recall=0.2, fmeasure=0.14285714285714285), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07407407407407407, recall=0.13333333333333333, fmeasure=0.09523809523809523)}","135"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","XSum","","Two suspected jihadists have been killed in an anti-terror operation in eastern Belgium, officials say.","{'Min_10.0% Prob': 10.72265625, 'Min_20.0% Prob': 6.858203125, 'Min_30.0% Prob': 5.944475446428571, 'Min_40.0% Prob': 4.95625, 'Min_50.0% Prob': 4.195048014322917}","-0.0275932438671588","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","100"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","XSum","
The man from Darlington was arrested at the scene and has been released on bail.","A 63-year-old man will appear in court following the collapse of a pedestrian bridge on the M20 during last August's bank holiday weekend.","{'Min_10.0% Prob': 8.9921875, 'Min_20.0% Prob': 7.219308035714286, 'Min_30.0% Prob': 6.377130681818182, 'Min_40.0% Prob': 5.698177083333333, 'Min_50.0% Prob': 4.85400390625}","0.23920239508152","{'rouge1': Score(precision=0.15384615384615385, recall=0.26666666666666666, fmeasure=0.1951219512195122), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11538461538461539, recall=0.2, fmeasure=0.14634146341463417)}","99"
