,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"Assistant
Hannah is trying to get Betty's phone number but cannot find it. Amanda suggests",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,0.8164936900138855,68.0,0.5,0.5,0.5,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.375,0.375,0.375,22.296875,16.989583333333332,13.01640625,11.00390625,9.578125
1,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,".imgur
.user
It seems there was an error in your message as it contains an image",Eric and Rob are going to watch a stand-up on youtube.,-0.056609246879816,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4609375,14.04296875,12.403645833333334,11.5234375,10.060546875
2,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"Assistant
Lenny asks Bob for help in choosing between three pairs of trousers from photos she sent",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,0.705687403678894,105.0,0.13793103448275862,0.23529411764705882,0.17391304347826086,0.0,0.0,0.0,0.10344827586206896,0.17647058823529413,0.13043478260869565,11.419270833333334,9.627604166666666,8.465234375,7.524038461538462,6.557444852941177
3,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,".imgur.com
.imgur.com
.user
It seems like there might have been an issue",Emma will be home soon and she will let Will know.,0.0519045740365982,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65625,11.3359375,10.486979166666666,9.48828125,8.57734375
4,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"iston
The conversation between Ollie and Jane revolves around their plans to meet up for lunch",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,0.6888493299484253,167.0,0.13953488372093023,0.375,0.20338983050847456,0.047619047619047616,0.13333333333333333,0.07017543859649122,0.11627906976744186,0.3125,0.16949152542372883,14.5515625,11.782670454545455,10.274169921875,8.908735795454545,8.021918402777779
5,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"Assistant
The group is discussing the keys to an apartment. Hilary has the keys and suggests",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,0.6566899418830872,241.0,0.17543859649122806,0.625,0.273972602739726,0.07142857142857142,0.26666666666666666,0.11267605633802816,0.12280701754385964,0.4375,0.19178082191780824,11.74609375,9.543569711538462,8.0873046875,7.099826388888889,6.308134191176471
6,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"Assistant
Max asks Payton for recommendations on clothing websites to shop from. Payton shares several",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,0.788496196269989,135.0,0.2,0.4,0.26666666666666666,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,15.6484375,11.603794642857142,10.001953125,8.786272321428571,8.074448529411764
7,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"férence
user
Summarize the following text:

Rita: I'm so",Rita and Tina are bored at work and have still 4 hours left.,0.2950634062290191,54.0,0.07692307692307693,0.09090909090909091,0.08333333333333334,0.0,0.0,0.0,0.07692307692307693,0.09090909090909091,0.08333333333333334,12.5,10.432291666666666,9.8017578125,8.445963541666666,7.727678571428571
8,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,".imgur.com
.imgur.com
Beatrice and Leo are discussing whether Leo should buy a scarf","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",0.8233042359352112,104.0,0.21428571428571427,0.4,0.27906976744186046,0.037037037037037035,0.07142857142857142,0.04878048780487805,0.17857142857142858,0.3333333333333333,0.23255813953488372,14.5859375,12.4609375,10.45529513888889,8.804361979166666,7.166015625
9,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum," conversation can be summarized as follows:

Ivan invites Eric to his brother's wedding, but Eric",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,0.8581151366233826,77.0,0.3333333333333333,0.4375,0.37837837837837834,0.1,0.13333333333333333,0.1142857142857143,0.23809523809523808,0.3125,0.27027027027027023,11.328125,10.30859375,9.172526041666666,8.0478515625,6.83984375
10,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"psilon
epsilon
Wanda suggests organizing a party and wants Gina's help in making a",Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,0.5736550688743591,103.0,0.2692307692307692,0.4666666666666667,0.3414634146341463,0.04,0.07142857142857142,0.05128205128205128,0.19230769230769232,0.3333333333333333,0.2439024390243902,12.028645833333334,11.15625,10.36545138888889,9.1201171875,8.084635416666666
11,Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum, Martin won two cinema tickets in an online contest organized by a movie magazine on Facebook. He only,Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,0.5812898874282837,87.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.038461538461538464,0.058823529411764705,0.04651162790697675,0.18518518518518517,0.2777777777777778,0.22222222222222224,13.903645833333334,11.604166666666666,10.49001736111111,9.530598958333334,8.68125
