,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,lmsys/vicuna-7b-v1.5,Summarize the following text: ,CNN-DailyMail,"The site, at Fancesa limestone quarry in Sucre (shown on the map), attracts 120,000 tourists every year, which some believe is a threat to the site, as well as a nearby cement works that uses limestone.","There are 462 trails of 5,055 prints on a vertical limestone slab in Bolivia .
Rock was pushed upwards by tectonic movement, standing 390 feet tall .
Site's thought to be the largest dinosaur trackway in the world and includes footprints made by numerous species and baby dinosaurs such as T.Rex .
Attraction is prone to landslide and is said to be under threat from humans .",0.3178689181804657,273.0,0.18181818181818182,0.32432432432432434,0.23300970873786406,0.0,0.0,0.0,0.09090909090909091,0.16216216216216217,0.11650485436893203,10.83359375,9.188244047619047,8.00634765625,7.075102306547619,6.254827535377358
4,lmsys/vicuna-7b-v1.5,Summarize the following text: ,CNN-DailyMail,"Futch, a National Guardsman, was surprised to find out he was meeting with the President.","Lance Futch, 26, was shocked to discover that his 'informal meeting' with a federal official to discuss jobs for veterans was actually with President Barack Obama .
'If I had known it was my Commander-in-Chief, I definitely would have been wearing my blues,' said Futch, referring to his National Guard dress uniform .
Futch works for Utah solar energy company Vivant Solar and discussed with the President whether the field offered stable career paths for veterans .",0.6358788013458252,391.0,0.13157894736842105,0.6666666666666666,0.21978021978021978,0.04,0.21428571428571427,0.06741573033707865,0.09210526315789473,0.4666666666666667,0.15384615384615383,12.028409090909092,9.938387784090908,8.478101325757576,7.20849609375,6.076590401785714
5,lmsys/vicuna-7b-v1.5,Summarize the following text: ,CNN-DailyMail,"The defeat left Rangers third in the table, behind Hibs and Queen of the South, with a game in hand. The Ibrox side must now regroup and focus on Sunday’s visit of Raith Rovers, with the knowledge that they need to win to keep their promotion hopes alive.","Rangers were beaten by Queen of the South in the Scottish Championship .
Derek Lyle opened the scoring for the hosts following a first-half corner .
Lee Wallace own goal doubled the Doonhammers' lead after the break .
Gavin Reilly completed the upset that dents Gers' hopes of second place .",0.6409497857093811,219.0,0.2916666666666667,0.2857142857142857,0.288659793814433,0.0851063829787234,0.08333333333333333,0.08421052631578947,0.20833333333333334,0.20408163265306123,0.2061855670103093,10.6484375,8.698102678571429,7.28515625,6.302397629310345,5.2263381545608105
9,lmsys/vicuna-7b-v1.5,Summarize the following text: ,CNN-DailyMail,"The court heard that after booking the holiday, Graham had found a new girlfriend, Elizabeth Todd, 51, with whom he had become infatuated. It was around the day of her intended departure on June 17 that Ms Brown was murdered. Jurors were told that Graham wanted Miss Brown’s money so he could ‘live a lifestyle that involved owning and driving powerful motor cars’ and buy a property for Todd to live in. During his murder trial at Newcastle Crown Court, the jury heard Ms Brown had been besotted with 'greedy liar' Graham (pictured in long leather jacket) The trial judge said Ms Brown, whose body has never been found, may have been dumped in a deep pit or mine shaft by former JCB digger driver Graham. Her killer was badly in debt and was struggling to fund the finance agreements on his beloved sports cars. He plundered Ms Brown's bank account to fund his flashy lifestyle, making her elderly parents, Eric and Olive Brown, believe their daughter was still alive by sending them letters and cards in her name from Europe. Graham also ingratiated himself with her parents after her death and started systematically stripping their estate and assets. He used his visits to gain access to Ms Brown's security codes and also sold her Porsche and other cars. When her parents died, he plundered their bank accounts - defrauding a total of more than £500,000 from them. The couple died in 2007 and 2008 respectively, believing their only daughter was working in a bank in Switzerland. After they died building society staff eventually became suspicious that withdrawals were still being made in 2010 and police were called. They believed they were just investigating a fraud but it soon became apparent Ms Brown was missing and a murder inquiry was launched. He hadn't worked since an accident in 1997 when a JCB bucket hit him on the back and he was awarded £40,000 compensation. Graham was jailed for life with a minimum term of 32 years for killing Ms Brown. Northumbria Police subsequently launched an investigation under the Proceeds of Crime Act into his finances. Graham stole more than £800,000 from Ms Brown to fund his love of supercars and a lavish lifestyle. The court heard with his fleet of flash sports cars and his large imposing house on a hill, pony-tailed and goatee-bearded Graham thought of himself as a charmer and cut a distinctive figure in his long leather coat. He liked to play the big man, pretending to be related to murdered Viv Graham who was shot and killed in an unsolved apparent gangland hit in 1993, in an effort to enhance his reputation as a force to be reckoned with. In fact he was a failed former policeman in the Met, having quit after a week in the 1970s, apparently homesick for his native North East. The court heard Graham's main motivation in life was always money and he had a penchant for women over whom he could exert power and control.","Donald Graham, 62, murdered his wealthy heiress lover for her money .
Property developer Janet Brown's body has never been found .
He was jailed for life for the murder which was motivated by greed .
Graham stole more than £800,000 from Ms Brown  to fund his love of supercars and a lavish lifestyle - but has been ordered to pay back just £1 .",0.6617923974990845,2568.0,0.7903225806451613,0.09533073929961089,0.17013888888888887,0.4426229508196721,0.05263157894736842,0.0940766550522648,0.5967741935483871,0.07198443579766536,0.1284722222222222,9.307421875,7.98671875,6.652734375,5.6286376953125,4.751533203125
11,lmsys/vicuna-7b-v1.5,Summarize the following text: ,CNN-DailyMail,"Ford, who has been in and out of the England team, was instrumental in Bath's attacking play and his kicking game kept the visitors penned in their own half for long periods.","Bath scored tries through Leroy Houston, Jonathan Joseph, Matt Banahan, Sam Burgess and Semesi Rokoduguni .
Fly half George Ford added 18 points from the boot .
The Exiles replied with tries from Tom Court and Blair Cowan .",0.5084121823310852,162.0,0.19444444444444445,0.21212121212121213,0.20289855072463767,0.0,0.0,0.0,0.08333333333333333,0.09090909090909091,0.08695652173913043,9.725260416666666,7.620768229166667,6.459635416666667,5.591796875,4.8509765625
12,lmsys/vicuna-7b-v1.5,Summarize the following text: ,CNN-DailyMail,"The Lilly Pulitzer for Target collection sold out online and in stores shortly after debuting on Sunday morning, leaving shoppers disappointed and angry. The collection, which featured 250 pieces of clothing, accessories and homeware at a lower price point than the designer's usual offerings, attracted thousands of enthusiastic shoppers who logged online early and waited in long lines outside Target stores before they opened. While all of the popular products have now officially sold out, more than 30,000 pieces have been listed for resale on eBay, many at higher price points, prompting angry customers who were unable to walk away with Lilly Pulitzer merchandise to boycott the second-hand sellers.","The designer diffusion line went on sale Sunday morning but was almost completely sold out online before noon, with stores selling out minutes after opening .
Re-sellers initially tried to unload merchandise at inflated prices including $799 for a $150 hammock; now thousands of pieces are available on eBay with smaller markups .
Outraged customers have formed a social media campaign to boycott the merchandise from second-hand sellers .",0.4330854117870331,479.0,0.5147058823529411,0.3125,0.3888888888888889,0.14925373134328357,0.09009009009009009,0.11235955056179775,0.29411764705882354,0.17857142857142858,0.22222222222222224,10.9859375,9.3048828125,7.851184475806452,6.711461509146342,5.724327674278846
16,lmsys/vicuna-7b-v1.5,Summarize the following text: ,CNN-DailyMail,Sunderland have won only one of their last six home games in the Premier League.,"Seb Larsson banned for Sunderland following yellow card vs Newcastle .
Jack Rodwell will return for Black Cats following hamstring injury .
Joe Ledley to be given chance by Crystal Palace to prove fitness .
Mile Jedinak set to be included for Eagles following four-match ban .",0.2913733422756195,223.0,0.022727272727272728,0.06666666666666667,0.03389830508474576,0.0,0.0,0.0,0.022727272727272728,0.06666666666666667,0.03389830508474576,11.209821428571429,8.679966517857142,7.268601190476191,6.255589978448276,5.578450520833333
17,lmsys/vicuna-7b-v1.5,Summarize the following text: ,CNN-DailyMail,Potchen is now staying with his cousins and working as a welder. He said he is grateful for the support and is trying to make the most of his second chance.,"David Potchen, 53, robbed bank and sat on curb waiting for police in June .
He had served 12 and a half years starting in 2000 before parole .
Potchen lost job and housing before spending night in the woods .
Judge gave him conversion charge and will drop recent robbery charge if he stays out of trouble for a year .
He is employed as welder and estranged cousins are taking care of him .",0.5249308347702026,291.0,0.19718309859154928,0.45161290322580644,0.2745098039215686,0.014285714285714285,0.03333333333333333,0.02,0.11267605633802817,0.25806451612903225,0.1568627450980392,12.03046875,9.700334821428571,8.00006103515625,6.885928199404762,5.876547759433962
19,lmsys/vicuna-7b-v1.5,Summarize the following text: ,CNN-DailyMail,"'He was a nice neighbor. He was a very compassionate person. He didn't have any hatred in his heart toward anyone,' said neighbor Jim Clark.","Clarence David Moore, 66, was convicted of larceny of more than $200 in North Carolina in 1967 and was sentenced to up to seven years in prison .
While working with a road crew in the Asheville area, he escaped and was recaptured in 1971 .
He escaped again the following year and was on the lam until he was apprehended in Texas in 1975 .
His third escape from a Henderson County prison was August 6, 1976 .
Moore's neighbors knew him by an alias and described his as ' a good neighbor,' and also 'very compassioante'
The sheriff said he thought Moore's poor health factored into his decision to turn himself in.
As Moore arrived at the jail, he thanked the sheriff for his kindness .",0.1936965733766555,579.0,0.10483870967741936,0.5,0.17333333333333334,0.008130081300813009,0.04,0.013513513513513514,0.07258064516129033,0.34615384615384615,0.12000000000000001,8.842516447368421,6.842247596153846,5.744703389830509,4.9043719951923075,4.195033482142857
20,lmsys/vicuna-7b-v1.5,Summarize the following text: ,CNN-DailyMail,"The Duchess of Cambridge's wardrobe during her second pregnancy was a mix of high street and designer labels, with her go-to brands including Hobbs, Seraphine and ASOS. While Mulberry coats and Alexander McQueen gowns did make an appearance, much of her pregnancy wardrobe came from the High Street. Hobbs was the most prominent brand in her wardrobe, with the Duchess wearing a £160 shirt dress from the label in January and a delicate polka dot velvet top by the brand for a Place2Be reception at Kensington Palace in November. The Duchess is also a huge fan of Séraphine, a small Anglo-French label that has grown from a small shop in 2002 to the A-list favourite it is today. She has repeatedly chosen the brand during both her pregnancies, and on a visit to ITV drama Downton Abbey, she wore a chic cream coat from high street maternity label, JoJo Maman Bébé.","Has appeared in Hobbs and Seraphine during her pregnancy .
Some of her outfits have cost as little as £35, among them ASOS dress .
Recycled Dalmatian print Hobbs coat from her last pregnancy .",0.6513516902923584,723.0,0.5625,0.11464968152866242,0.1904761904761905,0.12903225806451613,0.02564102564102564,0.04278074866310161,0.3125,0.06369426751592357,0.10582010582010581,13.0734375,10.854758522727273,8.987132352941176,7.719769021739131,6.731950431034483
