Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x_x,GradientBoosting_probability_x_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x_x,LogisticRegression_probability_x_x_x,LogisticRegression_status,RandomForest_prediction_x_x_x,RandomForest_probability_x_x_x,RandomForest_status,GradientBoosting_prediction_y_x_x,GradientBoosting_probability_y_x_x,GradientBoosting_label_x_x,LogisticRegression_prediction_y_x_x,LogisticRegression_probability_y_x_x,LogisticRegression_label_x_x,RandomForest_prediction_y_x_x,RandomForest_probability_y_x_x,RandomForest_label_x_x,GradientBoosting_prediction_x_y_x,GradientBoosting_probability_x_y_x,GradientBoosting_label_y_x,GradientBoosting_label_y.1_x,LogisticRegression_prediction_x_y_x,LogisticRegression_probability_x_y_x,LogisticRegression_label_y_x,LogisticRegression_label_y.1_x,RandomForest_prediction_x_y_x,RandomForest_probability_x_y_x,RandomForest_label_y_x,RandomForest_label_y.1_x,GradientBoosting_prediction_y_y_x,GradientBoosting_probability_y_y_x,GradientBoosting_label_y.2_x,GradientBoosting_label_y.3_x,LogisticRegression_prediction_y_y_x,LogisticRegression_probability_y_y_x,LogisticRegression_label_y.2_x,LogisticRegression_label_y.3_x,RandomForest_prediction_y_y_x,RandomForest_probability_y_y_x,RandomForest_label_y.2_x,RandomForest_label_y.3_x,GradientBoosting_prediction_x,GradientBoosting_probability_x,LogisticRegression_prediction_x,LogisticRegression_probability_x,RandomForest_prediction_x,RandomForest_probability_x,GradientBoosting_prediction_x_x_y,GradientBoosting_probability_x_x_y,GradientBoosting_label,LogisticRegression_prediction_x_x_y,LogisticRegression_probability_x_x_y,LogisticRegression_label,RandomForest_prediction_x_x_y,RandomForest_probability_x_x_y,RandomForest_label,GradientBoosting_prediction_y_x_y,GradientBoosting_probability_y_x_y,GradientBoosting_label_x_y,LogisticRegression_prediction_y_x_y,LogisticRegression_probability_y_x_y,LogisticRegression_label_x_y,RandomForest_prediction_y_x_y,RandomForest_probability_y_x_y,RandomForest_label_x_y,GradientBoosting_prediction_x_y_y,GradientBoosting_probability_x_y_y,GradientBoosting_label_y_y,GradientBoosting_label_y.1_y,LogisticRegression_prediction_x_y_y,LogisticRegression_probability_x_y_y,LogisticRegression_label_y_y,LogisticRegression_label_y.1_y,RandomForest_prediction_x_y_y,RandomForest_probability_x_y_y,RandomForest_label_y_y,RandomForest_label_y.1_y,GradientBoosting_prediction_y_y_y,GradientBoosting_probability_y_y_y,GradientBoosting_label_y.2_y,GradientBoosting_label_y.3_y,LogisticRegression_prediction_y_y_y,LogisticRegression_probability_y_y_y,LogisticRegression_label_y.2_y,LogisticRegression_label_y.3_y,RandomForest_prediction_y_y_y,RandomForest_probability_y_y_y,RandomForest_label_y.2_y,RandomForest_label_y.3_y,GradientBoosting_prediction_y,GradientBoosting_probability_y,LogisticRegression_prediction_y,LogisticRegression_probability_y,RandomForest_prediction_y,RandomForest_probability_y
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Crews from Greater Manchester Fire and Rescue Service and West Yorkshire responded to a fire",About 50 firefighters tackled a large blaze at a five-storey disused mill in Greater Manchester.,"{'Min_10.0% Prob': 8.704730033874512, 'Min_20.0% Prob': 7.663631319999695, 'Min_30.0% Prob': 6.360290765762329, 'Min_40.0% Prob': 5.393184244632721, 'Min_50.0% Prob': 4.4286899675022475}",0.5497201681137085,"{'rouge1': Score(precision=0.1875, recall=0.1875, fmeasure=0.1875), 'rouge2': Score(precision=0.06666666666666667, recall=0.06666666666666667, fmeasure=0.06666666666666667), 'rougeL': Score(precision=0.125, recall=0.125, fmeasure=0.125)}",84,1,0.6503598508442313,Contaminated,1,0.5172182030555368,Contaminated,0,0.4569495890031881,Clean,1,0.6503598508442313,Likely Contaminated,1,0.5172182030555368,Likely Contaminated,0,0.4569495890031881,Not Contaminated,1,0.6503598508442313,Likely Contaminated,Likely Contaminated,1,0.5172182030555368,Likely Contaminated,Likely Contaminated,0,0.4569495890031881,Not Contaminated,Not Contaminated,1,0.6503598508442313,Likely Contaminated,Likely Contaminated,1,0.5172182030555368,Likely Contaminated,Likely Contaminated,0,0.4569495890031881,Not Contaminated,Not Contaminated,1,0.6503598508442313,1,0.5172182030555368,0,0.4569495890031881,1,0.6503598508442313,Likely Contaminated,1,0.5172182030555368,Likely Contaminated,0,0.4569495890031881,Not Contaminated,1,0.6503598508442313,Likely Contaminated,1,0.5172182030555368,Likely Contaminated,0,0.4569495890031881,Not Contaminated,1,0.6503598508442313,Likely Contaminated,Likely Contaminated,1,0.5172182030555368,Likely Contaminated,Likely Contaminated,0,0.4569495890031881,Not Contaminated,Not Contaminated,1,0.6503598508442313,Likely Contaminated,Likely Contaminated,1,0.5172182030555368,Likely Contaminated,Likely Contaminated,0,0.4569495890031881,Not Contaminated,Not Contaminated,1,0.6503598508442313,1,0.5172182030555368,0,0.4569495890031881
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Rojo, a Manchester United player, received a yellow card from referee Craig Paw","Manchester United defender Marcos Rojo is a ""clean player with an aggressive nature"", says manager Jose Mourinho.","{'Min_10.0% Prob': 8.135584831237793, 'Min_20.0% Prob': 6.6134387969970705, 'Min_30.0% Prob': 6.099293981279645, 'Min_40.0% Prob': 5.380974435806275, 'Min_50.0% Prob': 4.854270238142747}",0.5501291155815125,"{'rouge1': Score(precision=0.29411764705882354, recall=0.35714285714285715, fmeasure=0.3225806451612903), 'rouge2': Score(precision=0.0625, recall=0.07692307692307693, fmeasure=0.06896551724137931), 'rougeL': Score(precision=0.17647058823529413, recall=0.21428571428571427, fmeasure=0.1935483870967742)}",84,0,0.3160176743728348,Clean,1,0.6257274559507408,Contaminated,0,0.2621411974121949,Clean,0,0.3160176743728348,Not Contaminated,1,0.6257274559507408,Likely Contaminated,0,0.2621411974121949,Not Contaminated,0,0.3160176743728348,Not Contaminated,Not Contaminated,1,0.6257274559507408,Likely Contaminated,Likely Contaminated,0,0.2621411974121949,Not Contaminated,Not Contaminated,0,0.3160176743728348,Not Contaminated,Not Contaminated,1,0.6257274559507408,Likely Contaminated,Likely Contaminated,0,0.2621411974121949,Not Contaminated,Not Contaminated,0,0.3160176743728348,1,0.6257274559507408,0,0.2621411974121949,0,0.3160176743728348,Not Contaminated,1,0.6257274559507408,Likely Contaminated,0,0.2621411974121949,Not Contaminated,0,0.3160176743728348,Not Contaminated,1,0.6257274559507408,Likely Contaminated,0,0.2621411974121949,Not Contaminated,0,0.3160176743728348,Not Contaminated,Not Contaminated,1,0.6257274559507408,Likely Contaminated,Likely Contaminated,0,0.2621411974121949,Not Contaminated,Not Contaminated,0,0.3160176743728348,Not Contaminated,Not Contaminated,1,0.6257274559507408,Likely Contaminated,Likely Contaminated,0,0.2621411974121949,Not Contaminated,Not Contaminated,0,0.31601767437283484,1,0.6257274559507408,0,0.2621411974121949
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Zaha, an Abidjan-born footballer, has expressed his desire","Ivory Coast are confident Wilfried Zaha will soon be part of their team, but new England boss Gareth Southgate has not given up on the forward.","{'Min_10.0% Prob': 9.938983281453451, 'Min_20.0% Prob': 8.073104858398438, 'Min_30.0% Prob': 6.9978742599487305, 'Min_40.0% Prob': 5.786902299294105, 'Min_50.0% Prob': 5.094893760979176}",0.4922162890434265,"{'rouge1': Score(precision=0.07692307692307693, recall=0.2, fmeasure=0.1111111111111111), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.2, fmeasure=0.1111111111111111)}",113,1,0.5887097442300794,Contaminated,1,0.5998350397576045,Contaminated,0,0.2927848711374845,Clean,1,0.5887097442300794,Likely Contaminated,1,0.5998350397576045,Likely Contaminated,0,0.2927848711374845,Not Contaminated,1,0.5887097442300794,Likely Contaminated,Likely Contaminated,1,0.5998350397576045,Likely Contaminated,Likely Contaminated,0,0.2927848711374845,Not Contaminated,Not Contaminated,1,0.5887097442300794,Likely Contaminated,Likely Contaminated,1,0.5998350397576045,Likely Contaminated,Likely Contaminated,0,0.2927848711374845,Not Contaminated,Not Contaminated,1,0.5887097442300794,1,0.5998350397576045,0,0.2927848711374845,1,0.5887097442300794,Likely Contaminated,1,0.5998350397576045,Likely Contaminated,0,0.2927848711374845,Not Contaminated,1,0.5887097442300794,Likely Contaminated,1,0.5998350397576045,Likely Contaminated,0,0.2927848711374845,Not Contaminated,1,0.5887097442300794,Likely Contaminated,Likely Contaminated,1,0.5998350397576045,Likely Contaminated,Likely Contaminated,0,0.2927848711374845,Not Contaminated,Not Contaminated,1,0.5887097442300794,Likely Contaminated,Likely Contaminated,1,0.5998350397576045,Likely Contaminated,Likely Contaminated,0,0.2927848711374845,Not Contaminated,Not Contaminated,1,0.5887097442300794,1,0.5998350397576045,0,0.2927848711374845
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Pamela Geller and Robert Spencer, prominent anti-Islamization campaigners",Home Secretary Theresa May is considering banning two US bloggers from entering the UK to speak at an English Defence League rally.,"{'Min_10.0% Prob': 9.682260036468506, 'Min_20.0% Prob': 8.436246752738953, 'Min_30.0% Prob': 6.872757537024362, 'Min_40.0% Prob': 6.133159769905938, 'Min_50.0% Prob': 5.159713665644328}",0.141494020819664,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",99,1,0.5196640845739371,Contaminated,0,0.4999088928213939,Clean,0,0.3505315731739879,Clean,1,0.5196640845739371,Likely Contaminated,0,0.4999088928213939,Not Contaminated,0,0.3505315731739879,Not Contaminated,1,0.5196640845739371,Likely Contaminated,Likely Contaminated,0,0.4999088928213939,Not Contaminated,Not Contaminated,0,0.3505315731739879,Not Contaminated,Not Contaminated,1,0.5196640845739371,Likely Contaminated,Likely Contaminated,0,0.4999088928213939,Not Contaminated,Not Contaminated,0,0.3505315731739879,Not Contaminated,Not Contaminated,1,0.5196640845739371,0,0.4999088928213939,0,0.3505315731739879,1,0.5196640845739371,Likely Contaminated,0,0.4999088928213939,Not Contaminated,0,0.3505315731739879,Not Contaminated,1,0.5196640845739371,Likely Contaminated,0,0.4999088928213939,Not Contaminated,0,0.3505315731739879,Not Contaminated,1,0.5196640845739371,Likely Contaminated,Likely Contaminated,0,0.4999088928213939,Not Contaminated,Not Contaminated,0,0.3505315731739879,Not Contaminated,Not Contaminated,1,0.5196640845739371,Likely Contaminated,Likely Contaminated,0,0.4999088928213939,Not Contaminated,Not Contaminated,0,0.3505315731739879,Not Contaminated,Not Contaminated,1,0.5196640845739371,0,0.49990889282139395,0,0.3505315731739879
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
A new health book titled ""New Healthway"" aimed at 11 and","Meat-eaters ""easily cheat, lie, forget promises and commit sex crimes"", according to a controversial school textbook available in India.","{'Min_10.0% Prob': 9.75595235824585, 'Min_20.0% Prob': 9.079376029968262, 'Min_30.0% Prob': 8.423891007900238, 'Min_40.0% Prob': 7.672625975175337, 'Min_50.0% Prob': 6.862764665058681}",0.0540338195860385,"{'rouge1': Score(precision=0.1, recall=0.16666666666666666, fmeasure=0.125), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05, recall=0.08333333333333333, fmeasure=0.0625)}",108,1,0.5022622930912738,Contaminated,1,0.6961312894629219,Contaminated,0,0.3998288618236508,Clean,1,0.5022622930912738,Likely Contaminated,1,0.6961312894629219,Likely Contaminated,0,0.3998288618236508,Not Contaminated,1,0.5022622930912738,Likely Contaminated,Likely Contaminated,1,0.6961312894629219,Likely Contaminated,Likely Contaminated,0,0.3998288618236508,Not Contaminated,Not Contaminated,1,0.5022622930912738,Likely Contaminated,Likely Contaminated,1,0.6961312894629219,Likely Contaminated,Likely Contaminated,0,0.3998288618236508,Not Contaminated,Not Contaminated,1,0.5022622930912738,1,0.6961312894629219,0,0.3998288618236508,1,0.5022622930912738,Likely Contaminated,1,0.6961312894629219,Likely Contaminated,0,0.3998288618236508,Not Contaminated,1,0.5022622930912738,Likely Contaminated,1,0.6961312894629219,Likely Contaminated,0,0.3998288618236508,Not Contaminated,1,0.5022622930912738,Likely Contaminated,Likely Contaminated,1,0.6961312894629219,Likely Contaminated,Likely Contaminated,0,0.3998288618236508,Not Contaminated,Not Contaminated,1,0.5022622930912738,Likely Contaminated,Likely Contaminated,1,0.6961312894629219,Likely Contaminated,Likely Contaminated,0,0.3998288618236508,Not Contaminated,Not Contaminated,1,0.5022622930912738,1,0.6961312894629219,0,0.39982886182365085
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
In the Africa Cup of Nations quarter-final match between Egypt and Morocco, Morocco",Egypt knocked out Morocco to reach the Africa Cup of Nations semi-finals as substitute Mahmoud Abdel-Moneim prodded home a dramatic 87th-minute winner.,"{'Min_10.0% Prob': 11.126527150472006, 'Min_20.0% Prob': 7.71149172101702, 'Min_30.0% Prob': 6.321181730790571, 'Min_40.0% Prob': 5.399069309234619, 'Min_50.0% Prob': 4.592526962882594}",0.540171205997467,"{'rouge1': Score(precision=0.32, recall=0.5333333333333333, fmeasure=0.4), 'rouge2': Score(precision=0.16666666666666666, recall=0.2857142857142857, fmeasure=0.2105263157894737), 'rougeL': Score(precision=0.24, recall=0.4, fmeasure=0.3)}",105,0,0.3715214018679306,Clean,0,0.3940872964490005,Clean,0,0.2223412231836636,Clean,0,0.3715214018679306,Not Contaminated,0,0.3940872964490005,Not Contaminated,0,0.2223412231836636,Not Contaminated,0,0.3715214018679306,Not Contaminated,Not Contaminated,0,0.3940872964490005,Not Contaminated,Not Contaminated,0,0.2223412231836636,Not Contaminated,Not Contaminated,0,0.3715214018679306,Not Contaminated,Not Contaminated,0,0.3940872964490005,Not Contaminated,Not Contaminated,0,0.2223412231836636,Not Contaminated,Not Contaminated,0,0.3715214018679306,0,0.3940872964490005,0,0.2223412231836636,0,0.3715214018679306,Not Contaminated,0,0.3940872964490005,Not Contaminated,0,0.2223412231836636,Not Contaminated,0,0.3715214018679306,Not Contaminated,0,0.3940872964490005,Not Contaminated,0,0.2223412231836636,Not Contaminated,0,0.3715214018679306,Not Contaminated,Not Contaminated,0,0.3940872964490005,Not Contaminated,Not Contaminated,0,0.2223412231836636,Not Contaminated,Not Contaminated,0,0.3715214018679306,Not Contaminated,Not Contaminated,0,0.3940872964490005,Not Contaminated,Not Contaminated,0,0.2223412231836636,Not Contaminated,Not Contaminated,0,0.3715214018679306,0,0.39408729644900053,0,0.2223412231836636
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Michelle O'Neill, the Irish ambassador to China, hosted a departmental breakfast",The agriculture minister is to return to China next month as attempts to access markets there continue.,"{'Min_10.0% Prob': 12.87479019165039, 'Min_20.0% Prob': 10.194341023763021, 'Min_30.0% Prob': 8.815588665008544, 'Min_40.0% Prob': 8.134217341740927, 'Min_50.0% Prob': 7.0954268872737885}",0.2969862818717956,"{'rouge1': Score(precision=0.17647058823529413, recall=0.23076923076923078, fmeasure=0.20000000000000004), 'rouge2': Score(precision=0.0625, recall=0.08333333333333333, fmeasure=0.07142857142857144), 'rougeL': Score(precision=0.17647058823529413, recall=0.23076923076923078, fmeasure=0.20000000000000004)}",82,0,0.3355943153297537,Clean,1,0.678618565482915,Contaminated,0,0.3069978966896536,Clean,0,0.3355943153297537,Not Contaminated,1,0.678618565482915,Likely Contaminated,0,0.3069978966896536,Not Contaminated,0,0.3355943153297537,Not Contaminated,Not Contaminated,1,0.678618565482915,Likely Contaminated,Likely Contaminated,0,0.3069978966896536,Not Contaminated,Not Contaminated,0,0.3355943153297537,Not Contaminated,Not Contaminated,1,0.678618565482915,Likely Contaminated,Likely Contaminated,0,0.3069978966896536,Not Contaminated,Not Contaminated,0,0.3355943153297537,1,0.678618565482915,0,0.3069978966896536,0,0.3355943153297537,Not Contaminated,1,0.678618565482915,Likely Contaminated,0,0.3069978966896536,Not Contaminated,0,0.3355943153297537,Not Contaminated,1,0.678618565482915,Likely Contaminated,0,0.3069978966896536,Not Contaminated,0,0.3355943153297537,Not Contaminated,Not Contaminated,1,0.678618565482915,Likely Contaminated,Likely Contaminated,0,0.3069978966896536,Not Contaminated,Not Contaminated,0,0.3355943153297537,Not Contaminated,Not Contaminated,1,0.678618565482915,Likely Contaminated,Likely Contaminated,0,0.3069978966896536,Not Contaminated,Not Contaminated,0,0.33559431532975376,1,0.678618565482915,0,0.30699789668965366
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Ian Coulter, a former partner of Tughans, was questioned under",National Crime Agency (NCA) detectives investigating the sale of the National Asset Management Agency's (Nama) Northern Ireland loans portfolio have interviewed a former managing partner of a Belfast legal firm.,"{'Min_10.0% Prob': 9.746592203776041, 'Min_20.0% Prob': 8.21796921321324, 'Min_30.0% Prob': 7.295215476642955, 'Min_40.0% Prob': 6.707258445875985, 'Min_50.0% Prob': 5.872687644428677}",0.2743491530418396,"{'rouge1': Score(precision=0.12903225806451613, recall=0.36363636363636365, fmeasure=0.19047619047619047), 'rouge2': Score(precision=0.06666666666666667, recall=0.2, fmeasure=0.1), 'rougeL': Score(precision=0.12903225806451613, recall=0.36363636363636365, fmeasure=0.19047619047619047)}",172,0,0.4815499561155595,Clean,0,0.4918172200620488,Clean,1,0.5947434579309578,Contaminated,0,0.4815499561155595,Not Contaminated,0,0.4918172200620488,Not Contaminated,1,0.5947434579309578,Likely Contaminated,0,0.4815499561155595,Not Contaminated,Not Contaminated,0,0.4918172200620488,Not Contaminated,Not Contaminated,1,0.5947434579309578,Likely Contaminated,Likely Contaminated,0,0.4815499561155595,Not Contaminated,Not Contaminated,0,0.4918172200620488,Not Contaminated,Not Contaminated,1,0.5947434579309578,Likely Contaminated,Likely Contaminated,0,0.4815499561155595,0,0.4918172200620488,1,0.5947434579309578,0,0.4815499561155595,Not Contaminated,0,0.4918172200620488,Not Contaminated,1,0.5947434579309578,Likely Contaminated,0,0.4815499561155595,Not Contaminated,0,0.4918172200620488,Not Contaminated,1,0.5947434579309578,Likely Contaminated,0,0.4815499561155595,Not Contaminated,Not Contaminated,0,0.4918172200620488,Not Contaminated,Not Contaminated,1,0.5947434579309578,Likely Contaminated,Likely Contaminated,0,0.4815499561155595,Not Contaminated,Not Contaminated,0,0.4918172200620488,Not Contaminated,Not Contaminated,1,0.5947434579309578,Likely Contaminated,Likely Contaminated,0,0.48154995611555956,0,0.49181722006204887,1,0.5947434579309578
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
Eileen Maguire, a 69-year-old woman","A County Tyrone car dealer, whose driving caused the death of a pensioner, has been given a community service order and a three-year driving ban.","{'Min_10.0% Prob': 10.486884117126465, 'Min_20.0% Prob': 8.79471468925476, 'Min_30.0% Prob': 7.156380865308973, 'Min_40.0% Prob': 6.08846640586853, 'Min_50.0% Prob': 5.259047245979309}",0.0267472490668296,"{'rouge1': Score(precision=0.07692307692307693, recall=0.25, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.25, fmeasure=0.11764705882352941)}",119,0,0.2026635345355459,Clean,1,0.5809908216119379,Contaminated,0,0.2435887983878195,Clean,0,0.2026635345355459,Not Contaminated,1,0.5809908216119379,Likely Contaminated,0,0.2435887983878195,Not Contaminated,0,0.2026635345355459,Not Contaminated,Not Contaminated,1,0.5809908216119379,Likely Contaminated,Likely Contaminated,0,0.2435887983878195,Not Contaminated,Not Contaminated,0,0.2026635345355459,Not Contaminated,Not Contaminated,1,0.5809908216119379,Likely Contaminated,Likely Contaminated,0,0.2435887983878195,Not Contaminated,Not Contaminated,0,0.2026635345355459,1,0.5809908216119379,0,0.2435887983878195,0,0.2026635345355459,Not Contaminated,1,0.5809908216119379,Likely Contaminated,0,0.2435887983878195,Not Contaminated,0,0.2026635345355459,Not Contaminated,1,0.5809908216119379,Likely Contaminated,0,0.2435887983878195,Not Contaminated,0,0.2026635345355459,Not Contaminated,Not Contaminated,1,0.5809908216119379,Likely Contaminated,Likely Contaminated,0,0.2435887983878195,Not Contaminated,Not Contaminated,0,0.2026635345355459,Not Contaminated,Not Contaminated,1,0.5809908216119379,Likely Contaminated,Likely Contaminated,0,0.2435887983878195,Not Contaminated,Not Contaminated,0,0.20266353453554597,1,0.5809908216119379,0,0.24358879838781952
HuggingFaceTB/SmolLM2-1.7B-Instruct,Summarize the following text: ,Xsum,"assistant
The Ceredigion Council is considering the closure of Bodlondeb in Pen","A council's proposal to shut a Ceredigion care home comes with ""no plan"" for care provision in the area, unions have said.","{'Min_10.0% Prob': 11.978371143341064, 'Min_20.0% Prob': 8.536658382415771, 'Min_30.0% Prob': 7.436227321624756, 'Min_40.0% Prob': 6.819599281657826, 'Min_50.0% Prob': 6.28959093775068}",0.2587032318115234,"{'rouge1': Score(precision=0.17391304347826086, recall=0.3333333333333333, fmeasure=0.22857142857142854), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08695652173913043, recall=0.16666666666666666, fmeasure=0.11428571428571427)}",86,0,0.3347018134571709,Clean,1,0.7184582534445425,Contaminated,0,0.2601686860733742,Clean,0,0.3347018134571709,Not Contaminated,1,0.7184582534445425,Likely Contaminated,0,0.2601686860733742,Not Contaminated,0,0.3347018134571709,Not Contaminated,Not Contaminated,1,0.7184582534445425,Likely Contaminated,Likely Contaminated,0,0.2601686860733742,Not Contaminated,Not Contaminated,0,0.3347018134571709,Not Contaminated,Not Contaminated,1,0.7184582534445425,Likely Contaminated,Likely Contaminated,0,0.2601686860733742,Not Contaminated,Not Contaminated,0,0.3347018134571709,1,0.7184582534445425,0,0.2601686860733742,0,0.3347018134571709,Not Contaminated,1,0.7184582534445425,Likely Contaminated,0,0.2601686860733742,Not Contaminated,0,0.3347018134571709,Not Contaminated,1,0.7184582534445425,Likely Contaminated,0,0.2601686860733742,Not Contaminated,0,0.3347018134571709,Not Contaminated,Not Contaminated,1,0.7184582534445425,Likely Contaminated,Likely Contaminated,0,0.2601686860733742,Not Contaminated,Not Contaminated,0,0.3347018134571709,Not Contaminated,Not Contaminated,1,0.7184582534445425,Likely Contaminated,Likely Contaminated,0,0.2601686860733742,Not Contaminated,Not Contaminated,0,0.3347018134571709,1,0.7184582534445425,0,0.26016868607337423
