Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores
microsoft/phi-4,Summarize the following text: ,CNN-DailyMail,"assistantAn Ohio middle school, Clermont Northeastern Middle School in Batavia, faced criticism","Sophie Thomas attends Clermont Northeastern Middle School in Batavia .
She wore a black shirt bearing word for school picture day back in March .
When students got photos this week, word was removed with Photoshop .
Administrators said they asked to remove word, a claim Thomas disputes .","{'Min_10.0% Prob': 10.7984375, 'Min_20.0% Prob': 9.231889204545455, 'Min_30.0% Prob': 8.390869140625, 'Min_40.0% Prob': 7.556285511363637, 'Min_50.0% Prob': 6.945891203703703}",0.5310439467430115,"{'rouge1': Score(precision=0.15555555555555556, recall=0.5833333333333334, fmeasure=0.2456140350877193), 'rouge2': Score(precision=0.11363636363636363, recall=0.45454545454545453, fmeasure=0.18181818181818182), 'rougeL': Score(precision=0.13333333333333333, recall=0.5, fmeasure=0.2105263157894737)}"
microsoft/phi-4,Summarize the following text: ,CNN-DailyMail,assistantThe 2015 Australian Fashion Report has criticized several Australian clothing brands for exploiting overseas workers,"Australian Fashion Report revealed the Australian-sold brands and companies that ignore the exploitation of their overseas workers .
Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were  some of the worst performers .
Etiko, Audrey Blue, Cotton On, H&M and Zara had some of the best scores .
75 per cent of companies don't know the source of all their fabrics and inputs .","{'Min_10.0% Prob': 10.61111111111111, 'Min_20.0% Prob': 8.577256944444445, 'Min_30.0% Prob': 7.223958333333333, 'Min_40.0% Prob': 6.346354166666667, 'Min_50.0% Prob': 5.580078125}",0.7361950278282166,"{'rouge1': Score(precision=0.11428571428571428, recall=0.5333333333333333, fmeasure=0.18823529411764706), 'rouge2': Score(precision=0.043478260869565216, recall=0.21428571428571427, fmeasure=0.07228915662650602), 'rougeL': Score(precision=0.11428571428571428, recall=0.5333333333333333, fmeasure=0.18823529411764706)}"
microsoft/phi-4,Summarize the following text: ,CNN-DailyMail,"assistantNigel Farage, the leader of UKIP, has been experiencing severe back and shoulder","Nigel Farage is considering quitting smoking because of 'terrible' back pain .
UKIP leader wasn't 'firing on all cylinders' at the start of election campaign .
Suffering from flare-up of spinal injury and been prescribed sleeping pills .","{'Min_10.0% Prob': 10.455078125, 'Min_20.0% Prob': 8.368489583333334, 'Min_30.0% Prob': 7.226004464285714, 'Min_40.0% Prob': 6.439144736842105, 'Min_50.0% Prob': 5.883870442708333}",0.5208524465560913,"{'rouge1': Score(precision=0.21621621621621623, recall=0.6153846153846154, fmeasure=0.32), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10810810810810811, recall=0.3076923076923077, fmeasure=0.16)}"
microsoft/phi-4,Summarize the following text: ,CNN-DailyMail,assistantThe text describes a series of realistic simulations conducted by American high schools to educate students about,"The Glasford school in Illinois hosted one of several simulations put on by the American Red Cross to educate students on drunk driving dangers .
The staged event on Thursday used student actors playing accident victims and used real rescue personnel responding to the scene .
In a graphic staged performance on Wednesday at Massapequa High School in Long Island there was a similar simulation .","{'Min_10.0% Prob': 10.46484375, 'Min_20.0% Prob': 8.619891826923077, 'Min_30.0% Prob': 7.674609375, 'Min_40.0% Prob': 7.008391203703703, 'Min_50.0% Prob': 6.368853400735294}",0.6168514490127563,"{'rouge1': Score(precision=0.15873015873015872, recall=0.5882352941176471, fmeasure=0.25), 'rouge2': Score(precision=0.04838709677419355, recall=0.1875, fmeasure=0.07692307692307691), 'rougeL': Score(precision=0.1111111111111111, recall=0.4117647058823529, fmeasure=0.17500000000000002)}"
microsoft/phi-4,Summarize the following text: ,CNN-DailyMail,"assistantIan Gibson, a renowned Texas-born hunter, was killed by a baby elephant in Zimbabwe","Ian Gibson, 55, was hunting in Zimbabwe for an American client .
He was taking a rest when he spotted the bull elephant in the Zambezi Valley .
Approached it to measure ivory, fired one shot then was crushed to death .
Funeral to be paid for by Dallas Safari Club, where he was a popular figure .","{'Min_10.0% Prob': 10.1484375, 'Min_20.0% Prob': 8.589242788461538, 'Min_30.0% Prob': 7.36328125, 'Min_40.0% Prob': 6.366060697115385, 'Min_50.0% Prob': 5.633285984848484}",0.7193395495414734,"{'rouge1': Score(precision=0.14814814814814814, recall=0.5333333333333333, fmeasure=0.2318840579710145), 'rouge2': Score(precision=0.03773584905660377, recall=0.14285714285714285, fmeasure=0.05970149253731343), 'rougeL': Score(precision=0.09259259259259259, recall=0.3333333333333333, fmeasure=0.14492753623188404)}"
microsoft/phi-4,Summarize the following text: ,CNN-DailyMail,"assistantAnthony Stokes, a 17-year-old who received a life-saving heart transplant two years","Anthony Stokes died on Tuesday after he crashed a stolen car into a pole while fleeing from the scene of an attempted burglary in Roswell, Georgia .
He had fired at an elderly woman after breaking into her home .
Less than two years ago, he was given a life-saving heart transplant .
He was initially denied the surgery because doctors said he had previously failed to take medication so would be 'non-compliant' with the treatment .
But they changed their minds following pressure from civil rights groups and the boy's family, who said he had been stereotyped as a troubled teen .
After the transplant, he said he was grateful for a second chance at life .","{'Min_10.0% Prob': 8.267728365384615, 'Min_20.0% Prob': 6.501201923076923, 'Min_30.0% Prob': 5.412109375, 'Min_40.0% Prob': 4.693727889150943, 'Min_50.0% Prob': 4.080034398320896}",0.6561073660850525,"{'rouge1': Score(precision=0.08695652173913043, recall=0.6666666666666666, fmeasure=0.15384615384615383), 'rouge2': Score(precision=0.043859649122807015, recall=0.35714285714285715, fmeasure=0.078125), 'rougeL': Score(precision=0.06956521739130435, recall=0.5333333333333333, fmeasure=0.12307692307692307)}"
microsoft/phi-4,Summarize the following text: ,CNN-DailyMail,"assistantWalter Smith, a former Rangers legend, has expressed support for Ally McCoist","Walter Smith believes Ally McCoist deserves another managerial job .
Ibrox legend believes McCoist still has something to offer in football .
McCoist is still being paid £14,000 a week while his notice period runs out .","{'Min_10.0% Prob': 8.923828125, 'Min_20.0% Prob': 7.356336805555555, 'Min_30.0% Prob': 6.553292410714286, 'Min_40.0% Prob': 6.0326891447368425, 'Min_50.0% Prob': 5.402099609375}",0.66487056016922,"{'rouge1': Score(precision=0.17142857142857143, recall=0.5, fmeasure=0.2553191489361702), 'rouge2': Score(precision=0.029411764705882353, recall=0.09090909090909091, fmeasure=0.04444444444444444), 'rougeL': Score(precision=0.11428571428571428, recall=0.3333333333333333, fmeasure=0.1702127659574468)}"
microsoft/phi-4,Summarize the following text: ,CNN-DailyMail,"assistantIn a 3-0 victory over Eibar, Real Madrid showcased their dominance","Real Madrid earn 3-0 La Liga victory against Eibar .
Cristiano Ronaldo gives Madrid the lead with first-half free kick .
Javier Hernandez doubles home side's lead with 31st minute header .
Jese completes 3-0 victory with brilliant strike in the closing stages .","{'Min_10.0% Prob': 8.1171875, 'Min_20.0% Prob': 6.603338068181818, 'Min_30.0% Prob': 5.7053079044117645, 'Min_40.0% Prob': 4.847146739130435, 'Min_50.0% Prob': 4.247609105603448}",0.7609112858772278,"{'rouge1': Score(precision=0.13636363636363635, recall=0.5, fmeasure=0.21428571428571427), 'rouge2': Score(precision=0.06976744186046512, recall=0.2727272727272727, fmeasure=0.11111111111111109), 'rougeL': Score(precision=0.11363636363636363, recall=0.4166666666666667, fmeasure=0.17857142857142858)}"
microsoft/phi-4,Summarize the following text: ,CNN-DailyMail,assistantThe text contrasts the selflessness and commitment of new Masters champion Jordan Spieth with the,"Shortly after being presented with his green jacket, new Masters champion Jordan Spieth gave 25 interviews over the course of 24 hours in New York .
Then, despite his fatigue, the 21-year-old flew to South Carolina to keep a promise and play in the Heritage tournament - his fourth event in a row .
By contrast, players on the European Tour have not shown the same sort of unwavering commitment to the sport .
Ian Poulter, Henrik Stenson and Sergio Garcia have decided not to play at the BMW PGA Championship being staged at Wentworth next month .","{'Min_10.0% Prob': 7.919034090909091, 'Min_20.0% Prob': 6.760298295454546, 'Min_30.0% Prob': 5.914636948529412, 'Min_40.0% Prob': 5.277170138888889, 'Min_50.0% Prob': 4.618129797149122}",0.5373952984809875,"{'rouge1': Score(precision=0.12631578947368421, recall=0.8, fmeasure=0.2181818181818182), 'rouge2': Score(precision=0.0425531914893617, recall=0.2857142857142857, fmeasure=0.07407407407407407), 'rougeL': Score(precision=0.06315789473684211, recall=0.4, fmeasure=0.1090909090909091)}"
microsoft/phi-4,Summarize the following text: ,CNN-DailyMail,"assistantLouis van Gaal, during a press conference, highlighted several challenges facing Manchester United ahead","Manchester United are missing four players in key positions ahead of the crucial Premier League game with title rivals Chelsea at Stamford Bridge .
Daley Blind, Michael Carrick, Phil Jones and Marcos Rojo are all out injured .
Wayne Rooney could be dropped deeper into midfield to compensate .
The decision to play Rooney in midfield has been an unpopular one before .","{'Min_10.0% Prob': 8.031901041666666, 'Min_20.0% Prob': 6.648137019230769, 'Min_30.0% Prob': 5.8201171875, 'Min_40.0% Prob': 5.061559606481482, 'Min_50.0% Prob': 4.485868566176471}",0.45563724637031555,"{'rouge1': Score(precision=0.05084745762711865, recall=0.21428571428571427, fmeasure=0.08219178082191782), 'rouge2': Score(precision=0.017241379310344827, recall=0.07692307692307693, fmeasure=0.028169014084507043), 'rougeL': Score(precision=0.05084745762711865, recall=0.21428571428571427, fmeasure=0.08219178082191782)}"
