Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Hannah and Amanda are trying to find Betty's number. Hannah asks Larry for",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 13.482682228088379, 'Min_20.0% Prob': 12.057446797688803, 'Min_30.0% Prob': 10.735015869140625, 'Min_40.0% Prob': 9.439702783312116, 'Min_50.0% Prob': 8.3394632074568}",0.836500883102417,"{'rouge1': Score(precision=0.4375, recall=0.4666666666666667, fmeasure=0.45161290322580644), 'rouge2': Score(precision=0.13333333333333333, recall=0.14285714285714285, fmeasure=0.1379310344827586), 'rougeL': Score(precision=0.3125, recall=0.3333333333333333, fmeasure=0.3225806451612903)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Eric: MACHINE!
Rob: That's so gr8!",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 13.637048721313477, 'Min_20.0% Prob': 11.725652694702148, 'Min_30.0% Prob': 10.690298080444336, 'Min_40.0% Prob': 9.28419542312622, 'Min_50.0% Prob': 8.692115374973842}",0.5075713992118835,"{'rouge1': Score(precision=0.16666666666666666, recall=0.25, fmeasure=0.2), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.25, fmeasure=0.2)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Lenny: Babe, can you help me with something?
Bob:",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 12.061342239379883, 'Min_20.0% Prob': 9.821581522623697, 'Min_30.0% Prob': 7.92300009727478, 'Min_40.0% Prob': 7.095255338228666, 'Min_50.0% Prob': 6.112211914623485}",0.43201911449432373,"{'rouge1': Score(precision=0.13793103448275862, recall=0.4, fmeasure=0.20512820512820515), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13793103448275862, recall=0.4, fmeasure=0.20512820512820515)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Will: Hey, babe, what do you want for dinner tonight?
",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 10.366525650024414, 'Min_20.0% Prob': 10.297766208648682, 'Min_30.0% Prob': 8.852741877237955, 'Min_40.0% Prob': 8.037952065467834, 'Min_50.0% Prob': 6.434497952461243}",0.287786066532135,"{'rouge1': Score(precision=0.09090909090909091, recall=0.09090909090909091, fmeasure=0.09090909090909091), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09090909090909091, recall=0.09090909090909091, fmeasure=0.09090909090909091)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Ollie: Hi, are you in Warsaw?
Jane: Yes,",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 10.523213100433349, 'Min_20.0% Prob': 8.83589792251587, 'Min_30.0% Prob': 7.895651608705521, 'Min_40.0% Prob': 7.008461215279319, 'Min_50.0% Prob': 6.254544871194022}",0.669132649898529,"{'rouge1': Score(precision=0.09302325581395349, recall=0.4444444444444444, fmeasure=0.15384615384615385), 'rouge2': Score(precision=0.023809523809523808, recall=0.125, fmeasure=0.04), 'rougeL': Score(precision=0.06976744186046512, recall=0.3333333333333333, fmeasure=0.11538461538461539)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Benjamin: Hey guys, what are we doing with the keys today?
",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 8.7011399269104, 'Min_20.0% Prob': 7.744560645176814, 'Min_30.0% Prob': 6.763819766044617, 'Min_40.0% Prob': 6.040191288347597, 'Min_50.0% Prob': 5.4970783626332}",0.48127609491348267,"{'rouge1': Score(precision=0.07017543859649122, recall=0.3333333333333333, fmeasure=0.11594202898550725), 'rouge2': Score(precision=0.017857142857142856, recall=0.09090909090909091, fmeasure=0.029850746268656716), 'rougeL': Score(precision=0.05263157894736842, recall=0.25, fmeasure=0.08695652173913043)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Max: Know any good sites to buy clothes from?
Payton: Sure",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 12.665021260579428, 'Min_20.0% Prob': 9.656942299434117, 'Min_30.0% Prob': 8.661259031295776, 'Min_40.0% Prob': 7.572972331728254, 'Min_50.0% Prob': 7.017050855300006}",0.7377997636795044,"{'rouge1': Score(precision=0.13333333333333333, recall=0.3333333333333333, fmeasure=0.19047619047619044), 'rouge2': Score(precision=0.034482758620689655, recall=0.09090909090909091, fmeasure=0.05), 'rougeL': Score(precision=0.1, recall=0.25, fmeasure=0.14285714285714288)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Rita and Tina are discussing their work-related issues. Rita mentions",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 10.391816139221191, 'Min_20.0% Prob': 9.96285311381022, 'Min_30.0% Prob': 9.656252384185791, 'Min_40.0% Prob': 7.881067792574565, 'Min_50.0% Prob': 6.747916489839554}",0.6728668212890625,"{'rouge1': Score(precision=0.38461538461538464, recall=0.4166666666666667, fmeasure=0.4), 'rouge2': Score(precision=0.25, recall=0.2727272727272727, fmeasure=0.2608695652173913), 'rougeL': Score(precision=0.38461538461538464, recall=0.4166666666666667, fmeasure=0.4)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Leo: I'm sorry, but I don't have a scarf.","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 10.371169726053873, 'Min_20.0% Prob': 8.385279314858574, 'Min_30.0% Prob': 7.3028655529022215, 'Min_40.0% Prob': 6.11823798928942, 'Min_50.0% Prob': 5.390650370541741}",0.6481508016586304,"{'rouge1': Score(precision=0.17857142857142858, recall=0.4166666666666667, fmeasure=0.25), 'rouge2': Score(precision=0.037037037037037035, recall=0.09090909090909091, fmeasure=0.05263157894736842), 'rougeL': Score(precision=0.17857142857142858, recall=0.4166666666666667, fmeasure=0.25)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Ivan: Hey Eric,

Eric: Hey Ivan,

",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 13.986215114593506, 'Min_20.0% Prob': 11.78691554069519, 'Min_30.0% Prob': 10.063902695973715, 'Min_40.0% Prob': 8.297548135121664, 'Min_50.0% Prob': 7.404255563562566}",0.5967462062835693,"{'rouge1': Score(precision=0.14285714285714285, recall=0.42857142857142855, fmeasure=0.21428571428571427), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09523809523809523, recall=0.2857142857142857, fmeasure=0.14285714285714285)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Wanda: Let's make a party!
Gina: Why?
",Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,"{'Min_10.0% Prob': 8.988728046417236, 'Min_20.0% Prob': 8.041525522867838, 'Min_30.0% Prob': 7.488667011260986, 'Min_40.0% Prob': 6.840455571810405, 'Min_50.0% Prob': 6.19178417523702}",0.6668508052825928,"{'rouge1': Score(precision=0.19230769230769232, recall=0.5555555555555556, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.04, recall=0.125, fmeasure=0.06060606060606061), 'rougeL': Score(precision=0.15384615384615385, recall=0.4444444444444444, fmeasure=0.2285714285714286)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Martin: I won two cinema tickets!
Aggie: oh cool, how",Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,"{'Min_10.0% Prob': 13.709315299987793, 'Min_20.0% Prob': 10.934989849726358, 'Min_30.0% Prob': 9.443789005279541, 'Min_40.0% Prob': 8.272769172986349, 'Min_50.0% Prob': 7.432742500305176}",0.6349161863327026,"{'rouge1': Score(precision=0.18518518518518517, recall=0.45454545454545453, fmeasure=0.2631578947368421), 'rouge2': Score(precision=0.038461538461538464, recall=0.1, fmeasure=0.05555555555555555), 'rougeL': Score(precision=0.18518518518518517, recall=0.45454545454545453, fmeasure=0.2631578947368421)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Charlee is in class, studying Portuguese theatre at the university. He is preparing",Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,"{'Min_10.0% Prob': 14.096940517425537, 'Min_20.0% Prob': 12.482197189331055, 'Min_30.0% Prob': 10.315110564231873, 'Min_40.0% Prob': 9.098634459755637, 'Min_50.0% Prob': 8.16967327254159}",0.7924051284790039,"{'rouge1': Score(precision=0.2916666666666667, recall=0.5, fmeasure=0.3684210526315789), 'rouge2': Score(precision=0.08695652173913043, recall=0.15384615384615385, fmeasure=0.1111111111111111), 'rougeL': Score(precision=0.2916666666666667, recall=0.5, fmeasure=0.3684210526315789)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Mary: Are you going by car or train?
Tom: Ella rented a","Ella rented a car, this makes things much faster for her and Tom. ","{'Min_10.0% Prob': 18.924673080444336, 'Min_20.0% Prob': 12.859488169352213, 'Min_30.0% Prob': 11.489812135696411, 'Min_40.0% Prob': 9.256796836853027, 'Min_50.0% Prob': 7.8561031222343445}",0.7049192190170288,"{'rouge1': Score(precision=0.38461538461538464, recall=0.38461538461538464, fmeasure=0.38461538461538464), 'rouge2': Score(precision=0.16666666666666666, recall=0.16666666666666666, fmeasure=0.16666666666666666), 'rougeL': Score(precision=0.23076923076923078, recall=0.23076923076923078, fmeasure=0.23076923076923078)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Luke: are you still looking for someone to join netflix family?
Paul",Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,"{'Min_10.0% Prob': 11.152347564697266, 'Min_20.0% Prob': 9.17224747794015, 'Min_30.0% Prob': 7.8953446474942295, 'Min_40.0% Prob': 6.992798487345378, 'Min_50.0% Prob': 6.377675131747597}",0.6565381288528442,"{'rouge1': Score(precision=0.1111111111111111, recall=0.3076923076923077, fmeasure=0.163265306122449), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08333333333333333, recall=0.23076923076923078, fmeasure=0.12244897959183675)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Greg: Hi, honey. I need to stay after hours :-(
B","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.","{'Min_10.0% Prob': 8.475030899047852, 'Min_20.0% Prob': 7.073431730270386, 'Min_30.0% Prob': 6.288703918457031, 'Min_40.0% Prob': 5.746868252754211, 'Min_50.0% Prob': 5.292797124385833}",0.3188392221927643,"{'rouge1': Score(precision=0.058823529411764705, recall=0.18181818181818182, fmeasure=0.08888888888888888), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.058823529411764705, recall=0.18181818181818182, fmeasure=0.08888888888888888)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Ethan: Something for Scott (file photo)
Toby: Haha","Ethan, Toby and Marshall are making fun of Scott.","{'Min_10.0% Prob': 13.531474113464355, 'Min_20.0% Prob': 11.80144453048706, 'Min_30.0% Prob': 10.921405792236328, 'Min_40.0% Prob': 10.061532974243164, 'Min_50.0% Prob': 8.750131448109945}",0.6785228252410889,"{'rouge1': Score(precision=0.3333333333333333, recall=0.3333333333333333, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2222222222222222, recall=0.2222222222222222, fmeasure=0.2222222222222222)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Igor: I'm so demotivated and I'm giving this work to",Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless. ,"{'Min_10.0% Prob': 12.975383758544922, 'Min_20.0% Prob': 10.134912411371866, 'Min_30.0% Prob': 8.498375468783909, 'Min_40.0% Prob': 7.361543615659078, 'Min_50.0% Prob': 6.548150491714478}",0.5771196484565735,"{'rouge1': Score(precision=0.2, recall=0.38461538461538464, fmeasure=0.2631578947368421), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.12, recall=0.23076923076923078, fmeasure=0.15789473684210525)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Clara: Hi, what you up to?
Neela: Not much",Clara is rewatching Dear White People and strongly recommends it to Neela.,"{'Min_10.0% Prob': 12.281991004943848, 'Min_20.0% Prob': 12.009676615397135, 'Min_30.0% Prob': 11.405330896377563, 'Min_40.0% Prob': 10.272377252578735, 'Min_50.0% Prob': 9.681397710527692}",0.6245595812797546,"{'rouge1': Score(precision=0.25, recall=0.3, fmeasure=0.2727272727272727), 'rouge2': Score(precision=0.09090909090909091, recall=0.1111111111111111, fmeasure=0.09999999999999999), 'rougeL': Score(precision=0.25, recall=0.3, fmeasure=0.2727272727272727)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Ernest: Hey Mike, did you park your car on our street?
",Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's. ,"{'Min_10.0% Prob': 11.91845989227295, 'Min_20.0% Prob': 10.356323051452637, 'Min_30.0% Prob': 9.148194313049316, 'Min_40.0% Prob': 8.178198337554932, 'Min_50.0% Prob': 7.399249042783465}",0.6469589471817017,"{'rouge1': Score(precision=0.125, recall=0.25, fmeasure=0.16666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08333333333333333, recall=0.16666666666666666, fmeasure=0.1111111111111111)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Deirdre: Hi Beth, how are you?
Beth: Hi",Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.,"{'Min_10.0% Prob': 9.617870998382568, 'Min_20.0% Prob': 7.805861169641668, 'Min_30.0% Prob': 6.919428586959839, 'Min_40.0% Prob': 6.094066630710255, 'Min_50.0% Prob': 5.362202439989362}",0.4742856025695801,"{'rouge1': Score(precision=0.023809523809523808, recall=0.1111111111111111, fmeasure=0.0392156862745098), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.023809523809523808, recall=0.1111111111111111, fmeasure=0.0392156862745098)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Gloria: This exam is a bit of a lottery in fact
G",Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.,"{'Min_10.0% Prob': 9.939231236775717, 'Min_20.0% Prob': 8.459414073399135, 'Min_30.0% Prob': 7.267657496712425, 'Min_40.0% Prob': 6.560338377952576, 'Min_50.0% Prob': 5.762347883648342}",0.5765961408615112,"{'rouge1': Score(precision=0.125, recall=0.3076923076923077, fmeasure=0.17777777777777778), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.3076923076923077, fmeasure=0.17777777777777778)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Adam: Have you talked to May?
Karen: Yes, yesterday,",Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice. ,"{'Min_10.0% Prob': 11.72468614578247, 'Min_20.0% Prob': 9.034986591339111, 'Min_30.0% Prob': 7.8927047593253, 'Min_40.0% Prob': 6.619559621810913, 'Min_50.0% Prob': 6.078606625398}",0.5143898129463196,"{'rouge1': Score(precision=0.13043478260869565, recall=0.3, fmeasure=0.18181818181818182), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13043478260869565, recall=0.3, fmeasure=0.18181818181818182)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Anne: You were right, he was lying to me :/
Irene",Mark lied to Anne about his age. Mark is 40.,"{'Min_10.0% Prob': 15.11137580871582, 'Min_20.0% Prob': 12.390751838684082, 'Min_30.0% Prob': 9.088295221328735, 'Min_40.0% Prob': 8.068950414657593, 'Min_50.0% Prob': 6.5679270539964945}",0.3763064742088318,"{'rouge1': Score(precision=0.3, recall=0.2727272727272727, fmeasure=0.28571428571428564), 'rouge2': Score(precision=0.1111111111111111, recall=0.1, fmeasure=0.10526315789473685), 'rougeL': Score(precision=0.2, recall=0.18181818181818182, fmeasure=0.1904761904761905)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Augustine: Guys, remember it's Wharton's birthday next week?","Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it. ","{'Min_10.0% Prob': 11.764792124430338, 'Min_20.0% Prob': 10.083906854901995, 'Min_30.0% Prob': 8.893394426866012, 'Min_40.0% Prob': 8.255234411784581, 'Min_50.0% Prob': 7.56179224120246}",0.7198596000671387,"{'rouge1': Score(precision=0.25925925925925924, recall=0.6363636363636364, fmeasure=0.368421052631579), 'rouge2': Score(precision=0.11538461538461539, recall=0.3, fmeasure=0.16666666666666669), 'rougeL': Score(precision=0.1111111111111111, recall=0.2727272727272727, fmeasure=0.15789473684210525)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Ollie: Okay, Kelly!
Kelly: I don't w","Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy. ","{'Min_10.0% Prob': 14.486869176228842, 'Min_20.0% Prob': 12.545514106750488, 'Min_30.0% Prob': 11.336292266845703, 'Min_40.0% Prob': 10.449890579496111, 'Min_50.0% Prob': 9.165950854619345}",0.55660480260849,"{'rouge1': Score(precision=0.07692307692307693, recall=0.2222222222222222, fmeasure=0.1142857142857143), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.038461538461538464, recall=0.1111111111111111, fmeasure=0.05714285714285715)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Myah: <file_photo>
Selah: I can't",Selah called a person that did not pick up.,"{'Min_10.0% Prob': 11.230871200561523, 'Min_20.0% Prob': 10.749950408935547, 'Min_30.0% Prob': 9.745128949483236, 'Min_40.0% Prob': 9.20599627494812, 'Min_50.0% Prob': 8.347966575622559}",0.41288697719573975,"{'rouge1': Score(precision=0.1111111111111111, recall=0.125, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1111111111111111, recall=0.125, fmeasure=0.11764705882352941)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Eric: Hey Bella, What happened today in boss's room? Was he",Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.,"{'Min_10.0% Prob': 12.389055252075195, 'Min_20.0% Prob': 10.901405692100525, 'Min_30.0% Prob': 9.545359055201212, 'Min_40.0% Prob': 8.563180446624756, 'Min_50.0% Prob': 7.581791444258257}",0.6283156871795654,"{'rouge1': Score(precision=0.2631578947368421, recall=0.38461538461538464, fmeasure=0.3125), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15789473684210525, recall=0.23076923076923078, fmeasure=0.18749999999999997)}"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Ben: Where are you?
Emma: At the rare of the bus",Emma is about to take a nap in the back of the bus to New York. Ben and Emma will be there around 4.30 pm. Ben will wake Emma up 15 minutes prior to their arrival.,"{'Min_10.0% Prob': 9.444887042045593, 'Min_20.0% Prob': 7.007895310719808, 'Min_30.0% Prob': 6.103205057290884, 'Min_40.0% Prob': 5.275765895843506, 'Min_50.0% Prob': 4.778574065728621}",0.6149901151657104,"{'rouge1': Score(precision=0.16216216216216217, recall=0.5, fmeasure=0.2448979591836735), 'rouge2': Score(precision=0.05555555555555555, recall=0.18181818181818182, fmeasure=0.0851063829787234), 'rougeL': Score(precision=0.13513513513513514, recall=0.4166666666666667, fmeasure=0.20408163265306126)}"
