Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x,GradientBoosting_probability_x,GradientBoosting_status,LogisticRegression_prediction_x,LogisticRegression_probability_x,LogisticRegression_status,RandomForest_prediction_x,RandomForest_probability_x,RandomForest_status,GradientBoosting_prediction_y,GradientBoosting_probability_y,GradientBoosting_label,LogisticRegression_prediction_y,LogisticRegression_probability_y,LogisticRegression_label,RandomForest_prediction_y,RandomForest_probability_y,RandomForest_label
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"

A spokesman for the Scottish Conservatives said: ""The Scottish Conservatives have been very vocal in their",A leading Scottish Conservative MSP missed a parliamentary committee to referee a Champions League match in Portugal.,"{'Min_10.0% Prob': 12.46914291381836, 'Min_20.0% Prob': 11.19442081451416, 'Min_30.0% Prob': 10.533158302307129, 'Min_40.0% Prob': 9.603072234562465, 'Min_50.0% Prob': 8.587454107072618}",0.3685454130172729,"{'rouge1': Score(precision=0.23529411764705882, recall=0.25, fmeasure=0.24242424242424243), 'rouge2': Score(precision=0.0625, recall=0.06666666666666667, fmeasure=0.06451612903225808), 'rougeL': Score(precision=0.23529411764705882, recall=0.25, fmeasure=0.24242424242424243)}",83,1.0,0.8782890085984787,Contaminated,1.0,0.8133594908960763,Contaminated,1.0,0.8589739843489848,Contaminated,1.0,0.8782890085984787,Likely Contaminated,1.0,0.8133594908960763,Likely Contaminated,1.0,0.8589739843489848,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
""I'm not going to play in the first round,"" Bedene said. ""I'm",British number three Aljaz Bedene is considering switching his allegiance back to Slovenia in order to compete at the Olympics.,"{'Min_10.0% Prob': 9.68800973892212, 'Min_20.0% Prob': 8.824711561203003, 'Min_30.0% Prob': 8.366687138875326, 'Min_40.0% Prob': 7.467123614417182, 'Min_50.0% Prob': 6.956077619032427}",0.3710829317569732,"{'rouge1': Score(precision=0.2, recall=0.2857142857142857, fmeasure=0.23529411764705882), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15, recall=0.21428571428571427, fmeasure=0.1764705882352941)}",102,1.0,0.824125673835175,Contaminated,1.0,0.7866419262293896,Contaminated,1.0,0.8579725640525442,Contaminated,1.0,0.824125673835175,Likely Contaminated,1.0,0.7866419262293896,Likely Contaminated,1.0,0.8579725640525442,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
The High Court has ruled that the government cannot trigger Article 50 without Parliament's backing.
The","A High Court case that could delay the Brexit process is ""a clear attempt to frustrate the will of the British people"", says a cabinet minister.","{'Min_10.0% Prob': 8.095601558685303, 'Min_20.0% Prob': 6.902100372314453, 'Min_30.0% Prob': 6.172895967960358, 'Min_40.0% Prob': 5.490863409909335, 'Min_50.0% Prob': 4.97232905455998}",0.3125535845756531,"{'rouge1': Score(precision=0.23076923076923078, recall=0.35294117647058826, fmeasure=0.2790697674418605), 'rouge2': Score(precision=0.04, recall=0.0625, fmeasure=0.048780487804878044), 'rougeL': Score(precision=0.19230769230769232, recall=0.29411764705882354, fmeasure=0.23255813953488372)}",98,1.0,0.9243299321271616,Contaminated,1.0,0.6193898163369754,Contaminated,1.0,0.9780833333333332,Contaminated,1.0,0.9243299321271615,Likely Contaminated,1.0,0.6193898163369754,Likely Contaminated,1.0,0.9780833333333332,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"

Category:1944 births
Category:1944 deaths
Category:Irish crime family
","A man in his 50s has died after being seriously assaulted in Swords, County Dublin.","{'Min_10.0% Prob': 12.395299911499023, 'Min_20.0% Prob': 8.688450972239176, 'Min_30.0% Prob': 7.261259078979492, 'Min_40.0% Prob': 6.697637677192688, 'Min_50.0% Prob': 5.889824062585831}",0.3540046215057373,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",69,1.0,0.756992193620847,Contaminated,1.0,0.5524151948405541,Contaminated,1.0,0.8023649879532232,Contaminated,1.0,0.756992193620847,Likely Contaminated,1.0,0.5524151948405541,Likely Contaminated,1.0,0.8023649879532232,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
The force said the man was ""not a suspect"" and had been ""not identified"" by",A vicar arrested in connection with historical sexual abuse has been suspended by the Church of England.,"{'Min_10.0% Prob': 13.381811141967773, 'Min_20.0% Prob': 12.707952499389648, 'Min_30.0% Prob': 10.133838272094726, 'Min_40.0% Prob': 8.645240374973842, 'Min_50.0% Prob': 7.351106723149617}",0.1162651926279068,"{'rouge1': Score(precision=0.23529411764705882, recall=0.26666666666666666, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.17647058823529413, recall=0.2, fmeasure=0.18750000000000003)}",78,1.0,0.842218379281516,Contaminated,1.0,0.8191144289149569,Contaminated,1.0,0.8363725960731773,Contaminated,1.0,0.842218379281516,Likely Contaminated,1.0,0.8191144289149569,Likely Contaminated,1.0,0.8363725960731773,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
The council's solicitor, Mr John Geddes, said: ""We are aware of the",A council boss has refused to say if he will honour a vow to repay compensation won in a libel case to the authority.,"{'Min_10.0% Prob': 10.463351249694824, 'Min_20.0% Prob': 10.105266809463501, 'Min_30.0% Prob': 8.767293725694929, 'Min_40.0% Prob': 8.179911507500542, 'Min_50.0% Prob': 7.229509353637695}",0.2133116871118545,"{'rouge1': Score(precision=0.08333333333333333, recall=0.15384615384615385, fmeasure=0.10810810810810811), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08333333333333333, recall=0.15384615384615385, fmeasure=0.10810810810810811)}",86,1.0,0.6362567121860285,Contaminated,1.0,0.7219371279142822,Contaminated,1.0,0.5827827677988617,Contaminated,1.0,0.6362567121860285,Likely Contaminated,1.0,0.7219371279142822,Likely Contaminated,1.0,0.5827827677988617,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
The council said that it was ""not aware of any evidence that the child is receiving a suitable",A London council has withdrawn an order forcing a mother to send her home educated child to school.,"{'Min_10.0% Prob': 11.879988670349121, 'Min_20.0% Prob': 9.665225664774576, 'Min_30.0% Prob': 8.998126792907716, 'Min_40.0% Prob': 8.241376876831055, 'Min_50.0% Prob': 7.681657526228163}",0.442668467760086,"{'rouge1': Score(precision=0.16666666666666666, recall=0.16666666666666666, fmeasure=0.16666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1111111111111111, recall=0.1111111111111111, fmeasure=0.1111111111111111)}",72,1.0,0.9378893617434846,Contaminated,1.0,0.7897509085467426,Contaminated,1.0,0.9692497966826544,Contaminated,1.0,0.9378893617434846,Likely Contaminated,1.0,0.7897509085467426,Likely Contaminated,1.0,0.9692497966826543,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
The deal would also help the company's agricultural products business to expand in China.
The deal",Shares in Swiss agribusiness group Syngenta have risen 12% after its takeover by ChemChina was given the go-ahead by a US regulator.,"{'Min_10.0% Prob': 9.546313921610514, 'Min_20.0% Prob': 8.641822576522827, 'Min_30.0% Prob': 7.770607895321316, 'Min_40.0% Prob': 7.063633441925049, 'Min_50.0% Prob': 6.538204701741536}",0.280624508857727,"{'rouge1': Score(precision=0.08695652173913043, recall=0.11764705882352941, fmeasure=0.09999999999999999), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08695652173913043, recall=0.11764705882352941, fmeasure=0.09999999999999999)}",104,1.0,0.9628965492916168,Contaminated,1.0,0.6760111052039552,Contaminated,1.0,0.9945632006414844,Contaminated,1.0,0.9628965492916169,Likely Contaminated,1.0,0.6760111052039552,Likely Contaminated,1.0,0.9945632006414844,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
The team are also determined to play on.
""We're going to play on the first","It is a drizzly Sunday morning in Guyana, and at the National Stadium a game of cricket is in full swing.","{'Min_10.0% Prob': 11.83740520477295, 'Min_20.0% Prob': 8.299125862121581, 'Min_30.0% Prob': 7.261853081839425, 'Min_40.0% Prob': 6.1395926713943485, 'Min_50.0% Prob': 5.5582735141118365}",0.2495374381542205,"{'rouge1': Score(precision=0.047619047619047616, recall=0.0625, fmeasure=0.05405405405405405), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.047619047619047616, recall=0.0625, fmeasure=0.05405405405405405)}",80,1.0,0.8422407946453924,Contaminated,1.0,0.5679338689282001,Contaminated,1.0,0.8724159876071643,Contaminated,1.0,0.8422407946453924,Likely Contaminated,1.0,0.5679338689282001,Likely Contaminated,1.0,0.8724159876071643,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
The government has said it will be working with the school board to develop a new formula for the",Pupils at seven schools could have shorter days after a trust head say he may have to cut hours to save money.,"{'Min_10.0% Prob': 11.085797309875488, 'Min_20.0% Prob': 10.326966524124146, 'Min_30.0% Prob': 9.169827665601458, 'Min_40.0% Prob': 8.420746697319878, 'Min_50.0% Prob': 7.569834748903911}",0.3273303508758545,"{'rouge1': Score(precision=0.13636363636363635, recall=0.15789473684210525, fmeasure=0.14634146341463414), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09090909090909091, recall=0.10526315789473684, fmeasure=0.0975609756097561)}",88,1.0,0.9420177515409098,Contaminated,1.0,0.7713597576478154,Contaminated,1.0,0.9608029432985314,Contaminated,1.0,0.9420177515409098,Likely Contaminated,1.0,0.7713597576478154,Likely Contaminated,1.0,0.9608029432985314,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
Kane was released on bail on 30 March.
Kane was released on bail on 30","A pensioner used a mini camera to secretly film women's bare legs in a Falkirk shopping centre, a court was told.","{'Min_10.0% Prob': 12.835111618041992, 'Min_20.0% Prob': 9.884452056884765, 'Min_30.0% Prob': 8.948458875928607, 'Min_40.0% Prob': 7.839611196517945, 'Min_50.0% Prob': 7.194455067316691}",0.1036709696054458,"{'rouge1': Score(precision=0.045454545454545456, recall=0.06666666666666667, fmeasure=0.05405405405405406), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.045454545454545456, recall=0.06666666666666667, fmeasure=0.05405405405405406)}",84,1.0,0.8744115730577761,Contaminated,1.0,0.6691453152580954,Contaminated,1.0,0.9105472778855128,Contaminated,1.0,0.8744115730577761,Likely Contaminated,1.0,0.6691453152580954,Likely Contaminated,1.0,0.9105472778855127,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
The Dragons have been in the process of signing a new coach, who will be looking to improve",Wales have called up uncapped 18-year-old Ospreys wing Keelan Giles for the rest of the autumn international series following an injury to Hallam Amos.,"{'Min_10.0% Prob': 11.171275774637857, 'Min_20.0% Prob': 9.894587653023857, 'Min_30.0% Prob': 9.189259576797486, 'Min_40.0% Prob': 8.393415348870414, 'Min_50.0% Prob': 7.874605431276209}",0.2005771249532699,"{'rouge1': Score(precision=0.19230769230769232, recall=0.2777777777777778, fmeasure=0.2272727272727273), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15384615384615385, recall=0.2222222222222222, fmeasure=0.18181818181818185)}",112,1.0,0.9187748649810992,Contaminated,1.0,0.8158704571758312,Contaminated,1.0,0.855616851013165,Contaminated,1.0,0.9187748649810991,Likely Contaminated,1.0,0.8158704571758312,Likely Contaminated,1.0,0.855616851013165,Likely Contaminated
EleutherAI/gpt-neo-125m,Summarize the following text: ,XSum,"
The company has been in talks with the BBC about a new TV show.
The BBC has","Instagram has ordered the owner of a British anti-litter app to change its name from Littergram, but how have other ""David v Goliath"" corporate name battles panned out and does the big guy always win?","{'Min_10.0% Prob': 10.040360689163208, 'Min_20.0% Prob': 9.351299815707737, 'Min_30.0% Prob': 8.683395092303936, 'Min_40.0% Prob': 8.061924590004814, 'Min_50.0% Prob': 7.446813915086829}",0.335701584815979,"{'rouge1': Score(precision=0.1111111111111111, recall=0.23529411764705882, fmeasure=0.1509433962264151), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1111111111111111, recall=0.23529411764705882, fmeasure=0.1509433962264151)}",159,1.0,0.9014628634285816,Contaminated,1.0,0.7634228980122997,Contaminated,1.0,0.9536249504889628,Contaminated,1.0,0.9014628634285817,Likely Contaminated,1.0,0.7634228980122997,Likely Contaminated,1.0,0.9536249504889627,Likely Contaminated
