Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x,GradientBoosting_probability_x,GradientBoosting_status,LogisticRegression_prediction_x,LogisticRegression_probability_x,LogisticRegression_status,RandomForest_prediction_x,RandomForest_probability_x,RandomForest_status,GradientBoosting_prediction_y,GradientBoosting_probability_y,GradientBoosting_label,LogisticRegression_prediction_y,LogisticRegression_probability_y,LogisticRegression_label,RandomForest_prediction_y,RandomForest_probability_y,RandomForest_label
Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"Assistant
Hannah is trying to get Betty's phone number but cannot find it. Amanda suggests",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 22.296875, 'Min_20.0% Prob': 16.989583333333332, 'Min_30.0% Prob': 13.01640625, 'Min_40.0% Prob': 11.00390625, 'Min_50.0% Prob': 9.578125}",0.8164936900138855,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.13333333333333333, recall=0.13333333333333333, fmeasure=0.13333333333333333), 'rougeL': Score(precision=0.375, recall=0.375, fmeasure=0.375)}",68,1,0.9351700105466376,Contaminated,1,0.9024090047732122,Contaminated,1,0.8860311632811634,Contaminated,1,0.9351700105466376,Likely Contaminated,1,0.9024090047732122,Likely Contaminated,1,0.8860311632811634,Likely Contaminated
Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,".imgur
.user
It seems there was an error in your message as it contains an image",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 14.4609375, 'Min_20.0% Prob': 14.04296875, 'Min_30.0% Prob': 12.403645833333334, 'Min_40.0% Prob': 11.5234375, 'Min_50.0% Prob': 10.060546875}",-0.056609246879816,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",63,1,0.9549377287831844,Contaminated,1,0.8000525850237514,Contaminated,1,0.9592144383394384,Contaminated,1,0.9549377287831844,Likely Contaminated,1,0.8000525850237514,Likely Contaminated,1,0.9592144383394384,Likely Contaminated
Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"Assistant
Lenny asks Bob for help in choosing between three pairs of trousers from photos she sent",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 11.419270833333334, 'Min_20.0% Prob': 9.627604166666666, 'Min_30.0% Prob': 8.465234375, 'Min_40.0% Prob': 7.524038461538462, 'Min_50.0% Prob': 6.557444852941177}",0.705687403678894,"{'rouge1': Score(precision=0.13793103448275862, recall=0.23529411764705882, fmeasure=0.17391304347826086), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10344827586206896, recall=0.17647058823529413, fmeasure=0.13043478260869565)}",105,1,0.7715089620770437,Contaminated,1,0.7527405242664119,Contaminated,1,0.7975106613248095,Contaminated,1,0.7715089620770437,Likely Contaminated,1,0.7527405242664119,Likely Contaminated,1,0.7975106613248095,Likely Contaminated
Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,".imgur.com
.imgur.com
.user
It seems like there might have been an issue",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 11.65625, 'Min_20.0% Prob': 11.3359375, 'Min_30.0% Prob': 10.486979166666666, 'Min_40.0% Prob': 9.48828125, 'Min_50.0% Prob': 8.57734375}",0.0519045740365982,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",56,1,0.8108546396162644,Contaminated,1,0.7195930956882167,Contaminated,1,0.8201638990094873,Contaminated,1,0.8108546396162644,Likely Contaminated,1,0.7195930956882167,Likely Contaminated,1,0.8201638990094873,Likely Contaminated
Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"iston
The conversation between Ollie and Jane revolves around their plans to meet up for lunch",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 14.5515625, 'Min_20.0% Prob': 11.782670454545455, 'Min_30.0% Prob': 10.274169921875, 'Min_40.0% Prob': 8.908735795454545, 'Min_50.0% Prob': 8.021918402777779}",0.6888493299484253,"{'rouge1': Score(precision=0.13953488372093023, recall=0.375, fmeasure=0.20338983050847456), 'rouge2': Score(precision=0.047619047619047616, recall=0.13333333333333333, fmeasure=0.07017543859649122), 'rougeL': Score(precision=0.11627906976744186, recall=0.3125, fmeasure=0.16949152542372883)}",167,1,0.8785852389807737,Contaminated,1,0.7308408282725269,Contaminated,1,0.908449004426946,Contaminated,1,0.8785852389807737,Likely Contaminated,1,0.7308408282725269,Likely Contaminated,1,0.908449004426946,Likely Contaminated
Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"Assistant
The group is discussing the keys to an apartment. Hilary has the keys and suggests",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 11.74609375, 'Min_20.0% Prob': 9.543569711538462, 'Min_30.0% Prob': 8.0873046875, 'Min_40.0% Prob': 7.099826388888889, 'Min_50.0% Prob': 6.308134191176471}",0.6566899418830872,"{'rouge1': Score(precision=0.17543859649122806, recall=0.625, fmeasure=0.273972602739726), 'rouge2': Score(precision=0.07142857142857142, recall=0.26666666666666666, fmeasure=0.11267605633802816), 'rougeL': Score(precision=0.12280701754385964, recall=0.4375, fmeasure=0.19178082191780824)}",241,0,0.4338849872597901,Clean,1,0.5594056385583392,Contaminated,0,0.4961103232852458,Clean,0,0.43388498725979013,Not Contaminated,1,0.5594056385583392,Likely Contaminated,0,0.49611032328524585,Not Contaminated
Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"Assistant
Max asks Payton for recommendations on clothing websites to shop from. Payton shares several",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 15.6484375, 'Min_20.0% Prob': 11.603794642857142, 'Min_30.0% Prob': 10.001953125, 'Min_40.0% Prob': 8.786272321428571, 'Min_50.0% Prob': 8.074448529411764}",0.788496196269989,"{'rouge1': Score(precision=0.2, recall=0.4, fmeasure=0.26666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.3333333333333333, fmeasure=0.2222222222222222)}",135,1,0.8294132459335346,Contaminated,1,0.8584576477032492,Contaminated,1,0.7977986645707237,Contaminated,1,0.8294132459335346,Likely Contaminated,1,0.8584576477032492,Likely Contaminated,1,0.7977986645707237,Likely Contaminated
Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,"férence
user
Summarize the following text:

Rita: I'm so",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 12.5, 'Min_20.0% Prob': 10.432291666666666, 'Min_30.0% Prob': 9.8017578125, 'Min_40.0% Prob': 8.445963541666666, 'Min_50.0% Prob': 7.727678571428571}",0.2950634062290191,"{'rouge1': Score(precision=0.07692307692307693, recall=0.09090909090909091, fmeasure=0.08333333333333334), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.09090909090909091, fmeasure=0.08333333333333334)}",54,1,0.8130491408757461,Contaminated,1,0.7399997341765324,Contaminated,1,0.901793090896032,Contaminated,1,0.8130491408757461,Likely Contaminated,1,0.7399997341765324,Likely Contaminated,1,0.9017930908960321,Likely Contaminated
Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum,".imgur.com
.imgur.com
Beatrice and Leo are discussing whether Leo should buy a scarf","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 14.5859375, 'Min_20.0% Prob': 12.4609375, 'Min_30.0% Prob': 10.45529513888889, 'Min_40.0% Prob': 8.804361979166666, 'Min_50.0% Prob': 7.166015625}",0.8233042359352112,"{'rouge1': Score(precision=0.21428571428571427, recall=0.4, fmeasure=0.27906976744186046), 'rouge2': Score(precision=0.037037037037037035, recall=0.07142857142857142, fmeasure=0.04878048780487805), 'rougeL': Score(precision=0.17857142857142858, recall=0.3333333333333333, fmeasure=0.23255813953488372)}",104,1,0.8586460734171654,Contaminated,1,0.7954803766261196,Contaminated,1,0.8393448704073704,Contaminated,1,0.8586460734171654,Likely Contaminated,1,0.7954803766261196,Likely Contaminated,1,0.8393448704073704,Likely Contaminated
Qwen/Qwen2.5-7B-Instruct,Summarize the following text: ,Samsum," conversation can be summarized as follows:

Ivan invites Eric to his brother's wedding, but Eric",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 11.328125, 'Min_20.0% Prob': 10.30859375, 'Min_30.0% Prob': 9.172526041666666, 'Min_40.0% Prob': 8.0478515625, 'Min_50.0% Prob': 6.83984375}",0.8581151366233826,"{'rouge1': Score(precision=0.3333333333333333, recall=0.4375, fmeasure=0.37837837837837834), 'rouge2': Score(precision=0.1, recall=0.13333333333333333, fmeasure=0.1142857142857143), 'rougeL': Score(precision=0.23809523809523808, recall=0.3125, fmeasure=0.27027027027027023)}",77,1,0.505825141882681,Contaminated,1,0.7521800402609549,Contaminated,1,0.628883325008325,Contaminated,1,0.505825141882681,Likely Contaminated,1,0.7521800402609549,Likely Contaminated,1,0.628883325008325,Likely Contaminated
