Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Summarize the following text: ,Samsum,".

So, the text is about a conversation between Hannah and Amanda regarding finding Betty's number. There",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 20.163803100585938, 'Min_20.0% Prob': 14.930110931396484, 'Min_30.0% Prob': 12.861425018310547, 'Min_40.0% Prob': 11.344504288264684, 'Min_50.0% Prob': 9.764011065165201}",0.6650481224060059,"{'rouge1': Score(precision=0.3125, recall=0.29411764705882354, fmeasure=0.30303030303030304), 'rouge2': Score(precision=0.13333333333333333, recall=0.125, fmeasure=0.12903225806451615), 'rougeL': Score(precision=0.25, recall=0.23529411764705882, fmeasure=0.24242424242424243)}"
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Summarize the following text: ,Samsum," Yeah, I'll check later.

Alright, so I need to summarize this text. The user provided",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 15.771034240722656, 'Min_20.0% Prob': 14.081126689910889, 'Min_30.0% Prob': 13.061909675598145, 'Min_40.0% Prob': 10.626729106903076, 'Min_50.0% Prob': 9.839670260747274}",0.050884466618299484,"{'rouge1': Score(precision=0.08333333333333333, recall=0.0625, fmeasure=0.07142857142857144), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08333333333333333, recall=0.0625, fmeasure=0.07142857142857144)}"
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Summarize the following text: ,Samsum," 

So, the user wants to know how to respond when someone asks for help, especially in a",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 15.04261843363444, 'Min_20.0% Prob': 11.862827573503766, 'Min_30.0% Prob': 10.395797777175904, 'Min_40.0% Prob': 9.035354103360858, 'Min_50.0% Prob': 8.297592106987448}",0.056703757494688034,"{'rouge1': Score(precision=0.10344827586206896, recall=0.17647058823529413, fmeasure=0.13043478260869565), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06896551724137931, recall=0.11764705882352941, fmeasure=0.08695652173913043)}"
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Summarize the following text: ,Samsum," Yeah, I'll be there. I'll be there when I get home. 

So, the",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 17.46464729309082, 'Min_20.0% Prob': 13.64268445968628, 'Min_30.0% Prob': 12.016138394673666, 'Min_40.0% Prob': 11.048377275466919, 'Min_50.0% Prob': 9.131784836451212}",0.3002345860004425,"{'rouge1': Score(precision=0.18181818181818182, recall=0.13333333333333333, fmeasure=0.15384615384615383), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.18181818181818182, recall=0.13333333333333333, fmeasure=0.15384615384615383)}"
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Summarize the following text: ,Samsum,", I'll be back in 30 minutes. Sorry for the delay, but I'm very",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 15.893046379089355, 'Min_20.0% Prob': 12.495991360057484, 'Min_30.0% Prob': 10.847469508647919, 'Min_40.0% Prob': 9.391669555143876, 'Min_50.0% Prob': 8.296708967004504}",0.13791537284851074,"{'rouge1': Score(precision=0.06976744186046512, recall=0.2, fmeasure=0.10344827586206895), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.046511627906976744, recall=0.13333333333333333, fmeasure=0.06896551724137931)}"
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Summarize the following text: ,Samsum,"
Benjamin: YAAAAWN 🙊 Where and where are you meeting?
Hilary",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 13.78395907084147, 'Min_20.0% Prob': 11.624417378352238, 'Min_30.0% Prob': 9.973216009140014, 'Min_40.0% Prob': 8.863658198603877, 'Min_50.0% Prob': 7.95110077717725}",0.5939369201660156,"{'rouge1': Score(precision=0.07017543859649122, recall=0.4444444444444444, fmeasure=0.12121212121212122), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05263157894736842, recall=0.3333333333333333, fmeasure=0.09090909090909091)}"
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Summarize the following text: ,Samsum," I read a lot, but not always the same book every day. ;)
Max: So,",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 16.243672688802082, 'Min_20.0% Prob': 12.580865519387382, 'Min_30.0% Prob': 10.868774843215942, 'Min_40.0% Prob': 9.353309188570295, 'Min_50.0% Prob': 8.2805026239819}",0.22459176182746887,"{'rouge1': Score(precision=0.2, recall=0.42857142857142855, fmeasure=0.27272727272727276), 'rouge2': Score(precision=0.034482758620689655, recall=0.07692307692307693, fmeasure=0.04761904761904762), 'rougeL': Score(precision=0.1, recall=0.21428571428571427, fmeasure=0.13636363636363638)}"
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Summarize the following text: ,Samsum, I don't know what to do with this. I just keep on thinking about the future and the,Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 14.876955032348633, 'Min_20.0% Prob': 13.062253634134928, 'Min_30.0% Prob': 11.397279262542725, 'Min_40.0% Prob': 9.553909222284952, 'Min_50.0% Prob': 8.399010717868805}",0.12382910400629044,"{'rouge1': Score(precision=0.07692307692307693, recall=0.05263157894736842, fmeasure=0.0625), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.05263157894736842, fmeasure=0.0625)}"
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Summarize the following text: ,Samsum," I don't know what to say. Maybe I should just leave you alone.

So, the text","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 15.383614540100098, 'Min_20.0% Prob': 12.17466688156128, 'Min_30.0% Prob': 10.02920283211602, 'Min_40.0% Prob': 8.28567598416255, 'Min_50.0% Prob': 7.3544284999370575}",0.08756884932518005,"{'rouge1': Score(precision=0.07142857142857142, recall=0.11764705882352941, fmeasure=0.08888888888888889), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.03571428571428571, recall=0.058823529411764705, fmeasure=0.044444444444444446)}"
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Summarize the following text: ,Samsum,", i'll be there for you man, i'll be there for you man, i'll be",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 15.915846824645996, 'Min_20.0% Prob': 12.893306732177734, 'Min_30.0% Prob': 11.446819305419922, 'Min_40.0% Prob': 10.033443186018202, 'Min_50.0% Prob': 9.348032691261984}",0.09619960933923721,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
