,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,Qwen/Qwen2.5-1.5B-Instruct,Summarize the following text: ,Samsum,"system
Summary:
In this dialogue, Hannah asks Amanda for Betty's phone number but is unable",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,0.7546767592430115,74.0,0.375,0.375,0.375,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3125,0.3125,0.3125,17.402841567993164,12.111577669779459,9.979742622375488,8.554050104958671,7.372491465674506
1,Qwen/Qwen2.5-1.5B-Instruct,Summarize the following text: ,Samsum,"system
The conversation is between two friends, Eric and Rob, discussing an American comedian named Machine",Eric and Rob are going to watch a stand-up on youtube.,0.5492880940437317,84.0,0.25,0.1875,0.21428571428571427,0.18181818181818182,0.13333333333333333,0.15384615384615383,0.25,0.1875,0.21428571428571427,13.811589241027832,12.500158786773682,11.660249710083008,10.112818002700806,8.198556661605835
2,Qwen/Qwen2.5-1.5B-Instruct,Summarize the following text: ,Samsum,"system
In this dialogue, Lenny asks Bob for advice on picking clothes. Bob suggests sending",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,0.5965336561203003,104.0,0.20689655172413793,0.4,0.2727272727272727,0.0,0.0,0.0,0.13793103448275862,0.26666666666666666,0.18181818181818182,11.146664301554361,9.792130947113037,8.27309832572937,7.4791675347548265,6.5055043977849625
3,Qwen/Qwen2.5-1.5B-Instruct,Summarize the following text: ,Samsum,"system
This is an exchange between Will and Emma where they discuss dinner plans. Emma initially seems",Emma will be home soon and she will let Will know.,0.6761821508407593,78.0,0.2727272727272727,0.17647058823529413,0.21428571428571427,0.0,0.0,0.0,0.18181818181818182,0.11764705882352941,0.14285714285714285,9.807169914245605,9.593080997467041,8.65977176030477,7.925674080848694,6.971083354949951
4,Qwen/Qwen2.5-1.5B-Instruct,Summarize the following text: ,Samsum,"system
Here's a summary of the conversation:

Ollie invites Jane to dinner on either",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,0.6253519654273987,169.0,0.09302325581395349,0.26666666666666666,0.13793103448275862,0.0,0.0,0.0,0.06976744186046512,0.2,0.10344827586206895,11.93930435180664,9.682260426607998,8.38099953532219,7.342748533595692,6.580764223028113
5,Qwen/Qwen2.5-1.5B-Instruct,Summarize the following text: ,Samsum,"header
Summary:
In summary, Benjamin suggests taking a nap during lunchtime as he feels very",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,0.4378514587879181,244.0,0.08771929824561403,0.3333333333333333,0.1388888888888889,0.03571428571428571,0.14285714285714285,0.05714285714285715,0.07017543859649122,0.26666666666666666,0.11111111111111112,10.769712607065836,8.96843932225154,7.582339417934418,6.5617893095369695,5.852196455001831
6,Qwen/Qwen2.5-1.5B-Instruct,Summarize the following text: ,Samsum,"system
Payton recommends several clothing websites for Max to consider purchasing from. She mentions that she",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,0.6693859100341797,142.0,0.13333333333333333,0.25,0.1739130434782609,0.0,0.0,0.0,0.06666666666666667,0.125,0.08695652173913045,11.26557985941569,9.603557177952357,8.558366394042968,7.458318914685931,6.9357467258677765
7,Qwen/Qwen2.5-1.5B-Instruct,Summarize the following text: ,Samsum,"system
Summary:

Rita is feeling extremely tired due to long working hours and finds herself falling",Rita and Tina are bored at work and have still 4 hours left.,0.549720287322998,71.0,0.3076923076923077,0.25,0.27586206896551724,0.0,0.0,0.0,0.23076923076923078,0.1875,0.20689655172413793,10.923921585083008,9.256755510965982,8.518776416778564,7.422754446665446,7.0138236454554965
8,Qwen/Qwen2.5-1.5B-Instruct,Summarize the following text: ,Samsum,"system
In this dialogue, Beatrice is shopping at a store and mentions that they have nice","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",0.4111925363540649,101.0,0.10714285714285714,0.1875,0.13636363636363635,0.0,0.0,0.0,0.10714285714285714,0.1875,0.13636363636363635,11.494009653727213,9.213995854059855,8.034005377027723,7.0689078370730085,5.856993913650513
9,Qwen/Qwen2.5-1.5B-Instruct,Summarize the following text: ,Samsum,"system
Here is a summary of the given text:

Ivan invites Eric to his brother's",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,0.6336226463317871,72.0,0.2857142857142857,0.375,0.3243243243243243,0.05,0.06666666666666667,0.05714285714285715,0.19047619047619047,0.25,0.2162162162162162,11.502172470092773,9.906523585319519,8.672025918960571,7.483274698257446,6.239054116335782
