,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Samsum,!,Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,0.0767228603363037,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43359375,10.6171875,9.759765625,8.50830078125,7.055575284090909
3,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Samsum,"

It seems like Will is trying to plan a dinner for Emma, but she doesn't seem to be interested in eating. She tells him not to worry about cooking, and that she'll be home soon. Will asks if he should pick her up, but she says no. They both express their love for each other at the end.",Emma will be home soon and she will let Will know.,0.6352224946022034,248.0,0.7272727272727273,0.13333333333333333,0.22535211267605634,0.2,0.03389830508474576,0.05797101449275363,0.45454545454545453,0.08333333333333333,0.1408450704225352,10.96875,10.14453125,9.0625,8.4853515625,7.255533854166667
4,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Samsum,", I'll wait for you then.",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,0.1297517120838165,202.0,0.046511627906976744,0.3333333333333333,0.08163265306122448,0.0,0.0,0.0,0.046511627906976744,0.3333333333333333,0.08163265306122448,10.532552083333334,8.708333333333334,7.487413194444445,6.5759375,5.928175403225806
6,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Samsum,"
Max: What's ur fav book?
Payton: I have a few, but I'll tell u about them later :)",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,0.4503693580627441,147.0,0.16666666666666666,0.2631578947368421,0.2040816326530612,0.0,0.0,0.0,0.13333333333333333,0.21052631578947367,0.163265306122449,11.681640625,9.439453125,8.227213541666666,7.3349609375,6.384951636904762
9,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Samsum,", i'll be there",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,0.0753776654601097,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9453125,10.096875,8.509765625,7.6439453125,6.614933894230769
10,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Samsum,him and let u know,Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,-0.0216322522610425,119.0,0.038461538461538464,0.2,0.06451612903225806,0.0,0.0,0.0,0.038461538461538464,0.2,0.06451612903225806,10.278645833333334,8.7421875,8.02109375,7.185825892857143,6.586052389705882
12,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Samsum,. Tadeusz Różewicz is also in it.,Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,0.272904485464096,127.0,0.041666666666666664,0.14285714285714285,0.06451612903225806,0.0,0.0,0.0,0.041666666666666664,0.14285714285714285,0.06451612903225806,12.020833333333334,10.175130208333334,8.937065972222221,7.957356770833333,6.9407958984375
13,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Samsum,"
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there in 1 hour
Mary: I'll be there in 3 hours
Tom: I'll be there in 2 hours
Ella: I'll be there","Ella rented a car, this makes things much faster for her and Tom. ",0.3988011181354522,9640.0,0.15384615384615385,0.0007821666014861165,0.001556420233463035,0.0,0.0,0.0,0.15384615384615385,0.0007821666014861165,0.001556420233463035,11.7109375,9.828125,8.59453125,7.714285714285714,6.881076388888889
14,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Samsum,"
Luke: wow, you are lucky to have such a long holiday :D",Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,0.4417750835418701,173.0,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.08333333333333333,9.861328125,8.140190972222221,7.274639423076923,6.391710069444445,5.7663352272727275
15,lmsys/vicuna-7b-v1.5,Summarize the following text: ,Samsum,I'll take care of it.,"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",0.0998198613524437,147.0,0.058823529411764705,0.3333333333333333,0.1,0.0,0.0,0.0,0.058823529411764705,0.3333333333333333,0.1,9.2607421875,7.407986111111111,6.607271634615385,5.731987847222222,5.140003551136363
