<<<<<<< HEAD
,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
The three-week trial on the 23.4m long 'up",Commuters are being asked to stand rather than walk on the left side of escalators at a central London Tube station to see if it can cut queues.,0.09524296969175339,0.07142857142857142,0.18181818181818182,0.10256410256410255,0.037037037037037035,0.1,0.05405405405405406,0.07142857142857142,0.18181818181818182,0.10256410256410255,12.408286412556967,9.849425633748373,8.467859850989448,7.506990194320679,6.785330390930175
1,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
Joshua Browder, a 250,000-person","A chatbot programmed by a British teenager has successfully challenged 160,000 parking tickets since its launch last year.",0.174147829413414,0.10526315789473684,0.2857142857142857,0.15384615384615385,0.0,0.0,0.0,0.10526315789473684,0.2857142857142857,0.15384615384615385,11.515970706939697,9.688713550567627,8.822642598833356,7.851386213302613,6.899002827130831
2,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
The 29-year-old has made six appearances for the U's",League One Rochdale have signed midfielder Keith Keane on loan from Cambridge United until January.,0.12924186885356903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.168681144714355,11.449377536773682,10.376372496287027,9.6586634516716,8.959773206710816
3,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
Jamie Rudling, 28, from Dunoon, was repeatedly raped by",A man who raped two women - one of them while he was on probation for grooming two teenage girls - has been handed a lifelong restriction order.,0.29333269596099854,0.07692307692307693,0.2,0.1111111111111111,0.0,0.0,0.0,0.038461538461538464,0.1,0.05555555555555555,10.738338947296143,9.717934226989746,8.478071630001068,7.697554458271373,6.977088723863874
4,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,,"Tottenham's players lacked the quality and mentality required to reach the knockout stage of the Champions League, says boss Mauricio Pochettino.",-0.02334144525229931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.15014934539795,8.868564367294312,7.574289692772759,6.684237440427144,5.857632033030192
5,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
The 24-year-old Australian has made his debut at Newcastle,",Wakefield Trinity have signed hooker Tyler Randell from NRL side Newcastle Knights on a two-year contract from the start of the 2018 season.,0.35323041677474976,0.125,0.25,0.16666666666666666,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.05555555555555555,12.033770243326822,10.452639102935791,9.056403541564942,8.242495756882887,7.347118630128748
6,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
Mullah Mansour, the new leader, was named on Thursday after the death","The new leader of the Afghan Taliban, Mullah Akhtar Mansour, has called for unity in an audio message, saying that the group will continue fighting.",0.37344327569007874,0.24,0.46153846153846156,0.3157894736842105,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.16,0.3076923076923077,0.2105263157894737,9.208982149759928,8.094202677408854,7.16061618593004,6.456053455670674,5.688482418656349
7,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
Desmond Ricks' lawyers have accused the state police of switching bullets in his","US prosecutors have dropped all charges against a man who spent 25 years in prison for murder, amid allegations police had falsified evidence.",0.21372152864933014,0.13043478260869565,0.21428571428571427,0.16216216216216214,0.0,0.0,0.0,0.08695652173913043,0.14285714285714285,0.1081081081081081,10.765424728393555,8.337681293487549,6.971964359283447,6.13022084236145,5.214440235724816
8,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
Neville Neville was sacked by Valencia on Wednesday after less than four",New Valencia coach Pako Ayestaran says he only accepted the job with predecessor Gary Neville's blessing.,0.36207231879234314,0.11764705882352941,0.15384615384615385,0.13333333333333333,0.0,0.0,0.0,0.058823529411764705,0.07692307692307693,0.06666666666666667,12.679193019866943,11.80246877670288,11.007718563079834,10.096056818962097,9.20714317668568
9,HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
A 28-year-old man, Yassar Yaqub",Dozens of people have attended a vigil at the spot where a man was shot dead in a police operation.,0.09671629965305328,0.1,0.25,0.14285714285714288,0.0,0.0,0.0,0.1,0.25,0.14285714285714288,10.949781656265259,8.619763135910034,7.24271027247111,6.231260150671005,5.5742895126342775
