Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x_x,GradientBoosting_probability_x_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x_x,LogisticRegression_probability_x_x_x,LogisticRegression_status,RandomForest_prediction_x_x_x,RandomForest_probability_x_x_x,RandomForest_status,GradientBoosting_prediction_y_x_x,GradientBoosting_probability_y_x_x,GradientBoosting_label_x_x,LogisticRegression_prediction_y_x_x,LogisticRegression_probability_y_x_x,LogisticRegression_label_x_x,RandomForest_prediction_y_x_x,RandomForest_probability_y_x_x,RandomForest_label_x_x,GradientBoosting_prediction_x_y_x,GradientBoosting_probability_x_y_x,GradientBoosting_label_y_x,GradientBoosting_label_y.1_x,LogisticRegression_prediction_x_y_x,LogisticRegression_probability_x_y_x,LogisticRegression_label_y_x,LogisticRegression_label_y.1_x,RandomForest_prediction_x_y_x,RandomForest_probability_x_y_x,RandomForest_label_y_x,RandomForest_label_y.1_x,GradientBoosting_prediction_y_y_x,GradientBoosting_probability_y_y_x,GradientBoosting_label_y.2_x,GradientBoosting_label_y.3_x,LogisticRegression_prediction_y_y_x,LogisticRegression_probability_y_y_x,LogisticRegression_label_y.2_x,LogisticRegression_label_y.3_x,RandomForest_prediction_y_y_x,RandomForest_probability_y_y_x,RandomForest_label_y.2_x,RandomForest_label_y.3_x,GradientBoosting_prediction_x,GradientBoosting_probability_x,LogisticRegression_prediction_x,LogisticRegression_probability_x,RandomForest_prediction_x,RandomForest_probability_x,GradientBoosting_prediction_x_x_y,GradientBoosting_probability_x_x_y,GradientBoosting_label,LogisticRegression_prediction_x_x_y,LogisticRegression_probability_x_x_y,LogisticRegression_label,RandomForest_prediction_x_x_y,RandomForest_probability_x_x_y,RandomForest_label,GradientBoosting_prediction_y_x_y,GradientBoosting_probability_y_x_y,GradientBoosting_label_x_y,LogisticRegression_prediction_y_x_y,LogisticRegression_probability_y_x_y,LogisticRegression_label_x_y,RandomForest_prediction_y_x_y,RandomForest_probability_y_x_y,RandomForest_label_x_y,GradientBoosting_prediction_x_y_y,GradientBoosting_probability_x_y_y,GradientBoosting_label_y_y,GradientBoosting_label_y.1_y,LogisticRegression_prediction_x_y_y,LogisticRegression_probability_x_y_y,LogisticRegression_label_y_y,LogisticRegression_label_y.1_y,RandomForest_prediction_x_y_y,RandomForest_probability_x_y_y,RandomForest_label_y_y,RandomForest_label_y.1_y,GradientBoosting_prediction_y_y_y,GradientBoosting_probability_y_y_y,GradientBoosting_label_y.2_y,GradientBoosting_label_y.3_y,LogisticRegression_prediction_y_y_y,LogisticRegression_probability_y_y_y,LogisticRegression_label_y.2_y,LogisticRegression_label_y.3_y,RandomForest_prediction_y_y_y,RandomForest_probability_y_y_y,RandomForest_label_y.2_y,RandomForest_label_y.3_y,GradientBoosting_prediction_y,GradientBoosting_probability_y,LogisticRegression_prediction_y,LogisticRegression_probability_y,RandomForest_prediction_y,RandomForest_probability_y
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Carlisle United manager Keith Curle has criticized his team's performance following their ","Carlisle slumped to a 3-1 defeat away at Accrington Stanley .
The team's poor performance prompted a scathing assessment from manager Keith Curle who suggested some of his squad were not fit for purpose .
Carlisle are without a win in five games in League Two and just two places above the relegation zone .
The Cumbrians were relegated from League One last season and are at a serious risk of dropping out of the Football League entirely this term .","{'Min_10.0% Prob': 9.056411266326904, 'Min_20.0% Prob': 7.485249644831607, 'Min_30.0% Prob': 6.608739869347934, 'Min_40.0% Prob': 5.907564756197807, 'Min_50.0% Prob': 5.318898599974963}",0.5552685856819153,"{'rouge1': Score(precision=0.10126582278481013, recall=0.5714285714285714, fmeasure=0.17204301075268819), 'rouge2': Score(precision=0.038461538461538464, recall=0.23076923076923078, fmeasure=0.06593406593406592), 'rougeL': Score(precision=0.06329113924050633, recall=0.35714285714285715, fmeasure=0.10752688172043012)}",374,0,0.483024179852282,Clean,0,0.489403303274171,Clean,0,0.4012802960927961,Clean,0,0.483024179852282,Not Contaminated,0,0.489403303274171,Not Contaminated,0,0.4012802960927961,Not Contaminated,0,0.483024179852282,Not Contaminated,Not Contaminated,0,0.489403303274171,Not Contaminated,Not Contaminated,0,0.4012802960927961,Not Contaminated,Not Contaminated,0,0.483024179852282,Not Contaminated,Not Contaminated,0,0.489403303274171,Not Contaminated,Not Contaminated,0,0.4012802960927961,Not Contaminated,Not Contaminated,0,0.483024179852282,0,0.489403303274171,0,0.4012802960927961,0,0.483024179852282,Not Contaminated,0,0.489403303274171,Not Contaminated,0,0.4012802960927961,Not Contaminated,0,0.483024179852282,Not Contaminated,0,0.489403303274171,Not Contaminated,0,0.4012802960927961,Not Contaminated,0,0.483024179852282,Not Contaminated,Not Contaminated,0,0.489403303274171,Not Contaminated,Not Contaminated,0,0.4012802960927961,Not Contaminated,Not Contaminated,0,0.483024179852282,Not Contaminated,Not Contaminated,0,0.489403303274171,Not Contaminated,Not Contaminated,0,0.4012802960927961,Not Contaminated,Not Contaminated,0,0.483024179852282,0,0.48940330327417103,0,0.40128029609279614
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Miami International Airport (MIA) has been the site of a high-","TSA received more than 30,000 claims of missing valuables between 2010-2014 .
Most of the missing valuables were packed in checked luggage .
Miami-Dade police set up hidden cameras as part of sting .","{'Min_10.0% Prob': 10.022169494628907, 'Min_20.0% Prob': 8.41904557834972, 'Min_30.0% Prob': 7.036048398298376, 'Min_40.0% Prob': 6.0967064445669, 'Min_50.0% Prob': 5.218966492584774}",0.2904585301876068,"{'rouge1': Score(precision=0.08823529411764706, recall=0.25, fmeasure=0.13043478260869565), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.058823529411764705, recall=0.16666666666666666, fmeasure=0.08695652173913045)}",163,1,0.7411166836819749,Contaminated,1,0.6103537812238456,Contaminated,1,0.5290650088326744,Contaminated,1,0.7411166836819749,Likely Contaminated,1,0.6103537812238456,Likely Contaminated,1,0.5290650088326744,Likely Contaminated,1,0.7411166836819749,Likely Contaminated,Likely Contaminated,1,0.6103537812238456,Likely Contaminated,Likely Contaminated,1,0.5290650088326744,Likely Contaminated,Likely Contaminated,1,0.7411166836819749,Likely Contaminated,Likely Contaminated,1,0.6103537812238456,Likely Contaminated,Likely Contaminated,1,0.5290650088326744,Likely Contaminated,Likely Contaminated,1,0.7411166836819749,1,0.6103537812238456,1,0.5290650088326744,1,0.7411166836819749,Likely Contaminated,1,0.6103537812238456,Likely Contaminated,1,0.5290650088326744,Likely Contaminated,1,0.7411166836819749,Likely Contaminated,1,0.6103537812238456,Likely Contaminated,1,0.5290650088326744,Likely Contaminated,1,0.7411166836819749,Likely Contaminated,Likely Contaminated,1,0.6103537812238456,Likely Contaminated,Likely Contaminated,1,0.5290650088326744,Likely Contaminated,Likely Contaminated,1,0.7411166836819749,Likely Contaminated,Likely Contaminated,1,0.6103537812238456,Likely Contaminated,Likely Contaminated,1,0.5290650088326744,Likely Contaminated,Likely Contaminated,1,0.7411166836819749,1,0.6103537812238456,1,0.5290650088326744
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Police in Arizona have arrested David Duane Watson, a 46-","Pima County Sheriffs say David Watson, 46, killed his ex Linda Watson while they fought over custody of their daughter in 2000 .
Three years later, police say Watson murdered his ex mother-in-law in a drive-by shooting at the very home where Linda Watson first vanished .
Marilyn Cox had been fighting for visitation rights over her granddaughter - she was gunned down alongside her neighbor Renee Farnsworth in 2003 .","{'Min_10.0% Prob': 9.674860525131226, 'Min_20.0% Prob': 8.09657609462738, 'Min_30.0% Prob': 7.208922751744589, 'Min_40.0% Prob': 6.3837332129478455, 'Min_50.0% Prob': 5.6246372318267825}",0.5268825888633728,"{'rouge1': Score(precision=0.08571428571428572, recall=0.5454545454545454, fmeasure=0.14814814814814814), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.04285714285714286, recall=0.2727272727272727, fmeasure=0.07407407407407407)}",366,0,0.2400622169076526,Clean,1,0.6764042843444723,Contaminated,0,0.3614698186473676,Clean,0,0.2400622169076526,Not Contaminated,1,0.6764042843444723,Likely Contaminated,0,0.3614698186473676,Not Contaminated,0,0.2400622169076526,Not Contaminated,Not Contaminated,1,0.6764042843444723,Likely Contaminated,Likely Contaminated,0,0.3614698186473676,Not Contaminated,Not Contaminated,0,0.2400622169076526,Not Contaminated,Not Contaminated,1,0.6764042843444723,Likely Contaminated,Likely Contaminated,0,0.3614698186473676,Not Contaminated,Not Contaminated,0,0.2400622169076526,1,0.6764042843444723,0,0.3614698186473676,0,0.2400622169076526,Not Contaminated,1,0.6764042843444723,Likely Contaminated,0,0.3614698186473676,Not Contaminated,0,0.2400622169076526,Not Contaminated,1,0.6764042843444723,Likely Contaminated,0,0.3614698186473676,Not Contaminated,0,0.2400622169076526,Not Contaminated,Not Contaminated,1,0.6764042843444723,Likely Contaminated,Likely Contaminated,0,0.3614698186473676,Not Contaminated,Not Contaminated,0,0.2400622169076526,Not Contaminated,Not Contaminated,1,0.6764042843444723,Likely Contaminated,Likely Contaminated,0,0.3614698186473676,Not Contaminated,Not Contaminated,0,0.2400622169076526,1,0.6764042843444723,0,0.3614698186473676
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Raheem Sterling, a 20-year-old Liverpool star","Raheem Sterling has revealed he is not ready to sign a new Liverpool deal .
The Reds wideman has struggled to repeat last season's impressive form .
The 20-year-old Liverpool star has managed just six goals this  season .
READ: Sterling insists he is not a 'money-grabbing 20-year-old'
Sterling: What he said about contract talks... and what he meant .
CLICK HERE for the latest Liverpool news .","{'Min_10.0% Prob': 9.179888486862183, 'Min_20.0% Prob': 7.658372783660889, 'Min_30.0% Prob': 6.572490580876669, 'Min_40.0% Prob': 5.624536473576615, 'Min_50.0% Prob': 4.957511177249983}",0.7390409111976624,"{'rouge1': Score(precision=0.11594202898550725, recall=0.8888888888888888, fmeasure=0.20512820512820512), 'rouge2': Score(precision=0.07352941176470588, recall=0.625, fmeasure=0.13157894736842107), 'rougeL': Score(precision=0.11594202898550725, recall=0.8888888888888888, fmeasure=0.20512820512820512)}",347,0,0.0938571255776552,Clean,0,0.2524585483690843,Clean,0,0.1623660269469093,Clean,0,0.0938571255776552,Not Contaminated,0,0.2524585483690843,Not Contaminated,0,0.1623660269469093,Not Contaminated,0,0.0938571255776552,Not Contaminated,Not Contaminated,0,0.2524585483690843,Not Contaminated,Not Contaminated,0,0.1623660269469093,Not Contaminated,Not Contaminated,0,0.0938571255776552,Not Contaminated,Not Contaminated,0,0.2524585483690843,Not Contaminated,Not Contaminated,0,0.1623660269469093,Not Contaminated,Not Contaminated,0,0.0938571255776552,0,0.2524585483690843,0,0.1623660269469093,0,0.0938571255776552,Not Contaminated,0,0.2524585483690843,Not Contaminated,0,0.1623660269469093,Not Contaminated,0,0.0938571255776552,Not Contaminated,0,0.2524585483690843,Not Contaminated,0,0.1623660269469093,Not Contaminated,0,0.0938571255776552,Not Contaminated,Not Contaminated,0,0.2524585483690843,Not Contaminated,Not Contaminated,0,0.1623660269469093,Not Contaminated,Not Contaminated,0,0.0938571255776552,Not Contaminated,Not Contaminated,0,0.2524585483690843,Not Contaminated,Not Contaminated,0,0.1623660269469093,Not Contaminated,Not Contaminated,0,0.09385712557765524,0,0.2524585483690843,0,0.1623660269469093
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Rebekah Gregory, a widow of Dzhokhar Tsarnaev","Survivor Jeff Bauman stresses ""we will never replace the lives that were lost""
A man who was at the finish line is glad Dzhokhar Tsarnaev is now a ""convicted killer""
""Justice has been served today,"" says a once wounded police officer .","{'Min_10.0% Prob': 10.038793087005615, 'Min_20.0% Prob': 9.045255104700724, 'Min_30.0% Prob': 7.8736242983076306, 'Min_40.0% Prob': 7.008986830711365, 'Min_50.0% Prob': 6.267027537027995}",0.434963583946228,"{'rouge1': Score(precision=0.07317073170731707, recall=0.375, fmeasure=0.12244897959183672), 'rouge2': Score(precision=0.025, recall=0.14285714285714285, fmeasure=0.0425531914893617), 'rougeL': Score(precision=0.07317073170731707, recall=0.375, fmeasure=0.12244897959183672)}",198,0,0.3203933672530615,Clean,1,0.5706264311387976,Contaminated,0,0.4296115020955173,Clean,0,0.3203933672530615,Not Contaminated,1,0.5706264311387976,Likely Contaminated,0,0.4296115020955173,Not Contaminated,0,0.3203933672530615,Not Contaminated,Not Contaminated,1,0.5706264311387976,Likely Contaminated,Likely Contaminated,0,0.4296115020955173,Not Contaminated,Not Contaminated,0,0.3203933672530615,Not Contaminated,Not Contaminated,1,0.5706264311387976,Likely Contaminated,Likely Contaminated,0,0.4296115020955173,Not Contaminated,Not Contaminated,0,0.3203933672530615,1,0.5706264311387976,0,0.4296115020955173,0,0.3203933672530615,Not Contaminated,1,0.5706264311387976,Likely Contaminated,0,0.4296115020955173,Not Contaminated,0,0.3203933672530615,Not Contaminated,1,0.5706264311387976,Likely Contaminated,0,0.4296115020955173,Not Contaminated,0,0.3203933672530615,Not Contaminated,Not Contaminated,1,0.5706264311387976,Likely Contaminated,Likely Contaminated,0,0.4296115020955173,Not Contaminated,Not Contaminated,0,0.3203933672530615,Not Contaminated,Not Contaminated,1,0.5706264311387976,Likely Contaminated,Likely Contaminated,0,0.4296115020955173,Not Contaminated,Not Contaminated,0,0.32039336725306156,1,0.5706264311387976,0,0.42961150209551735
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Career-defining actress Carey Mulligan has revealed her anger at how dementia sufferers","Carey Mulligan's grandmother suffers from Alzheimer's disease .
Margaret Booth has struggled to recognise her grandchild for eight years .
Mulligan, 29, has urged for greater awareness of the illness in society .","{'Min_10.0% Prob': 8.864502906799316, 'Min_20.0% Prob': 7.706578625573052, 'Min_30.0% Prob': 7.129554528456468, 'Min_40.0% Prob': 6.388282352023655, 'Min_50.0% Prob': 5.690898501354715}",0.7257431745529175,"{'rouge1': Score(precision=0.15625, recall=0.35714285714285715, fmeasure=0.21739130434782608), 'rouge2': Score(precision=0.03225806451612903, recall=0.07692307692307693, fmeasure=0.045454545454545456), 'rougeL': Score(precision=0.125, recall=0.2857142857142857, fmeasure=0.17391304347826086)}",159,0,0.3128253514063621,Clean,1,0.64825406777596,Contaminated,0,0.255445852951658,Clean,0,0.3128253514063621,Not Contaminated,1,0.64825406777596,Likely Contaminated,0,0.255445852951658,Not Contaminated,0,0.3128253514063621,Not Contaminated,Not Contaminated,1,0.64825406777596,Likely Contaminated,Likely Contaminated,0,0.255445852951658,Not Contaminated,Not Contaminated,0,0.3128253514063621,Not Contaminated,Not Contaminated,1,0.64825406777596,Likely Contaminated,Likely Contaminated,0,0.255445852951658,Not Contaminated,Not Contaminated,0,0.3128253514063621,1,0.64825406777596,0,0.255445852951658,0,0.3128253514063621,Not Contaminated,1,0.64825406777596,Likely Contaminated,0,0.255445852951658,Not Contaminated,0,0.3128253514063621,Not Contaminated,1,0.64825406777596,Likely Contaminated,0,0.255445852951658,Not Contaminated,0,0.3128253514063621,Not Contaminated,Not Contaminated,1,0.64825406777596,Likely Contaminated,Likely Contaminated,0,0.255445852951658,Not Contaminated,Not Contaminated,0,0.3128253514063621,Not Contaminated,Not Contaminated,1,0.64825406777596,Likely Contaminated,Likely Contaminated,0,0.255445852951658,Not Contaminated,Not Contaminated,0,0.31282535140636214,1,0.64825406777596,0,0.255445852951658
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
A couple, Leah Rogers and Ryan Flanaghan, bought a rare","Leah Rogers, 20, and Ryan Flanaghan, 22, bought bear in Bude, Cornwall .
They realised it was one of 100 1st edition Princess Diana Di Beanie Babies .
Range created in 1997 to raise money for Princess Of Wales Memorial Trust .
Couple listed bear for £20,000 on eBay and hope to raise money for house deposit .","{'Min_10.0% Prob': 12.143393622504341, 'Min_20.0% Prob': 10.393134117126465, 'Min_30.0% Prob': 8.81546061379569, 'Min_40.0% Prob': 7.580563513856185, 'Min_50.0% Prob': 6.720021273227448}",0.3377743661403656,"{'rouge1': Score(precision=0.12727272727272726, recall=0.6363636363636364, fmeasure=0.2121212121212121), 'rouge2': Score(precision=0.05555555555555555, recall=0.3, fmeasure=0.09375000000000001), 'rougeL': Score(precision=0.10909090909090909, recall=0.5454545454545454, fmeasure=0.1818181818181818)}",269,1,0.5488911509017987,Contaminated,1,0.5332790661613039,Contaminated,1,0.5103109170241524,Contaminated,1,0.5488911509017987,Likely Contaminated,1,0.5332790661613039,Likely Contaminated,1,0.5103109170241524,Likely Contaminated,1,0.5488911509017987,Likely Contaminated,Likely Contaminated,1,0.5332790661613039,Likely Contaminated,Likely Contaminated,1,0.5103109170241524,Likely Contaminated,Likely Contaminated,1,0.5488911509017987,Likely Contaminated,Likely Contaminated,1,0.5332790661613039,Likely Contaminated,Likely Contaminated,1,0.5103109170241524,Likely Contaminated,Likely Contaminated,1,0.5488911509017987,1,0.5332790661613039,1,0.5103109170241524,1,0.5488911509017987,Likely Contaminated,1,0.5332790661613039,Likely Contaminated,1,0.5103109170241524,Likely Contaminated,1,0.5488911509017987,Likely Contaminated,1,0.5332790661613039,Likely Contaminated,1,0.5103109170241524,Likely Contaminated,1,0.5488911509017987,Likely Contaminated,Likely Contaminated,1,0.5332790661613039,Likely Contaminated,Likely Contaminated,1,0.5103109170241524,Likely Contaminated,Likely Contaminated,1,0.5488911509017987,Likely Contaminated,Likely Contaminated,1,0.5332790661613039,Likely Contaminated,Likely Contaminated,1,0.5103109170241524,Likely Contaminated,Likely Contaminated,1,0.5488911509017987,1,0.5332790661613039,1,0.5103109170241524
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
KFC has apologized to a shocked family after a restaurant in Oklahoma broadcast a steam","Whalen family's dinner at KFC was interrupted by sounds of a sex scene .
Gerald and April were with two young children at the Oklahoma restaurant .
Scene from risque show Outlander was broadcast on KFC's television set .","{'Min_10.0% Prob': 11.597020864486694, 'Min_20.0% Prob': 9.794790426890055, 'Min_30.0% Prob': 8.562049082347325, 'Min_40.0% Prob': 7.8121294724313834, 'Min_50.0% Prob': 7.237480620543162}",0.5072652697563171,"{'rouge1': Score(precision=0.15789473684210525, recall=0.375, fmeasure=0.22222222222222218), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10526315789473684, recall=0.25, fmeasure=0.14814814814814814)}",155,1,0.7192231464660597,Contaminated,1,0.7877282471785539,Contaminated,0,0.3903146024132125,Clean,1,0.7192231464660597,Likely Contaminated,1,0.7877282471785539,Likely Contaminated,0,0.3903146024132125,Not Contaminated,1,0.7192231464660597,Likely Contaminated,Likely Contaminated,1,0.7877282471785539,Likely Contaminated,Likely Contaminated,0,0.3903146024132125,Not Contaminated,Not Contaminated,1,0.7192231464660597,Likely Contaminated,Likely Contaminated,1,0.7877282471785539,Likely Contaminated,Likely Contaminated,0,0.3903146024132125,Not Contaminated,Not Contaminated,1,0.7192231464660597,1,0.7877282471785539,0,0.3903146024132125,1,0.7192231464660597,Likely Contaminated,1,0.7877282471785539,Likely Contaminated,0,0.3903146024132125,Not Contaminated,1,0.7192231464660597,Likely Contaminated,1,0.7877282471785539,Likely Contaminated,0,0.3903146024132125,Not Contaminated,1,0.7192231464660597,Likely Contaminated,Likely Contaminated,1,0.7877282471785539,Likely Contaminated,Likely Contaminated,0,0.3903146024132125,Not Contaminated,Not Contaminated,1,0.7192231464660597,Likely Contaminated,Likely Contaminated,1,0.7877282471785539,Likely Contaminated,Likely Contaminated,0,0.3903146024132125,Not Contaminated,Not Contaminated,1,0.7192231464660597,1,0.7877282471785539,0,0.3903146024132125
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Arizona police chief Terry Rozema supported an officer's decision to drive his","Chief tells CNN that deadly force was warranted .
Chief: If suspect ended up shooting people, police would be answering different questions .
Incident happened February 19 in town near Tucson, Arizona .","{'Min_10.0% Prob': 10.39217472076416, 'Min_20.0% Prob': 9.270926833152771, 'Min_30.0% Prob': 8.653132478396097, 'Min_40.0% Prob': 8.022250056266785, 'Min_50.0% Prob': 7.422059273719787}",0.2632354497909546,"{'rouge1': Score(precision=0.1, recall=0.21428571428571427, fmeasure=0.13636363636363638), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.03333333333333333, recall=0.07142857142857142, fmeasure=0.045454545454545456)}",161,1,0.6524131068914959,Contaminated,1,0.739426725052132,Contaminated,0,0.3348942989200342,Clean,1,0.6524131068914959,Likely Contaminated,1,0.739426725052132,Likely Contaminated,0,0.3348942989200342,Not Contaminated,1,0.6524131068914959,Likely Contaminated,Likely Contaminated,1,0.739426725052132,Likely Contaminated,Likely Contaminated,0,0.3348942989200342,Not Contaminated,Not Contaminated,1,0.6524131068914959,Likely Contaminated,Likely Contaminated,1,0.739426725052132,Likely Contaminated,Likely Contaminated,0,0.3348942989200342,Not Contaminated,Not Contaminated,1,0.6524131068914959,1,0.739426725052132,0,0.3348942989200342,1,0.6524131068914959,Likely Contaminated,1,0.739426725052132,Likely Contaminated,0,0.3348942989200342,Not Contaminated,1,0.6524131068914959,Likely Contaminated,1,0.739426725052132,Likely Contaminated,0,0.3348942989200342,Not Contaminated,1,0.6524131068914959,Likely Contaminated,Likely Contaminated,1,0.739426725052132,Likely Contaminated,Likely Contaminated,0,0.3348942989200342,Not Contaminated,Not Contaminated,1,0.6524131068914959,Likely Contaminated,Likely Contaminated,1,0.739426725052132,Likely Contaminated,Likely Contaminated,0,0.3348942989200342,Not Contaminated,Not Contaminated,1,0.6524131068914959,1,0.739426725052132,0,0.3348942989200342
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
A Florida police officer, Eddie Trimino, and a police car were shot","Lavall Hall, 25, was suffering psychotic episode when fatally shot by police .
His mother had called police to help take mentally ill son to hospital .
Police claim he attacked them with 'deadly force' using broom handle .
But footage from scene  appears to show Hall running away from cops .","{'Min_10.0% Prob': 11.545591513315836, 'Min_20.0% Prob': 9.560575265150804, 'Min_30.0% Prob': 8.161583399772644, 'Min_40.0% Prob': 7.379124494699331, 'Min_50.0% Prob': 6.561346791007302}",0.3074983954429626,"{'rouge1': Score(precision=0.0625, recall=0.23076923076923078, fmeasure=0.09836065573770492), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.041666666666666664, recall=0.15384615384615385, fmeasure=0.06557377049180328)}",239,1,0.6076520681846215,Contaminated,1,0.679218028416355,Contaminated,0,0.3616869352685598,Clean,1,0.6076520681846215,Likely Contaminated,1,0.679218028416355,Likely Contaminated,0,0.3616869352685598,Not Contaminated,1,0.6076520681846215,Likely Contaminated,Likely Contaminated,1,0.679218028416355,Likely Contaminated,Likely Contaminated,0,0.3616869352685598,Not Contaminated,Not Contaminated,1,0.6076520681846215,Likely Contaminated,Likely Contaminated,1,0.679218028416355,Likely Contaminated,Likely Contaminated,0,0.3616869352685598,Not Contaminated,Not Contaminated,1,0.6076520681846215,1,0.679218028416355,0,0.3616869352685598,1,0.6076520681846215,Likely Contaminated,1,0.679218028416355,Likely Contaminated,0,0.3616869352685598,Not Contaminated,1,0.6076520681846215,Likely Contaminated,1,0.679218028416355,Likely Contaminated,0,0.3616869352685598,Not Contaminated,1,0.6076520681846215,Likely Contaminated,Likely Contaminated,1,0.679218028416355,Likely Contaminated,Likely Contaminated,0,0.3616869352685598,Not Contaminated,Not Contaminated,1,0.6076520681846215,Likely Contaminated,Likely Contaminated,1,0.679218028416355,Likely Contaminated,Likely Contaminated,0,0.3616869352685598,Not Contaminated,Not Contaminated,1,0.6076520681846215,1,0.679218028416355,0,0.3616869352685598
