,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail, Carlisle United manager Keith Curle has launched a scathing attack on his side following their limp 3-,"Carlisle slumped to a 3-1 defeat away at Accrington Stanley .
The team's poor performance prompted a scathing assessment from manager Keith Curle who suggested some of his squad were not fit for purpose .
Carlisle are without a win in five games in League Two and just two places above the relegation zone .
The Cumbrians were relegated from League One last season and are at a serious risk of dropping out of the Football League entirely this term .",0.4968617856502533,372.0,0.10126582278481013,0.47058823529411764,0.16666666666666669,0.038461538461538464,0.1875,0.06382978723404256,0.06329113924050633,0.29411764705882354,0.10416666666666667,8.413283665974935,6.854477590984768,5.937609142727322,5.135079854243511,4.598347202591274
2,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail, The shooting was the first homicide in the Tucson area in more than a decade. The shooting was the,"Pima County Sheriffs say David Watson, 46, killed his ex Linda Watson while they fought over custody of their daughter in 2000 .
Three years later, police say Watson murdered his ex mother-in-law in a drive-by shooting at the very home where Linda Watson first vanished .
Marilyn Cox had been fighting for visitation rights over her granddaughter - she was gunned down alongside her neighbor Renee Farnsworth in 2003 .",0.3029228150844574,344.0,0.1,0.3684210526315789,0.15730337078651682,0.0,0.0,0.0,0.07142857142857142,0.2631578947368421,0.11235955056179775,9.517074346542358,8.306822412154254,7.409076268856342,6.682468714032854,5.95715180310336
3,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail,"

The Liverpool Echo's David Davies reports that Sterling has been offered a new contract at Anfield by","Raheem Sterling has revealed he is not ready to sign a new Liverpool deal .
The Reds wideman has struggled to repeat last season's impressive form .
The 20-year-old Liverpool star has managed just six goals this  season .
READ: Sterling insists he is not a 'money-grabbing 20-year-old'
Sterling: What he said about contract talks... and what he meant .
CLICK HERE for the latest Liverpool news .",0.5989697575569153,319.0,0.11594202898550725,0.4444444444444444,0.18390804597701152,0.029411764705882353,0.11764705882352941,0.047058823529411764,0.07246376811594203,0.2777777777777778,0.1149425287356322,10.340669208102756,8.111636237094277,6.770165139231189,5.961403062469081,5.189398596684138
5,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail, Miss Mulligan said she was ‘very proud’ of her grandmother’s memory.,"Carey Mulligan's grandmother suffers from Alzheimer's disease .
Margaret Booth has struggled to recognise her grandchild for eight years .
Mulligan, 29, has urged for greater awareness of the illness in society .",0.6137675046920776,164.0,0.15625,0.4166666666666667,0.22727272727272727,0.0,0.0,0.0,0.09375,0.25,0.13636363636363635,11.342069625854492,9.228686491648356,8.226726898780235,7.179613987604777,6.461790626699274
6,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail," The toy is currently being sold on eBay for £62,500 . The bear is currently being sold","Leah Rogers, 20, and Ryan Flanaghan, 22, bought bear in Bude, Cornwall .
They realised it was one of 100 1st edition Princess Diana Di Beanie Babies .
Range created in 1997 to raise money for Princess Of Wales Memorial Trust .
Couple listed bear for £20,000 on eBay and hope to raise money for house deposit .",0.5932782292366028,256.0,0.07272727272727272,0.23529411764705882,0.11111111111111113,0.018518518518518517,0.0625,0.02857142857142857,0.05454545454545454,0.17647058823529413,0.08333333333333334,11.8718444279262,10.50426139831543,9.580749345862348,8.752174331295874,8.015346808311266
7,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail,"

The video was broadcast on the KFC website and was posted to the social media site Reddit","Whalen family's dinner at KFC was interrupted by sounds of a sex scene .
Gerald and April were with two young children at the Oklahoma restaurant .
Scene from risque show Outlander was broadcast on KFC's television set .",0.4874697923660278,169.0,0.18421052631578946,0.4117647058823529,0.2545454545454545,0.05405405405405406,0.125,0.07547169811320754,0.13157894736842105,0.29411764705882354,0.1818181818181818,11.561532974243164,9.985400009155274,8.973174413045248,8.069695329666137,7.383500480651856
9,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail, The Miami Gardens Police Department said in a statement that it was 'deeply saddened' by the incident,"Lavall Hall, 25, was suffering psychotic episode when fatally shot by police .
His mother had called police to help take mentally ill son to hospital .
Police claim he attacked them with 'deadly force' using broom handle .
But footage from scene  appears to show Hall running away from cops .",0.2260784059762954,231.0,0.0625,0.17647058823529413,0.09230769230769231,0.0,0.0,0.0,0.041666666666666664,0.11764705882352941,0.06153846153846154,11.062658150990805,9.617025017738342,8.633089303970337,7.765674858093262,7.027197553265479
10,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail, The mayor said at the time it was to make a stand against what he called 'ridiculous,"Labour rival alerted colleagues after spotting councillor tucking into roast .
It is not the first time Jonny Bucknell, 58, has demonstrated odd behaviour .
In 2013 he slept in his car to make a point while attending Tory conference .
Mr Bucknell said he will campaign for rule change about eating at meetings .",0.2379422336816787,251.0,0.17647058823529413,0.5294117647058824,0.2647058823529412,0.04,0.125,0.06060606060606061,0.11764705882352941,0.35294117647058826,0.17647058823529413,12.512187163035074,10.276409442608173,9.319980746821352,8.43731612425584,7.545986984715317
11,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail,"

The article also notes that Klice was not wearing a helmet.

The article also","Dan Klice, 57, was hit by soaring projectile 'after a gust of wind'
Tried to dodge it, but fell, leaving his heel exposed when javelin struck .
He was judging a contest at Ramapo College, Mahwah, New Jersey .",0.3766833245754242,164.0,0.08108108108108109,0.21428571428571427,0.11764705882352942,0.0,0.0,0.0,0.08108108108108109,0.21428571428571427,0.11764705882352942,12.606356430053712,10.98487307808616,9.777747392654419,8.607544183731079,7.659049536500659
12,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail," Rosberg will be joined by Vettel, who has been out-qualified by Hamilton at each of","Nico Rosberg was the last driver out of the pit-lane and was forced to turn in a quicker out-lap than he would have liked ahead of his final shot at pole .
The German narrowly missed out  to his team-mate Lewis Hamilton .
Rosberg was just 0.042secs slower than his Mercedes rival .
Rosberg also said: 'Oh, come on, guys', over the team radio after he was informed he'd missed out on pole for tomorrow's Chinese Grand Prix .",0.5072730779647827,358.0,0.06172839506172839,0.3125,0.10309278350515463,0.0,0.0,0.0,0.037037037037037035,0.1875,0.06185567010309278,8.455720281600952,7.202782994224911,6.350654974579811,5.744279423425364,5.286552552823667
13,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail,"

The following text is from the article:

‘The United manager has been criticised","Manchester United lost 3-0 by Everton at Goodison Park on Sunday .
Louis van Gaal said United's motivation did not match Everton's .
The United boss could tell the attitude was not right in the warm-up .",0.386703759431839,160.0,0.10526315789473684,0.3076923076923077,0.1568627450980392,0.02702702702702703,0.08333333333333333,0.04081632653061225,0.07894736842105263,0.23076923076923078,0.11764705882352941,13.109450340270996,10.243145412868923,8.834144456045967,7.79940682963321,6.889072120189667
15,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail," Melanoma is the deadliest form of skin cancer with 9,000 people dying each year from the","Glenna Kohl was a Rhode Island college student in 2005 when she was diagnosed with stage III melanoma .
Kohl had been a devotee to both indoor and outdoor tanning since she was a high school student and life guard in Massachusetts .
Three years after her shocking diagnosis, Kohl died. Now her family is on a mission to educate young people about the dangers of tanning .",0.4398581385612488,308.0,0.12307692307692308,0.47058823529411764,0.1951219512195122,0.0,0.0,0.0,0.06153846153846154,0.23529411764705882,0.0975609756097561,10.010883808135986,8.143041789531708,7.107801715532939,6.297340199351311,5.607084971666336
17,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail, The researchers have also installed a series of underwater cameras to monitor the vessel's movements. The cameras are,"The RV FLIP looks like it might be an April Fool, but it as been working hard for more than 50 years .
The 355-foot vessel can flip 90 degrees in 20 minutes allowing researchers a unique opportunity to study the ocean .
The vessel does not have its own form or propulsion and relies on tugs to tow it to the area of study .
The RV FLIP was commissioned in 1962 and can sit still in heavy seas with more than 300 feet beneath the waves .",0.3620394766330719,354.0,0.10465116279069768,0.47368421052631576,0.17142857142857143,0.011764705882352941,0.05555555555555555,0.019417475728155338,0.08139534883720931,0.3684210526315789,0.13333333333333336,10.14160188039144,8.798037654475161,7.804511629301926,7.044471508417374,6.414322989327567
18,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail, The family were found dead in the flat on Monday. The police have now released the names of the,"Spanish woman allegedly stabbed British partner and two children .
The family were found dead in a flat in Gibraltar earlier this week .
Anarda De La Caridad Perez Friman 'suffered from post-natal depression'
British man identified as John Joseph Shannon, 31, from Liverpool .",0.3633401095867157,211.0,0.16279069767441862,0.3684210526315789,0.22580645161290322,0.11904761904761904,0.2777777777777778,0.16666666666666663,0.16279069767441862,0.3684210526315789,0.22580645161290322,11.42810516357422,9.464570392261852,8.436832343830782,7.834656093431556,7.247474686852817
19,facebook/opt-125m,Summarize the following text: ,CNN-DailyMail, . She also posted a picture of her arm from the arrest and claimed that the officer was too rough,"DelRea Good of Portage, Indiana was charged with resisting arrest after she drove to a 'safe and well-lit area' before pulling over .
Porter County Sheriff's Department Patrolman William Marshall arrested Good because she was 'uncooperative'
Marshall allegedly also accused her of having a controlled substance that turned out to be Advil .",0.4229212701320648,271.0,0.16981132075471697,0.47368421052631576,0.24999999999999994,0.0,0.0,0.0,0.07547169811320754,0.21052631578947367,0.11111111111111112,10.441116060529437,8.907878773553032,7.912869544256301,7.2591776847839355,6.6086839238802595
