Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"import { Component, OnInit } from '@angular/core';
import { FormBuilder, FormGroup,","Film star Johnny Depp and his actress wife Amber Heard are to divorce, US court documents have revealed.","{'Min_10.0% Prob': 12.9921875, 'Min_20.0% Prob': 8.389322916666666, 'Min_30.0% Prob': 6.8671875, 'Min_40.0% Prob': 5.811941964285714, 'Min_50.0% Prob': 5.029947916666667}",-0.05437463894486427,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,# Problem:What is the value of $\left( \frac{1}{2} \right,Police investigating the disappearance of a man three months ago say they have yet to trace the sender of a letter claiming he was dead.,"{'Min_10.0% Prob': 10.21875, 'Min_20.0% Prob': 7.91875, 'Min_30.0% Prob': 6.785714285714286, 'Min_40.0% Prob': 5.675, 'Min_50.0% Prob': 5.078776041666667}",-0.011614461429417133,"{'rouge1': Score(precision=0.08, recall=0.18181818181818182, fmeasure=0.1111111111111111), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08, recall=0.18181818181818182, fmeasure=0.1111111111111111)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"# The 2019-2020 School Year: A Year of Change and Adaptation

The","Scotland's top law officer, Frank Mulholland, will step down after the Scottish Parliament elections in May.","{'Min_10.0% Prob': 10.13671875, 'Min_20.0% Prob': 8.0078125, 'Min_30.0% Prob': 6.797200520833333, 'Min_40.0% Prob': 5.85205078125, 'Min_50.0% Prob': 4.867720170454546}",0.006454152520745993,"{'rouge1': Score(precision=0.058823529411764705, recall=0.08333333333333333, fmeasure=0.06896551724137931), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.058823529411764705, recall=0.08333333333333333, fmeasure=0.06896551724137931)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"# Problem:What is the most common type of cancer in the United States?
A. Lung cancer",Prison guards have shot dead 17 inmates after a mass breakout at Buimo prison in Papua New Guinea.,"{'Min_10.0% Prob': 9.48046875, 'Min_20.0% Prob': 8.7412109375, 'Min_30.0% Prob': 7.811848958333333, 'Min_40.0% Prob': 6.847900390625, 'Min_50.0% Prob': 6.1224609375}",-0.0087487967684865,"{'rouge1': Score(precision=0.1111111111111111, recall=0.125, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05555555555555555, recall=0.0625, fmeasure=0.058823529411764705)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"sample size = 1000
sample mean = 50
sample standard deviation = 10
","About £20m has been pledged to construct two major roads linking the new site of Balmoral Show to the motorway network, it has been claimed.","{'Min_10.0% Prob': 11.08203125, 'Min_20.0% Prob': 9.26484375, 'Min_30.0% Prob': 7.79443359375, 'Min_40.0% Prob': 6.897017045454546, 'Min_50.0% Prob': 6.219029017857143}",0.04421497881412506,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,# Question:What is the value of $x$ in the equation $x + 5 =,Exeter scrum-half Will Chudley is out for two months with a chest injury.,"{'Min_10.0% Prob': 17.640625, 'Min_20.0% Prob': 12.799479166666666, 'Min_30.0% Prob': 10.5890625, 'Min_40.0% Prob': 9.768880208333334, 'Min_50.0% Prob': 8.52099609375}",0.0133498664945364,"{'rouge1': Score(precision=0.07142857142857142, recall=0.08333333333333333, fmeasure=0.07692307692307691), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07142857142857142, recall=0.08333333333333333, fmeasure=0.07692307692307691)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,,"Building up a savings buffer is one financial goal that should be considered as a new year approaches, an expert says.","{'Min_10.0% Prob': 7.419921875, 'Min_20.0% Prob': 6.7841796875, 'Min_30.0% Prob': 6.044270833333333, 'Min_40.0% Prob': 5.477783203125, 'Min_50.0% Prob': 4.6921164772727275}",0.06422697752714157,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"import { Component, OnInit } from '@angular/core';
import { FormBuilder, FormGroup,",Two Sussex police constables questioned over their conduct at the site of the Shoreham air crash have left the force.,"{'Min_10.0% Prob': 9.8828125, 'Min_20.0% Prob': 8.2607421875, 'Min_30.0% Prob': 7.559244791666667, 'Min_40.0% Prob': 7.04931640625, 'Min_50.0% Prob': 6.109730113636363}",0.027412988245487213,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"# The 2019 World Cup in Qatar: A Look at the Host Nation's Progress

The",Two men who claim to have found a Nazi train said to be laden with gold have gone public in Poland.,"{'Min_10.0% Prob': 9.3125, 'Min_20.0% Prob': 9.21484375, 'Min_30.0% Prob': 8.694661458333334, 'Min_40.0% Prob': 8.17333984375, 'Min_50.0% Prob': 7.523046875}",0.08712899684906006,"{'rouge1': Score(precision=0.09523809523809523, recall=0.13333333333333333, fmeasure=0.1111111111111111), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.047619047619047616, recall=0.06666666666666667, fmeasure=0.05555555555555555)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"# The Future of the World Economy

The world economy is undergoing a profound transformation, driven by technological","The results have been published for more than five million GCSE entries - which will be five million different stories of exam dreams, dramas and disasters.","{'Min_10.0% Prob': 10.6015625, 'Min_20.0% Prob': 9.16875, 'Min_30.0% Prob': 7.94677734375, 'Min_40.0% Prob': 7.452734375, 'Min_50.0% Prob': 6.9053485576923075}",0.07817776501178741,"{'rouge1': Score(precision=0.08, recall=0.11764705882352941, fmeasure=0.09523809523809526), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08, recall=0.11764705882352941, fmeasure=0.09523809523809526)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,# Problem:Generate a short summary for the given document. The following is a list of the most,Team GB silver medallist Bryony Page says she hopes more kids will be inspired to take up trampolining after her success in Rio.,"{'Min_10.0% Prob': 12.78125, 'Min_20.0% Prob': 9.159375, 'Min_30.0% Prob': 7.56787109375, 'Min_40.0% Prob': 6.7296875, 'Min_50.0% Prob': 5.6483623798076925}",0.013468680903315544,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,Sudan's President Omar al-Bashir has been charged with war crimes and crimes against humanity by,Families of two men who died in prison have lost a High Court case related to the high rate of suicides there.,"{'Min_10.0% Prob': 7.787109375, 'Min_20.0% Prob': 7.5048828125, 'Min_30.0% Prob': 7.149088541666667, 'Min_40.0% Prob': 6.483940972222222, 'Min_50.0% Prob': 5.952947443181818}",0.013093533925712109,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"# The Future of the World

## The Future of the World

### The Future of the World",It was a bizarre story from the outset.,"{'Min_10.0% Prob': nan, 'Min_20.0% Prob': 7.9296875, 'Min_30.0% Prob': 7.748046875, 'Min_40.0% Prob': 7.268229166666667, 'Min_50.0% Prob': 6.533203125}",0.03114286996424198,"{'rouge1': Score(precision=0.125, recall=0.06666666666666667, fmeasure=0.08695652173913045), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.06666666666666667, fmeasure=0.08695652173913045)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"title: ""The Future of the Internet of Things (IoT)""
date: ""2023-",The future of one of Leicestershire's main museums has been questioned after an application for funding was shelved.,"{'Min_10.0% Prob': 9.51171875, 'Min_20.0% Prob': 8.859375, 'Min_30.0% Prob': 8.13671875, 'Min_40.0% Prob': 7.3974609375, 'Min_50.0% Prob': 6.318359375}",0.12529343366622925,"{'rouge1': Score(precision=0.21052631578947367, recall=0.36363636363636365, fmeasure=0.26666666666666666), 'rouge2': Score(precision=0.1111111111111111, recall=0.2, fmeasure=0.14285714285714285), 'rougeL': Score(precision=0.21052631578947367, recall=0.36363636363636365, fmeasure=0.26666666666666666)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"Sample records forcible sexual assault
Feminist perspectives on sexual assault and rape
Femin",David Cameron has been telling reporters that this election campaign is not about photo opportunities but more about the UK's long term economic revival.,"{'Min_10.0% Prob': 10.80078125, 'Min_20.0% Prob': 9.349609375, 'Min_30.0% Prob': 7.873325892857143, 'Min_40.0% Prob': 7.175347222222222, 'Min_50.0% Prob': 6.289876302083333}",-0.0322096049785614,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,Maine's 2018-19 budget is a $1.1 billion plan to help the,"As many as one in four pregnancies are thought to end in a miscarriage, and yet most women never talk about it.","{'Min_10.0% Prob': 7.751953125, 'Min_20.0% Prob': 6.1884765625, 'Min_30.0% Prob': 5.200846354166667, 'Min_40.0% Prob': 4.357421875, 'Min_50.0% Prob': 3.954190340909091}",0.020625852048397064,"{'rouge1': Score(precision=0.09090909090909091, recall=0.14285714285714285, fmeasure=0.1111111111111111), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.045454545454545456, recall=0.07142857142857142, fmeasure=0.05555555555555555)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"# Problem:What is the most effective way to study for a biology exam?
A. Cram","A Colombian air force plane has crashed in the north of the country, killing all 11 of those on board.","{'Min_10.0% Prob': 12.5625, 'Min_20.0% Prob': 10.19140625, 'Min_30.0% Prob': 8.093098958333334, 'Min_40.0% Prob': 6.985595703125, 'Min_50.0% Prob': 5.593306107954546}",0.06705542653799057,"{'rouge1': Score(precision=0.1, recall=0.13333333333333333, fmeasure=0.1142857142857143), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05, recall=0.06666666666666667, fmeasure=0.05714285714285715)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,A new study has found that the number of people who have died from COVID-19 in the United,"John McGuinness, known as the ""Morecambe Missile"", has won 23 times at the famous Isle of Man TT motorbike races.","{'Min_10.0% Prob': 9.763020833333334, 'Min_20.0% Prob': 7.689453125, 'Min_30.0% Prob': 6.605034722222222, 'Min_40.0% Prob': 5.899251302083333, 'Min_50.0% Prob': 5.2625}",0.11492777615785599,"{'rouge1': Score(precision=0.2, recall=0.21052631578947367, fmeasure=0.20512820512820512), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15, recall=0.15789473684210525, fmeasure=0.15384615384615385)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"# The 2019-2020 School Year: A Year in Review

## A Year of",Dover kept up the pressure on those on in the National League playoff places with a comfortable 2-0 win over strugglers Guiseley at the Crabble Athletic Ground.,"{'Min_10.0% Prob': 14.377604166666666, 'Min_20.0% Prob': 11.114397321428571, 'Min_30.0% Prob': 9.578125, 'Min_40.0% Prob': 8.511160714285714, 'Min_50.0% Prob': 7.368489583333333}",0.0850360244512558,"{'rouge1': Score(precision=0.10714285714285714, recall=0.25, fmeasure=0.15), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10714285714285714, recall=0.25, fmeasure=0.15)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,"# The 2019 Global Innovation Index

The Global Innovation Index (GII) is an annual",An annual gay rally in Singapore has drawn thousands amid an unprecedented backlash from religious groups.,"{'Min_10.0% Prob': 11.9453125, 'Min_20.0% Prob': 10.783854166666666, 'Min_30.0% Prob': 10.208984375, 'Min_40.0% Prob': 8.763020833333334, 'Min_50.0% Prob': 7.525390625}",0.12740494310855865,"{'rouge1': Score(precision=0.125, recall=0.15384615384615385, fmeasure=0.13793103448275862), 'rouge2': Score(precision=0.06666666666666667, recall=0.08333333333333333, fmeasure=0.07407407407407407), 'rougeL': Score(precision=0.125, recall=0.15384615384615385, fmeasure=0.13793103448275862)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,# The following is an article from the 2018-19 academic year. It is provided for,New world number one doubles team Jamie Murray and Bruno Soares suffered a disappointing defeat in the semi-finals of the ATP World Tour Finals.,"{'Min_10.0% Prob': 10.53125, 'Min_20.0% Prob': 9.19609375, 'Min_30.0% Prob': 8.664620535714286, 'Min_40.0% Prob': 7.2935546875, 'Min_50.0% Prob': 6.298377403846154}",0.02150341309607029,"{'rouge1': Score(precision=0.08, recall=0.13333333333333333, fmeasure=0.1), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08, recall=0.13333333333333333, fmeasure=0.1)}"
microsoft/Phi-4-mini-instruct,Summarize the following text: ,XSum,A new study has found that the number of people who have died from COVID-19 in the United,"Republican presidential candidates speaking at a forum in Washington, DC, have responded to the mass shooting in California which left at least 14 dead.","{'Min_10.0% Prob': 7.0703125, 'Min_20.0% Prob': 6.61171875, 'Min_30.0% Prob': 6.14013671875, 'Min_40.0% Prob': 5.331498579545454, 'Min_50.0% Prob': 4.633091517857143}",0.34635162353515625,"{'rouge1': Score(precision=0.16666666666666666, recall=0.21052631578947367, fmeasure=0.186046511627907), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.15789473684210525, fmeasure=0.13953488372093023)}"
