Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x_x,GradientBoosting_probability_x_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x_x,LogisticRegression_probability_x_x_x,LogisticRegression_status,RandomForest_prediction_x_x_x,RandomForest_probability_x_x_x,RandomForest_status,GradientBoosting_prediction_y_x_x,GradientBoosting_probability_y_x_x,GradientBoosting_label_x_x,LogisticRegression_prediction_y_x_x,LogisticRegression_probability_y_x_x,LogisticRegression_label_x_x,RandomForest_prediction_y_x_x,RandomForest_probability_y_x_x,RandomForest_label_x_x,GradientBoosting_prediction_x_y_x,GradientBoosting_probability_x_y_x,GradientBoosting_label_y_x,GradientBoosting_label_y.1_x,LogisticRegression_prediction_x_y_x,LogisticRegression_probability_x_y_x,LogisticRegression_label_y_x,LogisticRegression_label_y.1_x,RandomForest_prediction_x_y_x,RandomForest_probability_x_y_x,RandomForest_label_y_x,RandomForest_label_y.1_x,GradientBoosting_prediction_y_y_x,GradientBoosting_probability_y_y_x,GradientBoosting_label_y.2_x,GradientBoosting_label_y.3_x,LogisticRegression_prediction_y_y_x,LogisticRegression_probability_y_y_x,LogisticRegression_label_y.2_x,LogisticRegression_label_y.3_x,RandomForest_prediction_y_y_x,RandomForest_probability_y_y_x,RandomForest_label_y.2_x,RandomForest_label_y.3_x,GradientBoosting_prediction_x,GradientBoosting_probability_x,LogisticRegression_prediction_x,LogisticRegression_probability_x,RandomForest_prediction_x,RandomForest_probability_x,GradientBoosting_prediction_x_x_y,GradientBoosting_probability_x_x_y,GradientBoosting_label,LogisticRegression_prediction_x_x_y,LogisticRegression_probability_x_x_y,LogisticRegression_label,RandomForest_prediction_x_x_y,RandomForest_probability_x_x_y,RandomForest_label,GradientBoosting_prediction_y_x_y,GradientBoosting_probability_y_x_y,GradientBoosting_label_x_y,LogisticRegression_prediction_y_x_y,LogisticRegression_probability_y_x_y,LogisticRegression_label_x_y,RandomForest_prediction_y_x_y,RandomForest_probability_y_x_y,RandomForest_label_x_y,GradientBoosting_prediction_x_y_y,GradientBoosting_probability_x_y_y,GradientBoosting_label_y_y,GradientBoosting_label_y.1_y,LogisticRegression_prediction_x_y_y,LogisticRegression_probability_x_y_y,LogisticRegression_label_y_y,LogisticRegression_label_y.1_y,RandomForest_prediction_x_y_y,RandomForest_probability_x_y_y,RandomForest_label_y_y,RandomForest_label_y.1_y,GradientBoosting_prediction_y_y_y,GradientBoosting_probability_y_y_y,GradientBoosting_label_y.2_y,GradientBoosting_label_y.3_y,LogisticRegression_prediction_y_y_y,LogisticRegression_probability_y_y_y,LogisticRegression_label_y.2_y,LogisticRegression_label_y.3_y,RandomForest_prediction_y_y_y,RandomForest_probability_y_y_y,RandomForest_label_y.2_y,RandomForest_label_y.3_y,GradientBoosting_prediction_y,GradientBoosting_probability_y,LogisticRegression_prediction_y,LogisticRegression_probability_y,RandomForest_prediction_y,RandomForest_probability_y
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,XSum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",A leading Scottish Conservative MSP missed a parliamentary committee to referee a Champions League match in Portugal.,"{'Min_10.0% Prob': 12.34765625, 'Min_20.0% Prob': 10.8359375, 'Min_30.0% Prob': 9.8046875, 'Min_40.0% Prob': 8.44580078125, 'Min_50.0% Prob': 7.4029296875}",-0.0627235397696495,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",96,0.0,0.193954645105893,Clean,1.0,0.6469274139964586,Contaminated,0.0,0.2389020187329011,Clean,0.0,0.193954645105893,Not Contaminated,1.0,0.6469274139964586,Likely Contaminated,0.0,0.2389020187329011,Not Contaminated,0.0,0.193954645105893,Not Contaminated,Not Contaminated,1.0,0.6469274139964586,Likely Contaminated,Likely Contaminated,0.0,0.2389020187329011,Not Contaminated,Not Contaminated,0.0,0.193954645105893,Not Contaminated,Not Contaminated,1.0,0.6469274139964586,Likely Contaminated,Likely Contaminated,0.0,0.2389020187329011,Not Contaminated,Not Contaminated,0.0,0.193954645105893,1.0,0.6469274139964586,0.0,0.2389020187329011,0.0,0.193954645105893,Not Contaminated,1.0,0.6469274139964586,Likely Contaminated,0.0,0.2389020187329011,Not Contaminated,0.0,0.193954645105893,Not Contaminated,1.0,0.6469274139964586,Likely Contaminated,0.0,0.2389020187329011,Not Contaminated,0.0,0.193954645105893,Not Contaminated,Not Contaminated,1.0,0.6469274139964586,Likely Contaminated,Likely Contaminated,0.0,0.2389020187329011,Not Contaminated,Not Contaminated,0.0,0.193954645105893,Not Contaminated,Not Contaminated,1.0,0.6469274139964586,Likely Contaminated,Likely Contaminated,0.0,0.2389020187329011,Not Contaminated,Not Contaminated,0.0,0.19395464510589305,1.0,0.6469274139964586,0.0,0.23890201873290112
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,XSum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",British number three Aljaz Bedene is considering switching his allegiance back to Slovenia in order to compete at the Olympics.,"{'Min_10.0% Prob': 10.35546875, 'Min_20.0% Prob': 8.7609375, 'Min_30.0% Prob': 7.673549107142857, 'Min_40.0% Prob': 6.5244140625, 'Min_50.0% Prob': 5.641826923076923}",-0.0301838908344507,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",103,0.0,0.0863540931437614,Clean,1.0,0.5228133501226481,Contaminated,0.0,0.0421470139337786,Clean,0.0,0.0863540931437614,Not Contaminated,1.0,0.5228133501226481,Likely Contaminated,0.0,0.0421470139337786,Not Contaminated,0.0,0.0863540931437614,Not Contaminated,Not Contaminated,1.0,0.5228133501226481,Likely Contaminated,Likely Contaminated,0.0,0.0421470139337786,Not Contaminated,Not Contaminated,0.0,0.0863540931437614,Not Contaminated,Not Contaminated,1.0,0.5228133501226481,Likely Contaminated,Likely Contaminated,0.0,0.0421470139337786,Not Contaminated,Not Contaminated,0.0,0.0863540931437614,1.0,0.5228133501226481,0.0,0.0421470139337786,0.0,0.0863540931437614,Not Contaminated,1.0,0.5228133501226481,Likely Contaminated,0.0,0.0421470139337786,Not Contaminated,0.0,0.0863540931437614,Not Contaminated,1.0,0.5228133501226481,Likely Contaminated,0.0,0.0421470139337786,Not Contaminated,0.0,0.0863540931437614,Not Contaminated,Not Contaminated,1.0,0.5228133501226481,Likely Contaminated,Likely Contaminated,0.0,0.0421470139337786,Not Contaminated,Not Contaminated,0.0,0.0863540931437614,Not Contaminated,Not Contaminated,1.0,0.5228133501226481,Likely Contaminated,Likely Contaminated,0.0,0.0421470139337786,Not Contaminated,Not Contaminated,0.0,0.08635409314376143,1.0,0.5228133501226481,0.0,0.042147013933778635
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,XSum,"
 In a classroom, there are 4 groups of students working on a science project","A High Court case that could delay the Brexit process is ""a clear attempt to frustrate the will of the British people"", says a cabinet minister.","{'Min_10.0% Prob': 8.604166666666666, 'Min_20.0% Prob': 7.415364583333333, 'Min_30.0% Prob': 6.546875, 'Min_40.0% Prob': 5.885091145833333, 'Min_50.0% Prob': 5.1343994140625}",0.0434064418077468,"{'rouge1': Score(precision=0.11538461538461539, recall=0.21428571428571427, fmeasure=0.15), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11538461538461539, recall=0.21428571428571427, fmeasure=0.15)}",104,1.0,0.6373322259471824,Contaminated,1.0,0.6056173258288017,Contaminated,1.0,0.5193234967277703,Contaminated,1.0,0.6373322259471824,Likely Contaminated,1.0,0.6056173258288017,Likely Contaminated,1.0,0.5193234967277703,Likely Contaminated,1.0,0.6373322259471824,Likely Contaminated,Likely Contaminated,1.0,0.6056173258288017,Likely Contaminated,Likely Contaminated,1.0,0.5193234967277703,Likely Contaminated,Likely Contaminated,1.0,0.6373322259471824,Likely Contaminated,Likely Contaminated,1.0,0.6056173258288017,Likely Contaminated,Likely Contaminated,1.0,0.5193234967277703,Likely Contaminated,Likely Contaminated,1.0,0.6373322259471824,1.0,0.6056173258288017,1.0,0.5193234967277703,1.0,0.6373322259471824,Likely Contaminated,1.0,0.6056173258288017,Likely Contaminated,1.0,0.5193234967277703,Likely Contaminated,1.0,0.6373322259471824,Likely Contaminated,1.0,0.6056173258288017,Likely Contaminated,1.0,0.5193234967277703,Likely Contaminated,1.0,0.6373322259471824,Likely Contaminated,Likely Contaminated,1.0,0.6056173258288017,Likely Contaminated,Likely Contaminated,1.0,0.5193234967277703,Likely Contaminated,Likely Contaminated,1.0,0.6373322259471824,Likely Contaminated,Likely Contaminated,1.0,0.6056173258288017,Likely Contaminated,Likely Contaminated,1.0,0.5193234967277703,Likely Contaminated,Likely Contaminated,1.0,0.6373322259471824,1.0,0.6056173258288017,1.0,0.5193234967277703
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,XSum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates","A man in his 50s has died after being seriously assaulted in Swords, County Dublin.","{'Min_10.0% Prob': 8.13671875, 'Min_20.0% Prob': 7.08984375, 'Min_30.0% Prob': 6.444661458333333, 'Min_40.0% Prob': 5.73486328125, 'Min_50.0% Prob': 5.0111328125}",-0.0014807470142841,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",69,0.0,0.1509103138802468,Clean,0.0,0.4718396577696719,Clean,0.0,0.2226334237657766,Clean,0.0,0.1509103138802468,Not Contaminated,0.0,0.4718396577696719,Not Contaminated,0.0,0.2226334237657766,Not Contaminated,0.0,0.1509103138802468,Not Contaminated,Not Contaminated,0.0,0.4718396577696719,Not Contaminated,Not Contaminated,0.0,0.2226334237657766,Not Contaminated,Not Contaminated,0.0,0.1509103138802468,Not Contaminated,Not Contaminated,0.0,0.4718396577696719,Not Contaminated,Not Contaminated,0.0,0.2226334237657766,Not Contaminated,Not Contaminated,0.0,0.1509103138802468,0.0,0.4718396577696719,0.0,0.2226334237657766,0.0,0.1509103138802468,Not Contaminated,0.0,0.4718396577696719,Not Contaminated,0.0,0.2226334237657766,Not Contaminated,0.0,0.1509103138802468,Not Contaminated,0.0,0.4718396577696719,Not Contaminated,0.0,0.2226334237657766,Not Contaminated,0.0,0.1509103138802468,Not Contaminated,Not Contaminated,0.0,0.4718396577696719,Not Contaminated,Not Contaminated,0.0,0.2226334237657766,Not Contaminated,Not Contaminated,0.0,0.1509103138802468,Not Contaminated,Not Contaminated,0.0,0.4718396577696719,Not Contaminated,Not Contaminated,0.0,0.2226334237657766,Not Contaminated,Not Contaminated,0.0,0.15091031388024684,0.0,0.4718396577696719,0.0,0.22263342376577666
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,XSum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",A vicar arrested in connection with historical sexual abuse has been suspended by the Church of England.,"{'Min_10.0% Prob': 14.2109375, 'Min_20.0% Prob': 10.142578125, 'Min_30.0% Prob': 8.1103515625, 'Min_40.0% Prob': 6.886474609375, 'Min_50.0% Prob': 6.0271484375}",-0.0402277372777462,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",85,0.0,0.0455347943010568,Clean,1.0,0.5374315873384323,Contaminated,0.0,0.0281525810790516,Clean,0.0,0.0455347943010568,Not Contaminated,1.0,0.5374315873384323,Likely Contaminated,0.0,0.0281525810790516,Not Contaminated,0.0,0.0455347943010568,Not Contaminated,Not Contaminated,1.0,0.5374315873384323,Likely Contaminated,Likely Contaminated,0.0,0.0281525810790516,Not Contaminated,Not Contaminated,0.0,0.0455347943010568,Not Contaminated,Not Contaminated,1.0,0.5374315873384323,Likely Contaminated,Likely Contaminated,0.0,0.0281525810790516,Not Contaminated,Not Contaminated,0.0,0.0455347943010568,1.0,0.5374315873384323,0.0,0.0281525810790516,0.0,0.0455347943010568,Not Contaminated,1.0,0.5374315873384323,Likely Contaminated,0.0,0.0281525810790516,Not Contaminated,0.0,0.0455347943010568,Not Contaminated,1.0,0.5374315873384323,Likely Contaminated,0.0,0.0281525810790516,Not Contaminated,0.0,0.0455347943010568,Not Contaminated,Not Contaminated,1.0,0.5374315873384323,Likely Contaminated,Likely Contaminated,0.0,0.0281525810790516,Not Contaminated,Not Contaminated,0.0,0.0455347943010568,Not Contaminated,Not Contaminated,1.0,0.5374315873384323,Likely Contaminated,Likely Contaminated,0.0,0.0281525810790516,Not Contaminated,Not Contaminated,0.0,0.04553479430105689,1.0,0.5374315873384323,0.0,0.02815258107905167
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,XSum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",A council boss has refused to say if he will honour a vow to repay compensation won in a libel case to the authority.,"{'Min_10.0% Prob': 10.12109375, 'Min_20.0% Prob': 8.4109375, 'Min_30.0% Prob': 7.44775390625, 'Min_40.0% Prob': 6.7336647727272725, 'Min_50.0% Prob': 6.029157366071429}",0.0090789888054132,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",92,0.0,0.1749877301602752,Clean,1.0,0.5433222551915732,Contaminated,0.0,0.1045534619534232,Clean,0.0,0.1749877301602752,Not Contaminated,1.0,0.5433222551915732,Likely Contaminated,0.0,0.1045534619534232,Not Contaminated,0.0,0.1749877301602752,Not Contaminated,Not Contaminated,1.0,0.5433222551915732,Likely Contaminated,Likely Contaminated,0.0,0.1045534619534232,Not Contaminated,Not Contaminated,0.0,0.1749877301602752,Not Contaminated,Not Contaminated,1.0,0.5433222551915732,Likely Contaminated,Likely Contaminated,0.0,0.1045534619534232,Not Contaminated,Not Contaminated,0.0,0.1749877301602752,1.0,0.5433222551915732,0.0,0.1045534619534232,0.0,0.1749877301602752,Not Contaminated,1.0,0.5433222551915732,Likely Contaminated,0.0,0.1045534619534232,Not Contaminated,0.0,0.1749877301602752,Not Contaminated,1.0,0.5433222551915732,Likely Contaminated,0.0,0.1045534619534232,Not Contaminated,0.0,0.1749877301602752,Not Contaminated,Not Contaminated,1.0,0.5433222551915732,Likely Contaminated,Likely Contaminated,0.0,0.1045534619534232,Not Contaminated,Not Contaminated,0.0,0.1749877301602752,Not Contaminated,Not Contaminated,1.0,0.5433222551915732,Likely Contaminated,Likely Contaminated,0.0,0.1045534619534232,Not Contaminated,Not Contaminated,0.0,0.17498773016027525,1.0,0.5433222551915732,0.0,0.10455346195342324
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,XSum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",A London council has withdrawn an order forcing a mother to send her home educated child to school.,"{'Min_10.0% Prob': 14.1796875, 'Min_20.0% Prob': 11.359375, 'Min_30.0% Prob': 9.762369791666666, 'Min_40.0% Prob': 8.623046875, 'Min_50.0% Prob': 7.4619140625}",-0.1087195128202438,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",81,0.0,0.1595989490124337,Clean,1.0,0.6433366195310554,Contaminated,0.0,0.2415744247582484,Clean,0.0,0.1595989490124337,Not Contaminated,1.0,0.6433366195310554,Likely Contaminated,0.0,0.2415744247582484,Not Contaminated,0.0,0.1595989490124337,Not Contaminated,Not Contaminated,1.0,0.6433366195310554,Likely Contaminated,Likely Contaminated,0.0,0.2415744247582484,Not Contaminated,Not Contaminated,0.0,0.1595989490124337,Not Contaminated,Not Contaminated,1.0,0.6433366195310554,Likely Contaminated,Likely Contaminated,0.0,0.2415744247582484,Not Contaminated,Not Contaminated,0.0,0.1595989490124337,1.0,0.6433366195310554,0.0,0.2415744247582484,0.0,0.1595989490124337,Not Contaminated,1.0,0.6433366195310554,Likely Contaminated,0.0,0.2415744247582484,Not Contaminated,0.0,0.1595989490124337,Not Contaminated,1.0,0.6433366195310554,Likely Contaminated,0.0,0.2415744247582484,Not Contaminated,0.0,0.1595989490124337,Not Contaminated,Not Contaminated,1.0,0.6433366195310554,Likely Contaminated,Likely Contaminated,0.0,0.2415744247582484,Not Contaminated,Not Contaminated,0.0,0.1595989490124337,Not Contaminated,Not Contaminated,1.0,0.6433366195310554,Likely Contaminated,Likely Contaminated,0.0,0.2415744247582484,Not Contaminated,Not Contaminated,0.0,0.1595989490124337,1.0,0.6433366195310554,0.0,0.24157442475824842
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,XSum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",Shares in Swiss agribusiness group Syngenta have risen 12% after its takeover by ChemChina was given the go-ahead by a US regulator.,"{'Min_10.0% Prob': 6.837239583333333, 'Min_20.0% Prob': 5.232421875, 'Min_30.0% Prob': 4.45703125, 'Min_40.0% Prob': 3.8842447916666667, 'Min_50.0% Prob': 3.447779605263158}",0.097363606095314,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",109,0.0,0.4438762242418267,Clean,0.0,0.3639874029793325,Clean,0.0,0.2753188998823674,Clean,0.0,0.4438762242418267,Not Contaminated,0.0,0.3639874029793325,Not Contaminated,0.0,0.2753188998823674,Not Contaminated,0.0,0.4438762242418267,Not Contaminated,Not Contaminated,0.0,0.3639874029793325,Not Contaminated,Not Contaminated,0.0,0.2753188998823674,Not Contaminated,Not Contaminated,0.0,0.4438762242418267,Not Contaminated,Not Contaminated,0.0,0.3639874029793325,Not Contaminated,Not Contaminated,0.0,0.2753188998823674,Not Contaminated,Not Contaminated,0.0,0.4438762242418267,0.0,0.3639874029793325,0.0,0.2753188998823674,0.0,0.4438762242418267,Not Contaminated,0.0,0.3639874029793325,Not Contaminated,0.0,0.2753188998823674,Not Contaminated,0.0,0.4438762242418267,Not Contaminated,0.0,0.3639874029793325,Not Contaminated,0.0,0.2753188998823674,Not Contaminated,0.0,0.4438762242418267,Not Contaminated,Not Contaminated,0.0,0.3639874029793325,Not Contaminated,Not Contaminated,0.0,0.2753188998823674,Not Contaminated,Not Contaminated,0.0,0.4438762242418267,Not Contaminated,Not Contaminated,0.0,0.3639874029793325,Not Contaminated,Not Contaminated,0.0,0.2753188998823674,Not Contaminated,Not Contaminated,0.0,0.44387622424182677,0.0,0.3639874029793325,0.0,0.27531889988236746
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,XSum,"
 In a classroom, there are 24 students. One-third of them","It is a drizzly Sunday morning in Guyana, and at the National Stadium a game of cricket is in full swing.","{'Min_10.0% Prob': 11.34375, 'Min_20.0% Prob': 7.36484375, 'Min_30.0% Prob': 6.380859375, 'Min_40.0% Prob': 5.17373046875, 'Min_50.0% Prob': 4.296724759615385}",-0.023715566843748,"{'rouge1': Score(precision=0.14285714285714285, recall=0.2727272727272727, fmeasure=0.18749999999999997), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=0.2727272727272727, fmeasure=0.18749999999999997)}",83,0.0,0.1789061585082381,Clean,1.0,0.570686164021332,Contaminated,1.0,0.6821771708683474,Contaminated,0.0,0.1789061585082381,Not Contaminated,1.0,0.570686164021332,Likely Contaminated,1.0,0.6821771708683474,Likely Contaminated,0.0,0.1789061585082381,Not Contaminated,Not Contaminated,1.0,0.570686164021332,Likely Contaminated,Likely Contaminated,1.0,0.6821771708683474,Likely Contaminated,Likely Contaminated,0.0,0.1789061585082381,Not Contaminated,Not Contaminated,1.0,0.570686164021332,Likely Contaminated,Likely Contaminated,1.0,0.6821771708683474,Likely Contaminated,Likely Contaminated,0.0,0.1789061585082381,1.0,0.570686164021332,1.0,0.6821771708683474,0.0,0.1789061585082381,Not Contaminated,1.0,0.570686164021332,Likely Contaminated,1.0,0.6821771708683474,Likely Contaminated,0.0,0.1789061585082381,Not Contaminated,1.0,0.570686164021332,Likely Contaminated,1.0,0.6821771708683474,Likely Contaminated,0.0,0.1789061585082381,Not Contaminated,Not Contaminated,1.0,0.570686164021332,Likely Contaminated,Likely Contaminated,1.0,0.6821771708683474,Likely Contaminated,Likely Contaminated,0.0,0.1789061585082381,Not Contaminated,Not Contaminated,1.0,0.570686164021332,Likely Contaminated,Likely Contaminated,1.0,0.6821771708683474,Likely Contaminated,Likely Contaminated,0.0,0.17890615850823818,1.0,0.570686164021332,1.0,0.6821771708683474
microsoft/Phi-3.5-mini-instruct,Summarize the following text: ,XSum,"
 [{""name"": ""calculate_discount"", ""description"": ""Calculates",Pupils at seven schools could have shorter days after a trust head say he may have to cut hours to save money.,"{'Min_10.0% Prob': 9.5390625, 'Min_20.0% Prob': 8.62109375, 'Min_30.0% Prob': 7.815290178571429, 'Min_40.0% Prob': 7.285590277777778, 'Min_50.0% Prob': 6.370930989583333}",0.0494190938770771,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",88,0.0,0.2933442619528191,Clean,1.0,0.5776164699278621,Contaminated,0.0,0.1885941925721337,Clean,0.0,0.2933442619528191,Not Contaminated,1.0,0.5776164699278621,Likely Contaminated,0.0,0.1885941925721337,Not Contaminated,0.0,0.2933442619528191,Not Contaminated,Not Contaminated,1.0,0.5776164699278621,Likely Contaminated,Likely Contaminated,0.0,0.1885941925721337,Not Contaminated,Not Contaminated,0.0,0.2933442619528191,Not Contaminated,Not Contaminated,1.0,0.5776164699278621,Likely Contaminated,Likely Contaminated,0.0,0.1885941925721337,Not Contaminated,Not Contaminated,0.0,0.2933442619528191,1.0,0.5776164699278621,0.0,0.1885941925721337,0.0,0.2933442619528191,Not Contaminated,1.0,0.5776164699278621,Likely Contaminated,0.0,0.1885941925721337,Not Contaminated,0.0,0.2933442619528191,Not Contaminated,1.0,0.5776164699278621,Likely Contaminated,0.0,0.1885941925721337,Not Contaminated,0.0,0.2933442619528191,Not Contaminated,Not Contaminated,1.0,0.5776164699278621,Likely Contaminated,Likely Contaminated,0.0,0.1885941925721337,Not Contaminated,Not Contaminated,0.0,0.2933442619528191,Not Contaminated,Not Contaminated,1.0,0.5776164699278621,Likely Contaminated,Likely Contaminated,0.0,0.1885941925721337,Not Contaminated,Not Contaminated,0.0,0.29334426195281915,1.0,0.5776164699278621,0.0,0.18859419257213375
