,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,levenshtein_distance,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Hannah asks Amanda for Betty's number, but Amanda doesn't have it and",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,0.8378137350082397,41.0,0.625,0.7142857142857143,0.6666666666666666,0.5333333333333333,0.6153846153846154,0.5714285714285715,0.625,0.7142857142857143,0.6666666666666666,11.3671875,9.5126953125,8.326171875,7.311767578125,6.402734375
1,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Eric and Rob discuss a funny stand-up comedy routine about a machine, which they find am",Eric and Rob are going to watch a stand-up on youtube.,0.6895302534103394,61.0,0.5,0.35294117647058826,0.41379310344827586,0.2727272727272727,0.1875,0.2222222222222222,0.5,0.35294117647058826,0.41379310344827586,8.7109375,8.39453125,7.951171875,6.8203125,6.446428571428571
2,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Lenny seeks Bob's help in choosing between three pairs of trousers. Bob suggests,Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,0.7903726696968079,104.0,0.20689655172413793,0.42857142857142855,0.2790697674418604,0.03571428571428571,0.07692307692307693,0.04878048780487805,0.13793103448275862,0.2857142857142857,0.18604651162790697,7.59765625,6.92333984375,6.1123046875,5.362060546875,4.693359375
3,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Will asks Emma about dinner plans, but she declines, saying she's not hungry and",Emma will be home soon and she will let Will know.,0.6279518604278564,59.0,0.36363636363636365,0.26666666666666666,0.30769230769230765,0.0,0.0,0.0,0.18181818181818182,0.13333333333333333,0.15384615384615383,8.6484375,7.40234375,6.924479166666667,6.68359375,5.949609375
4,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Ollie and Jane discuss their plans for a lunch meeting, which Jane suggests for the ",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,0.7184634804725647,164.0,0.18604651162790697,0.5333333333333333,0.27586206896551724,0.09523809523809523,0.2857142857142857,0.14285714285714285,0.16279069767441862,0.4666666666666667,0.24137931034482765,9.7109375,8.3125,7.166883680555555,6.406656901041667,5.635017641129032
5,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Benjamin and his friends discuss plans for the day, including meeting French colleagues for lunch and dinner",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,0.5196171998977661,235.0,0.14035087719298245,0.47058823529411764,0.2162162162162162,0.03571428571428571,0.125,0.05555555555555556,0.08771929824561403,0.29411764705882354,0.13513513513513511,8.229910714285714,6.9140625,5.975074404761905,5.343959263392857,4.833116319444445
6,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Max asks Payton for good clothing websites, and Payton recommends several, mentioning she",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,0.7530187964439392,143.0,0.2,0.46153846153846156,0.27906976744186046,0.0,0.0,0.0,0.13333333333333333,0.3076923076923077,0.18604651162790697,10.197265625,9.0224609375,7.876953125,7.0096435546875,6.28740234375
7,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Rita and Tina are both exhausted and struggling to stay awake at work, finding their",Rita and Tina are bored at work and have still 4 hours left.,0.8307612538337708,50.0,0.5384615384615384,0.4666666666666667,0.5,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.46153846153846156,0.4,0.42857142857142855,11.53125,8.174479166666666,6.607421875,6.091471354166667,5.38330078125
8,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Beatrice insists on buying Leo a scarf for winter, despite his dislike for them","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",0.8652471303939819,92.0,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.1111111111111111,0.23076923076923078,0.15,0.21428571428571427,0.42857142857142855,0.2857142857142857,9.653645833333334,8.053571428571429,6.7830078125,5.6181640625,4.704210069444445
9,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Ivan and Eric discuss Eric's attendance at Ivan's brother's wedding. Eric,Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,0.8363797664642334,57.0,0.3333333333333333,0.5,0.4,0.2,0.3076923076923077,0.24242424242424246,0.2857142857142857,0.42857142857142855,0.34285714285714286,9.93359375,8.21875,7.296875,6.0716796875,5.248798076923077
10,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Wanda wants to throw a party and asks Gina to help with grocery shopping using,Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,0.843910276889801,71.0,0.4230769230769231,0.7333333333333333,0.5365853658536585,0.28,0.5,0.358974358974359,0.38461538461538464,0.6666666666666666,0.4878048780487804,8.388020833333334,7.552734375,6.7578125,6.097956730769231,5.391084558823529
11,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Martin won two cinema tickets online through a movie magazine's Facebook event. He received the tick,Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,0.5807937383651733,85.0,0.2222222222222222,0.35294117647058826,0.27272727272727276,0.038461538461538464,0.0625,0.04761904761904762,0.18518518518518517,0.29411764705882354,0.22727272727272727,9.502604166666666,8.654947916666666,8.127604166666666,7.226262019230769,6.681640625
12,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Charlee is taking a Portuguese theatre class at university, where they are preparing a performance of a",Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,0.7933754920959473,71.0,0.375,0.5294117647058824,0.4390243902439025,0.17391304347826086,0.25,0.20512820512820512,0.3333333333333333,0.47058823529411764,0.39024390243902435,10.861979166666666,8.960286458333334,7.684895833333333,6.857096354166667,6.1859375
13,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Mary asks Tom about his travel plans, and he mentions that Ella rented a car. El","Ella rented a car, this makes things much faster for her and Tom. ",0.720173180103302,57.0,0.46153846153846156,0.375,0.41379310344827586,0.25,0.2,0.22222222222222224,0.3076923076923077,0.25,0.27586206896551724,8.75,7.889322916666667,7.22578125,6.992838541666667,6.3984375
14,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Luke and Paul are discussing joining Netflix. Paul confirms he is still looking for someone,Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,0.8072808384895325,156.0,0.1388888888888889,0.3333333333333333,0.19607843137254902,0.0,0.0,0.0,0.1111111111111111,0.26666666666666666,0.1568627450980392,7.865234375,6.7373046875,5.9774639423076925,5.4921875,4.785067471590909
15,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Greg needs to stay after hours again, but Betsy cannot pick up their son Johnny because she","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",0.7362189888954163,117.0,0.20588235294117646,0.4117647058823529,0.2745098039215686,0.06060606060606061,0.125,0.0816326530612245,0.17647058823529413,0.35294117647058826,0.23529411764705885,7.115234375,6.0546875,5.260216346153846,4.686695772058823,4.159135298295454
16,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"In this conversation, Ethan sends a photo to Scott, which Toby and Marshall find amusing","Ethan, Toby and Marshall are making fun of Scott.",0.7801928520202637,70.0,0.5555555555555556,0.3333333333333333,0.4166666666666667,0.25,0.14285714285714285,0.18181818181818182,0.4444444444444444,0.26666666666666666,0.33333333333333337,8.4609375,8.177734375,8.07421875,7.548828125,6.807291666666667
17,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Igor is overwhelmed with work during his notice period, and John advises him to",Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless. ,0.83077472448349,88.0,0.32,0.5714285714285714,0.41025641025641024,0.125,0.23076923076923078,0.16216216216216217,0.32,0.5714285714285714,0.41025641025641024,10.739583333333334,8.842447916666666,7.491319444444445,6.578776041666667,5.6846923828125
18,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Clara and Neela discuss the TV show ""Dear White People"" on Netflix. Clara",Clara is rewatching Dear White People and strongly recommends it to Neela.,0.7816569209098816,54.0,0.5,0.46153846153846156,0.48000000000000004,0.18181818181818182,0.16666666666666666,0.17391304347826086,0.3333333333333333,0.3076923076923077,0.32,10.59375,9.233072916666666,8.32734375,7.720703125,6.614501953125
19,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Ernest informs Mike that someone crashed into a red Honda that looks like Mike's car,Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's. ,0.8797704577445984,64.0,0.5416666666666666,0.8125,0.65,0.30434782608695654,0.4666666666666667,0.3684210526315789,0.4583333333333333,0.6875,0.5499999999999999,11.424479166666666,9.442057291666666,8.276909722222221,7.278971354166667,6.536979166666667
20,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Deirdre and Beth discuss planning a special girls' weekend for Beth's mother's,Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.,0.8014665246009827,183.0,0.19047619047619047,0.5714285714285714,0.2857142857142857,0.04878048780487805,0.15384615384615385,0.07407407407407408,0.14285714285714285,0.42857142857142855,0.21428571428571427,7.912760416666667,7.001627604166667,6.166015625,5.390543619791667,4.55859375
21,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Gloria explains that the exam is unpredictable and relies on experience, but there are some",Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.,0.6536118388175964,109.0,0.15625,0.3333333333333333,0.2127659574468085,0.03225806451612903,0.07142857142857142,0.044444444444444446,0.125,0.26666666666666666,0.1702127659574468,9.921875,8.51953125,7.2922585227272725,6.591378348214286,5.681803385416667
22,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Adam and Karen are concerned about their friend May, who is showing signs of depression. Despite",Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice. ,0.9054734706878662,82.0,0.391304347826087,0.5625,0.46153846153846156,0.18181818181818182,0.26666666666666666,0.21621621621621623,0.30434782608695654,0.4375,0.358974358974359,8.947916666666666,7.5625,6.280164930555555,5.472819010416667,4.777994791666667
23,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Anne discovered that Mark, whom she thought was 30, was actually 40 after seeing",Mark lied to Anne about his age. Mark is 40.,0.7558156251907349,61.0,0.3,0.21428571428571427,0.25,0.0,0.0,0.0,0.3,0.21428571428571427,0.25,10.640625,9.08203125,6.359375,5.73125,4.642996651785714
24,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Augustine reminds the group about Wharton's upcoming birthday, and Darl","Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it. ",0.6332725882530212,121.0,0.18518518518518517,0.45454545454545453,0.2631578947368421,0.038461538461538464,0.1,0.05555555555555555,0.14814814814814814,0.36363636363636365,0.21052631578947367,9.919921875,8.8349609375,7.512019230769231,6.753561580882353,5.866033380681818
25,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Kelly shares a sculpture garden in Finland, which is scary due to the numerous sculptures with","Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy. ",0.6939907073974609,83.0,0.19230769230769232,0.3125,0.2380952380952381,0.04,0.06666666666666667,0.05,0.15384615384615385,0.25,0.1904761904761905,11.861328125,10.07177734375,9.0537109375,8.02392578125,7.021484375
26,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,"Myah shares a photo with a phone number, but Selah can't see it clearly and",Selah called a person that did not pick up.,0.4319304525852203,55.0,0.2222222222222222,0.125,0.16,0.0,0.0,0.0,0.1111111111111111,0.0625,0.08,11.140625,10.15234375,9.71875,9.1259765625,8.23828125
27,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Eric and Bella discuss their boss's reaction to their decision to dismiss a client's,Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.,0.8938910961151123,65.0,0.47368421052631576,0.5625,0.5142857142857142,0.16666666666666666,0.2,0.1818181818181818,0.2631578947368421,0.3125,0.2857142857142857,10.59375,8.9326171875,7.642299107142857,7.095052083333333,6.480794270833333
28,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Ben and Emma are discussing their bus ride to New York. Emma is at the bus stop because,Emma is about to take a nap in the back of the bus to New York. Ben and Emma will be there around 4.30 pm. Ben will wake Emma up 15 minutes prior to their arrival.,0.7852551937103271,116.0,0.2972972972972973,0.6111111111111112,0.39999999999999997,0.16666666666666666,0.35294117647058826,0.22641509433962262,0.16216216216216217,0.3333333333333333,0.2181818181818182,6.828125,5.90625,5.281700721153846,4.737087673611111,4.376154119318182
29,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Jesse proposes a charitable idea to cheer up Maxine by helping the less fortunate,"Jesse, Melvin, Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge, which helps women and children who escape from abuse.",0.5599291920661926,125.0,0.1724137931034483,0.35714285714285715,0.23255813953488377,0.0,0.0,0.0,0.10344827586206896,0.21428571428571427,0.1395348837209302,8.2265625,7.527901785714286,6.709872159090909,5.969791666666667,5.358038651315789
30,microsoft/Phi-3-medium-128k-instruct,Summarize the following text: ,Samsum,Mary asks Carter for a few boxes because she is broke. Carter agrees to help and tells her,Mary ran out of money. Carter is going to lend her some in an hour.,0.7027530074119568,60.0,0.3333333333333333,0.2777777777777778,0.303030303030303,0.0,0.0,0.0,0.3333333333333333,0.2777777777777778,0.303030303030303,13.8203125,9.158854166666666,7.37578125,6.817057291666667,6.091796875
