Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x,GradientBoosting_probability_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x,LogisticRegression_probability_x_x,LogisticRegression_status,RandomForest_prediction_x_x,RandomForest_probability_x_x,RandomForest_status,GradientBoosting_prediction_y_x,GradientBoosting_probability_y_x,GradientBoosting_label_x,LogisticRegression_prediction_y_x,LogisticRegression_probability_y_x,LogisticRegression_label_x,RandomForest_prediction_y_x,RandomForest_probability_y_x,RandomForest_label_x,GradientBoosting_prediction_x_y,GradientBoosting_probability_x_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_x_y,LogisticRegression_probability_x_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_x_y,RandomForest_probability_x_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction_y_y,GradientBoosting_probability_y_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_y_y,LogisticRegression_probability_y_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_y_y,RandomForest_probability_y_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction,GradientBoosting_probability,LogisticRegression_prediction,LogisticRegression_probability,RandomForest_prediction,RandomForest_probability
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,XSum," The project was initiated by Sir Peter and his wife, Sally.

Okay, so I need to summarize",The artist who created the album cover for The Beatles' Sgt Pepper album has been given a top honour in the band's home city.,"{'Min_10.0% Prob': 14.84375, 'Min_20.0% Prob': 11.9625, 'Min_30.0% Prob': 10.59521484375, 'Min_40.0% Prob': 9.8390625, 'Min_50.0% Prob': 8.700420673076923}",0.0791554301977157,"{'rouge1': Score(precision=0.04, recall=0.058823529411764705, fmeasure=0.04761904761904763), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.04, recall=0.058823529411764705, fmeasure=0.04761904761904763)}",92,1,0.9634566763448772,Contaminated,1,0.7598591756346349,Contaminated,1,0.9703648275743864,Contaminated,1,0.9634566763448772,Likely Contaminated,1,0.7598591756346349,Likely Contaminated,1,0.9703648275743864,Likely Contaminated,1,0.9634566763448772,Likely Contaminated,Likely Contaminated,1,0.7598591756346349,Likely Contaminated,Likely Contaminated,1,0.9703648275743864,Likely Contaminated,Likely Contaminated,1,0.9634566763448772,Likely Contaminated,Likely Contaminated,1,0.7598591756346349,Likely Contaminated,Likely Contaminated,1,0.9703648275743864,Likely Contaminated,Likely Contaminated,1,0.9634566763448772,1,0.7598591756346349,1,0.9703648275743865
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,XSum, But the system could also be used to make it harder for people to enter their passwords if they are,"Using Windows 8 devices could involve signing on by tapping, circling or touching images.","{'Min_10.0% Prob': 12.59375, 'Min_20.0% Prob': 11.598958333333334, 'Min_30.0% Prob': 10.6171875, 'Min_40.0% Prob': 10.061383928571429, 'Min_50.0% Prob': 9.519097222222221}",0.3689655363559723,"{'rouge1': Score(precision=0.14285714285714285, recall=0.1, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07142857142857142, recall=0.05, fmeasure=0.058823529411764705)}",81,1,0.9365017579914808,Contaminated,1,0.843059781425899,Contaminated,1,0.9283151848151848,Contaminated,1,0.9365017579914808,Likely Contaminated,1,0.843059781425899,Likely Contaminated,1,0.9283151848151848,Likely Contaminated,1,0.9365017579914808,Likely Contaminated,Likely Contaminated,1,0.843059781425899,Likely Contaminated,Likely Contaminated,1,0.9283151848151848,Likely Contaminated,Likely Contaminated,1,0.9365017579914808,Likely Contaminated,Likely Contaminated,1,0.843059781425899,Likely Contaminated,Likely Contaminated,1,0.9283151848151848,Likely Contaminated,Likely Contaminated,1,0.9365017579914809,1,0.843059781425899,1,0.9283151848151847
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,XSum," He was found guilty of perverting the court of justice in January, but was given a lesser sentence",A man who helped his murderer ex-girlfriend bury her boyfriend's body in a Newcastle park has been jailed.,"{'Min_10.0% Prob': 15.40234375, 'Min_20.0% Prob': 14.46484375, 'Min_30.0% Prob': 13.7265625, 'Min_40.0% Prob': 13.2421875, 'Min_50.0% Prob': 11.610795454545455}",0.2217554599046707,"{'rouge1': Score(precision=0.1, recall=0.1111111111111111, fmeasure=0.10526315789473685), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.1111111111111111, fmeasure=0.10526315789473685)}",82,1,0.9953928972009908,Contaminated,1,0.9107404870772908,Contaminated,1,1.0,Contaminated,1,0.9953928972009908,Likely Contaminated,1,0.9107404870772908,Likely Contaminated,1,1.0,Likely Contaminated,1,0.9953928972009908,Likely Contaminated,Likely Contaminated,1,0.9107404870772908,Likely Contaminated,Likely Contaminated,1,1.0,Likely Contaminated,Likely Contaminated,1,0.9953928972009908,Likely Contaminated,Likely Contaminated,1,0.9107404870772908,Likely Contaminated,Likely Contaminated,1,1.0,Likely Contaminated,Likely Contaminated,1,0.9953928972009907,1,0.9107404870772909,1,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,XSum," The case was described as a ""highly sensitive"" one because of the nature of the crimes and",An Australian man jailed for the rape and murder of an Irish woman has been convicted of three more rapes.,"{'Min_10.0% Prob': 17.9140625, 'Min_20.0% Prob': 14.345703125, 'Min_30.0% Prob': 12.41796875, 'Min_40.0% Prob': 11.09228515625, 'Min_50.0% Prob': 9.6478515625}",0.2776579260826111,"{'rouge1': Score(precision=0.2, recall=0.23529411764705882, fmeasure=0.2162162162162162), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15, recall=0.17647058823529413, fmeasure=0.16216216216216214)}",78,1,0.9787933844439412,Contaminated,1,0.8894041762709949,Contaminated,1,0.978410110722611,Contaminated,1,0.9787933844439412,Likely Contaminated,1,0.8894041762709949,Likely Contaminated,1,0.978410110722611,Likely Contaminated,1,0.9787933844439412,Likely Contaminated,Likely Contaminated,1,0.8894041762709949,Likely Contaminated,Likely Contaminated,1,0.978410110722611,Likely Contaminated,Likely Contaminated,1,0.9787933844439412,Likely Contaminated,Likely Contaminated,1,0.8894041762709949,Likely Contaminated,Likely Contaminated,1,0.978410110722611,Likely Contaminated,Likely Contaminated,1,0.9787933844439412,1,0.8894041762709949,1,0.978410110722611
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,XSum," He is being held incommunicado in a military prison in Germany.

<think>
Okay, so I","Australian golfer Robert Allenby says he was kidnapped from a bar in Hawaii, robbed and beaten, before being dumped in a park.","{'Min_10.0% Prob': 13.7265625, 'Min_20.0% Prob': 12.684375, 'Min_30.0% Prob': 11.7724609375, 'Min_40.0% Prob': 11.07734375, 'Min_50.0% Prob': 9.718149038461538}",0.2321829497814178,"{'rouge1': Score(precision=0.22727272727272727, recall=0.3333333333333333, fmeasure=0.27027027027027023), 'rouge2': Score(precision=0.047619047619047616, recall=0.07142857142857142, fmeasure=0.057142857142857134), 'rougeL': Score(precision=0.18181818181818182, recall=0.26666666666666666, fmeasure=0.21621621621621623)}",100,1,0.9785220640316185,Contaminated,1,0.8612880588864801,Contaminated,1,0.9747013125763124,Contaminated,1,0.9785220640316185,Likely Contaminated,1,0.8612880588864801,Likely Contaminated,1,0.9747013125763124,Likely Contaminated,1,0.9785220640316185,Likely Contaminated,Likely Contaminated,1,0.8612880588864801,Likely Contaminated,Likely Contaminated,1,0.9747013125763124,Likely Contaminated,Likely Contaminated,1,0.9785220640316185,Likely Contaminated,Likely Contaminated,1,0.8612880588864801,Likely Contaminated,Likely Contaminated,1,0.9747013125763124,Likely Contaminated,Likely Contaminated,1,0.9785220640316185,1,0.8612880588864801,1,0.9747013125763124
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,XSum," The live coverage will be presented by Sarah and Andrew, with Sarah doing the final jury's performance.
",They may be carrying the UK's hopes of success at Eurovision but Joe and Jake will have strong support from the home town of one of the singers.,"{'Min_10.0% Prob': 12.6484375, 'Min_20.0% Prob': 11.8671875, 'Min_30.0% Prob': 10.68185763888889, 'Min_40.0% Prob': 9.6552734375, 'Min_50.0% Prob': 8.880989583333333}",0.1804887652397155,"{'rouge1': Score(precision=0.20689655172413793, recall=0.3333333333333333, fmeasure=0.2553191489361702), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10344827586206896, recall=0.16666666666666666, fmeasure=0.1276595744680851)}",105,1,0.9440925962072806,Contaminated,1,0.8605039563118174,Contaminated,1,0.909825415447126,Contaminated,1,0.9440925962072806,Likely Contaminated,1,0.8605039563118174,Likely Contaminated,1,0.909825415447126,Likely Contaminated,1,0.9440925962072806,Likely Contaminated,Likely Contaminated,1,0.8605039563118174,Likely Contaminated,Likely Contaminated,1,0.909825415447126,Likely Contaminated,Likely Contaminated,1,0.9440925962072806,Likely Contaminated,Likely Contaminated,1,0.8605039563118174,Likely Contaminated,Likely Contaminated,1,0.909825415447126,Likely Contaminated,Likely Contaminated,1,0.9440925962072806,1,0.8605039563118174,1,0.9098254154471259
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,XSum," They have a tough schedule with two games in a row on Friday and Saturday, and two more on","Cardiff Devils managing director Todd Kelman says the Sheffield Steelers have caused a ""media frenzy"" ahead of their Challenge Cup final on 5 March.","{'Min_10.0% Prob': 15.026041666666666, 'Min_20.0% Prob': 13.446614583333334, 'Min_30.0% Prob': 12.138020833333334, 'Min_40.0% Prob': 10.814778645833334, 'Min_50.0% Prob': 9.50703125}",0.160029649734497,"{'rouge1': Score(precision=0.125, recall=0.15789473684210525, fmeasure=0.13953488372093023), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.15789473684210525, fmeasure=0.13953488372093023)}",112,1,0.9934182314874346,Contaminated,1,0.8574537545017267,Contaminated,1,0.997,Contaminated,1,0.9934182314874346,Likely Contaminated,1,0.8574537545017267,Likely Contaminated,1,0.997,Likely Contaminated,1,0.9934182314874346,Likely Contaminated,Likely Contaminated,1,0.8574537545017267,Likely Contaminated,Likely Contaminated,1,0.997,Likely Contaminated,Likely Contaminated,1,0.9934182314874346,Likely Contaminated,Likely Contaminated,1,0.8574537545017267,Likely Contaminated,Likely Contaminated,1,0.997,Likely Contaminated,Likely Contaminated,1,0.9934182314874346,1,0.8574537545017267,1,0.997
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,XSum," The game is expected to be a hit with both players and the broader public.

In the context of","One of the more unusual titles at E3, the worlds largest video games exhibition held each year in Los Angeles, is Konami's Lucha Libre AAA: Heroes del Ring.","{'Min_10.0% Prob': 12.736979166666666, 'Min_20.0% Prob': 10.885044642857142, 'Min_30.0% Prob': 10.1984375, 'Min_40.0% Prob': 9.534598214285714, 'Min_50.0% Prob': 8.774305555555555}",0.1769271194934845,"{'rouge1': Score(precision=0.20689655172413793, recall=0.3157894736842105, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10344827586206896, recall=0.15789473684210525, fmeasure=0.125)}",117,1,0.9118958076496628,Contaminated,1,0.8546416535171301,Contaminated,1,0.8724258937220274,Contaminated,1,0.9118958076496628,Likely Contaminated,1,0.8546416535171301,Likely Contaminated,1,0.8724258937220274,Likely Contaminated,1,0.9118958076496628,Likely Contaminated,Likely Contaminated,1,0.8546416535171301,Likely Contaminated,Likely Contaminated,1,0.8724258937220274,Likely Contaminated,Likely Contaminated,1,0.9118958076496628,Likely Contaminated,Likely Contaminated,1,0.8546416535171301,Likely Contaminated,Likely Contaminated,1,0.8724258937220274,Likely Contaminated,Likely Contaminated,1,0.9118958076496627,1,0.8546416535171301,1,0.8724258937220274
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,XSum," It can only provide guidance and opinion.
The UK is currently in the process of implementing the UN's","Unregulated transfer tests in Northern Ireland should be abolished, a United Nations (UN) committee has said.","{'Min_10.0% Prob': 13.84375, 'Min_20.0% Prob': 12.8125, 'Min_30.0% Prob': 12.0234375, 'Min_40.0% Prob': 11.158203125, 'Min_50.0% Prob': 9.86328125}",0.3766907751560211,"{'rouge1': Score(precision=0.125, recall=0.10526315789473684, fmeasure=0.11428571428571428), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.10526315789473684, fmeasure=0.11428571428571428)}",90,1,0.9926467988377332,Contaminated,1,0.8715480250082978,Contaminated,1,0.9935119047619048,Contaminated,1,0.9926467988377332,Likely Contaminated,1,0.8715480250082978,Likely Contaminated,1,0.9935119047619048,Likely Contaminated,1,0.9926467988377332,Likely Contaminated,Likely Contaminated,1,0.8715480250082978,Likely Contaminated,Likely Contaminated,1,0.9935119047619048,Likely Contaminated,Likely Contaminated,1,0.9926467988377332,Likely Contaminated,Likely Contaminated,1,0.8715480250082978,Likely Contaminated,Likely Contaminated,1,0.9935119047619048,Likely Contaminated,Likely Contaminated,1,0.9926467988377332,1,0.8715480250082978,1,0.9935119047619047
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Summarize the following text: ,XSum," The campaign is also being promoted on social media platforms like Facebook and Twitter.

The campaign's aim is","After an Indian temple chief recently said he would allow women to enter the shrine only after a machine was invented to detect if they were ""pure"" - meaning that they weren't menstruating - outraged women have launched a #HappyToBleed campaign on Facebook to protest against the ""sexist statement"", writes the BBC's Geeta Pandey in Delhi.","{'Min_10.0% Prob': 13.875, 'Min_20.0% Prob': 11.765625, 'Min_30.0% Prob': 10.143787202380953, 'Min_40.0% Prob': 8.953264508928571, 'Min_50.0% Prob': 7.885145399305555}",0.1638128608465194,"{'rouge1': Score(precision=0.10714285714285714, recall=0.3157894736842105, fmeasure=0.16), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10714285714285714, recall=0.3157894736842105, fmeasure=0.16)}",271,1,0.9706702799490324,Contaminated,1,0.7914275427333648,Contaminated,1,0.9260939578713968,Contaminated,1,0.9706702799490324,Likely Contaminated,1,0.7914275427333648,Likely Contaminated,1,0.9260939578713968,Likely Contaminated,1,0.9706702799490324,Likely Contaminated,Likely Contaminated,1,0.7914275427333648,Likely Contaminated,Likely Contaminated,1,0.9260939578713968,Likely Contaminated,Likely Contaminated,1,0.9706702799490324,Likely Contaminated,Likely Contaminated,1,0.7914275427333648,Likely Contaminated,Likely Contaminated,1,0.9260939578713968,Likely Contaminated,Likely Contaminated,1,0.9706702799490324,1,0.7914275427333648,1,0.9260939578713969
