Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,Input,Text_Diff
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Hannah and Amanda are trying to find Betty's number. Hannah asks Larry for",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,"{'Min_10.0% Prob': 13.482682228088379, 'Min_20.0% Prob': 12.057446797688803, 'Min_30.0% Prob': 10.735015869140625, 'Min_40.0% Prob': 9.439702783312116, 'Min_50.0% Prob': 8.3394632074568}",0.836500883102417,"{'rouge1': Score(precision=0.4375, recall=0.4666666666666667, fmeasure=0.45161290322580644), 'rouge2': Score(precision=0.13333333333333333, recall=0.14285714285714285, fmeasure=0.1379310344827586), 'rougeL': Score(precision=0.3125, recall=0.3333333333333333, fmeasure=0.3225806451612903)}","Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye","+ assistant
+ Hannah and Amanda are trying to find Betty's number. Hannah asks Larry for
- Hannah: Hey, do you have Betty's number?
- Amanda: Lemme check
- Hannah: <file_gif>
- Amanda: Sorry, can't find it.
- Amanda: Ask Larry
- Amanda: He called her last time we were at the park together
- Hannah: I don't know him well
- Hannah: <file_gif>
- Amanda: Don't be shy, he's very nice
- Hannah: If you say so..
- Hannah: I'd rather you texted him
- Amanda: Just text him 🙂
- Hannah: Urgh.. Alright
- Hannah: Bye
- Amanda: Bye bye"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Eric: MACHINE!
Rob: That's so gr8!",Eric and Rob are going to watch a stand-up on youtube.,"{'Min_10.0% Prob': 13.637048721313477, 'Min_20.0% Prob': 11.725652694702148, 'Min_30.0% Prob': 10.690298080444336, 'Min_40.0% Prob': 9.28419542312622, 'Min_50.0% Prob': 8.692115374973842}",0.5075713992118835,"{'rouge1': Score(precision=0.16666666666666666, recall=0.25, fmeasure=0.2), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.25, fmeasure=0.2)}","Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)","+ assistant
  Eric: MACHINE!
  Rob: That's so gr8!
- Eric: I know! And shows how Americans see Russian ;)
- Rob: And it's really funny!
- Eric: I know! I especially like the train part!
- Rob: Hahaha! No one talks to the machine like that!
- Eric: Is this his only stand-up?
- Rob: Idk. I'll check.
- Eric: Sure.
- Rob: Turns out no! There are some of his stand-ups on youtube.
- Eric: Gr8! I'll watch them now!
- Rob: Me too!
- Eric: MACHINE!
- Rob: MACHINE!
- Eric: TTYL?
- Rob: Sure :)"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Lenny: Babe, can you help me with something?
Bob:",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"{'Min_10.0% Prob': 12.061342239379883, 'Min_20.0% Prob': 9.821581522623697, 'Min_30.0% Prob': 7.92300009727478, 'Min_40.0% Prob': 7.095255338228666, 'Min_50.0% Prob': 6.112211914623485}",0.4320191144943237,"{'rouge1': Score(precision=0.13793103448275862, recall=0.4, fmeasure=0.20512820512820515), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13793103448275862, recall=0.4, fmeasure=0.20512820512820515)}","Lenny: Babe, can you help me with something?
Bob: Sure, what's up?
Lenny: Which one should I pick?
Bob: Send me photos
Lenny:  <file_photo>
Lenny:  <file_photo>
Lenny:  <file_photo>
Bob: I like the first ones best
Lenny: But I already have purple trousers. Does it make sense to have two pairs?
Bob: I have four black pairs :D :D
Lenny: yeah, but shouldn't I pick a different color?
Bob: what matters is what you'll give you the most outfit options
Lenny: So I guess I'll buy the first or the third pair then
Bob: Pick the best quality then
Lenny: ur right, thx
Bob: no prob :)","+ assistant
  Lenny: Babe, can you help me with something?
+ Bob:
- Bob: Sure, what's up?
- Lenny: Which one should I pick?
- Bob: Send me photos
- Lenny:  <file_photo>
- Lenny:  <file_photo>
- Lenny:  <file_photo>
- Bob: I like the first ones best
- Lenny: But I already have purple trousers. Does it make sense to have two pairs?
- Bob: I have four black pairs :D :D
- Lenny: yeah, but shouldn't I pick a different color?
- Bob: what matters is what you'll give you the most outfit options
- Lenny: So I guess I'll buy the first or the third pair then
- Bob: Pick the best quality then
- Lenny: ur right, thx
- Bob: no prob :)"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Will: Hey, babe, what do you want for dinner tonight?
",Emma will be home soon and she will let Will know.,"{'Min_10.0% Prob': 10.366525650024414, 'Min_20.0% Prob': 10.297766208648682, 'Min_30.0% Prob': 8.852741877237955, 'Min_40.0% Prob': 8.037952065467834, 'Min_50.0% Prob': 6.434497952461243}",0.287786066532135,"{'rouge1': Score(precision=0.09090909090909091, recall=0.09090909090909091, fmeasure=0.09090909090909091), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09090909090909091, recall=0.09090909090909091, fmeasure=0.09090909090909091)}","Will: hey babe, what do you want for dinner tonight?
Emma:  gah, don't even worry about it tonight
Will: what do you mean? everything ok?
Emma: not really, but it's ok, don't worry about cooking though, I'm not hungry
Will: Well what time will you be home?
Emma: soon, hopefully
Will: you sure? Maybe you want me to pick you up?
Emma: no no it's alright. I'll be home soon, i'll tell you when I get home. 
Will: Alright, love you. 
Emma: love you too. ","+ assistant
- Will: hey babe, what do you want for dinner tonight?
?       ^

+ Will: Hey, babe, what do you want for dinner tonight?
?       ^  +

- Emma:  gah, don't even worry about it tonight
- Will: what do you mean? everything ok?
- Emma: not really, but it's ok, don't worry about cooking though, I'm not hungry
- Will: Well what time will you be home?
- Emma: soon, hopefully
- Will: you sure? Maybe you want me to pick you up?
- Emma: no no it's alright. I'll be home soon, i'll tell you when I get home. 
- Will: Alright, love you. 
- Emma: love you too. "
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Ollie: Hi, are you in Warsaw?
Jane: Yes,",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,"{'Min_10.0% Prob': 10.523213100433349, 'Min_20.0% Prob': 8.83589792251587, 'Min_30.0% Prob': 7.895651608705521, 'Min_40.0% Prob': 7.008461215279319, 'Min_50.0% Prob': 6.254544871194022}",0.669132649898529,"{'rouge1': Score(precision=0.09302325581395349, recall=0.4444444444444444, fmeasure=0.15384615384615385), 'rouge2': Score(precision=0.023809523809523808, recall=0.125, fmeasure=0.04), 'rougeL': Score(precision=0.06976744186046512, recall=0.3333333333333333, fmeasure=0.11538461538461539)}","Ollie: Hi , are you in Warsaw
Jane: yes, just back! Btw are you free for diner the 19th?
Ollie: nope!
Jane: and the  18th?
Ollie: nope, we have this party and you must be there, remember?
Jane: oh right! i lost my calendar..  thanks for reminding me
Ollie: we have lunch this week?
Jane: with pleasure!
Ollie: friday?
Jane: ok
Jane: what do you mean "" we don't have any more whisky!"" lol..
Ollie: what!!!
Jane: you just call me and the all thing i heard was that sentence about whisky... what's wrong with you?
Ollie: oh oh... very strange! i have to be carefull may be there is some spy in my mobile! lol
Jane: dont' worry, we'll check on friday.
Ollie: don't forget to bring some sun with you
Jane: I can't wait to be in Morocco..
Ollie: enjoy and see you friday
Jane: sorry Ollie, i'm very busy, i won't have time for lunch  tomorrow, but may be at 6pm after my courses?this trip to Morocco was so nice, but time consuming!
Ollie: ok for tea!
Jane: I'm on my way..
Ollie: tea is ready, did you bring the pastries?
Jane: I already ate them all... see you in a minute
Ollie: ok","+ assistant
- Ollie: Hi , are you in Warsaw
?          -

+ Ollie: Hi, are you in Warsaw?
?                             +

+ Jane: Yes,
- Jane: yes, just back! Btw are you free for diner the 19th?
- Ollie: nope!
- Jane: and the  18th?
- Ollie: nope, we have this party and you must be there, remember?
- Jane: oh right! i lost my calendar..  thanks for reminding me
- Ollie: we have lunch this week?
- Jane: with pleasure!
- Ollie: friday?
- Jane: ok
- Jane: what do you mean "" we don't have any more whisky!"" lol..
- Ollie: what!!!
- Jane: you just call me and the all thing i heard was that sentence about whisky... what's wrong with you?
- Ollie: oh oh... very strange! i have to be carefull may be there is some spy in my mobile! lol
- Jane: dont' worry, we'll check on friday.
- Ollie: don't forget to bring some sun with you
- Jane: I can't wait to be in Morocco..
- Ollie: enjoy and see you friday
- Jane: sorry Ollie, i'm very busy, i won't have time for lunch  tomorrow, but may be at 6pm after my courses?this trip to Morocco was so nice, but time consuming!
- Ollie: ok for tea!
- Jane: I'm on my way..
- Ollie: tea is ready, did you bring the pastries?
- Jane: I already ate them all... see you in a minute
- Ollie: ok"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Benjamin: Hey guys, what are we doing with the keys today?
",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"{'Min_10.0% Prob': 8.7011399269104, 'Min_20.0% Prob': 7.744560645176814, 'Min_30.0% Prob': 6.763819766044617, 'Min_40.0% Prob': 6.040191288347597, 'Min_50.0% Prob': 5.4970783626332}",0.4812760949134826,"{'rouge1': Score(precision=0.07017543859649122, recall=0.3333333333333333, fmeasure=0.11594202898550725), 'rouge2': Score(precision=0.017857142857142856, recall=0.09090909090909091, fmeasure=0.029850746268656716), 'rougeL': Score(precision=0.05263157894736842, recall=0.25, fmeasure=0.08695652173913043)}","Benjamin: Hey guys, what are we doing with the keys today?
Hilary: I've got them. Whoever wants them can meet me at lunchtime or after
Elliot: I'm ok. We're meeting for the drinks in the evening anyway and I guess we'll be going back to the apartment together?
Hilary: Yeah, I guess so
Daniel: I'm with Hilary atm and won't let go of her for the rest of the day, so any option you guys choose is good for me
Benjamin: Hmm I might actually pass by at lunchtime, take the keys and go take a nap. I'm sooo tired after yesterday
Hilary: Sounds good. We'll be having lunch with some French people (the ones who work on the history of food in colonial Mexico - I already see you yawning your head off)
Benjamin: YAAAAWN 🙊 Where and where are you meeting?
Hilary: So I'm meeting them at the entrance to the conference hall at 2 pm and then we'll head to this place called La Cantina. Italian cuisine, which is quite funny, but that's what they've chosen
Benjamin: Interesting 😱 To be honest, Hilary, I almost feel like changing my mind. Wanting to take this nap might end up costing me to dear
Hilary: Oh come on 😂
Benjamin: All these terrible obstacles on mu way to bed might just prove to much to take
Hilary: We'll try to avoid talking about their subject of research. Oh wait, no, I'm actually meeting them because I wanted to chat about their research lol
Elliot: 🙉
Hilary: Do join us, we're going to have fun. And then you'll take the keys and take this most deserved of naps
Elliot: Sounds like a plan 😂
Hilary: 😎
Elliot: See you at 2 then xx","+ assistant
  Benjamin: Hey guys, what are we doing with the keys today?
- Hilary: I've got them. Whoever wants them can meet me at lunchtime or after
- Elliot: I'm ok. We're meeting for the drinks in the evening anyway and I guess we'll be going back to the apartment together?
- Hilary: Yeah, I guess so
- Daniel: I'm with Hilary atm and won't let go of her for the rest of the day, so any option you guys choose is good for me
- Benjamin: Hmm I might actually pass by at lunchtime, take the keys and go take a nap. I'm sooo tired after yesterday
- Hilary: Sounds good. We'll be having lunch with some French people (the ones who work on the history of food in colonial Mexico - I already see you yawning your head off)
- Benjamin: YAAAAWN 🙊 Where and where are you meeting?
- Hilary: So I'm meeting them at the entrance to the conference hall at 2 pm and then we'll head to this place called La Cantina. Italian cuisine, which is quite funny, but that's what they've chosen
- Benjamin: Interesting 😱 To be honest, Hilary, I almost feel like changing my mind. Wanting to take this nap might end up costing me to dear
- Hilary: Oh come on 😂
- Benjamin: All these terrible obstacles on mu way to bed might just prove to much to take
- Hilary: We'll try to avoid talking about their subject of research. Oh wait, no, I'm actually meeting them because I wanted to chat about their research lol
- Elliot: 🙉
- Hilary: Do join us, we're going to have fun. And then you'll take the keys and take this most deserved of naps
- Elliot: Sounds like a plan 😂
- Hilary: 😎
- Elliot: See you at 2 then xx"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Max: Know any good sites to buy clothes from?
Payton: Sure",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"{'Min_10.0% Prob': 12.665021260579428, 'Min_20.0% Prob': 9.656942299434117, 'Min_30.0% Prob': 8.661259031295776, 'Min_40.0% Prob': 7.572972331728254, 'Min_50.0% Prob': 7.017050855300006}",0.7377997636795044,"{'rouge1': Score(precision=0.13333333333333333, recall=0.3333333333333333, fmeasure=0.19047619047619044), 'rouge2': Score(precision=0.034482758620689655, recall=0.09090909090909091, fmeasure=0.05), 'rougeL': Score(precision=0.1, recall=0.25, fmeasure=0.14285714285714288)}","Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)","+ assistant
  Max: Know any good sites to buy clothes from?
+ Payton: Sure
- Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
- Max: That's a lot of them!
- Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
- Max: I'll check them out. Thanks. 
- Payton: No problem :)
- Max: How about u?
- Payton: What about me?
- Max: Do u like shopping?
- Payton: Yes and no.
- Max: How come?
- Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
- Max: Y not?
- Payton: Isn't it obvious? ;)
- Max: Sry ;)
- Payton: If I bought everything I liked, I'd have nothing left to live on ;)
- Max: Same here, but probably different category ;)
- Payton: Lol
- Max: So what do u usually buy?
- Payton: Well, I have 2 things I must struggle to resist!
- Max: Which are?
- Payton: Clothes, ofc ;)
- Max: Right. And the second one?
- Payton: Books. I absolutely love reading!
- Max: Gr8! What books do u read?
- Payton: Everything I can get my hands on :)
- Max: Srsly?
- Payton: Yup :)"
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Rita and Tina are discussing their work-related issues. Rita mentions",Rita and Tina are bored at work and have still 4 hours left.,"{'Min_10.0% Prob': 10.391816139221191, 'Min_20.0% Prob': 9.96285311381022, 'Min_30.0% Prob': 9.656252384185791, 'Min_40.0% Prob': 7.881067792574565, 'Min_50.0% Prob': 6.747916489839554}",0.6728668212890625,"{'rouge1': Score(precision=0.38461538461538464, recall=0.4166666666666667, fmeasure=0.4), 'rouge2': Score(precision=0.25, recall=0.2727272727272727, fmeasure=0.2608695652173913), 'rougeL': Score(precision=0.38461538461538464, recall=0.4166666666666667, fmeasure=0.4)}","Rita: I'm so bloody tired. Falling asleep at work. :-(
Tina: I know what you mean.
Tina: I keep on nodding off at my keyboard hoping that the boss doesn't notice..
Rita: The time just keeps on dragging on and on and on.... 
Rita: I keep on looking at the clock and there's still 4 hours of this drudgery to go.
Tina: Times like these I really hate my work.
Rita: I'm really not cut out for this level of boredom.
Tina: Neither am I.","+ assistant
+ Rita and Tina are discussing their work-related issues. Rita mentions
- Rita: I'm so bloody tired. Falling asleep at work. :-(
- Tina: I know what you mean.
- Tina: I keep on nodding off at my keyboard hoping that the boss doesn't notice..
- Rita: The time just keeps on dragging on and on and on.... 
- Rita: I keep on looking at the clock and there's still 4 hours of this drudgery to go.
- Tina: Times like these I really hate my work.
- Rita: I'm really not cut out for this level of boredom.
- Tina: Neither am I."
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Leo: I'm sorry, but I don't have a scarf.","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 10.371169726053873, 'Min_20.0% Prob': 8.385279314858574, 'Min_30.0% Prob': 7.3028655529022215, 'Min_40.0% Prob': 6.11823798928942, 'Min_50.0% Prob': 5.390650370541741}",0.6481508016586304,"{'rouge1': Score(precision=0.17857142857142858, recall=0.4166666666666667, fmeasure=0.25), 'rouge2': Score(precision=0.037037037037037035, recall=0.09090909090909091, fmeasure=0.05263157894736842), 'rougeL': Score(precision=0.17857142857142858, recall=0.4166666666666667, fmeasure=0.25)}","Beatrice: I am in town, shopping. They have nice scarfs in the shop next to the church. Do you want one?
Leo: No, thanks
Beatrice: But you don't have a scarf.
Leo: Because I don't need it.
Beatrice: Last winter you had a cold all the time. A scarf could help.
Leo: I don't like them.
Beatrice: Actually, I don't care. You will get a scarf.
Leo: How understanding of you!
Beatrice: You were complaining the whole winter that you're going to die. I've had enough.
Leo: Eh.","+ assistant
+ Leo: I'm sorry, but I don't have a scarf.
- Beatrice: I am in town, shopping. They have nice scarfs in the shop next to the church. Do you want one?
- Leo: No, thanks
- Beatrice: But you don't have a scarf.
- Leo: Because I don't need it.
- Beatrice: Last winter you had a cold all the time. A scarf could help.
- Leo: I don't like them.
- Beatrice: Actually, I don't care. You will get a scarf.
- Leo: How understanding of you!
- Beatrice: You were complaining the whole winter that you're going to die. I've had enough.
- Leo: Eh."
HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,Samsum,"assistant
Ivan: Hey Eric,

Eric: Hey Ivan,

",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"{'Min_10.0% Prob': 13.986215114593506, 'Min_20.0% Prob': 11.78691554069519, 'Min_30.0% Prob': 10.063902695973715, 'Min_40.0% Prob': 8.297548135121664, 'Min_50.0% Prob': 7.404255563562566}",0.5967462062835693,"{'rouge1': Score(precision=0.14285714285714285, recall=0.42857142857142855, fmeasure=0.21428571428571427), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09523809523809523, recall=0.2857142857142857, fmeasure=0.14285714285714285)}","Ivan: hey eric
Eric: yeah man
Ivan: so youre coming to the wedding
Eric: your brother's
Ivan: yea
Eric: i dont know mannn
Ivan: YOU DONT KNOW??
Eric: i just have a lot to do at home, plus i dont know if my parents would let me
Ivan: ill take care of your parents
Eric: youre telling me you have the guts to talk to them XD
Ivan: thats my problem
Eric: okay man, if you say so
Ivan: yea just be there 
Eric: alright","+ assistant
- Ivan: hey eric
?       ^   ^

+ Ivan: Hey Eric,
?       ^   ^   +

+ 
+ Eric: Hey Ivan,
+ 
- Eric: yeah man
- Ivan: so youre coming to the wedding
- Eric: your brother's
- Ivan: yea
- Eric: i dont know mannn
- Ivan: YOU DONT KNOW??
- Eric: i just have a lot to do at home, plus i dont know if my parents would let me
- Ivan: ill take care of your parents
- Eric: youre telling me you have the guts to talk to them XD
- Ivan: thats my problem
- Eric: okay man, if you say so
- Ivan: yea just be there 
- Eric: alright"
