Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x,GradientBoosting_probability_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x,LogisticRegression_probability_x_x,LogisticRegression_status,RandomForest_prediction_x_x,RandomForest_probability_x_x,RandomForest_status,GradientBoosting_prediction_y_x,GradientBoosting_probability_y_x,GradientBoosting_label_x,LogisticRegression_prediction_y_x,LogisticRegression_probability_y_x,LogisticRegression_label_x,RandomForest_prediction_y_x,RandomForest_probability_y_x,RandomForest_label_x,GradientBoosting_prediction_x_y,GradientBoosting_probability_x_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_x_y,LogisticRegression_probability_x_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_x_y,RandomForest_probability_x_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction_y_y,GradientBoosting_probability_y_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_y_y,LogisticRegression_probability_y_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_y_y,RandomForest_probability_y_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction,GradientBoosting_probability,LogisticRegression_prediction,LogisticRegression_probability,RandomForest_prediction,RandomForest_probability
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
The three-week trial on the 23.4m long 'up",Commuters are being asked to stand rather than walk on the left side of escalators at a central London Tube station to see if it can cut queues.,"{'Min_10.0% Prob': 12.408286412556967, 'Min_20.0% Prob': 9.849425633748373, 'Min_30.0% Prob': 8.467859850989448, 'Min_40.0% Prob': 7.506990194320679, 'Min_50.0% Prob': 6.785330390930175}",0.0952429696917533,"{'rouge1': Score(precision=0.07142857142857142, recall=0.18181818181818182, fmeasure=0.10256410256410255), 'rouge2': Score(precision=0.037037037037037035, recall=0.1, fmeasure=0.05405405405405406), 'rougeL': Score(precision=0.07142857142857142, recall=0.18181818181818182, fmeasure=0.10256410256410255)}",114,0.0,0.2705193158319786,Clean,1.0,0.5689256067890713,Contaminated,0.0,0.2503649991004868,Clean,0.0,0.2705193158319786,Not Contaminated,1.0,0.5689256067890713,Likely Contaminated,0.0,0.2503649991004868,Not Contaminated,0.0,0.2705193158319786,Not Contaminated,Not Contaminated,1.0,0.5689256067890713,Likely Contaminated,Likely Contaminated,0.0,0.2503649991004868,Not Contaminated,Not Contaminated,0.0,0.2705193158319786,Not Contaminated,Not Contaminated,1.0,0.5689256067890713,Likely Contaminated,Likely Contaminated,0.0,0.2503649991004868,Not Contaminated,Not Contaminated,0.0,0.27051931583197864,1.0,0.5689256067890713,0.0,0.2503649991004868
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
Joshua Browder, a 250,000-person","A chatbot programmed by a British teenager has successfully challenged 160,000 parking tickets since its launch last year.","{'Min_10.0% Prob': 11.515970706939697, 'Min_20.0% Prob': 9.688713550567627, 'Min_30.0% Prob': 8.822642598833356, 'Min_40.0% Prob': 7.851386213302613, 'Min_50.0% Prob': 6.899002827130831}",0.174147829413414,"{'rouge1': Score(precision=0.10526315789473684, recall=0.2857142857142857, fmeasure=0.15384615384615385), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10526315789473684, recall=0.2857142857142857, fmeasure=0.15384615384615385)}",101,1.0,0.6084600189894618,Contaminated,1.0,0.7254594299281623,Contaminated,0.0,0.3487952742686662,Clean,1.0,0.6084600189894618,Likely Contaminated,1.0,0.7254594299281623,Likely Contaminated,0.0,0.3487952742686662,Not Contaminated,1.0,0.6084600189894618,Likely Contaminated,Likely Contaminated,1.0,0.7254594299281623,Likely Contaminated,Likely Contaminated,0.0,0.3487952742686662,Not Contaminated,Not Contaminated,1.0,0.6084600189894618,Likely Contaminated,Likely Contaminated,1.0,0.7254594299281623,Likely Contaminated,Likely Contaminated,0.0,0.3487952742686662,Not Contaminated,Not Contaminated,1.0,0.6084600189894618,1.0,0.7254594299281623,0.0,0.3487952742686662
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
The 29-year-old has made six appearances for the U's",League One Rochdale have signed midfielder Keith Keane on loan from Cambridge United until January.,"{'Min_10.0% Prob': 14.168681144714355, 'Min_20.0% Prob': 11.449377536773682, 'Min_30.0% Prob': 10.376372496287027, 'Min_40.0% Prob': 9.6586634516716, 'Min_50.0% Prob': 8.959773206710816}",0.129241868853569,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",80,1.0,0.617701781215688,Contaminated,1.0,0.735339557820037,Contaminated,0.0,0.3909947639005303,Clean,1.0,0.617701781215688,Likely Contaminated,1.0,0.735339557820037,Likely Contaminated,0.0,0.3909947639005303,Not Contaminated,1.0,0.617701781215688,Likely Contaminated,Likely Contaminated,1.0,0.735339557820037,Likely Contaminated,Likely Contaminated,0.0,0.3909947639005303,Not Contaminated,Not Contaminated,1.0,0.617701781215688,Likely Contaminated,Likely Contaminated,1.0,0.735339557820037,Likely Contaminated,Likely Contaminated,0.0,0.3909947639005303,Not Contaminated,Not Contaminated,1.0,0.617701781215688,1.0,0.735339557820037,0.0,0.3909947639005303
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
Jamie Rudling, 28, from Dunoon, was repeatedly raped by",A man who raped two women - one of them while he was on probation for grooming two teenage girls - has been handed a lifelong restriction order.,"{'Min_10.0% Prob': 10.738338947296143, 'Min_20.0% Prob': 9.717934226989746, 'Min_30.0% Prob': 8.478071630001068, 'Min_40.0% Prob': 7.697554458271373, 'Min_50.0% Prob': 6.977088723863874}",0.2933326959609985,"{'rouge1': Score(precision=0.07692307692307693, recall=0.2, fmeasure=0.1111111111111111), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.038461538461538464, recall=0.1, fmeasure=0.05555555555555555)}",116,0.0,0.4801611853652399,Clean,1.0,0.7008497066427054,Contaminated,0.0,0.4158965995533073,Clean,0.0,0.4801611853652399,Not Contaminated,1.0,0.7008497066427054,Likely Contaminated,0.0,0.4158965995533073,Not Contaminated,0.0,0.4801611853652399,Not Contaminated,Not Contaminated,1.0,0.7008497066427054,Likely Contaminated,Likely Contaminated,0.0,0.4158965995533073,Not Contaminated,Not Contaminated,0.0,0.4801611853652399,Not Contaminated,Not Contaminated,1.0,0.7008497066427054,Likely Contaminated,Likely Contaminated,0.0,0.4158965995533073,Not Contaminated,Not Contaminated,0.0,0.4801611853652399,1.0,0.7008497066427054,0.0,0.4158965995533073
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,,"Tottenham's players lacked the quality and mentality required to reach the knockout stage of the Champions League, says boss Mauricio Pochettino.","{'Min_10.0% Prob': 11.15014934539795, 'Min_20.0% Prob': 8.868564367294312, 'Min_30.0% Prob': 7.574289692772759, 'Min_40.0% Prob': 6.684237440427144, 'Min_50.0% Prob': 5.857632033030192}",-0.0233414452522993,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",142,0.0,0.2526828048639683,Clean,1.0,0.7577662538664238,Contaminated,0.0,0.1803826238046439,Clean,0.0,0.2526828048639683,Not Contaminated,1.0,0.7577662538664238,Likely Contaminated,0.0,0.1803826238046439,Not Contaminated,0.0,0.4078176601012812,Not Contaminated,Not Contaminated,1.0,0.570686553875132,Likely Contaminated,Likely Contaminated,0.0,0.3389320546283783,Not Contaminated,Not Contaminated,0.0,0.4078176601012812,Not Contaminated,Not Contaminated,1.0,0.570686553875132,Likely Contaminated,Likely Contaminated,0.0,0.3389320546283783,Not Contaminated,Not Contaminated,0.0,0.2526828048639683,1.0,0.7577662538664238,0.0,0.18038262380464395
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
The 24-year-old Australian has made his debut at Newcastle,",Wakefield Trinity have signed hooker Tyler Randell from NRL side Newcastle Knights on a two-year contract from the start of the 2018 season.,"{'Min_10.0% Prob': 12.033770243326822, 'Min_20.0% Prob': 10.452639102935791, 'Min_30.0% Prob': 9.056403541564942, 'Min_40.0% Prob': 8.242495756882887, 'Min_50.0% Prob': 7.347118630128748}",0.3532304167747497,"{'rouge1': Score(precision=0.125, recall=0.25, fmeasure=0.16666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.041666666666666664, recall=0.08333333333333333, fmeasure=0.05555555555555555)}",109,0.0,0.4078176601012812,Clean,1.0,0.570686553875132,Contaminated,0.0,0.3389320546283783,Clean,0.0,0.4078176601012812,Not Contaminated,1.0,0.570686553875132,Likely Contaminated,0.0,0.3389320546283783,Not Contaminated,1.0,0.5699717459857307,Not Contaminated,Likely Contaminated,1.0,0.6291949848067484,Likely Contaminated,Likely Contaminated,0.0,0.4688332818675162,Not Contaminated,Not Contaminated,1.0,0.5699717459857307,Not Contaminated,Likely Contaminated,1.0,0.6291949848067484,Likely Contaminated,Likely Contaminated,0.0,0.4688332818675162,Not Contaminated,Not Contaminated,0.0,0.4078176601012812,1.0,0.570686553875132,0.0,0.3389320546283783
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
Mullah Mansour, the new leader, was named on Thursday after the death","The new leader of the Afghan Taliban, Mullah Akhtar Mansour, has called for unity in an audio message, saying that the group will continue fighting.","{'Min_10.0% Prob': 9.208982149759928, 'Min_20.0% Prob': 8.094202677408854, 'Min_30.0% Prob': 7.16061618593004, 'Min_40.0% Prob': 6.456053455670674, 'Min_50.0% Prob': 5.688482418656349}",0.3734432756900787,"{'rouge1': Score(precision=0.24, recall=0.46153846153846156, fmeasure=0.3157894736842105), 'rouge2': Score(precision=0.08333333333333333, recall=0.16666666666666666, fmeasure=0.1111111111111111), 'rougeL': Score(precision=0.16, recall=0.3076923076923077, fmeasure=0.2105263157894737)}",108,1.0,0.5699717459857307,Contaminated,1.0,0.6291949848067484,Contaminated,0.0,0.4688332818675162,Clean,1.0,0.5699717459857307,Likely Contaminated,1.0,0.6291949848067484,Likely Contaminated,0.0,0.4688332818675162,Not Contaminated,1.0,0.643777037395372,Likely Contaminated,Likely Contaminated,1.0,0.8357480102472512,Likely Contaminated,Likely Contaminated,1.0,0.7082537370037371,Not Contaminated,Likely Contaminated,1.0,0.643777037395372,Likely Contaminated,Likely Contaminated,1.0,0.8357480102472512,Likely Contaminated,Likely Contaminated,1.0,0.7082537370037371,Not Contaminated,Likely Contaminated,1.0,0.5699717459857307,1.0,0.6291949848067484,0.0,0.4688332818675162
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
Desmond Ricks' lawyers have accused the state police of switching bullets in his","US prosecutors have dropped all charges against a man who spent 25 years in prison for murder, amid allegations police had falsified evidence.","{'Min_10.0% Prob': 10.765424728393555, 'Min_20.0% Prob': 8.337681293487549, 'Min_30.0% Prob': 6.971964359283447, 'Min_40.0% Prob': 6.13022084236145, 'Min_50.0% Prob': 5.214440235724816}",0.2137215286493301,"{'rouge1': Score(precision=0.13043478260869565, recall=0.21428571428571427, fmeasure=0.16216216216216214), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08695652173913043, recall=0.14285714285714285, fmeasure=0.1081081081081081)}",111,1.0,0.643777037395372,Contaminated,1.0,0.8357480102472512,Contaminated,1.0,0.7082537370037371,Contaminated,1.0,0.643777037395372,Likely Contaminated,1.0,0.8357480102472512,Likely Contaminated,1.0,0.7082537370037371,Likely Contaminated,0.0,0.3188333640703856,Likely Contaminated,Not Contaminated,1.0,0.6199810682899336,Likely Contaminated,Likely Contaminated,0.0,0.3046967830998022,Likely Contaminated,Not Contaminated,0.0,0.3188333640703856,Likely Contaminated,Not Contaminated,1.0,0.6199810682899336,Likely Contaminated,Likely Contaminated,0.0,0.3046967830998022,Likely Contaminated,Not Contaminated,1.0,0.643777037395372,1.0,0.8357480102472512,1.0,0.7082537370037371
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
Neville Neville was sacked by Valencia on Wednesday after less than four",New Valencia coach Pako Ayestaran says he only accepted the job with predecessor Gary Neville's blessing.,"{'Min_10.0% Prob': 12.679193019866943, 'Min_20.0% Prob': 11.80246877670288, 'Min_30.0% Prob': 11.007718563079834, 'Min_40.0% Prob': 10.096056818962097, 'Min_50.0% Prob': 9.20714317668568}",0.3620723187923431,"{'rouge1': Score(precision=0.11764705882352941, recall=0.15384615384615385, fmeasure=0.13333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.058823529411764705, recall=0.07692307692307693, fmeasure=0.06666666666666667)}",80,0.0,0.3188333640703856,Clean,1.0,0.6199810682899336,Contaminated,0.0,0.3046967830998022,Clean,0.0,0.3188333640703856,Not Contaminated,1.0,0.6199810682899336,Likely Contaminated,0.0,0.3046967830998022,Not Contaminated,0.0,0.4008566991150817,Not Contaminated,Not Contaminated,1.0,0.6419365478282835,Likely Contaminated,Likely Contaminated,0.0,0.3152946265335972,Not Contaminated,Not Contaminated,0.0,0.4008566991150817,Not Contaminated,Not Contaminated,1.0,0.6419365478282835,Likely Contaminated,Likely Contaminated,0.0,0.3152946265335972,Not Contaminated,Not Contaminated,0.0,0.31883336407038565,1.0,0.6199810682899336,0.0,0.3046967830998022
HuggingFaceTB/SmolLM2-135M-Instruct,Summarize the following text: ,Xsum,"assistant
A 28-year-old man, Yassar Yaqub",Dozens of people have attended a vigil at the spot where a man was shot dead in a police operation.,"{'Min_10.0% Prob': 10.949781656265259, 'Min_20.0% Prob': 8.619763135910034, 'Min_30.0% Prob': 7.24271027247111, 'Min_40.0% Prob': 6.231260150671005, 'Min_50.0% Prob': 5.5742895126342775}",0.0967162996530532,"{'rouge1': Score(precision=0.1, recall=0.25, fmeasure=0.14285714285714288), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.25, fmeasure=0.14285714285714288)}",83,0.0,0.4008566991150817,Clean,1.0,0.6419365478282835,Contaminated,0.0,0.3152946265335972,Clean,0.0,0.4008566991150817,Not Contaminated,1.0,0.6419365478282835,Likely Contaminated,0.0,0.3152946265335972,Not Contaminated,0.0,0.412081989820371,Not Contaminated,Not Contaminated,1.0,0.667983240512579,Likely Contaminated,Likely Contaminated,0.0,0.3004578747944819,Not Contaminated,Not Contaminated,0.0,0.412081989820371,Not Contaminated,Not Contaminated,1.0,0.667983240512579,Likely Contaminated,Likely Contaminated,0.0,0.3004578747944819,Not Contaminated,Not Contaminated,0.0,0.40085669911508176,1.0,0.6419365478282835,0.0,0.3152946265335972
