Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction,GradientBoosting_probability,GradientBoosting_status,LogisticRegression_prediction,LogisticRegression_probability,LogisticRegression_status,RandomForest_prediction,RandomForest_probability,RandomForest_status
facebook/opt-2.7b,Summarize the following text: ,Xsum,"

I'm not sure what the point of this is.

I think it's a",About 50 firefighters tackled a large blaze at a five-storey disused mill in Greater Manchester.,"{'Min_10.0% Prob': 7.201150178909302, 'Min_20.0% Prob': 6.7262818813323975, 'Min_30.0% Prob': 6.414410034815471, 'Min_40.0% Prob': 5.9600566029548645, 'Min_50.0% Prob': 5.189146363735199}",-0.0369826816022396,"{'rouge1': Score(precision=0.0625, recall=0.06666666666666667, fmeasure=0.06451612903225808), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0625, recall=0.06666666666666667, fmeasure=0.06451612903225808)}",74,1.0,0.9353181401392446,Contaminated,1.0,0.5444120898227601,Contaminated,1.0,0.9722391219891219,Contaminated
facebook/opt-2.7b,Summarize the following text: ,Xsum,,"Manchester United defender Marcos Rojo is a ""clean player with an aggressive nature"", says manager Jose Mourinho.","{'Min_10.0% Prob': 8.448260068893433, 'Min_20.0% Prob': 6.71431028842926, 'Min_30.0% Prob': 5.938214222590129, 'Min_40.0% Prob': 5.3006751537323, 'Min_50.0% Prob': 4.808041119575501}",0.0804772898554802,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",110,1.0,0.8269951019471354,Contaminated,1.0,0.6276304514721026,Contaminated,1.0,0.8849244170861817,Contaminated
facebook/opt-2.7b,Summarize the following text: ,Xsum,"
Zaha has been capped twice by England, but has not played for the senior side since the","Ivory Coast are confident Wilfried Zaha will soon be part of their team, but new England boss Gareth Southgate has not given up on the forward.","{'Min_10.0% Prob': 8.742351531982422, 'Min_20.0% Prob': 7.502290964126587, 'Min_30.0% Prob': 6.538985994127062, 'Min_40.0% Prob': 5.636274536450704, 'Min_50.0% Prob': 4.692562557756901}",0.500353991985321,"{'rouge1': Score(precision=0.23076923076923078, recall=0.35294117647058826, fmeasure=0.2790697674418605), 'rouge2': Score(precision=0.04, recall=0.0625, fmeasure=0.048780487804878044), 'rougeL': Score(precision=0.19230769230769232, recall=0.29411764705882354, fmeasure=0.23255813953488372)}",101,1.0,0.9234159136477135,Contaminated,1.0,0.5846362435301757,Contaminated,1.0,0.9008630772821948,Contaminated
facebook/opt-2.7b,Summarize the following text: ,Xsum,"

I'm not sure what the point of this is.

I'm not sure what",Home Secretary Theresa May is considering banning two US bloggers from entering the UK to speak at an English Defence League rally.,"{'Min_10.0% Prob': 7.965954542160034, 'Min_20.0% Prob': 7.590518593788147, 'Min_30.0% Prob': 6.990904172261556, 'Min_40.0% Prob': 5.900427367952135, 'Min_50.0% Prob': 5.339438199996948}",0.0746322274208068,"{'rouge1': Score(precision=0.09090909090909091, recall=0.13333333333333333, fmeasure=0.10810810810810811), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.045454545454545456, recall=0.06666666666666667, fmeasure=0.05405405405405406)}",106,1.0,0.9447637031484332,Contaminated,1.0,0.6566829908845258,Contaminated,1.0,0.9429664849039849,Contaminated
facebook/opt-2.7b,Summarize the following text: ,Xsum,"

I'm not sure if this is a good thing or not.
I'm not sure","Meat-eaters ""easily cheat, lie, forget promises and commit sex crimes"", according to a controversial school textbook available in India.","{'Min_10.0% Prob': 10.277402400970459, 'Min_20.0% Prob': 9.404478836059571, 'Min_30.0% Prob': 8.322872340679169, 'Min_40.0% Prob': 7.560065399516713, 'Min_50.0% Prob': 6.958837577274868}",0.0583639964461326,"{'rouge1': Score(precision=0.05, recall=0.0625, fmeasure=0.05555555555555556), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05, recall=0.0625, fmeasure=0.05555555555555556)}",109,1.0,0.7364746528783664,Contaminated,1.0,0.6328199205472443,Contaminated,1.0,0.6928969745674612,Contaminated
facebook/opt-2.7b,Summarize the following text: ,Xsum,"
Attempt missed. Mohamed Salah (Egypt) header from the centre of the box misses to the",Egypt knocked out Morocco to reach the Africa Cup of Nations semi-finals as substitute Mahmoud Abdel-Moneim prodded home a dramatic 87th-minute winner.,"{'Min_10.0% Prob': 10.549801190694174, 'Min_20.0% Prob': 8.30439821879069, 'Min_30.0% Prob': 6.378117251396179, 'Min_40.0% Prob': 5.522035415355976, 'Min_50.0% Prob': 4.561897660002989}",0.455790251493454,"{'rouge1': Score(precision=0.16, recall=0.26666666666666666, fmeasure=0.2), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.12, recall=0.2, fmeasure=0.15)}",121,1.0,0.7481827690721157,Contaminated,1.0,0.7284875020839083,Contaminated,1.0,0.8820871426224299,Contaminated
facebook/opt-2.7b,Summarize the following text: ,Xsum,"
The show is being held at the Royal Ulster Agricultural Society's (RUAS) Showgrounds",The agriculture minister is to return to China next month as attempts to access markets there continue.,"{'Min_10.0% Prob': 12.173978805541992, 'Min_20.0% Prob': 9.84680461883545, 'Min_30.0% Prob': 8.441679763793946, 'Min_40.0% Prob': 7.344929558890207, 'Min_50.0% Prob': 6.441943089167277}",0.1451832950115203,"{'rouge1': Score(precision=0.17647058823529413, recall=0.21428571428571427, fmeasure=0.1935483870967742), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11764705882352941, recall=0.14285714285714285, fmeasure=0.12903225806451615)}",80,1.0,0.814228291958675,Contaminated,1.0,0.5090826770095516,Contaminated,1.0,0.8572321443176705,Contaminated
facebook/opt-2.7b,Summarize the following text: ,Xsum,"
The NCA has now confirmed that it is investigating the deal.

I'm not sure",National Crime Agency (NCA) detectives investigating the sale of the National Asset Management Agency's (Nama) Northern Ireland loans portfolio have interviewed a former managing partner of a Belfast legal firm.,"{'Min_10.0% Prob': 7.063648064931233, 'Min_20.0% Prob': 6.07886232648577, 'Min_30.0% Prob': 5.389919281005859, 'Min_40.0% Prob': 4.840630197525025, 'Min_50.0% Prob': 4.287294883477061}",0.5891649723052979,"{'rouge1': Score(precision=0.12903225806451613, recall=0.26666666666666666, fmeasure=0.17391304347826086), 'rouge2': Score(precision=0.03333333333333333, recall=0.07142857142857142, fmeasure=0.045454545454545456), 'rougeL': Score(precision=0.0967741935483871, recall=0.2, fmeasure=0.13043478260869568)}",171,1.0,0.9587940216422621,Contaminated,1.0,0.5620616361263951,Contaminated,1.0,0.9513722661235317,Contaminated
facebook/opt-2.7b,Summarize the following text: ,Xsum,"
""I am deeply sorry for the pain and anguish I have caused that family. I am deeply","A County Tyrone car dealer, whose driving caused the death of a pensioner, has been given a community service order and a three-year driving ban.","{'Min_10.0% Prob': 9.203100522359213, 'Min_20.0% Prob': 7.597219546635945, 'Min_30.0% Prob': 6.403105947706434, 'Min_40.0% Prob': 5.494014382362366, 'Min_50.0% Prob': 4.563838563859463}",0.0602916404604911,"{'rouge1': Score(precision=0.11538461538461539, recall=0.17647058823529413, fmeasure=0.13953488372093026), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.11764705882352941, fmeasure=0.0930232558139535)}",110,1.0,0.8376766718845741,Contaminated,1.0,0.6753643051703752,Contaminated,1.0,0.9316185728924725,Contaminated
facebook/opt-2.7b,Summarize the following text: ,Xsum,"
She said: ""The council is committed to ensuring that the closure of Bodlondeb is","A council's proposal to shut a Ceredigion care home comes with ""no plan"" for care provision in the area, unions have said.","{'Min_10.0% Prob': 8.598527908325195, 'Min_20.0% Prob': 7.290060520172119, 'Min_30.0% Prob': 6.502222836017609, 'Min_40.0% Prob': 5.951674548062411, 'Min_50.0% Prob': 5.466524430683681}",0.2283939123153686,"{'rouge1': Score(precision=0.17391304347826086, recall=0.2857142857142857, fmeasure=0.2162162162162162), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13043478260869565, recall=0.21428571428571427, fmeasure=0.16216216216216214)}",95,1.0,0.93452905912929,Contaminated,1.0,0.6319300378977143,Contaminated,1.0,0.9613366236476701,Contaminated
